#tax_id,GeneID,Symbol,LocusTag,Synonyms,dbXrefs,chromosome,map_location,description,type_of_gene,Symbol_from_nomenclature_authority,Full_name_from_nomenclature_authority,Nomenclature_status,Other_designations,Modification_date,Feature_type
2079584,40099950,2,FDJ36_gp02,PBI_ILZAT_2,-,-,-,terminase,protein-coding,-,-,-,terminase,20210403,-
2079584,40100001,53,FDJ36_gp53,PBI_ILZAT_53,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2079584,40100002,54,FDJ36_gp54,PBI_ILZAT_54,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2079584,40100003,55,FDJ36_gp55,PBI_ILZAT_55,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2079584,40100004,56,FDJ36_gp56,PBI_ILZAT_56,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2079584,40100005,57,FDJ36_gp57,PBI_ILZAT_57,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2079584,40100006,58,FDJ36_gp58,PBI_ILZAT_58,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210403,-
2079584,40100007,59,FDJ36_gp59,PBI_ILZAT_59,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2079584,40100008,60,FDJ36_gp60,PBI_ILZAT_60,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2079584,40100009,61,FDJ36_gp61,PBI_ILZAT_61,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2079584,40100010,62,FDJ36_gp62,PBI_ILZAT_62,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2079584,40100011,1,FDJ36_gp01,PBI_ILZAT_1,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2079584,40120560,NEWENTRY,-,-,-,-,-,Record to support submission of GeneRIFs for a gene not in Gene.,other,-,-,-,-,20200513,-
