#tax_id,GeneID,Symbol,LocusTag,Synonyms,dbXrefs,chromosome,map_location,description,type_of_gene,Symbol_from_nomenclature_authority,Full_name_from_nomenclature_authority,Nomenclature_status,Other_designations,Modification_date,Feature_type
2026944,65067824,KMC54_gp02,KMC54_gp02,SopranoGao_2,-,-,-,lysis protein,protein-coding,-,-,-,lysis protein,20210607,-
2026944,65067838,KMC54_gp16,KMC54_gp16,SopranoGao_16,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2026944,65067839,KMC54_gp17,KMC54_gp17,SopranoGao_17,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2026944,65067840,KMC54_gp18,KMC54_gp18,SopranoGao_18,-,-,-,endoglucanase,protein-coding,-,-,-,endoglucanase,20210607,-
2026944,65067841,KMC54_gp19,KMC54_gp19,SopranoGao_19,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2026944,65067842,KMC54_gp20,KMC54_gp20,SopranoGao_20,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2026944,65067843,KMC54_gp21,KMC54_gp21,SopranoGao_21,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2026944,65067844,KMC54_gp22,KMC54_gp22,SopranoGao_22,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2026944,65067845,KMC54_gp23,KMC54_gp23,SopranoGao_23,-,-,-,viron-associated protein,protein-coding,-,-,-,viron-associated protein,20210607,-
2026944,65067846,KMC54_gp24,KMC54_gp24,SopranoGao_24,-,-,-,major capsid protein,protein-coding,-,-,-,major capsid protein,20210607,-
2026944,65067847,KMC54_gp25,KMC54_gp25,SopranoGao_25,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2026944,65067848,KMC54_gp26,KMC54_gp26,SopranoGao_26,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2026944,65067849,KMC54_gp27,KMC54_gp27,SopranoGao_27,-,-,-,portal protein,protein-coding,-,-,-,portal protein,20210607,-
2026944,65067850,KMC54_gp28,KMC54_gp28,SopranoGao_28,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2026944,65067851,KMC54_gp29,KMC54_gp29,SopranoGao_29,-,-,-,terminase,protein-coding,-,-,-,terminase,20210607,-
2026944,65067852,KMC54_gp30,KMC54_gp30,SopranoGao_30,-,-,-,transcriptional regulator,protein-coding,-,-,-,transcriptional regulator,20210607,-
2026944,65067853,KMC54_gp31,KMC54_gp31,SopranoGao_31,-,-,-,terminase small subunit,protein-coding,-,-,-,terminase small subunit,20210607,-
2026944,65067854,KMC54_gp32,KMC54_gp32,SopranoGao_32,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2026944,65067855,KMC54_gp33,KMC54_gp33,SopranoGao_33,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2026944,65067856,KMC54_gp34,KMC54_gp34,SopranoGao_34,-,-,-,transcriptional regulator,protein-coding,-,-,-,transcriptional regulator,20210607,-
2026944,65067857,KMC54_gp35,KMC54_gp35,SopranoGao_35,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2026944,65067858,KMC54_gp36,KMC54_gp36,SopranoGao_36,-,-,-,pyruvate ferredoxin/flavodoxin oxidoreductase,protein-coding,-,-,-,pyruvate ferredoxin/flavodoxin oxidoreductase,20210607,-
2026944,65067859,KMC54_gp37,KMC54_gp37,SopranoGao_37,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2026944,65067860,KMC54_gp38,KMC54_gp38,SopranoGao_38,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2026944,65067861,KMC54_gp39,KMC54_gp39,SopranoGao_39,-,-,-,transcriptional regulator,protein-coding,-,-,-,transcriptional regulator,20210607,-
2026944,65067862,KMC54_gp40,KMC54_gp40,SopranoGao_40,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2026944,65067863,KMC54_gp41,KMC54_gp41,SopranoGao_41,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2026944,65067864,KMC54_gp42,KMC54_gp42,SopranoGao_42,-,-,-,Eaa1 protein,protein-coding,-,-,-,Eaa1 protein,20210607,-
2026944,65067865,KMC54_gp43,KMC54_gp43,SopranoGao_43,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2026944,65067866,KMC54_gp44,KMC54_gp44,SopranoGao_44,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2026944,65067867,KMC54_gp45,KMC54_gp45,SopranoGao_45,-,-,-,DNA methyltransferase,protein-coding,-,-,-,DNA methyltransferase,20210607,-
2026944,65067868,KMC54_gp46,KMC54_gp46,SopranoGao_46,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2026944,65067869,KMC54_gp47,KMC54_gp47,SopranoGao_47,-,-,-,DNA-binding protein,protein-coding,-,-,-,DNA-binding protein,20210607,-
2026944,65067870,KMC54_gp48,KMC54_gp48,SopranoGao_48,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2026944,65067871,KMC54_gp49,KMC54_gp49,SopranoGao_49,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2026944,65067872,KMC54_gp50,KMC54_gp50,SopranoGao_50,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2026944,65067873,KMC54_gp51,KMC54_gp51,SopranoGao_51,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2026944,65067874,KMC54_gp52,KMC54_gp52,SopranoGao_52,-,-,-,transcriptional regulator,protein-coding,-,-,-,transcriptional regulator,20210607,-
2026944,65067875,KMC54_gp53,KMC54_gp53,SopranoGao_53,-,-,-,transcriptional regulator,protein-coding,-,-,-,transcriptional regulator,20210607,-
2026944,65067876,KMC54_gp54,KMC54_gp54,SopranoGao_54,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2026944,65067877,KMC54_gp55,KMC54_gp55,SopranoGao_55,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2026944,65067878,KMC54_gp56,KMC54_gp56,SopranoGao_56,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2026944,65067879,KMC54_gp57,KMC54_gp57,SopranoGao_57,-,-,-,glycosyltransferase,protein-coding,-,-,-,glycosyltransferase,20210607,-
2026944,65067880,KMC54_gp58,KMC54_gp58,SopranoGao_58,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2026944,65067881,KMC54_gp59,KMC54_gp59,SopranoGao_59,-,-,-,regulator,protein-coding,-,-,-,regulator,20210607,-
2026944,65067882,KMC54_gp60,KMC54_gp60,SopranoGao_60,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2026944,65067883,KMC54_gp61,KMC54_gp61,SopranoGao_61,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2026944,65067884,KMC54_gp62,KMC54_gp62,SopranoGao_62,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2026944,65067885,KMC54_gp63,KMC54_gp63,SopranoGao_63,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2026944,65067886,KMC54_gp64,KMC54_gp64,SopranoGao_64,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2026944,65067887,KMC54_gp65,KMC54_gp65,SopranoGao_65,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2026944,65067888,KMC54_gp66,KMC54_gp66,SopranoGao_66,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2026944,65067889,KMC54_gp67,KMC54_gp67,SopranoGao_67,-,-,-,DNA-binding protein,protein-coding,-,-,-,DNA-binding protein,20210607,-
2026944,65067890,KMC54_gp68,KMC54_gp68,SopranoGao_68,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2026944,65067891,KMC54_gp69,KMC54_gp69,SopranoGao_69,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2026944,65067892,KMC54_gp70,KMC54_gp70,SopranoGao_70,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2026944,65067893,KMC54_gp71,KMC54_gp71,SopranoGao_71,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2026944,65067894,KMC54_gp72,KMC54_gp72,SopranoGao_72,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2026944,65067895,KMC54_gp73,KMC54_gp73,SopranoGao_73,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2026944,65067896,KMC54_gp74,KMC54_gp74,SopranoGao_74,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2026944,65067897,KMC54_gp75,KMC54_gp75,SopranoGao_75,-,-,-,NADH-quinone oxidoreductase,protein-coding,-,-,-,NADH-quinone oxidoreductase,20210607,-
2026944,65067898,KMC54_gp76,KMC54_gp76,SopranoGao_76,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2026944,65067899,KMC54_gp77,KMC54_gp77,SopranoGao_77,-,-,-,integrase,protein-coding,-,-,-,integrase,20210607,-
2026944,65067900,KMC54_gp01,KMC54_gp01,SopranoGao_1,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2026944,65242632,NEWENTRY,-,-,-,-,-,Record to support submission of GeneRIFs for a gene not in Gene.,other,-,-,-,-,20210609,-
