#tax_id,GeneID,Symbol,LocusTag,Synonyms,dbXrefs,chromosome,map_location,description,type_of_gene,Symbol_from_nomenclature_authority,Full_name_from_nomenclature_authority,Nomenclature_status,Other_designations,Modification_date,Feature_type
167356,41799541,cox1,F6C63_mgp01,-,-,MT,-,cytochrome c oxidase subunit 1,protein-coding,-,-,-,cytochrome c oxidase subunit 1,20200829,-
167356,41799619,trnE(ttc),F6C63_mgt28,-,-,MT,-,tRNA,tRNA,-,-,-,-,20200909,-
167356,41799620,trnS(tga),F6C63_mgt05,-,-,MT,-,tRNA,tRNA,-,-,-,-,20200909,-
167356,41799621,trnN(gtt),F6C63_mgt04,-,-,MT,-,tRNA,tRNA,-,-,-,-,20200909,-
167356,41799622,nad6,F6C63_mgp49,-,-,MT,-,NADH dehydrogenase subunit 6,protein-coding,-,-,-,NADH dehydrogenase subunit 6,20200829,-
167356,41799623,trnW(cca),F6C63_mgt22,-,-,MT,-,tRNA,tRNA,-,-,-,-,20200909,-
167356,41799624,trnM(cat),F6C63_mgt27,-,-,MT,-,tRNA,tRNA,-,-,-,-,20200909,-
167356,41799625,orf207,F6C63_mgp15,-,-,MT,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20190921,-
167356,41799626,trnI(gat),F6C63_mgt06,-,-,MT,-,tRNA,tRNA,-,-,-,-,20200909,-
167356,41799627,trnQ(ttg),F6C63_mgt10,-,-,MT,-,tRNA,tRNA,-,-,-,-,20200909,-
167356,41799628,trnL(tag),F6C63_mgt20,-,-,MT,-,tRNA,tRNA,-,-,-,-,20200909,-
167356,41799629,rps3,F6C63_mgp17,-,-,MT,-,ribosomal protein S3,protein-coding,-,-,-,ribosomal protein S3,20190921,-
167356,41799630,trnM(cat),F6C63_mgt02,-,-,MT,-,tRNA,tRNA,-,-,-,-,20200909,-
