#tax_id,GeneID,Symbol,LocusTag,Synonyms,dbXrefs,chromosome,map_location,description,type_of_gene,Symbol_from_nomenclature_authority,Full_name_from_nomenclature_authority,Nomenclature_status,Other_designations,Modification_date,Feature_type
1852562,40071742,FDH02_gp02,FDH02_gp02,VSW3_2,-,-,-,DNA primase/helicase,protein-coding,-,-,-,DNA primase/helicase,20201221,-
1852562,40071774,FDH02_gp34,FDH02_gp34,VSW3_34,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1852562,40071775,FDH02_gp35,FDH02_gp35,VSW3_35,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1852562,40071776,FDH02_gp36,FDH02_gp36,VSW3_36,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1852562,40071777,FDH02_gp37,FDH02_gp37,VSW3_37,-,-,-,putative zinc-finger containing protein,protein-coding,-,-,-,putative zinc-finger containing protein,20201221,-
1852562,40071778,FDH02_gp38,FDH02_gp38,VSW3_38,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1852562,40071779,FDH02_gp39,FDH02_gp39,VSW3_39,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1852562,40071780,FDH02_gp40,FDH02_gp40,VSW3_40,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1852562,40071781,FDH02_gp41,FDH02_gp41,VSW3_42,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1852562,40071782,FDH02_gp42,FDH02_gp42,VSW3_43,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1852562,40071783,FDH02_gp43,FDH02_gp43,VSW3_44,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1852562,40071784,FDH02_gp44,FDH02_gp44,VSW3_45,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1852562,40071785,FDH02_gp45,FDH02_gp45,VSW3_46,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1852562,40071786,FDH02_gp46,FDH02_gp46,VSW3_47,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1852562,40071787,FDH02_gp01,FDH02_gp01,VSW3_1,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1852562,40120320,NEWENTRY,-,-,-,-,-,Record to support submission of GeneRIFs for a gene not in Gene.,other,-,-,-,-,20200513,-
