#tax_id,GeneID,Symbol,LocusTag,Synonyms,dbXrefs,chromosome,map_location,description,type_of_gene,Symbol_from_nomenclature_authority,Full_name_from_nomenclature_authority,Nomenclature_status,Other_designations,Modification_date,Feature_type
2762402,63026218,2,J1763_gp02,SEA_YORKONYX_2,-,-,-,terminase large subunit,protein-coding,-,-,-,terminase large subunit,20210529,-
2762402,63026233,17,J1763_gp17,SEA_YORKONYX_17,-,-,-,capsid maturation protease,protein-coding,-,-,-,capsid maturation protease,20210529,-
2762402,63026234,18,J1763_gp18,SEA_YORKONYX_18,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210309,-
2762402,63026235,19,J1763_gp19,SEA_YORKONYX_19,-,-,-,HNH endonuclease,protein-coding,-,-,-,HNH endonuclease,20210529,-
2762402,63026236,20,J1763_gp20,SEA_YORKONYX_20,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210309,-
2762402,63026237,21,J1763_gp21,SEA_YORKONYX_21,-,-,-,major capsid protein,protein-coding,-,-,-,major capsid protein,20210529,-
2762402,63026238,22,J1763_gp22,SEA_YORKONYX_22,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210309,-
2762402,63026239,23,J1763_gp23,SEA_YORKONYX_23,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210309,-
2762402,63026240,24,J1763_gp24,SEA_YORKONYX_24,-,-,-,major tail protein,protein-coding,-,-,-,major tail protein,20210309,-
2762402,63026241,25,J1763_gp25,SEA_YORKONYX_25,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210309,-
2762402,63026242,26,J1763_gp26,SEA_YORKONYX_26,-,-,-,esterase,protein-coding,-,-,-,esterase,20210529,-
2762402,63026243,27,J1763_gp27,SEA_YORKONYX_27,-,-,-,head-to-tail adaptor,protein-coding,-,-,-,head-to-tail adaptor,20210309,-
2762402,63026244,28,J1763_gp28,SEA_YORKONYX_28,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210309,-
2762402,63026245,29,J1763_gp29,SEA_YORKONYX_29,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210309,-
2762402,63026246,30,J1763_gp30,SEA_YORKONYX_30,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210529,-
2762402,63026247,31,J1763_gp31,SEA_YORKONYX_31,-,-,-,tail assembly chaperone,protein-coding,-,-,-,tail assembly chaperone,20210309,-
2762402,63026248,32,J1763_gp32,SEA_YORKONYX_32,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210309,-
2762402,63026249,33,J1763_gp33,SEA_YORKONYX_33,-,-,-,tape measure protein,protein-coding,-,-,-,tape measure protein,20210529,-
2762402,63026250,34,J1763_gp34,SEA_YORKONYX_34,-,-,-,minor tail protein,protein-coding,-,-,-,minor tail protein,20210309,-
2762402,63026251,35,J1763_gp35,SEA_YORKONYX_35,-,-,-,minor tail protein,protein-coding,-,-,-,minor tail protein,20210309,-
2762402,63026252,36,J1763_gp36,SEA_YORKONYX_36,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210417,-
2762402,63026253,37,J1763_gp37,SEA_YORKONYX_37,-,-,-,minor tail protein,protein-coding,-,-,-,minor tail protein,20210309,-
2762402,63026254,38,J1763_gp38,SEA_YORKONYX_38,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210309,-
2762402,63026255,39,J1763_gp39,SEA_YORKONYX_39,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210309,-
2762402,63026256,40,J1763_gp40,SEA_YORKONYX_40,-,-,-,minor tail protein,protein-coding,-,-,-,minor tail protein,20210309,-
2762402,63026257,41,J1763_gp41,SEA_YORKONYX_41,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210309,-
2762402,63026258,42,J1763_gp42,SEA_YORKONYX_42,-,-,-,lysin A,protein-coding,-,-,-,lysin A,20210529,-
2762402,63026259,43,J1763_gp43,SEA_YORKONYX_43,-,-,-,holin,protein-coding,-,-,-,holin,20210309,-
2762402,63026260,44,J1763_gp44,SEA_YORKONYX_44,-,-,-,membrane protein,protein-coding,-,-,-,membrane protein,20210309,-
2762402,63026261,45,J1763_gp45,SEA_YORKONYX_45,-,-,-,membrane protein,protein-coding,-,-,-,membrane protein,20210309,-
2762402,63026262,46,J1763_gp46,SEA_YORKONYX_46,-,-,-,lysin B,protein-coding,-,-,-,lysin B,20210309,-
2762402,63026263,47,J1763_gp47,SEA_YORKONYX_47,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210309,-
2762402,63026264,48,J1763_gp48,SEA_YORKONYX_48,-,-,-,exonuclease,protein-coding,-,-,-,exonuclease,20210529,-
2762402,63026265,49,J1763_gp49,SEA_YORKONYX_49,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210309,-
2762402,63026266,50,J1763_gp50,SEA_YORKONYX_50,-,-,-,HNH endonuclease,protein-coding,-,-,-,HNH endonuclease,20210424,-
2762402,63026267,51,J1763_gp51,SEA_YORKONYX_51,-,-,-,RecT-like ssDNA binding protein,protein-coding,-,-,-,RecT-like ssDNA binding protein,20210529,-
2762402,63026268,52,J1763_gp52,SEA_YORKONYX_52,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210309,-
2762402,63026269,53,J1763_gp53,SEA_YORKONYX_53,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210309,-
2762402,63026270,54,J1763_gp54,SEA_YORKONYX_54,-,-,-,helix-turn-helix DNA binding domain protein,protein-coding,-,-,-,helix-turn-helix DNA binding domain protein,20210424,-
2762402,63026271,55,J1763_gp55,SEA_YORKONYX_55,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210309,-
2762402,63026272,56,J1763_gp56,SEA_YORKONYX_56,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210309,-
2762402,63026273,57,J1763_gp57,SEA_YORKONYX_57,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210309,-
2762402,63026274,58,J1763_gp58,SEA_YORKONYX_58,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210309,-
2762402,63026275,59,J1763_gp59,SEA_YORKONYX_59,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210309,-
2762402,63026276,60,J1763_gp60,SEA_YORKONYX_60,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210309,-
2762402,63026277,61,J1763_gp61,SEA_YORKONYX_61,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210309,-
2762402,63026278,62,J1763_gp62,SEA_YORKONYX_62,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210309,-
2762402,63026279,63,J1763_gp63,SEA_YORKONYX_63,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210309,-
2762402,63026280,64,J1763_gp64,SEA_YORKONYX_64,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210309,-
2762402,63026281,65,J1763_gp65,SEA_YORKONYX_65,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210309,-
2762402,63026282,66,J1763_gp66,SEA_YORKONYX_66,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210309,-
2762402,63026283,67,J1763_gp67,SEA_YORKONYX_67,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210309,-
2762402,63026284,68,J1763_gp68,SEA_YORKONYX_68,-,-,-,RuvC-like resolvase,protein-coding,-,-,-,RuvC-like resolvase,20210309,-
2762402,63026285,69,J1763_gp69,SEA_YORKONYX_69,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210309,-
2762402,63026286,70,J1763_gp70,SEA_YORKONYX_70,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210309,-
2762402,63026287,71,J1763_gp71,SEA_YORKONYX_71,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210309,-
2762402,63026288,72,J1763_gp72,SEA_YORKONYX_72,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210309,-
2762402,63026289,73,J1763_gp73,SEA_YORKONYX_73,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210309,-
2762402,63026290,74,J1763_gp74,SEA_YORKONYX_74,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210309,-
2762402,63026291,75,J1763_gp75,SEA_YORKONYX_75,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210309,-
2762402,63026292,76,J1763_gp76,SEA_YORKONYX_76,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210309,-
2762402,63026293,77,J1763_gp77,SEA_YORKONYX_77,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210529,-
2762402,63026294,78,J1763_gp78,SEA_YORKONYX_78,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210309,-
2762402,63026295,79,J1763_gp79,SEA_YORKONYX_79,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210309,-
2762402,63026296,80,J1763_gp80,SEA_YORKONYX_80,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210309,-
2762402,63026297,81,J1763_gp81,SEA_YORKONYX_81,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210309,-
2762402,63026298,82,J1763_gp82,SEA_YORKONYX_82,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210309,-
2762402,63026299,83,J1763_gp83,SEA_YORKONYX_83,-,-,-,helix-turn-helix DNA binding domain protein,protein-coding,-,-,-,helix-turn-helix DNA binding domain protein,20210309,-
2762402,63026300,84,J1763_gp84,SEA_YORKONYX_84,-,-,-,DNA methylase,protein-coding,-,-,-,DNA methylase,20210529,-
2762402,63026301,1,J1763_gp01,SEA_YORKONYX_1,-,-,-,terminase small subunit,protein-coding,-,-,-,terminase small subunit,20210309,-
2762402,63139689,NEWENTRY,-,-,-,-,-,Record to support submission of GeneRIFs for a gene not in Gene.,other,-,-,-,-,20210310,-
