#tax_id,GeneID,Symbol,LocusTag,Synonyms,dbXrefs,chromosome,map_location,description,type_of_gene,Symbol_from_nomenclature_authority,Full_name_from_nomenclature_authority,Nomenclature_status,Other_designations,Modification_date,Feature_type
1904413,64638734,DEU56DRAFT_10000,DEU56DRAFT_10000,-,-,Unknown,-,BET3 family protein,protein-coding,-,-,-,BET3 family protein,20210605,-
1904413,64638752,DEU56DRAFT_104224,DEU56DRAFT_104224,-,-,Unknown,-,DNA-directed RNA polymerase,protein-coding,-,-,-,DNA-directed RNA polymerase,20210605,-
1904413,64638753,DEU56DRAFT_104245,DEU56DRAFT_104245,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210507,-
1904413,64638754,DEU56DRAFT_104275,DEU56DRAFT_104275,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210507,-
1904413,64638755,DEU56DRAFT_10495,DEU56DRAFT_10495,-,-,Unknown,-,OPT oligopeptide transporter protein-domain-containing protein,protein-coding,-,-,-,OPT oligopeptide transporter protein-domain-containing protein,20210605,-
1904413,64638756,DEU56DRAFT_104992,DEU56DRAFT_104992,-,-,Unknown,-,ferritin-like domain-containing protein,protein-coding,-,-,-,ferritin-like domain-containing protein,20210605,-
1904413,64638757,DEU56DRAFT_105026,DEU56DRAFT_105026,-,-,Unknown,-,RNA polymerase II transcription elongation factor-domain-containing protein,protein-coding,-,-,-,RNA polymerase II transcription elongation factor-domain-containing protein,20210605,-
1904413,64638758,DEU56DRAFT_105234,DEU56DRAFT_105234,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210605,-
1904413,64638759,DEU56DRAFT_105396,DEU56DRAFT_105396,-,-,Unknown,-,cytochrome b5-like heme/steroid binding domain-containing protein,protein-coding,-,-,-,cytochrome b5-like heme/steroid binding domain-containing protein,20210605,-
1904413,64638760,DEU56DRAFT_106238,DEU56DRAFT_106238,-,-,Unknown,-,fungal-specific transcription factor domain-containing protein,protein-coding,-,-,-,fungal-specific transcription factor domain-containing protein,20210605,-
1904413,64638761,DEU56DRAFT_106450,DEU56DRAFT_106450,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210507,-
1904413,64638762,DEU56DRAFT_106735,DEU56DRAFT_106735,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210605,-
1904413,64638763,DEU56DRAFT_107578,DEU56DRAFT_107578,-,-,Unknown,-,DAD/Ost2,protein-coding,-,-,-,DAD/Ost2,20210605,-
1904413,64638764,DEU56DRAFT_107625,DEU56DRAFT_107625,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210507,-
1904413,64638765,DEU56DRAFT_108387,DEU56DRAFT_108387,-,-,Unknown,-,adenosine deaminase/editase,protein-coding,-,-,-,adenosine deaminase/editase,20210605,-
1904413,64638766,DEU56DRAFT_108503,DEU56DRAFT_108503,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210605,-
1904413,64638767,DEU56DRAFT_108710,DEU56DRAFT_108710,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210507,-
1904413,64638768,DEU56DRAFT_109079,DEU56DRAFT_109079,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210605,-
1904413,64638769,DEU56DRAFT_109114,DEU56DRAFT_109114,-,-,Unknown,-,P-loop containing nucleoside triphosphate hydrolase protein,protein-coding,-,-,-,P-loop containing nucleoside triphosphate hydrolase protein,20210605,-
1904413,64638770,DEU56DRAFT_109309,DEU56DRAFT_109309,-,-,Unknown,-,Pex12 amino terminal region-domain-containing protein,protein-coding,-,-,-,Pex12 amino terminal region-domain-containing protein,20210605,-
1904413,64638771,DEU56DRAFT_109573,DEU56DRAFT_109573,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210605,-
1904413,64638772,DEU56DRAFT_10968,DEU56DRAFT_10968,-,-,Unknown,-,UFD1-domain-containing protein,protein-coding,-,-,-,UFD1-domain-containing protein,20210605,-
1904413,64638773,DEU56DRAFT_109949,DEU56DRAFT_109949,-,-,Unknown,-,CHAT domain-containing protein,protein-coding,-,-,-,CHAT domain-containing protein,20210605,-
1904413,64638774,DEU56DRAFT_10997,DEU56DRAFT_10997,-,-,Unknown,-,ADP-ribosylation factor family-domain-containing protein,protein-coding,-,-,-,ADP-ribosylation factor family-domain-containing protein,20210605,-
1904413,64638775,DEU56DRAFT_1103,DEU56DRAFT_1103,-,-,Unknown,-,phosphotyrosine protein,protein-coding,-,-,-,phosphotyrosine protein,20210605,-
1904413,64638776,DEU56DRAFT_110368,DEU56DRAFT_110368,-,-,Unknown,-,NDUFA12-domain-containing protein,protein-coding,-,-,-,NDUFA12-domain-containing protein,20210605,-
1904413,64638777,DEU56DRAFT_110939,DEU56DRAFT_110939,-,-,Unknown,-,cytochrome P450,protein-coding,-,-,-,cytochrome P450,20210605,-
1904413,64638778,DEU56DRAFT_111009,DEU56DRAFT_111009,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210507,-
1904413,64638779,DEU56DRAFT_11108,DEU56DRAFT_11108,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210605,-
1904413,64638780,DEU56DRAFT_111148,DEU56DRAFT_111148,-,-,Unknown,-,cytochrome P450,protein-coding,-,-,-,cytochrome P450,20210605,-
1904413,64638781,DEU56DRAFT_111502,DEU56DRAFT_111502,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210507,-
1904413,64638782,DEU56DRAFT_111618,DEU56DRAFT_111618,-,-,Unknown,-,WD40-repeat-containing domain protein,protein-coding,-,-,-,WD40-repeat-containing domain protein,20210605,-
1904413,64638783,DEU56DRAFT_111771,DEU56DRAFT_111771,-,-,Unknown,-,carbon-nitrogen hydrolase,protein-coding,-,-,-,carbon-nitrogen hydrolase,20210605,-
1904413,64638784,DEU56DRAFT_111789,DEU56DRAFT_111789,-,-,Unknown,-,FYRN-domain-containing protein,protein-coding,-,-,-,FYRN-domain-containing protein,20210605,-
1904413,64638785,DEU56DRAFT_11210,DEU56DRAFT_11210,-,-,Unknown,-,P-loop containing nucleoside triphosphate hydrolase protein,protein-coding,-,-,-,P-loop containing nucleoside triphosphate hydrolase protein,20210605,-
1904413,64638786,DEU56DRAFT_112102,DEU56DRAFT_112102,-,-,Unknown,-,WD40-repeat-containing domain protein,protein-coding,-,-,-,WD40-repeat-containing domain protein,20210605,-
1904413,64638787,DEU56DRAFT_112215,DEU56DRAFT_112215,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210605,-
1904413,64638788,DEU56DRAFT_112253,DEU56DRAFT_112253,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210605,-
1904413,64638789,DEU56DRAFT_112764,DEU56DRAFT_112764,-,-,Unknown,-,cytochrome P450,protein-coding,-,-,-,cytochrome P450,20210605,-
1904413,64638790,DEU56DRAFT_112852,DEU56DRAFT_112852,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210605,-
1904413,64638791,DEU56DRAFT_1131,DEU56DRAFT_1131,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210507,-
1904413,64638792,DEU56DRAFT_113499,DEU56DRAFT_113499,-,-,Unknown,-,glycoside hydrolase family 35 protein,protein-coding,-,-,-,glycoside hydrolase family 35 protein,20210605,-
1904413,64638793,DEU56DRAFT_113642,DEU56DRAFT_113642,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210507,-
1904413,64638794,DEU56DRAFT_114266,DEU56DRAFT_114266,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210605,-
1904413,64638795,DEU56DRAFT_114554,DEU56DRAFT_114554,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210507,-
1904413,64638796,DEU56DRAFT_114672,DEU56DRAFT_114672,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210507,-
1904413,64638797,DEU56DRAFT_114681,DEU56DRAFT_114681,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210507,-
1904413,64638798,DEU56DRAFT_114943,DEU56DRAFT_114943,-,-,Unknown,-,TPR-like protein,protein-coding,-,-,-,TPR-like protein,20210605,-
1904413,64638799,DEU56DRAFT_115440,DEU56DRAFT_115440,-,-,Unknown,-,WD40-repeat-containing domain protein,protein-coding,-,-,-,WD40-repeat-containing domain protein,20210605,-
1904413,64638800,DEU56DRAFT_115613,DEU56DRAFT_115613,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210507,-
1904413,64638801,DEU56DRAFT_11563,DEU56DRAFT_11563,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210507,-
1904413,64638802,DEU56DRAFT_115855,DEU56DRAFT_115855,-,-,Unknown,-,mitochondrial ATP synthase g subunit-domain-containing protein,protein-coding,-,-,-,mitochondrial ATP synthase g subunit-domain-containing protein,20210605,-
1904413,64638803,DEU56DRAFT_116970,DEU56DRAFT_116970,-,-,Unknown,-,P-loop containing nucleoside triphosphate hydrolase protein,protein-coding,-,-,-,P-loop containing nucleoside triphosphate hydrolase protein,20210605,-
1904413,64638804,DEU56DRAFT_117285,DEU56DRAFT_117285,-,-,Unknown,-,Sodium/hydrogen exchanger family-domain-containing protein,protein-coding,-,-,-,Sodium/hydrogen exchanger family-domain-containing protein,20210605,-
1904413,64638805,DEU56DRAFT_117324,DEU56DRAFT_117324,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210507,-
1904413,64638806,DEU56DRAFT_118363,DEU56DRAFT_118363,-,-,Unknown,-,TPR-like protein,protein-coding,-,-,-,TPR-like protein,20210605,-
1904413,64638807,DEU56DRAFT_118527,DEU56DRAFT_118527,-,-,Unknown,-,Cupredoxin,protein-coding,-,-,-,Cupredoxin,20210605,-
1904413,64638808,DEU56DRAFT_119865,DEU56DRAFT_119865,-,-,Unknown,-,TPR-like protein,protein-coding,-,-,-,TPR-like protein,20210605,-
1904413,64638809,DEU56DRAFT_119905,DEU56DRAFT_119905,-,-,Unknown,-,PAP2-domain-containing protein,protein-coding,-,-,-,PAP2-domain-containing protein,20210605,-
1904413,64638810,DEU56DRAFT_119971,DEU56DRAFT_119971,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210605,-
1904413,64638811,DEU56DRAFT_120083,DEU56DRAFT_120083,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210605,-
1904413,64638812,DEU56DRAFT_12020,DEU56DRAFT_12020,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210605,-
1904413,64638813,DEU56DRAFT_120374,DEU56DRAFT_120374,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210605,-
1904413,64638814,DEU56DRAFT_120419,DEU56DRAFT_120419,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210507,-
1904413,64638815,DEU56DRAFT_120824,DEU56DRAFT_120824,-,-,Unknown,-,drug/metabolite transporter superfamily,protein-coding,-,-,-,drug/metabolite transporter superfamily,20210605,-
1904413,64638816,DEU56DRAFT_12087,DEU56DRAFT_12087,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210507,-
1904413,64638817,DEU56DRAFT_120881,DEU56DRAFT_120881,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210605,-
1904413,64638818,DEU56DRAFT_121048,DEU56DRAFT_121048,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210605,-
1904413,64638819,DEU56DRAFT_121052,DEU56DRAFT_121052,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210605,-
1904413,64638820,DEU56DRAFT_121072,DEU56DRAFT_121072,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210507,-
1904413,64638821,DEU56DRAFT_12112,DEU56DRAFT_12112,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210507,-
1904413,64638822,DEU56DRAFT_121276,DEU56DRAFT_121276,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210605,-
1904413,64638823,DEU56DRAFT_121736,DEU56DRAFT_121736,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210605,-
1904413,64638824,DEU56DRAFT_121800,DEU56DRAFT_121800,-,-,Unknown,-,ras family-domain-containing protein,protein-coding,-,-,-,ras family-domain-containing protein,20210605,-
1904413,64638825,DEU56DRAFT_122158,DEU56DRAFT_122158,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210605,-
1904413,64638826,DEU56DRAFT_122402,DEU56DRAFT_122402,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210507,-
1904413,64638827,DEU56DRAFT_122511,DEU56DRAFT_122511,-,-,Unknown,-,putative aminoadipate reductase,protein-coding,-,-,-,putative aminoadipate reductase,20210605,-
1904413,64638828,DEU56DRAFT_122697,DEU56DRAFT_122697,-,-,Unknown,-,amino acid transporter,protein-coding,-,-,-,amino acid transporter,20210605,-
1904413,64638829,DEU56DRAFT_122773,DEU56DRAFT_122773,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210507,-
1904413,64638830,DEU56DRAFT_12293,DEU56DRAFT_12293,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210507,-
1904413,64638831,DEU56DRAFT_123352,DEU56DRAFT_123352,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210507,-
1904413,64638832,DEU56DRAFT_123473,DEU56DRAFT_123473,-,-,Unknown,-,Piwi domain-containing protein,protein-coding,-,-,-,Piwi domain-containing protein,20210605,-
1904413,64638833,DEU56DRAFT_123485,DEU56DRAFT_123485,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210605,-
1904413,64638834,DEU56DRAFT_123781,DEU56DRAFT_123781,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210507,-
1904413,64638835,DEU56DRAFT_123850,DEU56DRAFT_123850,-,-,Unknown,-,CHAT domain-containing protein,protein-coding,-,-,-,CHAT domain-containing protein,20210605,-
1904413,64638836,DEU56DRAFT_12388,DEU56DRAFT_12388,-,-,Unknown,-,CK1/CK1/CK1-G protein kinase,protein-coding,-,-,-,CK1/CK1/CK1-G protein kinase,20210605,-
1904413,64638837,DEU56DRAFT_123963,DEU56DRAFT_123963,-,-,Unknown,-,beta-glucan synthesis-associated,protein-coding,-,-,-,beta-glucan synthesis-associated,20210605,-
1904413,64638838,DEU56DRAFT_124033,DEU56DRAFT_124033,-,-,Unknown,-,POT family-domain-containing protein,protein-coding,-,-,-,POT family-domain-containing protein,20210605,-
1904413,64638839,DEU56DRAFT_124139,DEU56DRAFT_124139,-,-,Unknown,-,glycoside hydrolase family 18 protein,protein-coding,-,-,-,glycoside hydrolase family 18 protein,20210605,-
1904413,64638840,DEU56DRAFT_124637,DEU56DRAFT_124637,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210605,-
1904413,64638841,DEU56DRAFT_124691,DEU56DRAFT_124691,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210605,-
1904413,64638842,DEU56DRAFT_124881,DEU56DRAFT_124881,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210507,-
1904413,64638843,DEU56DRAFT_125146,DEU56DRAFT_125146,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210605,-
1904413,64638844,DEU56DRAFT_125155,DEU56DRAFT_125155,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210605,-
1904413,64638845,DEU56DRAFT_125562,DEU56DRAFT_125562,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210507,-
1904413,64638846,DEU56DRAFT_125767,DEU56DRAFT_125767,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210507,-
1904413,64638847,DEU56DRAFT_125834,DEU56DRAFT_125834,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210507,-
1904413,64638848,DEU56DRAFT_125898,DEU56DRAFT_125898,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210507,-
1904413,64638849,DEU56DRAFT_125963,DEU56DRAFT_125963,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210507,-
1904413,64638850,DEU56DRAFT_126006,DEU56DRAFT_126006,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210605,-
1904413,64638851,DEU56DRAFT_12612,DEU56DRAFT_12612,-,-,Unknown,-,ras-domain-containing protein,protein-coding,-,-,-,ras-domain-containing protein,20210605,-
1904413,64638852,DEU56DRAFT_12664,DEU56DRAFT_12664,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210507,-
1904413,64638853,DEU56DRAFT_126715,DEU56DRAFT_126715,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210507,-
1904413,64638854,DEU56DRAFT_126994,DEU56DRAFT_126994,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210507,-
1904413,64638855,DEU56DRAFT_127217,DEU56DRAFT_127217,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210605,-
1904413,64638856,DEU56DRAFT_127278,DEU56DRAFT_127278,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210605,-
1904413,64638857,DEU56DRAFT_127304,DEU56DRAFT_127304,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210605,-
1904413,64638858,DEU56DRAFT_127345,DEU56DRAFT_127345,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210605,-
1904413,64638859,DEU56DRAFT_128015,DEU56DRAFT_128015,-,-,Unknown,-,general substrate transporter,protein-coding,-,-,-,general substrate transporter,20210605,-
1904413,64638860,DEU56DRAFT_128139,DEU56DRAFT_128139,-,-,Unknown,-,Endonuclease/exonuclease/phosphatase,protein-coding,-,-,-,Endonuclease/exonuclease/phosphatase,20210605,-
1904413,64638861,DEU56DRAFT_128150,DEU56DRAFT_128150,-,-,Unknown,-,ribosome biogenesis protein Sqt1,protein-coding,-,-,-,ribosome biogenesis protein Sqt1,20210605,-
1904413,64638862,DEU56DRAFT_128206,DEU56DRAFT_128206,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210605,-
1904413,64638863,DEU56DRAFT_128704,DEU56DRAFT_128704,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210507,-
1904413,64638864,DEU56DRAFT_129281,DEU56DRAFT_129281,-,-,Unknown,-,eIF3 subunit 6 N terminal domain-containing protein,protein-coding,-,-,-,eIF3 subunit 6 N terminal domain-containing protein,20210605,-
1904413,64638865,DEU56DRAFT_12959,DEU56DRAFT_12959,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210507,-
1904413,64638866,DEU56DRAFT_129728,DEU56DRAFT_129728,-,-,Unknown,-,P-loop containing nucleoside triphosphate hydrolase protein,protein-coding,-,-,-,P-loop containing nucleoside triphosphate hydrolase protein,20210605,-
1904413,64638867,DEU56DRAFT_129835,DEU56DRAFT_129835,-,-,Unknown,-,cytochrome P450,protein-coding,-,-,-,cytochrome P450,20210605,-
1904413,64638868,DEU56DRAFT_130280,DEU56DRAFT_130280,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210507,-
1904413,64638869,DEU56DRAFT_130335,DEU56DRAFT_130335,-,-,Unknown,-,chaperonin 10-like protein,protein-coding,-,-,-,chaperonin 10-like protein,20210605,-
1904413,64638870,DEU56DRAFT_130578,DEU56DRAFT_130578,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210507,-
1904413,64638871,DEU56DRAFT_130588,DEU56DRAFT_130588,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210605,-
1904413,64638872,DEU56DRAFT_130689,DEU56DRAFT_130689,-,-,Unknown,-,MM3350-like domain-containing protein,protein-coding,-,-,-,MM3350-like domain-containing protein,20210605,-
1904413,64638873,DEU56DRAFT_130820,DEU56DRAFT_130820,-,-,Unknown,-,ras family-domain-containing protein,protein-coding,-,-,-,ras family-domain-containing protein,20210605,-
1904413,64638874,DEU56DRAFT_130884,DEU56DRAFT_130884,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210605,-
1904413,64638875,DEU56DRAFT_130885,DEU56DRAFT_130885,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210605,-
1904413,64638876,DEU56DRAFT_130990,DEU56DRAFT_130990,-,-,Unknown,-,PUA-like domain-containing protein,protein-coding,-,-,-,PUA-like domain-containing protein,20210605,-
1904413,64638877,DEU56DRAFT_131033,DEU56DRAFT_131033,-,-,Unknown,-,PUA-like domain-containing protein,protein-coding,-,-,-,PUA-like domain-containing protein,20210605,-
1904413,64638878,DEU56DRAFT_131267,DEU56DRAFT_131267,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210507,-
1904413,64638879,DEU56DRAFT_131314,DEU56DRAFT_131314,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210507,-
1904413,64638880,DEU56DRAFT_131427,DEU56DRAFT_131427,-,-,Unknown,-,glycosyltransferase family 20 protein,protein-coding,-,-,-,glycosyltransferase family 20 protein,20210605,-
1904413,64638881,DEU56DRAFT_132542,DEU56DRAFT_132542,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210507,-
1904413,64638882,DEU56DRAFT_132628,DEU56DRAFT_132628,-,-,Unknown,-,3-hydroxyanthranilic acid dioxygenase,protein-coding,-,-,-,3-hydroxyanthranilic acid dioxygenase,20210605,-
1904413,64638883,DEU56DRAFT_132792,DEU56DRAFT_132792,-,-,Unknown,-,isoprenoid synthase domain-containing protein,protein-coding,-,-,-,isoprenoid synthase domain-containing protein,20210605,-
1904413,64638884,DEU56DRAFT_133480,DEU56DRAFT_133480,-,-,Unknown,-,ribosomal protein L5 domain-containing protein,protein-coding,-,-,-,ribosomal protein L5 domain-containing protein,20210605,-
1904413,64638885,DEU56DRAFT_133692,DEU56DRAFT_133692,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210605,-
1904413,64638886,DEU56DRAFT_133945,DEU56DRAFT_133945,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210507,-
1904413,64638887,DEU56DRAFT_134049,DEU56DRAFT_134049,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210605,-
1904413,64638888,DEU56DRAFT_13428,DEU56DRAFT_13428,-,-,Unknown,-,putative oxidoreductase C terminal-domain-containing protein,protein-coding,-,-,-,putative oxidoreductase C terminal-domain-containing protein,20210605,-
1904413,64638889,DEU56DRAFT_13442,DEU56DRAFT_13442,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210507,-
1904413,64638890,DEU56DRAFT_134939,DEU56DRAFT_134939,-,-,Unknown,-,nitrogen permease regulator of amino acid transport activity 3-domain-containing protein,protein-coding,-,-,-,nitrogen permease regulator of amino acid transport activity 3-domain-containing protein,20210605,-
