#tax_id,GeneID,Symbol,LocusTag,Synonyms,dbXrefs,chromosome,map_location,description,type_of_gene,Symbol_from_nomenclature_authority,Full_name_from_nomenclature_authority,Nomenclature_status,Other_designations,Modification_date,Feature_type
1229751,16385068,N391_gp02,N391_gp02,BM13_02,-,-,-,putative anti-repressor,protein-coding,-,-,-,putative anti-repressor,20210417,-
1229751,16385112,N391_gp46,N391_gp46,BM13_46,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1229751,16385113,N391_gp47,N391_gp47,BM13_047,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1229751,16385114,N391_gp48,N391_gp48,BM13_48,-,-,-,tape measure protein,protein-coding,-,-,-,tape measure protein,20200629,-
1229751,16385115,N391_gp49,N391_gp49,BM13_49,-,-,-,tail protein,protein-coding,-,-,-,tail protein,20200629,-
1229751,16385116,N391_gp50,N391_gp50,BM13_50,-,-,-,structural protein,protein-coding,-,-,-,structural protein,20200629,-
1229751,16385117,N391_gp51,N391_gp51,BM13_51,-,-,-,base plate,protein-coding,-,-,-,base plate,20200629,-
1229751,16385118,N391_gp52,N391_gp52,BM13_52,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1229751,16385119,N391_gp53,N391_gp53,BM13_53,-,-,-,putative holin,protein-coding,-,-,-,putative holin,20210417,-
1229751,16385120,N391_gp54,N391_gp54,BM13_54,-,-,-,putative endolysin,protein-coding,-,-,-,putative endolysin,20200629,-
1229751,16385121,N391_gp55,N391_gp55,BM13_55,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210417,-
1229751,16385122,N391_gp01,N391_gp01,BM13_01,-,-,-,cro-like repressor,protein-coding,-,-,-,cro-like repressor,20210417,-
1229751,16545704,NEWENTRY,-,-,-,-,-,Record to support submission of GeneRIFs for a gene not in Gene.,other,-,-,-,-,20200513,-
