#tax_id,GeneID,Symbol,LocusTag,Synonyms,dbXrefs,chromosome,map_location,description,type_of_gene,Symbol_from_nomenclature_authority,Full_name_from_nomenclature_authority,Nomenclature_status,Other_designations,Modification_date,Feature_type
1541887,22110784,2,CHI_2,-,-,-,-,DNA primase,protein-coding,-,-,-,DNA primase,20201221,-
1541887,22110809,27,CHI_27,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200801,-
1541887,22110810,28,CHI_28,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1541887,22110811,29,CHI_29,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200629,-
1541887,22110812,30,CHI_30,-,-,-,-,minor tail protein,protein-coding,-,-,-,minor tail protein,20200629,-
1541887,22110813,31,CHI_31,-,-,-,-,tail fiber protein,protein-coding,-,-,-,tail fiber protein,20210424,-
1541887,22110814,32,CHI_32,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200629,-
1541887,22110815,33,CHI_33,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200629,-
1541887,22110816,34,CHI_34,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1541887,22110817,35,CHI_35,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200629,-
1541887,22110818,36,CHI_36,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200629,-
1541887,22110819,37,CHI_37,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200629,-
1541887,22110820,38,CHI_38,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1541887,22110821,39,CHI_39,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200629,-
1541887,22110822,40,CHI_40,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200629,-
1541887,22110823,41,CHI_41,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1541887,22110824,42,CHI_42,-,-,-,-,ninC-like protein,protein-coding,-,-,-,ninC-like protein,20201221,-
1541887,22110825,43,CHI_43,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1541887,22110826,44,CHI_44,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200629,-
1541887,22110827,45,CHI_45,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200629,-
1541887,22110828,46,CHI_46,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200629,-
1541887,22110829,47,CHI_47,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1541887,22110830,48,CHI_48,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1541887,22110831,49,CHI_49,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1541887,22110832,50,CHI_50,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1541887,22110833,51,CHI_51,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200629,-
1541887,22110834,52,CHI_52,-,-,-,-,DNA methylase domain protein,protein-coding,-,-,-,DNA methylase domain protein,20200629,-
1541887,22110835,53,CHI_53,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200629,-
1541887,22110836,54,CHI_54,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1541887,22110837,55,CHI_55,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200629,-
1541887,22110838,56,CHI_56,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200629,-
1541887,22110839,57,CHI_57,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1541887,22110840,58,CHI_58,-,-,-,-,exonuclease,protein-coding,-,-,-,exonuclease,20200629,-
1541887,22110841,59,CHI_59,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1541887,22110842,60,CHI_60,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200629,-
1541887,22110843,61,CHI_61,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200629,-
1541887,22110844,62,CHI_62,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1541887,22110845,63,CHI_63,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1541887,22110846,64,CHI_64,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1541887,22110847,65,CHI_65,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1541887,22110848,66,CHI_66,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200629,-
1541887,22110849,67,CHI_67,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200629,-
1541887,22110850,68,CHI_68,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200629,-
1541887,22110851,69,CHI_69,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1541887,22110852,70,CHI_70,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200629,-
1541887,22110853,71,CHI_71,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200629,-
1541887,22110854,72,CHI_72,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200629,-
1541887,22110855,73,CHI_73,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200629,-
1541887,22110856,74,CHI_74,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1541887,22110857,75,CHI_75,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200629,-
1541887,22110858,1,CHI_1,-,-,-,-,HTH DNA binding domain protein,protein-coding,-,-,-,HTH DNA binding domain protein,20200629,-
1541887,22203841,NEWENTRY,-,-,-,-,-,Record to support submission of GeneRIFs for a gene not in Gene (Enterobacteria bacteriophage Chi; Enterobacteria phage Chi; Salmonella phage Chi).,other,-,-,-,-,20200513,-
1541887,40103427,chi_064,chi_064,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200629,-
1541887,40103428,chi_065,chi_065,-,-,-,-,putative tape measure protein,protein-coding,-,-,-,putative tape measure protein,20200629,-
1541887,40103429,chi_066,chi_066,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1541887,40103430,chi_067,chi_067,-,-,-,-,putative tail assembly protein 1,protein-coding,-,-,-,putative tail assembly protein 1,20200801,-
1541887,40103431,chi_068,chi_068,-,-,-,-,putative tail assembly protein 2,protein-coding,-,-,-,putative tail assembly protein 2,20201221,-
1541887,40103432,chi_069,chi_069,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200629,-
1541887,40103433,chi_070,chi_070,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200629,-
1541887,40103434,chi_071,chi_071,-,-,-,-,putative tail fiber protein,protein-coding,-,-,-,putative tail fiber protein,20200629,-
1541887,40103435,chi_072,chi_072,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200629,-
1541887,40103436,chi_073,chi_073,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200629,-
1541887,40103437,chi_074,chi_074,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1541887,40103438,chi_075,chi_075,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200629,-
1541887,40103439,chi_002,chi_002,-,-,-,-,lysis protein B,protein-coding,-,-,-,lysis protein B,20200629,-
1541887,40103440,chi_003,chi_003,-,-,-,-,lysis protein A,protein-coding,-,-,-,lysis protein A,20201221,-
1541887,40103441,chi_004,chi_004,-,-,-,-,endolysin like protein,protein-coding,-,-,-,endolysin like protein,20200629,-
1541887,40103442,chi_005,chi_005,-,-,-,-,putative Rz1 protein,protein-coding,-,-,-,putative Rz1 protein,20200629,-
1541887,40103443,chi_006,chi_006,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1541887,40103444,chi_007,chi_007,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1541887,40103445,chi_008,chi_008,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1541887,40103446,chi_009,chi_009,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200629,-
1541887,40103447,chi_010,chi_010,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200629,-
1541887,40103448,chi_011,chi_011,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200629,-
1541887,40103449,chi_012,chi_012,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1541887,40103450,chi_013,chi_013,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1541887,40103451,chi_014,chi_014,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1541887,40103452,chi_015,chi_015,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1541887,40103453,chi_001,chi_001,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200629,-
1541887,40103454,chi_016,chi_016,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200629,-
1541887,40103455,chi_017,chi_017,-,-,-,-,putative N-6-adenine-methyltransferase,protein-coding,-,-,-,putative N-6-adenine-methyltransferase,20200629,-
1541887,40103456,chi_018,chi_018,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200629,-
1541887,40103457,chi_019,chi_019,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1541887,40103458,chi_020,chi_020,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200629,-
1541887,40103459,chi_021,chi_021,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200629,-
1541887,40103460,chi_022,chi_022,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1541887,40103461,chi_023,chi_023,-,-,-,-,putative recombination associated protein RdgC,protein-coding,-,-,-,putative recombination associated protein RdgC,20200629,-
1541887,40103462,chi_024,chi_024,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1541887,40103463,chi_025,chi_025,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200629,-
1541887,40103464,chi_026,chi_026,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200629,-
1541887,40103465,chi_027,chi_027,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1541887,40103466,chi_028,chi_028,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1541887,40103467,chi_029,chi_029,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1541887,40103468,chi_030,chi_030,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1541887,40103469,chi_032,chi_032,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200629,-
1541887,40103470,chi_033,chi_033,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200629,-
1541887,40103471,chi_031,chi_031,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200629,-
1541887,40103472,chi_034,chi_034,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1541887,40103473,chi_035,chi_035,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200629,-
1541887,40103474,chi_036,chi_036,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200629,-
1541887,40103475,chi_037,chi_037,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200629,-
1541887,40103476,chi_038,chi_038,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200629,-
1541887,40103477,chi_039,chi_039,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1541887,40103478,chi_040,chi_040,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200629,-
1541887,40103479,chi_041,chi_041,-,-,-,-,helix-turn-helix domain-containing protein,protein-coding,-,-,-,helix-turn-helix domain-containing protein,20200629,-
1541887,40103480,chi_042,chi_042,-,-,-,-,putative primase,protein-coding,-,-,-,putative primase,20201221,-
1541887,40103481,chi_043,chi_043,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200629,-
1541887,40103482,chi_044,chi_044,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1541887,40103483,chi_045,chi_045,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1541887,40103484,chi_046,chi_046,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1541887,40103485,chi_047,chi_047,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200629,-
1541887,40103486,chi_048,chi_048,-,-,-,-,putative DNA polymerase I,protein-coding,-,-,-,putative DNA polymerase I,20200629,-
1541887,40103487,chi_049,chi_049,-,-,-,-,VRR-NUC domain-containing protein,protein-coding,-,-,-,VRR-NUC domain-containing protein,20200629,-
1541887,40103488,chi_050,chi_050,-,-,-,-,putative helicase,protein-coding,-,-,-,putative helicase,20200629,-
1541887,40103489,chi_051,chi_051,-,-,-,-,putative terminase small subunit,protein-coding,-,-,-,putative terminase small subunit,20210417,-
1541887,40103490,chi_052,chi_052,-,-,-,-,putative terminase large subunit,protein-coding,-,-,-,putative terminase large subunit,20201221,-
1541887,40103491,chi_053,chi_053,-,-,-,-,putative head-to-tail joining protein W,protein-coding,-,-,-,putative head-to-tail joining protein W,20210123,-
1541887,40103492,chi_054,chi_054,-,-,-,-,"phage portal protein, lambda family",protein-coding,-,-,-,"phage portal protein, lambda family",20201221,-
1541887,40103493,chi_055,chi_055,-,-,-,-,putative prohead protease ClpP,protein-coding,-,-,-,putative prohead protease ClpP,20200629,-
1541887,40103494,chi_056,chi_056,-,-,-,-,head decoration protein,protein-coding,-,-,-,head decoration protein,20210406,-
1541887,40103495,chi_057,chi_057,-,-,-,-,putative major capsid protein,protein-coding,-,-,-,putative major capsid protein,20200629,-
1541887,40103496,chi_058,chi_058,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200629,-
1541887,40103497,chi_059,chi_059,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200629,-
1541887,40103498,chi_060,chi_060,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200629,-
1541887,40103499,chi_061,chi_061,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200629,-
1541887,40103500,chi_062,chi_062,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200629,-
1541887,40103501,chi_063,chi_063,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
