#tax_id,GeneID,Symbol,LocusTag,Synonyms,dbXrefs,chromosome,map_location,description,type_of_gene,Symbol_from_nomenclature_authority,Full_name_from_nomenclature_authority,Nomenclature_status,Other_designations,Modification_date,Feature_type
1435411,18499595,CF77_gp55,CF77_gp55,-,-,-,-,site-specific integrase,protein-coding,-,-,-,site-specific integrase,20201221,-
1435411,18499621,CF77_gp29,CF77_gp29,-,-,-,-,DUF4355 domain-containing protein,protein-coding,-,-,-,DUF4355 domain-containing protein,20201221,-
1435411,18499622,CF77_gp28,CF77_gp28,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1435411,18499623,CF77_gp27,CF77_gp27,-,-,-,-,major capsid protein,protein-coding,-,-,-,major capsid protein,20201221,-
1435411,18499624,CF77_gp26,CF77_gp26,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1435411,18499625,CF77_gp25,CF77_gp25,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1435411,18499626,CF77_gp24,CF77_gp24,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1435411,18499627,CF77_gp23,CF77_gp23,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1435411,18499628,CF77_gp22,CF77_gp22,-,-,-,-,tail protein,protein-coding,-,-,-,tail protein,20201221,-
1435411,18499629,CF77_gp21,CF77_gp21,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1435411,18499630,CF77_gp20,CF77_gp20,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1435411,18499631,CF77_gp19,CF77_gp19,-,-,-,-,transglycosylase SLT domain-containing protein,protein-coding,-,-,-,transglycosylase SLT domain-containing protein,20201221,-
1435411,18499632,CF77_gp18,CF77_gp18,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1435411,18499633,CF77_gp17,CF77_gp17,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1435411,18499634,CF77_gp16,CF77_gp16,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1435411,18499635,CF77_gp15,CF77_gp15,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1435411,18499636,CF77_gp14,CF77_gp14,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1435411,18499637,CF77_gp13,CF77_gp13,-,-,-,-,LysM peptidoglycan-binding domain-containing protein,protein-coding,-,-,-,LysM peptidoglycan-binding domain-containing protein,20201221,-
1435411,18499638,CF77_gp12,CF77_gp12,-,-,-,-,Hol44,protein-coding,-,-,-,Hol44,20200629,-
1435411,18499639,CF77_gp11,CF77_gp11,-,-,-,-,"ABC transporter, ATP-binding protein-related protein",protein-coding,-,-,-,"ABC transporter, ATP-binding protein-related protein",20200629,-
1435411,18499640,CF77_gp10,CF77_gp10,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1435411,18499641,CF77_gp09,CF77_gp09,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1435411,18499642,CF77_gp08,CF77_gp08,-,-,-,-,DUF2513 domain-containing protein,protein-coding,-,-,-,DUF2513 domain-containing protein,20201221,-
1435411,18499643,CF77_gp07,CF77_gp07,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1435411,18499644,CF77_gp06,CF77_gp06,-,-,-,-,glycosyltransferase family 2 protein,protein-coding,-,-,-,glycosyltransferase family 2 protein,20201221,-
1435411,18499645,CF77_gp05,CF77_gp05,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1435411,18499646,CF77_gp04,CF77_gp04,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1435411,18499647,CF77_gp03,CF77_gp03,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1435411,18499648,CF77_gp02,CF77_gp02,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1435411,18499649,CF77_gp01,CF77_gp01,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1435411,18499650,CF77_gt01,CF77_gt01,-,-,-,-,tRNA,tRNA,-,-,-,-,20200910,-
1435411,18506829,NEWENTRY,-,-,-,-,-,Record to support submission of GeneRIFs for a gene not in Gene.,other,-,-,-,-,20200513,-
