#tax_id,GeneID,Symbol,LocusTag,Synonyms,dbXrefs,chromosome,map_location,description,type_of_gene,Symbol_from_nomenclature_authority,Full_name_from_nomenclature_authority,Nomenclature_status,Other_designations,Modification_date,Feature_type
1194641,13164824,BTCS33_gp12,BTCS33_gp12,BtCS33_12,-,-,-,phage tail tape measure protein,protein-coding,-,-,-,phage tail tape measure protein,20200629,-
1194641,13164853,BTCS33_gp41,BTCS33_gp41,BtCS33_41,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1194641,13164854,BTCS33_gp42,BTCS33_gp42,BtCS33_42,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1194641,13164855,BTCS33_gp43,BTCS33_gp43,BtCS33_43,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1194641,13164856,BTCS33_gp44,BTCS33_gp44,BtCS33_44,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1194641,13164857,BTCS33_gp45,BTCS33_gp45,BtCS33_45,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1194641,13164858,BTCS33_gp46,BTCS33_gp46,BtCS33_46,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1194641,13164859,BTCS33_gp47,BTCS33_gp47,BtCS33_47,-,-,-,phage protein,protein-coding,-,-,-,phage protein,20200629,-
1194641,13164860,BTCS33_gp48,BTCS33_gp48,BtCS33_48,-,-,-,transcription regulator,protein-coding,-,-,-,transcription regulator,20200629,-
1194641,13164861,BTCS33_gp49,BTCS33_gp49,BtCS3349,-,-,-,site-specific integrase,protein-coding,-,-,-,site-specific integrase,20201221,-
1194641,13164862,BTCS33_gp50,BTCS33_gp50,BtCS33_50,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1194641,13164863,BTCS33_gp51,BTCS33_gp51,BtCS51,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1194641,13164864,BTCS33_gp52,BTCS33_gp52,BtCS33_52,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1194641,13164865,BTCS33_gp53,BTCS33_gp53,BtCS33_53,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1194641,13164866,BTCS33_gp54,BTCS33_gp54,BtCS33_54,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1194641,13164867,BTCS33_gp55,BTCS33_gp55,BtCS33_55,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1194641,13164868,BTCS33_gp56,BTCS33_gp56,BtCS33_56,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1194641,13164869,BTCS33_gp57,BTCS33_gp57,BtCS33_57,-,-,-,HNH endonuclease,protein-coding,-,-,-,HNH endonuclease,20200629,-
1194641,13164870,BTCS33_gp01,BTCS33_gp01,BtCS33_01,-,-,-,terminase small subunit P27 family,protein-coding,-,-,-,terminase small subunit P27 family,20201221,-
1194641,13164871,BTCS33_gp02,BTCS33_gp02,BtCS33_02,-,-,-,terminase large subunit,protein-coding,-,-,-,terminase large subunit,20201221,-
1194641,13164872,BTCS33_gp03,BTCS33_gp03,BtCS33_03,-,-,-,"phage portal protein, HK97 family",protein-coding,-,-,-,"phage portal protein, HK97 family",20200629,-
1194641,13164873,BTCS33_gp04,BTCS33_gp04,BtCS33_04,-,-,-,ATP-dependent endopeptidase clp proteolytic subunit clpP,protein-coding,-,-,-,ATP-dependent endopeptidase clp proteolytic subunit clpP,20200629,-
1194641,13164874,BTCS33_gp05,BTCS33_gp05,BtCS33_05,-,-,-,major capsid protein,protein-coding,-,-,-,major capsid protein,20201221,-
1194641,13164875,BTCS33_gp06,BTCS33_gp06,BtCS33_06,-,-,-,phage head-tail adaptor,protein-coding,-,-,-,phage head-tail adaptor,20200629,-
1194641,13164876,BTCS33_gp07,BTCS33_gp07,BtCS33_07,-,-,-,HK97 gp10 familygprotein,protein-coding,-,-,-,HK97 gp10 familygprotein,20201221,-
1194641,13164877,BTCS33_gp08,BTCS33_gp08,BtCS33_08,-,-,-,DUF3168 domain-containing protein,protein-coding,-,-,-,DUF3168 domain-containing protein,20201221,-
1194641,13164878,BTCS33_gp09,BTCS33_gp09,BtCS33_09,-,-,-,tail protein,protein-coding,-,-,-,tail protein,20201221,-
1194641,13164879,BTCS33_gp10,BTCS33_gp10,BtCS33_10,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1194641,13164880,BTCS33_gp11,BTCS33_gp11,BtCS33_11,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1194641,13229215,NEWENTRY,-,-,-,-,-,Record to support submission of GeneRIFs for a gene not in Gene.,other,-,-,-,-,20200513,-
