#tax_id,GeneID,Symbol,LocusTag,Synonyms,dbXrefs,chromosome,map_location,description,type_of_gene,Symbol_from_nomenclature_authority,Full_name_from_nomenclature_authority,Nomenclature_status,Other_designations,Modification_date,Feature_type
1432428,54974258,HOQ94_gp02,HOQ94_gp02,-,-,-,-,TerL large terminase subunit-like protein,protein-coding,-,-,-,TerL large terminase subunit-like protein,20210129,-
1432428,54974284,HOQ94_gp28,HOQ94_gp28,-,-,-,-,putative ATP-dependent DNA ligase,protein-coding,-,-,-,putative ATP-dependent DNA ligase,20210129,-
1432428,54974285,HOQ94_gp29,HOQ94_gp29,-,-,-,-,DNA-directed RNA polymerase,protein-coding,-,-,-,DNA-directed RNA polymerase,20201221,-
1432428,54974286,HOQ94_gp30,HOQ94_gp30,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1432428,54974287,HOQ94_gp31,HOQ94_gp31,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1432428,54974288,HOQ94_gp32,HOQ94_gp32,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1432428,54974289,HOQ94_gp33,HOQ94_gp33,-,-,-,-,Head portal-like protein,protein-coding,-,-,-,Head portal-like protein,20210129,-
1432428,54974290,HOQ94_gp34,HOQ94_gp34,-,-,-,-,Scaffolding-like protein,protein-coding,-,-,-,Scaffolding-like protein,20201221,-
1432428,54974291,HOQ94_gp35,HOQ94_gp35,-,-,-,-,major capsid-like protein,protein-coding,-,-,-,major capsid-like protein,20201221,-
1432428,54974292,HOQ94_gp36,HOQ94_gp36,-,-,-,-,Tail tuber protein A,protein-coding,-,-,-,Tail tuber protein A,20210129,-
1432428,54974293,HOQ94_gp37,HOQ94_gp37,-,-,-,-,tail tubular protein B,protein-coding,-,-,-,tail tubular protein B,20201221,-
1432428,54974294,HOQ94_gp38,HOQ94_gp38,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1432428,54974295,HOQ94_gp39,HOQ94_gp39,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1432428,54974296,HOQ94_gp40,HOQ94_gp40,-,-,-,-,putative transglycosylase,protein-coding,-,-,-,putative transglycosylase,20201221,-
1432428,54974297,HOQ94_gp41,HOQ94_gp41,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1432428,54974298,HOQ94_gp42,HOQ94_gp42,-,-,-,-,Hypothetical protein,protein-coding,-,-,-,Hypothetical protein,20210129,-
1432428,54974299,HOQ94_gp01,HOQ94_gp01,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1432428,55146879,NEWENTRY,-,-,-,-,-,Record to support submission of GeneRIFs for a gene not in Gene (Burkholderia pseudomallei bacteriophage Bp-AMP1).,other,-,-,-,-,20200610,-
