#tax_id,GeneID,Symbol,LocusTag,Synonyms,dbXrefs,chromosome,map_location,description,type_of_gene,Symbol_from_nomenclature_authority,Full_name_from_nomenclature_authority,Nomenclature_status,Other_designations,Modification_date,Feature_type
498019,29139794,NEWENTRY,-,-,-,-,-,Record to support submission of GeneRIFs for a gene not in Gene (Candida auris).,other,-,-,-,-,20210327,-
498019,40025164,CJI97_000017,CJI97_000017,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210424,-
498019,40025165,CJI97_000018,CJI97_000018,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210309,-
498019,40025166,CJI97_000019,CJI97_000019,-,-,Unknown,-,ribose-phosphate pyrophosphokinase 4,protein-coding,-,-,-,ribose-phosphate pyrophosphokinase 4,20210309,-
498019,40025167,CJI97_000020,CJI97_000020,-,-,Unknown,-,"dihydroxy-acid dehydratase, mitochondrial",protein-coding,-,-,-,"dihydroxy-acid dehydratase, mitochondrial",20210309,-
498019,40025168,CJI97_000021,CJI97_000021,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210309,-
498019,40025169,CJI97_000022,CJI97_000022,-,-,Unknown,-,"homocitrate synthase, mitochondrial",protein-coding,-,-,-,"homocitrate synthase, mitochondrial",20210309,-
498019,40025170,CJI97_000023,CJI97_000023,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210309,-
498019,40025171,CJI97_000024,CJI97_000024,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210309,-
498019,40025172,CJI97_000025,CJI97_000025,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210309,-
498019,40025173,CJI97_000026,CJI97_000026,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210309,-
498019,40025174,CJI97_000027,CJI97_000027,-,-,Unknown,-,"ATP synthase subunit alpha, mitochondrial",protein-coding,-,-,-,"ATP synthase subunit alpha, mitochondrial",20210309,-
498019,40025175,CJI97_000028,CJI97_000028,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210309,-
498019,40025176,CJI97_000029,CJI97_000029,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210309,-
498019,40025177,CJI97_000030,CJI97_000030,-,-,Unknown,-,aminopeptidase 2,protein-coding,-,-,-,aminopeptidase 2,20210309,-
498019,40025178,CJI97_000031,CJI97_000031,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210309,-
498019,40025179,CJI97_000032,CJI97_000032,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210309,-
498019,40025180,CJI97_000033,CJI97_000033,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210309,-
498019,40025181,CJI97_000034,CJI97_000034,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210309,-
498019,40025182,CJI97_000035,CJI97_000035,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210309,-
498019,40025183,CJI97_000036,CJI97_000036,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210309,-
498019,40025184,CJI97_000037,CJI97_000037,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210424,-
498019,40025185,CJI97_000038,CJI97_000038,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210309,-
498019,40025186,CJI97_000039,CJI97_000039,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210309,-
498019,40025187,CJI97_000040,CJI97_000040,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210309,-
498019,40025188,CJI97_000041,CJI97_000041,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210309,-
498019,40025189,CJI97_000042,CJI97_000042,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210309,-
498019,40025190,CJI97_000043,CJI97_000043,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210309,-
498019,40025191,CJI97_000044,CJI97_000044,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210309,-
498019,40025192,CJI97_000045,CJI97_000045,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210309,-
498019,40025193,CJI97_000046,CJI97_000046,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210309,-
498019,40025194,CJI97_000047,CJI97_000047,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210309,-
498019,40025195,CJI97_000048,CJI97_000048,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210309,-
498019,40025196,CJI97_000049,CJI97_000049,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210309,-
498019,40025197,CJI97_000050,CJI97_000050,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210309,-
498019,40025198,CJI97_000051,CJI97_000051,-,-,Unknown,-,ISWI chromatin-remodeling complex ATPase ISW2,protein-coding,-,-,-,ISWI chromatin-remodeling complex ATPase ISW2,20210309,-
498019,40025199,CJI97_000052,CJI97_000052,-,-,Unknown,-,uracil-DNA glycosylase,protein-coding,-,-,-,uracil-DNA glycosylase,20210309,-
498019,40025200,CJI97_000053,CJI97_000053,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210309,-
498019,40025201,CJI97_000054,CJI97_000054,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210309,-
498019,40025202,CJI97_000055,CJI97_000055,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210309,-
498019,40025203,CJI97_000056,CJI97_000056,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210309,-
498019,40025204,CJI97_000057,CJI97_000057,-,-,Unknown,-,mitochondrial genome maintenance protein MGM101,protein-coding,-,-,-,mitochondrial genome maintenance protein MGM101,20210309,-
498019,40025205,CJI97_000058,CJI97_000058,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210309,-
498019,40025206,CJI97_000059,CJI97_000059,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210309,-
498019,40025207,CJI97_000060,CJI97_000060,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210309,-
498019,40025208,CJI97_000061,CJI97_000061,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210309,-
498019,40025209,CJI97_000062,CJI97_000062,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210309,-
498019,40025210,CJI97_000063,CJI97_000063,-,-,Unknown,-,"pyridoxal 5'-phosphate synthase, glutaminase subunit Pdx2",protein-coding,-,-,-,"pyridoxal 5'-phosphate synthase, glutaminase subunit Pdx2",20210309,-
498019,40025211,CJI97_000064,CJI97_000064,-,-,Unknown,-,pyridoxine biosynthesis protein SNZ1,protein-coding,-,-,-,pyridoxine biosynthesis protein SNZ1,20210309,-
498019,40025212,CJI97_000065,CJI97_000065,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210309,-
498019,40025213,CJI97_000066,CJI97_000066,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210309,-
498019,40025214,CJI97_000067,CJI97_000067,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210309,-
498019,40025215,CJI97_000068,CJI97_000068,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210309,-
498019,40025216,CJI97_000069,CJI97_000069,-,-,Unknown,-,proteasome subunit beta type-5,protein-coding,-,-,-,proteasome subunit beta type-5,20210309,-
498019,40025217,CJI97_000070,CJI97_000070,-,-,Unknown,-,60S ribosomal protein L11-A,protein-coding,-,-,-,60S ribosomal protein L11-A,20210309,-
498019,40025218,CJI97_000071,CJI97_000071,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210309,-
498019,40025219,CJI97_000072,CJI97_000072,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210309,-
498019,40025220,CJI97_000073,CJI97_000073,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210309,-
498019,40025221,CJI97_000074,CJI97_000074,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210309,-
498019,40025222,CJI97_000075,CJI97_000075,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210309,-
498019,40025223,CJI97_000076,CJI97_000076,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210309,-
498019,40025224,CJI97_000077,CJI97_000077,-,-,Unknown,-,sphingolipid long chain base-responsive protein PIL1,protein-coding,-,-,-,sphingolipid long chain base-responsive protein PIL1,20210424,-
498019,40025225,CJI97_000078,CJI97_000078,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210309,-
498019,40025226,CJI97_000079,CJI97_000079,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210309,-
498019,40025227,CJI97_000080,CJI97_000080,-,-,Unknown,-,inosine-5'-monophosphate dehydrogenase,protein-coding,-,-,-,inosine-5'-monophosphate dehydrogenase,20210309,-
498019,40025228,CJI97_000081,CJI97_000081,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210309,-
498019,40025229,CJI97_000082,CJI97_000082,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210309,-
498019,40025230,CJI97_000083,CJI97_000083,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210309,-
498019,40025231,CJI97_000084,CJI97_000084,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210309,-
498019,40025232,CJI97_000085,CJI97_000085,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210309,-
498019,40025233,CJI97_000086,CJI97_000086,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210309,-
498019,40025234,CJI97_000087,CJI97_000087,-,-,Unknown,-,GTP-binding nuclear protein GSP1/Ran,protein-coding,-,-,-,GTP-binding nuclear protein GSP1/Ran,20210309,-
498019,40025235,CJI97_000088,CJI97_000088,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210309,-
498019,40025236,CJI97_000089,CJI97_000089,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210309,-
498019,40025237,CJI97_000090,CJI97_000090,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210309,-
498019,40025238,CJI97_000091,CJI97_000091,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210309,-
498019,40025239,CJI97_000092,CJI97_000092,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210309,-
498019,40025240,CJI97_000093,CJI97_000093,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210424,-
498019,40025241,CJI97_000094,CJI97_000094,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210309,-
498019,40025242,CJI97_000095,CJI97_000095,-,-,Unknown,-,60S ribosomal protein L18-A,protein-coding,-,-,-,60S ribosomal protein L18-A,20210424,-
498019,40025243,CJI97_000096,CJI97_000096,-,-,Unknown,-,40S ribosomal protein S19-A,protein-coding,-,-,-,40S ribosomal protein S19-A,20210424,-
498019,40025244,CJI97_000097,CJI97_000097,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210309,-
498019,40025245,CJI97_000098,CJI97_000098,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210424,-
498019,40025246,CJI97_000099,CJI97_000099,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210309,-
498019,40025247,CJI97_000100,CJI97_000100,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210309,-
498019,40025248,CJI97_000101,CJI97_000101,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210309,-
498019,40025249,CJI97_000102,CJI97_000102,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210309,-
498019,40025250,CJI97_000103,CJI97_000103,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210309,-
498019,40025251,CJI97_000104,CJI97_000104,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210309,-
498019,40025252,CJI97_000105,CJI97_000105,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210309,-
498019,40025253,CJI97_000106,CJI97_000106,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210309,-
498019,40025254,CJI97_000107,CJI97_000107,-,-,Unknown,-,heat shock protein SSB1,protein-coding,-,-,-,heat shock protein SSB1,20210309,-
498019,40025255,CJI97_000108,CJI97_000108,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210309,-
498019,40025256,CJI97_000109,CJI97_000109,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210309,-
498019,40025257,CJI97_000110,CJI97_000110,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210309,-
498019,40025258,CJI97_000111,CJI97_000111,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210309,-
498019,40025259,CJI97_000112,CJI97_000112,-,-,Unknown,-,40S ribosomal protein S20,protein-coding,-,-,-,40S ribosomal protein S20,20210424,-
498019,40025260,CJI97_000113,CJI97_000113,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210309,-
498019,40025261,CJI97_000114,CJI97_000114,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210309,-
498019,40025262,CJI97_000115,CJI97_000115,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210309,-
498019,40025263,CJI97_000116,CJI97_000116,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210309,-
498019,40025264,CJI97_000117,CJI97_000117,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210309,-
498019,40025265,CJI97_000118,CJI97_000118,-,-,Unknown,-,SUMO-conjugating enzyme UBC9,protein-coding,-,-,-,SUMO-conjugating enzyme UBC9,20210424,-
498019,40025266,CJI97_000119,CJI97_000119,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210309,-
498019,40025267,CJI97_000120,CJI97_000120,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210309,-
498019,40025268,CJI97_000121,CJI97_000121,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210309,-
498019,40025269,CJI97_000122,CJI97_000122,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210309,-
498019,40025270,CJI97_000123,CJI97_000123,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210309,-
498019,40025271,CJI97_000124,CJI97_000124,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210309,-
498019,40025272,CJI97_000125,CJI97_000125,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210309,-
498019,40025273,CJI97_000126,CJI97_000126,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210309,-
498019,40025274,CJI97_000127,CJI97_000127,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210309,-
498019,40025275,CJI97_000128,CJI97_000128,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210309,-
498019,40025276,CJI97_000129,CJI97_000129,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210309,-
498019,40025277,CJI97_000130,CJI97_000130,-,-,Unknown,-,tRNA,tRNA,-,-,-,-,20200919,-
498019,40025278,CJI97_000131,CJI97_000131,-,-,Unknown,-,tRNA,tRNA,-,-,-,-,20200919,-
498019,40025279,CJI97_000132,CJI97_000132,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210309,-
498019,40025280,CJI97_000133,CJI97_000133,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210309,-
498019,40025281,CJI97_000134,CJI97_000134,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210309,-
498019,40025282,CJI97_000135,CJI97_000135,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210309,-
498019,40025283,CJI97_000136,CJI97_000136,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210309,-
498019,40025284,CJI97_000137,CJI97_000137,-,-,Unknown,-,mannan polymerase II complex ANP1 subunit,protein-coding,-,-,-,mannan polymerase II complex ANP1 subunit,20210309,-
498019,40025285,CJI97_000138,CJI97_000138,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210309,-
498019,40025286,CJI97_000139,CJI97_000139,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210309,-
498019,40025287,CJI97_000140,CJI97_000140,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210309,-
498019,40025288,CJI97_000141,CJI97_000141,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210424,-
498019,40025289,CJI97_000142,CJI97_000142,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210309,-
498019,40025290,CJI97_000143,CJI97_000143,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210309,-
498019,40025291,CJI97_000144,CJI97_000144,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210309,-
498019,40025292,CJI97_000145,CJI97_000145,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210309,-
498019,40025293,CJI97_000146,CJI97_000146,-,-,Unknown,-,protein phosphatase PP2A regulatory subunit B,protein-coding,-,-,-,protein phosphatase PP2A regulatory subunit B,20210309,-
498019,40025294,CJI97_000147,CJI97_000147,-,-,Unknown,-,40S ribosomal protein S26-B,protein-coding,-,-,-,40S ribosomal protein S26-B,20210309,-
498019,40025295,CJI97_000148,CJI97_000148,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210309,-
498019,40025296,CJI97_000149,CJI97_000149,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210309,-
498019,40025297,CJI97_000150,CJI97_000150,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210309,-
498019,40025298,CJI97_000151,CJI97_000151,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210309,-
498019,40025299,CJI97_000152,CJI97_000152,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210309,-
498019,40025300,CJI97_000153,CJI97_000153,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210309,-
498019,40025301,CJI97_000154,CJI97_000154,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210309,-
498019,40025302,CJI97_000155,CJI97_000155,-,-,Unknown,-,"succinate dehydrogenase, cytochrome b556 subunit",protein-coding,-,-,-,"succinate dehydrogenase, cytochrome b556 subunit",20210309,-
498019,40025303,CJI97_000156,CJI97_000156,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210309,-
498019,40025304,CJI97_000157,CJI97_000157,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210309,-
498019,40025305,CJI97_000158,CJI97_000158,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210309,-
498019,40025306,CJI97_000159,CJI97_000159,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210309,-
498019,40025307,CJI97_000160,CJI97_000160,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210309,-
498019,40025308,CJI97_000161,CJI97_000161,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210309,-
498019,40025309,CJI97_000162,CJI97_000162,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210309,-
498019,40025310,CJI97_000163,CJI97_000163,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210309,-
498019,40025311,CJI97_000164,CJI97_000164,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210309,-
498019,40025312,CJI97_000165,CJI97_000165,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210309,-
498019,40025313,CJI97_000166,CJI97_000166,-,-,Unknown,-,tRNA(His) guanylyltransferase,protein-coding,-,-,-,tRNA(His) guanylyltransferase,20210309,-
498019,40025314,CJI97_000167,CJI97_000167,-,-,Unknown,-,multidrug resistance protein CDR1,protein-coding,-,-,-,multidrug resistance protein CDR1,20210309,-
498019,40025315,CJI97_000168,CJI97_000168,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210309,-
498019,40025316,CJI97_000169,CJI97_000169,-,-,Unknown,-,tRNA,tRNA,-,-,-,-,20200919,-
498019,40025317,CJI97_000170,CJI97_000170,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210309,-
498019,40025318,CJI97_000171,CJI97_000171,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210309,-
498019,40025319,CJI97_000172,CJI97_000172,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210309,-
498019,40025320,CJI97_000173,CJI97_000173,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210309,-
498019,40025321,CJI97_000174,CJI97_000174,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210309,-
498019,40025322,CJI97_000175,CJI97_000175,-,-,Unknown,-,"cytochrome c1, heme protein, mitochondrial",protein-coding,-,-,-,"cytochrome c1, heme protein, mitochondrial",20210309,-
498019,40025323,CJI97_000176,CJI97_000176,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210309,-
498019,40025324,CJI97_000177,CJI97_000177,-,-,Unknown,-,"calcium-translocating P-type ATPase, PMCA-type",protein-coding,-,-,-,"calcium-translocating P-type ATPase, PMCA-type",20210309,-
498019,40025325,CJI97_000178,CJI97_000178,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210309,-
498019,40025326,CJI97_000179,CJI97_000179,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210309,-
498019,40025327,CJI97_000180,CJI97_000180,-,-,Unknown,-,oleate-induced peroxisomal protein POX18,protein-coding,-,-,-,oleate-induced peroxisomal protein POX18,20210309,-
498019,40025328,CJI97_000181,CJI97_000181,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210309,-
498019,40025329,CJI97_000182,CJI97_000182,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210309,-
498019,40025330,CJI97_000183,CJI97_000183,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210309,-
498019,40025331,CJI97_000184,CJI97_000184,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210309,-
498019,40025332,CJI97_000185,CJI97_000185,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210309,-
498019,40025333,CJI97_000186,CJI97_000186,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210309,-
498019,40025334,CJI97_000187,CJI97_000187,-,-,Unknown,-,40S ribosomal protein S7-A,protein-coding,-,-,-,40S ribosomal protein S7-A,20210424,-
