#tax_id,GeneID,Symbol,LocusTag,Synonyms,dbXrefs,chromosome,map_location,description,type_of_gene,Symbol_from_nomenclature_authority,Full_name_from_nomenclature_authority,Nomenclature_status,Other_designations,Modification_date,Feature_type
2283012,55600349,HWB81_gp02,HWB81_gp02,Wes44_2,-,-,-,terminase small subunit,protein-coding,-,-,-,terminase small subunit,20210417,-
2283012,55600378,HWB81_gp31,HWB81_gp31,Wes44_31,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2283012,55600379,HWB81_gp32,HWB81_gp32,Wes44_32,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210417,-
2283012,55600380,HWB81_gp33,HWB81_gp33,Wes44_33,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2283012,55600381,HWB81_gp34,HWB81_gp34,Wes44_34,-,-,-,N-acetylmuramoyl-L-alanine amidase,protein-coding,-,-,-,N-acetylmuramoyl-L-alanine amidase,20210417,-
2283012,55600382,HWB81_gp35,HWB81_gp35,Wes44_35,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2283012,55600383,HWB81_gp36,HWB81_gp36,Wes44_36,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2283012,55600384,HWB81_gp37,HWB81_gp37,Wes44_37,-,-,-,DUF2479 domain-containing protein,protein-coding,-,-,-,DUF2479 domain-containing protein,20210417,-
2283012,55600385,HWB81_gp38,HWB81_gp38,Wes44_38,-,-,-,holin,protein-coding,-,-,-,holin,20210417,-
2283012,55600386,HWB81_gp39,HWB81_gp39,Wes44_39,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2283012,55600387,HWB81_gp40,HWB81_gp40,Wes44_40,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2283012,55600388,HWB81_gp41,HWB81_gp41,Wes44_41,-,-,-,putative YD repeat protein,protein-coding,-,-,-,putative YD repeat protein,20210417,-
2283012,55600389,HWB81_gp42,HWB81_gp42,Wes44_42,-,-,-,tail length tape measure protein,protein-coding,-,-,-,tail length tape measure protein,20210417,-
2283012,55600390,HWB81_gp43,HWB81_gp43,Wes44_43,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210417,-
2283012,55600391,HWB81_gp44,HWB81_gp44,Wes44_44,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2283012,55600392,HWB81_gp45,HWB81_gp45,Wes44_45,-,-,-,major capsid protein,protein-coding,-,-,-,major capsid protein,20201221,-
2283012,55600393,HWB81_gp46,HWB81_gp46,Wes44_46,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210417,-
2283012,55600394,HWB81_gp47,HWB81_gp47,Wes44_47,-,-,-,minor capsid protein,protein-coding,-,-,-,minor capsid protein,20210417,-
2283012,55600395,HWB81_gp48,HWB81_gp48,Wes44_48,-,-,-,minor capsid protein,protein-coding,-,-,-,minor capsid protein,20210417,-
2283012,55600396,HWB81_gp49,HWB81_gp49,Wes44_49,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210417,-
2283012,55600397,HWB81_gp50,HWB81_gp50,Wes44_50,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2283012,55600398,HWB81_gp51,HWB81_gp51,Wes44_51,-,-,-,major capsid protein,protein-coding,-,-,-,major capsid protein,20201221,-
2283012,55600399,HWB81_gp52,HWB81_gp52,Wes44_52,-,-,-,major capsid protein,protein-coding,-,-,-,major capsid protein,20210417,-
2283012,55600400,HWB81_gp53,HWB81_gp53,Wes44_53,-,-,-,minor capsid protein,protein-coding,-,-,-,minor capsid protein,20210417,-
2283012,55600401,HWB81_gp54,HWB81_gp54,Wes44_54,-,-,-,portal protein,protein-coding,-,-,-,portal protein,20210417,-
2283012,55600402,HWB81_gp01,HWB81_gp01,Wes44_1,-,-,-,terminase large subunit,protein-coding,-,-,-,terminase large subunit,20210417,-
2283012,55635827,NEWENTRY,-,-,-,-,-,Record to support submission of GeneRIFs for a gene not in Gene.,other,-,-,-,-,20200622,-
