#tax_id,GeneID,Symbol,LocusTag,Synonyms,dbXrefs,chromosome,map_location,description,type_of_gene,Symbol_from_nomenclature_authority,Full_name_from_nomenclature_authority,Nomenclature_status,Other_designations,Modification_date,Feature_type
2094143,60325870,2,I5H12_gp002,SEA_ALEXPHANDER_2,-,-,-,terminase small subunit,protein-coding,-,-,-,terminase small subunit,20201129,-
2094143,60325887,21,I5H12_gp021,SEA_ALEXPHANDER_21,-,-,-,minor tail protein,protein-coding,-,-,-,minor tail protein,20210424,-
2094143,60325888,22,I5H12_gp022,SEA_ALEXPHANDER_22,-,-,-,minor tail protein,protein-coding,-,-,-,minor tail protein,20201129,-
2094143,60325889,23,I5H12_gp023,SEA_ALEXPHANDER_23,-,-,-,minor tail protein,protein-coding,-,-,-,minor tail protein,20201129,-
2094143,60325890,24,I5H12_gp024,SEA_ALEXPHANDER_24,-,-,-,minor tail protein,protein-coding,-,-,-,minor tail protein,20201129,-
2094143,60325891,25,I5H12_gp025,SEA_ALEXPHANDER_25,-,-,-,minor tail protein,protein-coding,-,-,-,minor tail protein,20201129,-
2094143,60325892,26,I5H12_gp026,SEA_ALEXPHANDER_26,-,-,-,minor tail protein,protein-coding,-,-,-,minor tail protein,20201129,-
2094143,60325893,27,I5H12_gp027,SEA_ALEXPHANDER_27,-,-,-,helix-turn-helix DNA binding domain protein,protein-coding,-,-,-,helix-turn-helix DNA binding domain protein,20201129,-
2094143,60325894,28,I5H12_gp028,SEA_ALEXPHANDER_28,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2094143,60325895,29,I5H12_gp029,SEA_ALEXPHANDER_29,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2094143,60325896,30,I5H12_gp030,SEA_ALEXPHANDER_30,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2094143,60325897,31,I5H12_gp031,SEA_ALEXPHANDER_31,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2094143,60325898,32,I5H12_gp032,SEA_ALEXPHANDER_32,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2094143,60325899,33,I5H12_gp033,SEA_ALEXPHANDER_33,-,-,-,lysin A,protein-coding,-,-,-,lysin A,20210424,-
2094143,60325900,34,I5H12_gp034,SEA_ALEXPHANDER_34,-,-,-,lysin B,protein-coding,-,-,-,lysin B,20201129,-
2094143,60325901,35,I5H12_gp035,SEA_ALEXPHANDER_35,-,-,-,holin,protein-coding,-,-,-,holin,20210212,-
2094143,60325902,36,I5H12_gp036,SEA_ALEXPHANDER_36,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210123,-
2094143,60325903,37,I5H12_gp037,SEA_ALEXPHANDER_37,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2094143,60325904,38,I5H12_gp038,SEA_ALEXPHANDER_38,-,-,-,exonuclease,protein-coding,-,-,-,exonuclease,20210129,-
2094143,60325905,39,I5H12_gp039,SEA_ALEXPHANDER_39,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2094143,60325906,41,I5H12_gp041,SEA_ALEXPHANDER_41,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2094143,60325907,42,I5H12_gp042,SEA_ALEXPHANDER_42,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2094143,60325908,43,I5H12_gp043,SEA_ALEXPHANDER_43,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2094143,60325909,45,I5H12_gp045,SEA_ALEXPHANDER_45,-,-,-,integrase,protein-coding,-,-,-,integrase,20210424,-
2094143,60325910,46,I5H12_gp046,SEA_ALEXPHANDER_46,-,-,-,RelE-like toxin,protein-coding,-,-,-,RelE-like toxin,20210417,-
2094143,60325911,47,I5H12_gp047,SEA_ALEXPHANDER_47,-,-,-,RelB-like antitoxin,protein-coding,-,-,-,RelB-like antitoxin,20210403,-
2094143,60325912,48,I5H12_gp048,SEA_ALEXPHANDER_48,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2094143,60325913,49,I5H12_gp049,SEA_ALEXPHANDER_49,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2094143,60325914,53,I5H12_gp053,SEA_ALEXPHANDER_53,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2094143,60325915,54,I5H12_gp054,SEA_ALEXPHANDER_54,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2094143,60325916,55,I5H12_gp055,SEA_ALEXPHANDER_55,-,-,-,excise,protein-coding,-,-,-,excise,20201129,-
2094143,60325917,56,I5H12_gp056,SEA_ALEXPHANDER_56,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2094143,60325918,57,I5H12_gp057,SEA_ALEXPHANDER_57,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2094143,60325919,58,I5H12_gp058,SEA_ALEXPHANDER_58,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2094143,60325920,59,I5H12_gp059,SEA_ALEXPHANDER_59,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2094143,60325921,60,I5H12_gp060,SEA_ALEXPHANDER_60,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210327,-
2094143,60325922,61,I5H12_gp061,SEA_ALEXPHANDER_61,-,-,-,WhiB family transcription factor,protein-coding,-,-,-,WhiB family transcription factor,20210424,-
2094143,60325923,62,I5H12_gp062,SEA_ALEXPHANDER_62,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201217,-
2094143,60325924,63,I5H12_gp063,SEA_ALEXPHANDER_63,-,-,-,WhiB family transcription factor,protein-coding,-,-,-,WhiB family transcription factor,20210424,-
2094143,60325925,64,I5H12_gp064,SEA_ALEXPHANDER_64,-,-,-,helix-turn-helix DNA binding domain protein,protein-coding,-,-,-,helix-turn-helix DNA binding domain protein,20210417,-
2094143,60325926,65,I5H12_gp065,SEA_ALEXPHANDER_65,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2094143,60325927,66,I5H12_gp066,SEA_ALEXPHANDER_66,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2094143,60325928,67,I5H12_gp067,SEA_ALEXPHANDER_67,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210417,-
2094143,60325929,68,I5H12_gp068,SEA_ALEXPHANDER_68,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210417,-
2094143,60325930,69,I5H12_gp069,SEA_ALEXPHANDER_69,-,-,-,HNH endonuclease,protein-coding,-,-,-,HNH endonuclease,20210406,-
2094143,60325931,71,I5H12_gp071,SEA_ALEXPHANDER_71,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2094143,60325932,72,I5H12_gp072,SEA_ALEXPHANDER_72,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2094143,60325933,73,I5H12_gp073,SEA_ALEXPHANDER_73,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2094143,60325934,74,I5H12_gp074,SEA_ALEXPHANDER_74,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2094143,60325935,75,I5H12_gp075,SEA_ALEXPHANDER_75,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2094143,60325936,76,I5H12_gp076,SEA_ALEXPHANDER_76,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2094143,60325937,77,I5H12_gp077,SEA_ALEXPHANDER_77,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2094143,60325938,78,I5H12_gp078,SEA_ALEXPHANDER_78,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2094143,60325939,79,I5H12_gp079,SEA_ALEXPHANDER_79,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2094143,60325940,80,I5H12_gp080,SEA_ALEXPHANDER_80,-,-,-,MPME 1 protein,protein-coding,-,-,-,MPME 1 protein,20201129,-
2094143,60325941,83,I5H12_gp083,SEA_ALEXPHANDER_83,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201217,-
2094143,60325942,84,I5H12_gp084,SEA_ALEXPHANDER_84,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2094143,60325943,85,I5H12_gp085,SEA_ALEXPHANDER_85,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2094143,60325944,86,I5H12_gp086,SEA_ALEXPHANDER_86,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2094143,60325945,87,I5H12_gp087,SEA_ALEXPHANDER_87,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2094143,60325946,88,I5H12_gp088,SEA_ALEXPHANDER_88,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2094143,60325947,89,I5H12_gp089,SEA_ALEXPHANDER_89,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2094143,60325948,90,I5H12_gp090,SEA_ALEXPHANDER_90,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2094143,60325949,91,I5H12_gp091,SEA_ALEXPHANDER_91,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2094143,60325950,92,I5H12_gp092,SEA_ALEXPHANDER_92,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2094143,60325951,93,I5H12_gp093,SEA_ALEXPHANDER_93,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2094143,60325952,94,I5H12_gp094,SEA_ALEXPHANDER_94,-,-,-,MerR-like HTH DNA binding protein,protein-coding,-,-,-,MerR-like HTH DNA binding protein,20201129,-
2094143,60325953,95,I5H12_gp095,SEA_ALEXPHANDER_95,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201217,-
2094143,60325954,96,I5H12_gp096,SEA_ALEXPHANDER_96,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2094143,60325955,97,I5H12_gp097,SEA_ALEXPHANDER_97,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2094143,60325956,98,I5H12_gp098,SEA_ALEXPHANDER_98,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2094143,60325957,99,I5H12_gp099,SEA_ALEXPHANDER_99,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2094143,60325958,100,I5H12_gp100,SEA_ALEXPHANDER_100,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2094143,60325959,101,I5H12_gp101,SEA_ALEXPHANDER_101,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2094143,60325960,102,I5H12_gp102,SEA_ALEXPHANDER_102,-,-,-,glycosyltransferase,protein-coding,-,-,-,glycosyltransferase,20210424,-
2094143,60325961,103,I5H12_gp103,SEA_ALEXPHANDER_103,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2094143,60325962,50,I5H12_gp050,SEA_ALEXPHANDER_50,-,-,-,immunity repressor,protein-coding,-,-,-,immunity repressor,20201129,-
2094143,60325963,51,I5H12_gp051,SEA_ALEXPHANDER_51,-,-,-,CRO protein,protein-coding,-,-,-,CRO protein,20210417,-
2094143,60325964,52,I5H12_gp052,SEA_ALEXPHANDER_52,-,-,-,antirepressor,protein-coding,-,-,-,antirepressor,20210417,-
2094143,60325965,70,I5H12_gp070,SEA_ALEXPHANDER_70,-,-,-,DNA helicase,protein-coding,-,-,-,DNA helicase,20210424,-
2094143,60325966,81,I5H12_gp081,SEA_ALEXPHANDER_81,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2094143,60325967,13,I5H12_gp014,SEA_ALEXPHANDER_13,-,-,-,tail assembly chaperone,protein-coding,-,-,-,tail assembly chaperone,20201129,-
2094143,60325968,16,I5H12_gp016,SEA_ALEXPHANDER_16,-,-,-,tape measure protein,protein-coding,-,-,-,tape measure protein,20210424,-
2094143,60325969,40,I5H12_gp040,SEA_ALEXPHANDER_40,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2094143,60325970,82,I5H12_gp082,SEA_ALEXPHANDER_82,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2094143,60325971,104,I5H12_gp104,SEA_ALEXPHANDER_104,-,-,-,glycosyltransferase,protein-coding,-,-,-,glycosyltransferase,20210424,-
2094143,60325972,44,I5H12_gp044,SEA_ALEXPHANDER_44,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2094143,60325973,1,I5H12_gp001,SEA_ALEXPHANDER_1,-,-,-,HNH endonuclease,protein-coding,-,-,-,HNH endonuclease,20210406,-
2094143,60338643,NEWENTRY,-,-,-,-,-,Record to support submission of GeneRIFs for a gene not in Gene.,other,-,-,-,-,20201130,-
