#tax_id,GeneID,Symbol,LocusTag,Synonyms,dbXrefs,chromosome,map_location,description,type_of_gene,Symbol_from_nomenclature_authority,Full_name_from_nomenclature_authority,Nomenclature_status,Other_designations,Modification_date,Feature_type
2047868,40096795,FDJ10_gp14,FDJ10_gp14,SEA_C3PO_14,-,-,-,capsid maturation protease,protein-coding,-,-,-,capsid maturation protease,20200910,-
2047868,40096813,FDJ10_gp82,FDJ10_gp82,SEA_C3PO_61,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2047868,40096814,FDJ10_gp81,FDJ10_gp81,SEA_C3PO_62,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2047868,40096815,FDJ10_gp80,FDJ10_gp80,SEA_C3PO_63,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2047868,40096816,FDJ10_gp79,FDJ10_gp79,SEA_C3PO_64,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2047868,40096817,FDJ10_gp78,FDJ10_gp78,SEA_C3PO_65,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2047868,40096818,FDJ10_gp77,FDJ10_gp77,SEA_C3PO_66,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2047868,40096819,FDJ10_gp76,FDJ10_gp76,SEA_C3PO_67,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2047868,40096820,FDJ10_gp75,FDJ10_gp75,SEA_C3PO_68,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2047868,40096821,FDJ10_gp74,FDJ10_gp74,SEA_C3PO_69,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2047868,40096822,FDJ10_gp73,FDJ10_gp73,SEA_C3PO_70,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2047868,40096823,FDJ10_gp71,FDJ10_gp71,SEA_C3PO_72,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2047868,40096824,FDJ10_gp70,FDJ10_gp70,SEA_C3PO_73,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2047868,40096825,FDJ10_gp69,FDJ10_gp69,SEA_C3PO_74,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2047868,40096826,FDJ10_gp68,FDJ10_gp68,SEA_C3PO_75,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2047868,40096827,FDJ10_gp67,FDJ10_gp67,SEA_C3PO_76,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2047868,40096828,FDJ10_gp66,FDJ10_gp66,SEA_C3PO_77,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2047868,40096829,FDJ10_gp65,FDJ10_gp65,SEA_C3PO_78,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2047868,40096830,FDJ10_gp64,FDJ10_gp64,SEA_C3PO_79,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2047868,40096831,FDJ10_gp63,FDJ10_gp63,SEA_C3PO_80,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2047868,40096832,FDJ10_gp62,FDJ10_gp62,SEA_C3PO_81,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2047868,40096833,FDJ10_gp61,FDJ10_gp61,SEA_C3PO_82,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2047868,40096834,FDJ10_gp60,FDJ10_gp60,SEA_C3PO_83,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2047868,40096835,FDJ10_gp59,FDJ10_gp59,SEA_C3PO_84,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2047868,40096836,FDJ10_gp58,FDJ10_gp58,SEA_C3PO_85,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2047868,40096837,FDJ10_gp57,FDJ10_gp57,SEA_C3PO_86,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2047868,40096838,FDJ10_gp26,FDJ10_gp26,SEA_C3PO_26,-,-,-,minor tail protein,protein-coding,-,-,-,minor tail protein,20200910,-
2047868,40096839,FDJ10_gp30,FDJ10_gp30,SEA_C3PO_30,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2047868,40096840,FDJ10_gp31,FDJ10_gp31,SEA_C3PO_31,-,-,-,minor tail protein,protein-coding,-,-,-,minor tail protein,20200910,-
2047868,40096841,FDJ10_gp32,FDJ10_gp32,SEA_C3PO_32,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2047868,40096842,FDJ10_gp33,FDJ10_gp33,SEA_C3PO_33,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2047868,40096843,FDJ10_gp34,FDJ10_gp34,SEA_C3PO_34,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2047868,40096844,FDJ10_gp35,FDJ10_gp35,SEA_C3PO_35,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2047868,40096845,FDJ10_gp36,FDJ10_gp36,SEA_C3PO_36,-,-,-,lysin A,protein-coding,-,-,-,lysin A,20200910,-
2047868,40096846,FDJ10_gp37,FDJ10_gp37,SEA_C3PO_37,-,-,-,holin,protein-coding,-,-,-,holin,20200910,-
2047868,40096847,FDJ10_gp38,FDJ10_gp38,SEA_C3PO_38,-,-,-,DNA primase/polymerase,protein-coding,-,-,-,DNA primase/polymerase,20200910,-
2047868,40096848,FDJ10_gp55,FDJ10_gp55,SEA_C3PO_88,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2047868,40096849,FDJ10_gp54,FDJ10_gp54,SEA_C3PO_89,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2047868,40096850,FDJ10_gp53,FDJ10_gp53,SEA_C3PO_90,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2047868,40096851,FDJ10_gp52,FDJ10_gp52,SEA_C3PO_91,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2047868,40096852,FDJ10_gp51,FDJ10_gp51,SEA_C3PO_92,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2047868,40096853,FDJ10_gp50,FDJ10_gp50,SEA_C3PO_93,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2047868,40096854,FDJ10_gp49,FDJ10_gp49,SEA_C3PO_94,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2047868,40096855,FDJ10_gp48,FDJ10_gp48,SEA_C3PO_95,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2047868,40096856,FDJ10_gp47,FDJ10_gp47,SEA_C3PO_96,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2047868,40096857,FDJ10_gp46,FDJ10_gp46,SEA_C3PO_97,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2047868,40096858,FDJ10_gp03,FDJ10_gp03,SEA_C3PO_3,-,-,-,ribonucleotide reductase,protein-coding,-,-,-,ribonucleotide reductase,20200910,-
2047868,40096859,FDJ10_gp05,FDJ10_gp05,SEA_C3PO_5,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2047868,40096860,FDJ10_gp06,FDJ10_gp06,SEA_C3PO_6,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2047868,40096861,FDJ10_gp07,FDJ10_gp07,SEA_C3PO_7,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2047868,40096862,FDJ10_gp08,FDJ10_gp08,SEA_C3PO_8,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2047868,40096863,FDJ10_gp09,FDJ10_gp09,SEA_C3PO_9,-,-,-,thymidylate synthase,protein-coding,-,-,-,thymidylate synthase,20200910,-
2047868,40096864,FDJ10_gp10,FDJ10_gp10,SEA_C3PO_10,-,-,-,nucleotide pyrophosphohydrolase,protein-coding,-,-,-,nucleotide pyrophosphohydrolase,20200910,-
2047868,40096865,FDJ10_gp11,FDJ10_gp11,SEA_C3PO_11,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2047868,40096866,FDJ10_gp12,FDJ10_gp12,SEA_C3PO_12,-,-,-,terminase large subunit,protein-coding,-,-,-,terminase large subunit,20200910,-
2047868,40096867,FDJ10_gp13,FDJ10_gp13,SEA_C3PO_13,-,-,-,portal protein,protein-coding,-,-,-,portal protein,20200910,-
2047868,40096868,FDJ10_gp23,FDJ10_gp23,SEA_C3PO_23,-,-,-,major tail protein,protein-coding,-,-,-,major tail protein,20200910,-
2047868,40096869,FDJ10_gp39,FDJ10_gp39,SEA_C3PO_39,-,-,-,WhiB family transcription factor,protein-coding,-,-,-,WhiB family transcription factor,20200910,-
2047868,40096870,FDJ10_gp40,FDJ10_gp40,SEA_C3PO_40,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2047868,40096871,FDJ10_gp41,FDJ10_gp41,SEA_C3PO_41,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2047868,40096872,FDJ10_gp42,FDJ10_gp42,SEA_C3PO_42,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2047868,40096873,FDJ10_gp43,FDJ10_gp43,SEA_C3PO_43,-,-,-,DNA polymerase III alpha subunit,protein-coding,-,-,-,DNA polymerase III alpha subunit,20200910,-
2047868,40096874,FDJ10_gp44,FDJ10_gp44,SEA_C3PO_44,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2047868,40096875,FDJ10_gp45,FDJ10_gp45,SEA_C3PO_45,-,-,-,HNH endonuclease,protein-coding,-,-,-,HNH endonuclease,20200910,-
2047868,40096876,FDJ10_gt01,FDJ10_gt01,SEA_C3PO_46,-,-,-,tRNA,tRNA,-,-,-,-,20200910,-
2047868,40096877,FDJ10_gt03,FDJ10_gt03,SEA_C3PO_48,-,-,-,tRNA,tRNA,-,-,-,-,20200910,-
2047868,40096878,FDJ10_gt04,FDJ10_gt04,SEA_C3PO_49,-,-,-,tRNA,tRNA,-,-,-,-,20200910,-
2047868,40096879,FDJ10_gp93,FDJ10_gp93,SEA_C3PO_50,-,-,-,thioredoxin,protein-coding,-,-,-,thioredoxin,20200910,-
2047868,40096880,FDJ10_gp01,FDJ10_gp01,SEA_C3PO_1,-,-,-,terminase small subunit,protein-coding,-,-,-,terminase small subunit,20200910,-
2047868,40096881,FDJ10_gp92,FDJ10_gp92,SEA_C3PO_51,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2047868,40096882,FDJ10_gp91,FDJ10_gp91,SEA_C3PO_52,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2047868,40096883,FDJ10_gp90,FDJ10_gp90,SEA_C3PO_53,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2047868,40096884,FDJ10_gp56,FDJ10_gp56,SEA_C3PO_87,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2047868,40096885,FDJ10_gp04,FDJ10_gp04,SEA_C3PO_4,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2047868,40096886,FDJ10_gt02,FDJ10_gt02,SEA_C3PO_47,-,-,-,tRNA,tRNA,-,-,-,-,20200910,-
2047868,40096887,FDJ10_gp02,FDJ10_gp02,SEA_C3PO_2,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2047868,40096888,FDJ10_gp72,FDJ10_gp72,SEA_C3PO_71,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2047868,40096889,FDJ10_gp28,FDJ10_gp28,SEA_C3PO_28,-,-,-,tail assembly chaperone,protein-coding,-,-,-,tail assembly chaperone,20200910,-
2047868,40096890,FDJ10_gp25,FDJ10_gp25,SEA_C3PO_25,-,-,-,minor tail protein,protein-coding,-,-,-,minor tail protein,20200910,-
2047868,40096891,FDJ10_gp29,FDJ10_gp29,SEA_C3PO_29,-,-,-,tapemeasure protein,protein-coding,-,-,-,tapemeasure protein,20200910,-
2047868,40120508,NEWENTRY,-,-,-,-,-,Record to support submission of GeneRIFs for a gene not in Gene.,other,-,-,-,-,20200513,-
