#tax_id,GeneID,Symbol,LocusTag,Synonyms,dbXrefs,chromosome,map_location,description,type_of_gene,Symbol_from_nomenclature_authority,Full_name_from_nomenclature_authority,Nomenclature_status,Other_designations,Modification_date,Feature_type
2572533,60336524,2,I5J46_gp02,SEA_FIRSTPLACEPFU_2,-,-,-,terminase large subunit,protein-coding,-,-,-,terminase large subunit,20210417,-
2572533,60336571,49,I5J46_gp49,SEA_FIRSTPLACEPFU_49,-,-,-,FtsK-like DNA translocase,protein-coding,-,-,-,FtsK-like DNA translocase,20210417,-
2572533,60336572,50,I5J46_gp50,SEA_FIRSTPLACEPFU_50,-,-,-,RusA-like resolvase,protein-coding,-,-,-,RusA-like resolvase,20210417,-
2572533,60336573,51,I5J46_gp51,SEA_FIRSTPLACEPFU_51,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201130,-
2572533,60336574,52,I5J46_gp52,SEA_FIRSTPLACEPFU_52,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201130,-
2572533,60336575,53,I5J46_gp53,SEA_FIRSTPLACEPFU_53,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201130,-
2572533,60336576,55,I5J46_gp55,SEA_FIRSTPLACEPFU_55,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201130,-
2572533,60336577,56,I5J46_gp56,SEA_FIRSTPLACEPFU_56,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201130,-
2572533,60336578,57,I5J46_gp57,SEA_FIRSTPLACEPFU_57,-,-,-,helix-turn-helix DNA binding protein,protein-coding,-,-,-,helix-turn-helix DNA binding protein,20210424,-
2572533,60336579,58,I5J46_gp58,SEA_FIRSTPLACEPFU_58,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201130,-
2572533,60336580,59,I5J46_gp59,SEA_FIRSTPLACEPFU_59,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201130,-
2572533,60336581,60,I5J46_gp60,SEA_FIRSTPLACEPFU_60,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201130,-
2572533,60336582,61,I5J46_gp61,SEA_FIRSTPLACEPFU_61,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201130,-
2572533,60336583,62,I5J46_gp62,SEA_FIRSTPLACEPFU_62,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201130,-
2572533,60336584,64,I5J46_gp64,SEA_FIRSTPLACEPFU_64,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201130,-
2572533,60336585,65,I5J46_gp65,SEA_FIRSTPLACEPFU_65,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201130,-
2572533,60336586,66,I5J46_gp66,SEA_FIRSTPLACEPFU_66,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201130,-
2572533,60336587,67,I5J46_gp67,SEA_FIRSTPLACEPFU_67,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201130,-
2572533,60336588,68,I5J46_gp68,SEA_FIRSTPLACEPFU_68,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201130,-
2572533,60336589,69,I5J46_gp69,SEA_FIRSTPLACEPFU_69,-,-,-,helix-turn-helix DNA binding protein,protein-coding,-,-,-,helix-turn-helix DNA binding protein,20201130,-
2572533,60336590,70,I5J46_gp70,SEA_FIRSTPLACEPFU_70,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201130,-
2572533,60336591,71,I5J46_gp71,SEA_FIRSTPLACEPFU_71,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201130,-
2572533,60336592,72,I5J46_gp72,SEA_FIRSTPLACEPFU_72,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201130,-
2572533,60336593,73,I5J46_gp73,SEA_FIRSTPLACEPFU_73,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201130,-
2572533,60336594,74,I5J46_gp74,SEA_FIRSTPLACEPFU_74,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201130,-
2572533,60336595,75,I5J46_gp75,SEA_FIRSTPLACEPFU_75,-,-,-,ribbon-helix-helix DNA binding domain protein,protein-coding,-,-,-,ribbon-helix-helix DNA binding domain protein,20210313,-
2572533,60336596,76,I5J46_gp76,SEA_FIRSTPLACEPFU_76,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201130,-
2572533,60336597,79,I5J46_gp79,SEA_FIRSTPLACEPFU_79,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201130,-
2572533,60336598,80,I5J46_gp80,SEA_FIRSTPLACEPFU_80,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201130,-
2572533,60336599,81,I5J46_gp81,SEA_FIRSTPLACEPFU_81,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201130,-
2572533,60336600,82,I5J46_gp82,SEA_FIRSTPLACEPFU_82,-,-,-,HNH endonuclease,protein-coding,-,-,-,HNH endonuclease,20201130,-
2572533,60336601,63,I5J46_gp63,SEA_FIRSTPLACEPFU_63,-,-,-,HNH endonuclease,protein-coding,-,-,-,HNH endonuclease,20201130,-
2572533,60336602,77,I5J46_gp77,SEA_FIRSTPLACEPFU_77,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201130,-
2572533,60336603,78,I5J46_gp78,SEA_FIRSTPLACEPFU_78,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201130,-
2572533,60336604,54,I5J46_gp54,SEA_FIRSTPLACEPFU_54,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201130,-
2572533,60336605,1,I5J46_gp01,SEA_FIRSTPLACEPFU_1,-,-,-,terminase small subunit,protein-coding,-,-,-,terminase small subunit,20201130,-
2572533,60350515,NEWENTRY,-,-,-,-,-,Record to support submission of GeneRIFs for a gene not in Gene.,other,-,-,-,-,20201202,-
