#tax_id,GeneID,Symbol,LocusTag,Synonyms,dbXrefs,chromosome,map_location,description,type_of_gene,Symbol_from_nomenclature_authority,Full_name_from_nomenclature_authority,Nomenclature_status,Other_designations,Modification_date,Feature_type
2099625,40101043,2,FDJ43_gp02,PBI_KOJI_2,-,-,-,terminase,protein-coding,-,-,-,terminase,20201221,-
2099625,40101071,33,FDJ43_gp33,PBI_KOJI_33,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2099625,40101072,34,FDJ43_gp34,PBI_KOJI_34,-,-,-,AAA-ATPase,protein-coding,-,-,-,AAA-ATPase,20201221,-
2099625,40101073,35,FDJ43_gp35,PBI_KOJI_35,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2099625,40101074,36,FDJ43_gp36,PBI_KOJI_36,-,-,-,exonuclease,protein-coding,-,-,-,exonuclease,20201221,-
2099625,40101075,37,FDJ43_gp37,PBI_KOJI_37,-,-,-,DNA polymerase I,protein-coding,-,-,-,DNA polymerase I,20201221,-
2099625,40101076,38,FDJ43_gp38,PBI_KOJI_38,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2099625,40101077,39,FDJ43_gp39,PBI_KOJI_39,-,-,-,DNA helicase,protein-coding,-,-,-,DNA helicase,20201221,-
2099625,40101078,40,FDJ43_gp40,PBI_KOJI_40,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2099625,40101079,41,FDJ43_gp41,PBI_KOJI_41,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2099625,40101080,42,FDJ43_gp42,PBI_KOJI_42,-,-,-,nucleotide pyrophosphohydrolase,protein-coding,-,-,-,nucleotide pyrophosphohydrolase,20201221,-
2099625,40101081,43,FDJ43_gp43,PBI_KOJI_43,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2099625,40101082,44,FDJ43_gp44,PBI_KOJI_44,-,-,-,thymidylate kinase,protein-coding,-,-,-,thymidylate kinase,20201221,-
2099625,40101083,45,FDJ43_gp45,PBI_KOJI_45,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2099625,40101084,46,FDJ43_gp46,PBI_KOJI_46,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2099625,40101085,47,FDJ43_gp47,PBI_KOJI_47,-,-,-,thymidylate synthase,protein-coding,-,-,-,thymidylate synthase,20201221,-
2099625,40101086,48,FDJ43_gp48,PBI_KOJI_48,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2099625,40101087,49,FDJ43_gp49,PBI_KOJI_49,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2099625,40101088,50,FDJ43_gp50,PBI_KOJI_50,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2099625,40101089,51,FDJ43_gp51,PBI_KOJI_51,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2099625,40101090,52,FDJ43_gp52,PBI_KOJI_52,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2099625,40101091,53,FDJ43_gp53,PBI_KOJI_53,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2099625,40101092,54,FDJ43_gp54,PBI_KOJI_54,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2099625,40101093,55,FDJ43_gp55,PBI_KOJI_55,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2099625,40101094,56,FDJ43_gp56,PBI_KOJI_56,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2099625,40101095,17,FDJ43_gp17,PBI_KOJI_17,-,-,-,tapemeasure protein,protein-coding,-,-,-,tapemeasure protein,20201221,-
2099625,40101096,15,FDJ43_gp16,PBI_KOJI_15,-,-,-,tail assembly chaperone,protein-coding,-,-,-,tail assembly chaperone,20201221,-
2099625,40101097,16,FDJ43_gp15,PBI_KOJI_16,-,-,-,tail assembly chaperone,protein-coding,-,-,-,tail assembly chaperone,20201221,-
2099625,40101098,1,FDJ43_gp01,PBI_KOJI_1,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2099625,40120566,NEWENTRY,-,-,-,-,-,Record to support submission of GeneRIFs for a gene not in Gene.,other,-,-,-,-,20200513,-
