#tax_id,GeneID,Symbol,LocusTag,Synonyms,dbXrefs,chromosome,map_location,description,type_of_gene,Symbol_from_nomenclature_authority,Full_name_from_nomenclature_authority,Nomenclature_status,Other_designations,Modification_date,Feature_type
649688,7967109,2,ANGEL_2,-,-,-,-,terminase,protein-coding,-,-,-,terminase,20201221,-
649688,7967129,22,ANGEL_22,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
649688,7967130,23,ANGEL_23,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
649688,7967131,24,ANGEL_24,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
649688,7967132,25,ANGEL_25,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
649688,7967133,26,ANGEL_26,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
649688,7967134,27,ANGEL_27,-,-,-,-,lysin A,protein-coding,-,-,-,lysin A,20210424,-
649688,7967135,28,ANGEL_28,-,-,-,-,lysin B,protein-coding,-,-,-,lysin B,20201221,-
649688,7967136,29,ANGEL_29,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
649688,7967137,30,ANGEL_30,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
649688,7967138,31,ANGEL_31,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
649688,7967139,32,ANGEL_32,-,-,-,-,integrase,protein-coding,-,-,-,integrase,20201221,-
649688,7967140,33,ANGEL_33,-,-,-,-,repressor,protein-coding,-,-,-,repressor,20201221,-
649688,7967141,34,ANGEL_34,-,-,-,-,RDF protein,protein-coding,-,-,-,RDF protein,20210417,-
649688,7967142,35,ANGEL_35,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
649688,7967143,36,ANGEL_36,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
649688,7967144,37,ANGEL_37,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
649688,7967145,38,ANGEL_38,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210417,-
649688,7967146,39,ANGEL_39,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
649688,7967147,40,ANGEL_40,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
649688,7967148,41,ANGEL_41,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
649688,7967149,42,ANGEL_42,-,-,-,-,RecE,protein-coding,-,-,-,RecE,20201221,-
649688,7967150,43,ANGEL_43,-,-,-,-,RecT,protein-coding,-,-,-,RecT,20201221,-
649688,7967151,44,ANGEL_44,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
649688,7967152,45,ANGEL_45,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
649688,7967153,47,ANGEL_47,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
649688,7967154,49,ANGEL_49,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
649688,7967155,50,ANGEL_50,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
649688,7967156,51,ANGEL_51,-,-,-,-,RuvC,protein-coding,-,-,-,RuvC,20201221,-
649688,7967157,52,ANGEL_52,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
649688,7967158,53,ANGEL_53,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
649688,7967159,54,ANGEL_54,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
649688,7967160,55,ANGEL_55,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
649688,7967161,56,ANGEL_56,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
649688,7967162,57,ANGEL_57,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
649688,7967163,58,ANGEL_58,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
649688,7967164,59,ANGEL_59,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
649688,7967165,60,ANGEL_60,-,-,-,-,HNH endonuclease,protein-coding,-,-,-,HNH endonuclease,20210424,-
649688,7967166,61,ANGEL_61,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
649688,7967167,48,ANGEL_48,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
649688,7967168,46,ANGEL_46,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
649688,7967169,1,ANGEL_1,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
649688,7984439,NEWENTRY,-,-,-,-,-,Record to support submission of GeneRIFs for a gene not in Gene.,other,-,-,-,-,20200513,-
