#tax_id,GeneID,Symbol,LocusTag,Synonyms,dbXrefs,chromosome,map_location,description,type_of_gene,Symbol_from_nomenclature_authority,Full_name_from_nomenclature_authority,Nomenclature_status,Other_designations,Modification_date,Feature_type
2065199,40098800,2,FDJ24_gp02,PBI_DISMAS_2,-,-,-,terminase small subunit,protein-coding,-,-,-,terminase small subunit,20200910,-
2065199,40098823,25,FDJ24_gp25,PBI_DISMAS_25,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2065199,40098824,26,FDJ24_gp26,PBI_DISMAS_26,-,-,-,exonuclease,protein-coding,-,-,-,exonuclease,20200910,-
2065199,40098825,27,FDJ24_gp27,PBI_DISMAS_27,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2065199,40098826,28,FDJ24_gp28,PBI_DISMAS_28,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2065199,40098827,29,FDJ24_gp29,PBI_DISMAS_29,-,-,-,dUTP pyrophosphatase,protein-coding,-,-,-,dUTP pyrophosphatase,20200910,-
2065199,40098828,30,FDJ24_gp30,PBI_DISMAS_30,-,-,-,thymidylate synthase,protein-coding,-,-,-,thymidylate synthase,20200910,-
2065199,40098829,31,FDJ24_gp31,PBI_DISMAS_31,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2065199,40098830,32,FDJ24_gp32,PBI_DISMAS_32,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2065199,40098831,33,FDJ24_gp33,PBI_DISMAS_33,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2065199,40098832,34,FDJ24_gp34,PBI_DISMAS_34,-,-,-,thioredoxin,protein-coding,-,-,-,thioredoxin,20200910,-
2065199,40098833,35,FDJ24_gp35,PBI_DISMAS_35,-,-,-,endonuclease,protein-coding,-,-,-,endonuclease,20200910,-
2065199,40098834,36,FDJ24_gp36,PBI_DISMAS_36,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2065199,40098835,37,FDJ24_gp37,PBI_DISMAS_37,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2065199,40098836,38,FDJ24_gp38,PBI_DISMAS_38,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2065199,40098837,39,FDJ24_gp39,PBI_DISMAS_39,-,-,-,DNA primase,protein-coding,-,-,-,DNA primase,20200910,-
2065199,40098838,40,FDJ24_gp40,PBI_DISMAS_40,-,-,-,DNA polymerase I,protein-coding,-,-,-,DNA polymerase I,20200910,-
2065199,40098839,41,FDJ24_gp41,PBI_DISMAS_41,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2065199,40098840,42,FDJ24_gp42,PBI_DISMAS_42,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2065199,40098841,43,FDJ24_gp43,PBI_DISMAS_43,-,-,-,helix-turn-helix DNA binding protein,protein-coding,-,-,-,helix-turn-helix DNA binding protein,20200919,-
2065199,40098842,44,FDJ24_gp44,PBI_DISMAS_44,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2065199,40098843,45,FDJ24_gp45,PBI_DISMAS_45,-,-,-,SprT-like domain protein,protein-coding,-,-,-,SprT-like domain protein,20200910,-
2065199,40098844,46,FDJ24_gp46,PBI_DISMAS_46,-,-,-,helix-turn-helix DNA binding protein,protein-coding,-,-,-,helix-turn-helix DNA binding protein,20200910,-
2065199,40098845,47,FDJ24_gp47,PBI_DISMAS_47,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2065199,40098846,48,FDJ24_gp48,PBI_DISMAS_48,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2065199,40098847,49,FDJ24_gp49,PBI_DISMAS_49,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2065199,40098848,50,FDJ24_gp50,PBI_DISMAS_50,-,-,-,HNH endonuclease,protein-coding,-,-,-,HNH endonuclease,20200910,-
2065199,40098849,51,FDJ24_gp51,PBI_DISMAS_51,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2065199,40098850,52,FDJ24_gp52,PBI_DISMAS_52,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2065199,40098851,53,FDJ24_gp53,PBI_DISMAS_53,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2065199,40098852,54,FDJ24_gp54,PBI_DISMAS_54,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2065199,40098853,55,FDJ24_gp55,PBI_DISMAS_55,-,-,-,thymidylate synthase,protein-coding,-,-,-,thymidylate synthase,20200910,-
2065199,40098854,56,FDJ24_gp56,PBI_DISMAS_56,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2065199,40098855,57,FDJ24_gp57,PBI_DISMAS_57,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2065199,40098856,58,FDJ24_gp58,PBI_DISMAS_58,-,-,-,thymidylate synthase,protein-coding,-,-,-,thymidylate synthase,20200910,-
2065199,40098857,59,FDJ24_gp59,PBI_DISMAS_59,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2065199,40098858,60,FDJ24_gp60,PBI_DISMAS_60,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2065199,40098859,61,FDJ24_gp61,PBI_DISMAS_61,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2065199,40098860,62,FDJ24_gp62,PBI_DISMAS_62,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2065199,40098861,63,FDJ24_gp63,PBI_DISMAS_63,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2065199,40098862,64,FDJ24_gp64,PBI_DISMAS_64,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2065199,40098863,65,FDJ24_gp65,PBI_DISMAS_65,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2065199,40098864,66,FDJ24_gt01,PBI_DISMAS_66,-,-,-,tRNA,tRNA,-,-,-,-,20200910,-
2065199,40098865,67,FDJ24_gp66,PBI_DISMAS_67,-,-,-,HNH endonuclease,protein-coding,-,-,-,HNH endonuclease,20200919,-
2065199,40098866,1,FDJ24_gp01,PBI_DISMAS_1,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2065199,40120534,NEWENTRY,-,-,-,-,-,Record to support submission of GeneRIFs for a gene not in Gene.,other,-,-,-,-,20200513,-
