#tax_id,GeneID,Symbol,LocusTag,Synonyms,dbXrefs,chromosome,map_location,description,type_of_gene,Symbol_from_nomenclature_authority,Full_name_from_nomenclature_authority,Nomenclature_status,Other_designations,Modification_date,Feature_type
2723896,55630129,HWD29_gp002,HWD29_gp002,kps8_002,-,-,-,rIIB lysis inhibitor,protein-coding,-,-,-,rIIB lysis inhibitor,20200620,-
2723896,55630151,HWD29_gp024,HWD29_gp024,kps8_024,-,-,-,nicotinamide-nucleotide adenylyltransferase,protein-coding,-,-,-,nicotinamide-nucleotide adenylyltransferase,20210327,-
2723896,55630152,HWD29_gp025,HWD29_gp025,kps8_025,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2723896,55630153,HWD29_gp026,HWD29_gp026,kps8_026,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2723896,55630154,HWD29_gp027,HWD29_gp027,kps8_027,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210327,-
2723896,55630155,HWD29_gp028,HWD29_gp028,kps8_028,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2723896,55630156,HWD29_gp029,HWD29_gp029,kps8_029,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2723896,55630157,HWD29_gp030,HWD29_gp030,kps8_030,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2723896,55630158,HWD29_gp031,HWD29_gp031,kps8_031,-,-,-,nicotinamide mononucleotide transporter,protein-coding,-,-,-,nicotinamide mononucleotide transporter,20210327,-
2723896,55630159,HWD29_gp032,HWD29_gp032,kps8_032,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2723896,55630160,HWD29_gp033,HWD29_gp033,kps8_033,-,-,-,putative lipoprotein,protein-coding,-,-,-,putative lipoprotein,20210327,-
2723896,55630161,HWD29_gp034,HWD29_gp034,kps8_034,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2723896,55630162,HWD29_gp035,HWD29_gp035,kps8_035,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210327,-
2723896,55630163,HWD29_gp036,HWD29_gp036,kps8_036,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2723896,55630164,HWD29_gp037,HWD29_gp037,kps8_037,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2723896,55630165,HWD29_gp038,HWD29_gp038,kps8_038,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2723896,55630166,HWD29_gp039,HWD29_gp039,kps8_039,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2723896,55630167,HWD29_gp040,HWD29_gp040,kps8_040,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210327,-
2723896,55630168,HWD29_gp041,HWD29_gp041,kps8_041,-,-,-,tail fiber protein,protein-coding,-,-,-,tail fiber protein,20210327,-
2723896,55630169,HWD29_gp042,HWD29_gp042,kps8_042,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2723896,55630170,HWD29_gp043,HWD29_gp043,kps8_043,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2723896,55630171,HWD29_gp044,HWD29_gp044,kps8_044,-,-,-,membrane protein,protein-coding,-,-,-,membrane protein,20210212,-
2723896,55630172,HWD29_gp045,HWD29_gp045,kps8_045,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2723896,55630173,HWD29_gp046,HWD29_gp046,kps8_046,-,-,-,tail fiber protein,protein-coding,-,-,-,tail fiber protein,20200620,-
2723896,55630174,HWD29_gp047,HWD29_gp047,kps8_047,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2723896,55630175,HWD29_gp048,HWD29_gp048,kps8_048,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210212,-
2723896,55630176,HWD29_gp049,HWD29_gp049,kps8_049,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210212,-
2723896,55630177,HWD29_gp050,HWD29_gp050,kps8_050,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2723896,55630178,HWD29_gp051,HWD29_gp051,kps8_051,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210327,-
2723896,55630179,HWD29_gp052,HWD29_gp052,kps8_052,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2723896,55630180,HWD29_gp053,HWD29_gp053,kps8_053,-,-,-,pectate lyase superfamily protein,protein-coding,-,-,-,pectate lyase superfamily protein,20210327,-
2723896,55630181,HWD29_gp054,HWD29_gp054,kps8_054,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2723896,55630182,HWD29_gp055,HWD29_gp055,kps8_055,-,-,-,baseplate assembly protein,protein-coding,-,-,-,baseplate assembly protein,20210212,-
2723896,55630183,HWD29_gp056,HWD29_gp056,kps8_056,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2723896,55630184,HWD29_gp057,HWD29_gp057,kps8_057,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2723896,55630185,HWD29_gp058,HWD29_gp058,kps8_058,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2723896,55630186,HWD29_gp059,HWD29_gp059,kps8_059,-,-,-,tail length tape-measure protein,protein-coding,-,-,-,tail length tape-measure protein,20210327,-
2723896,55630187,HWD29_gp060,HWD29_gp060,kps8_060,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2723896,55630188,HWD29_gp061,HWD29_gp061,kps8_061,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2723896,55630189,HWD29_gp062,HWD29_gp062,kps8_062,-,-,-,structural protein,protein-coding,-,-,-,structural protein,20210212,-
2723896,55630190,HWD29_gp063,HWD29_gp063,kps8_063,-,-,-,structural protein,protein-coding,-,-,-,structural protein,20210212,-
2723896,55630191,HWD29_gp064,HWD29_gp064,kps8_064,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2723896,55630192,HWD29_gp065,HWD29_gp065,kps8_065,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2723896,55630193,HWD29_gp066,HWD29_gp066,kps8_066,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2723896,55630194,HWD29_gp067,HWD29_gp067,kps8_067,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2723896,55630195,HWD29_gp068,HWD29_gp068,kps8_068,-,-,-,membrane protein,protein-coding,-,-,-,membrane protein,20200620,-
2723896,55630196,HWD29_gp069,HWD29_gp069,kps8_069,-,-,-,head fiber protein,protein-coding,-,-,-,head fiber protein,20210212,-
2723896,55630197,HWD29_gp070,HWD29_gp070,kps8_070,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2723896,55630198,HWD29_gp071,HWD29_gp071,kps8_071,-,-,-,major capsid protein,protein-coding,-,-,-,major capsid protein,20210327,-
2723896,55630199,HWD29_gp072,HWD29_gp072,kps8_072,-,-,-,head stabilization/decoration protein,protein-coding,-,-,-,head stabilization/decoration protein,20200620,-
2723896,55630200,HWD29_gp073,HWD29_gp073,kps8_073,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210212,-
2723896,55630201,HWD29_gp074,HWD29_gp074,kps8_074,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210212,-
2723896,55630202,HWD29_gp075,HWD29_gp075,kps8_075,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2723896,55630203,HWD29_gp076,HWD29_gp076,kps8_076,-,-,-,terminase large subunit,protein-coding,-,-,-,terminase large subunit,20210212,-
2723896,55630204,HWD29_gp077,HWD29_gp077,kps8_077,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2723896,55630205,HWD29_gp078,HWD29_gp078,kps8_078,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2723896,55630206,HWD29_gp079,HWD29_gp079,kps8_079,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2723896,55630207,HWD29_gp080,HWD29_gp080,kps8_080,-,-,-,endonuclease VII,protein-coding,-,-,-,endonuclease VII,20210327,-
2723896,55630208,HWD29_gt001,HWD29_gt001,kps8_t001,-,-,-,tRNA,tRNA,-,-,-,-,20200910,-
2723896,55630209,HWD29_gt002,HWD29_gt002,kps8_t002,-,-,-,tRNA,tRNA,-,-,-,-,20200910,-
2723896,55630210,HWD29_gt003,HWD29_gt003,kps8_t003,-,-,-,tRNA,tRNA,-,-,-,-,20200910,-
2723896,55630211,HWD29_gt004,HWD29_gt004,kps8_t004,-,-,-,tRNA,tRNA,-,-,-,-,20200910,-
2723896,55630212,HWD29_gp261,HWD29_gp261,kps8_081,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2723896,55630213,HWD29_gt005,HWD29_gt005,kps8_t005,-,-,-,tRNA,tRNA,-,-,-,-,20200910,-
2723896,55630214,HWD29_gt006,HWD29_gt006,kps8_t006,-,-,-,tRNA,tRNA,-,-,-,-,20200910,-
2723896,55630215,HWD29_gt007,HWD29_gt007,kps8_t007,-,-,-,tRNA,tRNA,-,-,-,-,20200910,-
2723896,55630216,HWD29_gp260,HWD29_gp260,kps8_082,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2723896,55630217,HWD29_gt008,HWD29_gt008,kps8_t008,-,-,-,tRNA,tRNA,-,-,-,-,20200910,-
2723896,55630218,HWD29_gt009,HWD29_gt009,kps8_t009,-,-,-,tRNA,tRNA,-,-,-,-,20200910,-
2723896,55630219,HWD29_gt010,HWD29_gt010,kps8_t010,-,-,-,tRNA,tRNA,-,-,-,-,20200910,-
2723896,55630220,HWD29_gt011,HWD29_gt011,kps8_t011,-,-,-,tRNA,tRNA,-,-,-,-,20200910,-
2723896,55630221,HWD29_gt012,HWD29_gt012,kps8_t012,-,-,-,tRNA,tRNA,-,-,-,-,20200910,-
2723896,55630222,HWD29_gp259,HWD29_gp259,kps8_083,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2723896,55630223,HWD29_gt013,HWD29_gt013,kps8_t013,-,-,-,tRNA,tRNA,-,-,-,-,20200910,-
2723896,55630224,HWD29_gt014,HWD29_gt014,kps8_t014,-,-,-,tRNA,tRNA,-,-,-,-,20200910,-
2723896,55630225,HWD29_gt015,HWD29_gt015,kps8_t015,-,-,-,tRNA,tRNA,-,-,-,-,20200910,-
2723896,55630226,HWD29_gp258,HWD29_gp258,kps8_084,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2723896,55630227,HWD29_gp257,HWD29_gp257,kps8_085,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2723896,55630228,HWD29_gp256,HWD29_gp256,kps8_086,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2723896,55630229,HWD29_gp255,HWD29_gp255,kps8_087,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2723896,55630230,HWD29_gt016,HWD29_gt016,kps8_t016,-,-,-,tRNA,tRNA,-,-,-,-,20200910,-
2723896,55630231,HWD29_gp254,HWD29_gp254,kps8_088,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2723896,55630232,HWD29_gt017,HWD29_gt017,kps8_t017,-,-,-,tRNA,tRNA,-,-,-,-,20200910,-
2723896,55630233,HWD29_gp253,HWD29_gp253,kps8_089,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2723896,55630234,HWD29_gp001,HWD29_gp001,kps8_001,-,-,-,rIIA lysis inhibitor,protein-coding,-,-,-,rIIA lysis inhibitor,20210327,-
2723896,55630235,HWD29_gp252,HWD29_gp252,kps8_090,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2723896,55630236,HWD29_gp251,HWD29_gp251,kps8_091,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2723896,55630237,HWD29_gp250,HWD29_gp250,kps8_092,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2723896,55630238,HWD29_gp249,HWD29_gp249,kps8_093,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2723896,55630239,HWD29_gp248,HWD29_gp248,kps8_094,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2723896,55630240,HWD29_gp247,HWD29_gp247,kps8_095,-,-,-,nicotinamide phosphoribosyltransferase,protein-coding,-,-,-,nicotinamide phosphoribosyltransferase,20210327,-
2723896,55630241,HWD29_gp246,HWD29_gp246,kps8_096,-,-,-,ribose-phosphate pyrophosphokinase,protein-coding,-,-,-,ribose-phosphate pyrophosphokinase,20210327,-
2723896,55630242,HWD29_gp245,HWD29_gp245,kps8_097,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210327,-
2723896,55630243,HWD29_gp244,HWD29_gp244,kps8_098,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2723896,55630244,HWD29_gp243,HWD29_gp243,kps8_099,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2723896,55630245,HWD29_gp242,HWD29_gp242,kps8_100,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2723896,55630246,HWD29_gp241,HWD29_gp241,kps8_101,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2723896,55630247,HWD29_gp240,HWD29_gp240,kps8_102,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210327,-
2723896,55630248,HWD29_gp239,HWD29_gp239,kps8_103,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2723896,55630249,HWD29_gp238,HWD29_gp238,kps8_104,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2723896,55630250,HWD29_gp237,HWD29_gp237,kps8_105,-,-,-,RNA ligase,protein-coding,-,-,-,RNA ligase,20210327,-
2723896,55630251,HWD29_gp236,HWD29_gp236,kps8_106,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2723896,55630252,HWD29_gp235,HWD29_gp235,kps8_107,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210327,-
2723896,55630253,HWD29_gp234,HWD29_gp234,kps8_108,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2723896,55630254,HWD29_gp233,HWD29_gp233,kps8_109,-,-,-,Sir2-like protein,protein-coding,-,-,-,Sir2-like protein,20210327,-
2723896,55630255,HWD29_gp232,HWD29_gp232,kps8_110,-,-,-,DNA ligase,protein-coding,-,-,-,DNA ligase,20210327,-
2723896,55630256,HWD29_gp231,HWD29_gp231,kps8_111,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2723896,55630257,HWD29_gp230,HWD29_gp230,kps8_112,-,-,-,membrane protein,protein-coding,-,-,-,membrane protein,20210212,-
2723896,55630258,HWD29_gp229,HWD29_gp229,kps8_113,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2723896,55630259,HWD29_gp228,HWD29_gp228,kps8_114,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210327,-
2723896,55630260,HWD29_gp227,HWD29_gp227,kps8_115,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2723896,55630261,HWD29_gp226,HWD29_gp226,kps8_116,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210212,-
2723896,55630262,HWD29_gp225,HWD29_gp225,kps8_117,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2723896,55630263,HWD29_gp224,HWD29_gp224,kps8_118,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2723896,55630264,HWD29_gp223,HWD29_gp223,kps8_119,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210327,-
2723896,55630265,HWD29_gp222,HWD29_gp222,kps8_120,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2723896,55630266,HWD29_gp221,HWD29_gp221,kps8_121,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210327,-
2723896,55630267,HWD29_gp220,HWD29_gp220,kps8_122,-,-,-,HNH endonuclease,protein-coding,-,-,-,HNH endonuclease,20200620,-
2723896,55630268,HWD29_gp219,HWD29_gp219,kps8_123,-,-,-,exodeoxyribonuclease,protein-coding,-,-,-,exodeoxyribonuclease,20210212,-
2723896,55630269,HWD29_gp218,HWD29_gp218,kps8_124,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2723896,55630270,HWD29_gp217,HWD29_gp217,kps8_125,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2723896,55630271,HWD29_gp216,HWD29_gp216,kps8_126,-,-,-,packaging and recombination endonuclease,protein-coding,-,-,-,packaging and recombination endonuclease,20210327,-
2723896,55630272,HWD29_gp215,HWD29_gp215,kps8_127,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210212,-
2723896,55630273,HWD29_gp214,HWD29_gp214,kps8_128,-,-,-,DNA polymerase III epsilon subunit,protein-coding,-,-,-,DNA polymerase III epsilon subunit,20210212,-
2723896,55630274,HWD29_gp213,HWD29_gp213,kps8_129,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2723896,55630275,HWD29_gp212,HWD29_gp212,kps8_130,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2723896,55630276,HWD29_gp211,HWD29_gp211,kps8_131,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2723896,55630277,HWD29_gp210,HWD29_gp210,kps8_132,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2723896,55630278,HWD29_gp209,HWD29_gp209,kps8_133,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2723896,55630279,HWD29_gp208,HWD29_gp208,kps8_134,-,-,-,thymidylate synthase,protein-coding,-,-,-,thymidylate synthase,20210327,-
2723896,55630280,HWD29_gp207,HWD29_gp207,kps8_135,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2723896,55630281,HWD29_gp206,HWD29_gp206,kps8_136,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2723896,55630282,HWD29_gp205,HWD29_gp205,kps8_137,-,-,-,"ribonucleotide reductase of class Ia (aerobic), alpha subunit",protein-coding,-,-,-,"ribonucleotide reductase of class Ia (aerobic), alpha subunit",20210327,-
2723896,55630283,HWD29_gp204,HWD29_gp204,kps8_138,-,-,-,"ribonucleotide reductase of class Ia (aerobic), beta subunit",protein-coding,-,-,-,"ribonucleotide reductase of class Ia (aerobic), beta subunit",20210212,-
2723896,55630284,HWD29_gp203,HWD29_gp203,kps8_139,-,-,-,glutaredoxin 1,protein-coding,-,-,-,glutaredoxin 1,20210327,-
2723896,55630285,HWD29_gp202,HWD29_gp202,kps8_140,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2723896,55630286,HWD29_gp201,HWD29_gp201,kps8_141,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2723896,55630287,HWD29_gp200,HWD29_gp200,kps8_142,-,-,-,endolysin,protein-coding,-,-,-,endolysin,20210212,-
2723896,55630288,HWD29_gp199,HWD29_gp199,kps8_143,-,-,-,PhoH-like protein,protein-coding,-,-,-,PhoH-like protein,20210212,-
2723896,55630289,HWD29_gp198,HWD29_gp198,kps8_144,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2723896,55630290,HWD29_gp197,HWD29_gp197,kps8_145,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2723896,55630291,HWD29_gp196,HWD29_gp196,kps8_146,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2723896,55630292,HWD29_gp195,HWD29_gp195,kps8_147,-,-,-,ATP-dependent protease,protein-coding,-,-,-,ATP-dependent protease,20210212,-
2723896,55630293,HWD29_gp194,HWD29_gp194,kps8_148,-,-,-,DNA methyltransferase,protein-coding,-,-,-,DNA methyltransferase,20200620,-
2723896,55630294,HWD29_gp193,HWD29_gp193,kps8_149,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2723896,55630295,HWD29_gp192,HWD29_gp192,kps8_150,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2723896,55630296,HWD29_gp191,HWD29_gp191,kps8_151,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2723896,55630297,HWD29_gp190,HWD29_gp190,kps8_152,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2723896,55630298,HWD29_gp189,HWD29_gp189,kps8_153,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2723896,55630299,HWD29_gp188,HWD29_gp188,kps8_154,-,-,-,tRNA nucleotidyltransferase,protein-coding,-,-,-,tRNA nucleotidyltransferase,20210327,-
2723896,55630300,HWD29_gp187,HWD29_gp187,kps8_155,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2723896,55630301,HWD29_gp186,HWD29_gp186,kps8_156,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2723896,55630302,HWD29_gp185,HWD29_gp185,kps8_157,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2723896,55630303,HWD29_gp184,HWD29_gp184,kps8_158,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2723896,55630304,HWD29_gp183,HWD29_gp183,kps8_159,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2723896,55630305,HWD29_gp182,HWD29_gp182,kps8_160,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2723896,55630306,HWD29_gp181,HWD29_gp181,kps8_161,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210327,-
2723896,55630307,HWD29_gp180,HWD29_gp180,kps8_162,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2723896,55630308,HWD29_gp179,HWD29_gp179,kps8_163,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2723896,55630309,HWD29_gp178,HWD29_gp178,kps8_164,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2723896,55630310,HWD29_gp177,HWD29_gp177,kps8_165,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2723896,55630311,HWD29_gp176,HWD29_gp176,kps8_166,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2723896,55630312,HWD29_gp175,HWD29_gp175,kps8_167,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2723896,55630313,HWD29_gp174,HWD29_gp174,kps8_168,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2723896,55630314,HWD29_gp173,HWD29_gp173,kps8_169,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2723896,55630315,HWD29_gp172,HWD29_gp172,kps8_170,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2723896,55630316,HWD29_gp171,HWD29_gp171,kps8_171,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
