#tax_id,GeneID,Symbol,LocusTag,Synonyms,dbXrefs,chromosome,map_location,description,type_of_gene,Symbol_from_nomenclature_authority,Full_name_from_nomenclature_authority,Nomenclature_status,Other_designations,Modification_date,Feature_type
1034101,40233153,2,FGG21_gp002,PBI_DLANE_2,-,-,-,terminase,protein-coding,-,-,-,terminase,20201220,-
1034101,40233183,32,FGG21_gp032,PBI_DLANE_32,-,-,-,holin,protein-coding,-,-,-,holin,20210406,-
1034101,40233184,33,FGG21_gp033,PBI_DLANE_33,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210403,-
1034101,40233185,34,FGG21_gp034,PBI_DLANE_34,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1034101,40233186,35,FGG21_gp035,PBI_DLANE_35,-,-,-,DnaQ,protein-coding,-,-,-,DnaQ,20201220,-
1034101,40233187,36,FGG21_gp036,PBI_DLANE_36,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1034101,40233188,37,FGG21_gp037,PBI_DLANE_37,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1034101,40233189,38,FGG21_gp038,PBI_DLANE_38,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1034101,40233190,39,FGG21_gp039,PBI_DLANE_39,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1034101,40233191,40,FGG21_gp040,PBI_DLANE_40,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1034101,40233192,41,FGG21_gp041,PBI_DLANE_41,-,-,-,integrase,protein-coding,-,-,-,integrase,20201220,-
1034101,40233193,42,FGG21_gp042,PBI_DLANE_42,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1034101,40233194,43,FGG21_gp043,PBI_DLANE_43,-,-,-,immunity repressor,protein-coding,-,-,-,immunity repressor,20201220,-
1034101,40233195,44,FGG21_gp044,PBI_DLANE_44,-,-,-,DNA binding protein,protein-coding,-,-,-,DNA binding protein,20201220,-
1034101,40233196,45,FGG21_gp045,PBI_DLANE_45,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1034101,40233197,46,FGG21_gp046,PBI_DLANE_46,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1034101,40233198,47,FGG21_gp047,PBI_DLANE_47,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1034101,40233199,48,FGG21_gp048,PBI_DLANE_48,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1034101,40233200,49,FGG21_gp049,PBI_DLANE_49,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1034101,40233201,50,FGG21_gp050,PBI_DLANE_50,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1034101,40233202,51,FGG21_gp051,PBI_DLANE_51,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1034101,40233203,52,FGG21_gp052,PBI_DLANE_52,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1034101,40233204,53,FGG21_gp053,PBI_DLANE_53,-,-,-,WhiB family transcription factor,protein-coding,-,-,-,WhiB family transcription factor,20201220,-
1034101,40233205,54,FGG21_gp054,PBI_DLANE_54,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1034101,40233206,55,FGG21_gp055,PBI_DLANE_55,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1034101,40233207,56,FGG21_gp056,PBI_DLANE_56,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1034101,40233208,57,FGG21_gp057,PBI_DLANE_57,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1034101,40233209,58,FGG21_gp058,PBI_DLANE_58,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1034101,40233210,59,FGG21_gp059,PBI_DLANE_59,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1034101,40233211,60,FGG21_gp060,PBI_DLANE_60,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1034101,40233212,61,FGG21_gp061,PBI_DLANE_61,-,-,-,DNA methylase,protein-coding,-,-,-,DNA methylase,20201220,-
1034101,40233213,62,FGG21_gp062,PBI_DLANE_62,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1034101,40233214,63,FGG21_gp063,PBI_DLANE_63,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1034101,40233215,64,FGG21_gp064,PBI_DLANE_64,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1034101,40233216,65,FGG21_gp065,PBI_DLANE_65,-,-,-,methylase,protein-coding,-,-,-,methylase,20201220,-
1034101,40233217,66,FGG21_gp066,PBI_DLANE_66,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1034101,40233218,67,FGG21_gp067,PBI_DLANE_67,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1034101,40233219,68,FGG21_gp068,PBI_DLANE_68,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1034101,40233220,69,FGG21_gp069,PBI_DLANE_69,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1034101,40233221,70,FGG21_gp070,PBI_DLANE_70,-,-,-,DNA methylase,protein-coding,-,-,-,DNA methylase,20201220,-
1034101,40233222,71,FGG21_gp071,PBI_DLANE_71,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1034101,40233223,72,FGG21_gp072,PBI_DLANE_72,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1034101,40233224,73,FGG21_gp073,PBI_DLANE_73,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1034101,40233225,74,FGG21_gp074,PBI_DLANE_74,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1034101,40233226,75,FGG21_gp075,PBI_DLANE_75,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1034101,40233227,76,FGG21_gp076,PBI_DLANE_76,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1034101,40233228,77,FGG21_gp077,PBI_DLANE_77,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1034101,40233229,78,FGG21_gp078,PBI_DLANE_78,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1034101,40233230,79,FGG21_gp079,PBI_DLANE_79,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1034101,40233231,80,FGG21_gp080,PBI_DLANE_80,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1034101,40233232,81,FGG21_gp081,PBI_DLANE_81,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1034101,40233233,82,FGG21_gp082,PBI_DLANE_82,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1034101,40233234,83,FGG21_gp083,PBI_DLANE_83,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1034101,40233235,84,FGG21_gp084,PBI_DLANE_84,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1034101,40233236,85,FGG21_gp085,PBI_DLANE_85,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1034101,40233237,86,FGG21_gp086,PBI_DLANE_86,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1034101,40233238,87,FGG21_gp087,PBI_DLANE_87,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1034101,40233239,88,FGG21_gp088,PBI_DLANE_88,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1034101,40233240,89,FGG21_gp089,PBI_DLANE_89,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1034101,40233241,90,FGG21_gp090,PBI_DLANE_90,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1034101,40233242,91,FGG21_gp091,PBI_DLANE_91,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1034101,40233243,92,FGG21_gp092,PBI_DLANE_92,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1034101,40233244,93,FGG21_gp093,PBI_DLANE_93,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1034101,40233245,94,FGG21_gp094,PBI_DLANE_94,-,-,-,MerR,protein-coding,-,-,-,MerR,20210406,-
1034101,40233246,95,FGG21_gp095,PBI_DLANE_95,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1034101,40233247,96,FGG21_gp096,PBI_DLANE_96,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1034101,40233248,97,FGG21_gp097,PBI_DLANE_97,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1034101,40233249,98,FGG21_gp098,PBI_DLANE_98,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1034101,40233250,99,FGG21_gp099,PBI_DLANE_99,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1034101,40233251,100,FGG21_gp100,PBI_DLANE_100,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1034101,40233252,101,FGG21_gp101,PBI_DLANE_101,-,-,-,glycosyl transferase,protein-coding,-,-,-,glycosyl transferase,20201220,-
1034101,40233253,102,FGG21_gp102,PBI_DLANE_102,-,-,-,serine/threonine kinase,protein-coding,-,-,-,serine/threonine kinase,20201220,-
1034101,40233254,103,FGG21_gp103,PBI_DLANE_103,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1034101,40233255,104,FGG21_gp104,PBI_DLANE_104,-,-,-,glycosyl transferase,protein-coding,-,-,-,glycosyl transferase,20201220,-
1034101,40233256,105,FGG21_gp105,PBI_DLANE_105,-,-,-,HNH endonuclease,protein-coding,-,-,-,HNH endonuclease,20210424,-
1034101,40233257,1,FGG21_gp001,PBI_DLANE_1,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1034101,40340335,NEWENTRY,-,-,-,-,-,Record to support submission of GeneRIFs for a gene not in Gene (Mycobacteriophage DLane; Mycobacterium phage DLane).,other,-,-,-,-,20200513,-
