#tax_id,GeneID,Symbol,LocusTag,Synonyms,dbXrefs,chromosome,map_location,description,type_of_gene,Symbol_from_nomenclature_authority,Full_name_from_nomenclature_authority,Nomenclature_status,Other_designations,Modification_date,Feature_type
1897549,63925773,2,KDW70_gp02,PBI_TAHEERA_2,-,-,-,terminase large subunit,protein-coding,-,-,-,terminase large subunit,20210422,-
1897549,63925805,34,KDW70_gp34,PBI_TAHEERA_34,-,-,-,recombination directionality factor,protein-coding,-,-,-,recombination directionality factor,20210422,-
1897549,63925806,35,KDW70_gp35,PBI_TAHEERA_35,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210422,-
1897549,63925807,36,KDW70_gp36,PBI_TAHEERA_36,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210422,-
1897549,63925808,37,KDW70_gp37,PBI_TAHEERA_37,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210422,-
1897549,63925809,38,KDW70_gp38,PBI_TAHEERA_38,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210422,-
1897549,63925810,39,KDW70_gp39,PBI_TAHEERA_39,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210422,-
1897549,63925811,40,KDW70_gp40,PBI_TAHEERA_40,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210422,-
1897549,63925812,41,KDW70_gp41,PBI_TAHEERA_41,-,-,-,exonuclease,protein-coding,-,-,-,exonuclease,20210422,-
1897549,63925813,42,KDW70_gp42,PBI_TAHEERA_42,-,-,-,ssDNA binding protein,protein-coding,-,-,-,ssDNA binding protein,20210422,-
1897549,63925814,43,KDW70_gp43,PBI_TAHEERA_43,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210422,-
1897549,63925815,44,KDW70_gp44,PBI_TAHEERA_44,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210422,-
1897549,63925816,45,KDW70_gp45,PBI_TAHEERA_45,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210422,-
1897549,63925817,46,KDW70_gp46,PBI_TAHEERA_46,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210422,-
1897549,63925818,47,KDW70_gp47,PBI_TAHEERA_47,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210422,-
1897549,63925819,48,KDW70_gp48,PBI_TAHEERA_48,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210422,-
1897549,63925820,49,KDW70_gp49,PBI_TAHEERA_49,-,-,-,RuvC-like resolvase,protein-coding,-,-,-,RuvC-like resolvase,20210422,-
1897549,63925821,50,KDW70_gp50,PBI_TAHEERA_50,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210422,-
1897549,63925822,51,KDW70_gp51,PBI_TAHEERA_51,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210422,-
1897549,63925823,52,KDW70_gp52,PBI_TAHEERA_52,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210422,-
1897549,63925824,53,KDW70_gp53,PBI_TAHEERA_53,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210422,-
1897549,63925825,54,KDW70_gp54,PBI_TAHEERA_54,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210422,-
1897549,63925826,55,KDW70_gp55,PBI_TAHEERA_55,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210422,-
1897549,63925827,56,KDW70_gp56,PBI_TAHEERA_56,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210422,-
1897549,63925828,57,KDW70_gp57,PBI_TAHEERA_57,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210422,-
1897549,63925829,58,KDW70_gp58,PBI_TAHEERA_58,-,-,-,HNH endonuclease,protein-coding,-,-,-,HNH endonuclease,20210422,-
1897549,63925830,59,KDW70_gp59,PBI_TAHEERA_59,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210422,-
1897549,63925831,60,KDW70_gp60,PBI_TAHEERA_60,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210422,-
1897549,63925832,1,KDW70_gp01,PBI_TAHEERA_1,-,-,-,terminase small subunit,protein-coding,-,-,-,terminase small subunit,20210422,-
1897549,64409702,NEWENTRY,-,-,-,-,-,Record to support submission of GeneRIFs for a gene not in Gene (Mycobacteriophage Taheera).,other,-,-,-,-,20210426,-
