#tax_id,GeneID,Symbol,LocusTag,Synonyms,dbXrefs,chromosome,map_location,description,type_of_gene,Symbol_from_nomenclature_authority,Full_name_from_nomenclature_authority,Nomenclature_status,Other_designations,Modification_date,Feature_type
1655013,40079509,FDH71_gp02,FDH71_gp02,KEIKI_2,-,-,-,terminase large subunit,protein-coding,-,-,-,terminase large subunit,20201221,-
1655013,40079522,FDH71_gp15,FDH71_gp15,KEIKI_15,-,-,-,minor tail protein,protein-coding,-,-,-,minor tail protein,20201221,-
1655013,40079523,FDH71_gp16,FDH71_gp16,KEIKI_16,-,-,-,minor tail protein,protein-coding,-,-,-,minor tail protein,20201221,-
1655013,40079524,FDH71_gp17,FDH71_gp17,KEIKI_17,-,-,-,minor tail protein,protein-coding,-,-,-,minor tail protein,20201221,-
1655013,40079525,FDH71_gp18,FDH71_gp18,KEIKI_18,-,-,-,minor tail protein,protein-coding,-,-,-,minor tail protein,20201221,-
1655013,40079526,FDH71_gp19,FDH71_gp19,KEIKI_19,-,-,-,minor tail protein,protein-coding,-,-,-,minor tail protein,20201221,-
1655013,40079527,FDH71_gp20,FDH71_gp20,KEIKI_20,-,-,-,lysin,protein-coding,-,-,-,lysin,20201221,-
1655013,40079528,FDH71_gp21,FDH71_gp21,KEIKI_21,-,-,-,holin,protein-coding,-,-,-,holin,20201221,-
1655013,40079529,FDH71_gp22,FDH71_gp22,KEIKI_22,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1655013,40079530,FDH71_gp23,FDH71_gp23,KEIKI_23,-,-,-,helix-turn-helix DNA binding domain protein,protein-coding,-,-,-,helix-turn-helix DNA binding domain protein,20201221,-
1655013,40079531,FDH71_gp24,FDH71_gp24,KEIKI_24,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1655013,40079532,FDH71_gp25,FDH71_gp25,KEIKI_25,-,-,-,helix-turn-helix DNA binding domain protein,protein-coding,-,-,-,helix-turn-helix DNA binding domain protein,20201221,-
1655013,40079533,FDH71_gp26,FDH71_gp26,KEIKI_26,-,-,-,exonuclease,protein-coding,-,-,-,exonuclease,20201221,-
1655013,40079534,FDH71_gp27,FDH71_gp27,KEIKI_27,-,-,-,helix-turn-helix DNA binding domain protein,protein-coding,-,-,-,helix-turn-helix DNA binding domain protein,20201221,-
1655013,40079535,FDH71_gp28,FDH71_gp28,KEIKI_28,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1655013,40079536,FDH71_gp29,FDH71_gp29,KEIKI_29,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1655013,40079537,FDH71_gp30,FDH71_gp30,KEIKI_30,-,-,-,DNA primase,protein-coding,-,-,-,DNA primase,20201221,-
1655013,40079538,FDH71_gp31,FDH71_gp31,KEIKI_31,-,-,-,DNA primase,protein-coding,-,-,-,DNA primase,20201221,-
1655013,40079539,FDH71_gp33,FDH71_gp33,KEIKI_33,-,-,-,DNA helicase,protein-coding,-,-,-,DNA helicase,20201221,-
1655013,40079540,FDH71_gp34,FDH71_gp34,KEIKI_34,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1655013,40079541,FDH71_gp35,FDH71_gp35,KEIKI_35,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1655013,40079542,FDH71_gp36,FDH71_gp36,KEIKI_36,-,-,-,exonuclease,protein-coding,-,-,-,exonuclease,20201221,-
1655013,40079543,FDH71_gp37,FDH71_gp37,KEIKI_37,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1655013,40079544,FDH71_gp38,FDH71_gp38,KEIKI_38,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1655013,40079545,FDH71_gp39,FDH71_gp39,KEIKI_39,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1655013,40079546,FDH71_gp40,FDH71_gp40,KEIKI_40,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1655013,40079547,FDH71_gp41,FDH71_gp41,KEIKI_41,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1655013,40079548,FDH71_gp42,FDH71_gp42,KEIKI_42,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1655013,40079549,FDH71_gp43,FDH71_gp43,KEIKI_43,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1655013,40079550,FDH71_gp44,FDH71_gp44,KEIKI_44,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1655013,40079551,FDH71_gp32,FDH71_gp32,KEIKI_32,-,-,-,holliday junction resolvase,protein-coding,-,-,-,holliday junction resolvase,20201221,-
1655013,40079552,FDH71_gp45,FDH71_gp45,KEIKI_45,-,-,-,HNH endonuclease,protein-coding,-,-,-,HNH endonuclease,20201221,-
1655013,40079553,FDH71_gp01,FDH71_gp01,KEIKI_1,-,-,-,terminase small subunit,protein-coding,-,-,-,terminase small subunit,20201221,-
1655013,40120196,NEWENTRY,-,-,-,-,-,Record to support submission of GeneRIFs for a gene not in Gene (Propionibacterium acnes bacteriophage Keiki).,other,-,-,-,-,20200513,-
