#tax_id,GeneID,Symbol,LocusTag,Synonyms,dbXrefs,chromosome,map_location,description,type_of_gene,Symbol_from_nomenclature_authority,Full_name_from_nomenclature_authority,Nomenclature_status,Other_designations,Modification_date,Feature_type
1978922,55603030,HWB15_gp002,HWB15_gp002,phiA829_001,-,-,-,putative ribonuclease HI,protein-coding,-,-,-,putative ribonuclease HI,20210424,-
1978922,55603053,HWB15_gp025,HWB15_gp025,phiA829_024,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1978922,55603054,HWB15_gp026,HWB15_gp026,phiA829_025,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1978922,55603055,HWB15_gp027,HWB15_gp027,phiA829_026,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1978922,55603056,HWB15_gp028,HWB15_gp028,phiA829_027,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210424,-
1978922,55603057,HWB15_gp029,HWB15_gp029,phiA829_028,-,-,-,putative baseplate hub subunit and tail lysozyme,protein-coding,-,-,-,putative baseplate hub subunit and tail lysozyme,20210424,-
1978922,55603058,HWB15_gp030,HWB15_gp030,phiA829_029,-,-,-,putative baseplate wedge subunit,protein-coding,-,-,-,putative baseplate wedge subunit,20210424,-
1978922,55603059,HWB15_gp031,HWB15_gp031,phiA829_030,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1978922,55603060,HWB15_gp032,HWB15_gp032,phiA829_031,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1978922,55603061,HWB15_gp033,HWB15_gp033,phiA829_032,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1978922,55603062,HWB15_gp034,HWB15_gp034,phiA829_033,-,-,-,DNA polymerase,protein-coding,-,-,-,DNA polymerase,20210424,-
1978922,55603063,HWB15_gp035,HWB15_gp035,phiA829_034,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1978922,55603064,HWB15_gp036,HWB15_gp036,phiA829_035,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1978922,55603065,HWB15_gp037,HWB15_gp037,phiA829_036,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210424,-
1978922,55603066,HWB15_gp038,HWB15_gp038,phiA829_037,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210424,-
1978922,55603067,HWB15_gp039,HWB15_gp039,phiA829_038,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210424,-
1978922,55603068,HWB15_gp040,HWB15_gp040,phiA829_039,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210424,-
1978922,55603069,HWB15_gp041,HWB15_gp041,phiA829_40,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1978922,55603070,HWB15_gp042,HWB15_gp042,phiA829_041,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1978922,55603071,HWB15_gp043,HWB15_gp043,phiA829_042,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210424,-
1978922,55603072,HWB15_gp044,HWB15_gp044,phiA829_043,-,-,-,putative thymidylate synthase,protein-coding,-,-,-,putative thymidylate synthase,20210424,-
1978922,55603073,HWB15_gp045,HWB15_gp045,phiA829_044,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1978922,55603074,HWB15_gp046,HWB15_gp046,phiA829_045,-,-,-,putative dUTPase,protein-coding,-,-,-,putative dUTPase,20210424,-
1978922,55603075,HWB15_gp047,HWB15_gp047,phiA829_046,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1978922,55603076,HWB15_gp048,HWB15_gp048,phiA829_047,-,-,-,putative UvsX RecA-like recombination protein,protein-coding,-,-,-,putative UvsX RecA-like recombination protein,20200620,-
1978922,55603077,HWB15_gp049,HWB15_gp049,phiA829_048,-,-,-,putative DNA helicase,protein-coding,-,-,-,putative DNA helicase,20210424,-
1978922,55603078,HWB15_gp050,HWB15_gp050,phiA829_049,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1978922,55603079,HWB15_gp051,HWB15_gp051,phiA829_50,-,-,-,putative DNA-binding protein,protein-coding,-,-,-,putative DNA-binding protein,20210424,-
1978922,55603080,HWB15_gp052,HWB15_gp052,phiA829_051,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1978922,55603081,HWB15_gp053,HWB15_gp053,phiA829_052,-,-,-,putative RIIA protein,protein-coding,-,-,-,putative RIIA protein,20200620,-
1978922,55603082,HWB15_gp054,HWB15_gp054,phiA829_053,-,-,-,putative RIIB protein,protein-coding,-,-,-,putative RIIB protein,20200620,-
1978922,55603083,HWB15_gp055,HWB15_gp055,phiA829_054,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1978922,55603084,HWB15_gp056,HWB15_gp056,phiA829_055,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210424,-
1978922,55603085,HWB15_gp057,HWB15_gp057,phiA829_056,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1978922,55603086,HWB15_gp058,HWB15_gp058,phiA829_057,-,-,-,putative topoisomerase II large subunit,protein-coding,-,-,-,putative topoisomerase II large subunit,20210424,-
1978922,55603087,HWB15_gp059,HWB15_gp059,phiA829_058,-,-,-,putative homing endonuclease,protein-coding,-,-,-,putative homing endonuclease,20210424,-
1978922,55603088,HWB15_gp060,HWB15_gp060,phiA829_059,-,-,-,putative topoisomerase II medium subunit,protein-coding,-,-,-,putative topoisomerase II medium subunit,20210424,-
1978922,55603089,HWB15_gp061,HWB15_gp061,phiA829_060,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1978922,55603090,HWB15_gp062,HWB15_gp062,phiA829_061,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1978922,55603091,HWB15_gp063,HWB15_gp063,phiA829_062,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1978922,55603092,HWB15_gp064,HWB15_gp064,phiA829_063,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1978922,55603093,HWB15_gp065,HWB15_gp065,phiA829_064,-,-,-,putative baseplate wedge subunit,protein-coding,-,-,-,putative baseplate wedge subunit,20210424,-
1978922,55603094,HWB15_gp066,HWB15_gp066,phiA829_065,-,-,-,putative baseplate tail tube cap,protein-coding,-,-,-,putative baseplate tail tube cap,20200620,-
1978922,55603095,HWB15_gp067,HWB15_gp067,phiA829_066,-,-,-,putative head completion protein,protein-coding,-,-,-,putative head completion protein,20210424,-
1978922,55603096,HWB15_gp068,HWB15_gp068,phiA829_067,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1978922,55603097,HWB15_gp069,HWB15_gp069,phiA829_068,-,-,-,putative DNA primase subunit,protein-coding,-,-,-,putative DNA primase subunit,20210424,-
1978922,55603098,HWB15_gp070,HWB15_gp070,phiA829_069,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1978922,55603099,HWB15_gp071,HWB15_gp071,phiA829_070,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1978922,55603100,HWB15_gp072,HWB15_gp072,phiA829_071,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1978922,55603101,HWB15_gp073,HWB15_gp073,phiA829_072,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210424,-
1978922,55603102,HWB15_gp074,HWB15_gp074,phiA829_073,-,-,-,putative DNA ligase,protein-coding,-,-,-,putative DNA ligase,20210424,-
1978922,55603103,HWB15_gp075,HWB15_gp075,phiA829_074,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1978922,55603104,HWB15_gp076,HWB15_gp076,phiA829_075,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1978922,55603105,HWB15_gp077,HWB15_gp077,phiA829_076,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210424,-
1978922,55603106,HWB15_gp078,HWB15_gp078,phiA829_077,-,-,-,putative DNA end protector during packaging,protein-coding,-,-,-,putative DNA end protector during packaging,20210424,-
1978922,55603107,HWB15_gp079,HWB15_gp079,phiA829_078,-,-,-,putative baseplate tail tube,protein-coding,-,-,-,putative baseplate tail tube,20200620,-
1978922,55603108,HWB15_gp080,HWB15_gp080,phiA829_079,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1978922,55603109,HWB15_gp081,HWB15_gp081,phiA829_080,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1978922,55603110,HWB15_gp082,HWB15_gp082,phiA829_081,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1978922,55603111,HWB15_gp083,HWB15_gp083,phiA829_082,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1978922,55603112,HWB15_gp084,HWB15_gp084,phiA829_083,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1978922,55603113,HWB15_gp085,HWB15_gp085,phiA829_084,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1978922,55603114,HWB15_gp086,HWB15_gp086,phiA829_085,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1978922,55603115,HWB15_gp087,HWB15_gp087,phiA829_086,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210424,-
1978922,55603116,HWB15_gp088,HWB15_gp088,phiA829_087,-,-,-,putative nicotinamide phosphoribosyltransferase,protein-coding,-,-,-,putative nicotinamide phosphoribosyltransferase,20210424,-
1978922,55603117,HWB15_gp089,HWB15_gp089,phiA829_088,-,-,-,putative phosphoribosylpyrophosphate synthetase,protein-coding,-,-,-,putative phosphoribosylpyrophosphate synthetase,20210424,-
1978922,55603118,HWB15_gp090,HWB15_gp090,phiA829_089,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1978922,55603119,HWB15_gp091,HWB15_gp091,phiA829_090,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210424,-
1978922,55603120,HWB15_gp092,HWB15_gp092,phiA829_091,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1978922,55603121,HWB15_gt001,HWB15_gt001,-,-,-,-,tRNA,tRNA,-,-,-,-,20200910,-
1978922,55603122,HWB15_gt008,HWB15_gt008,-,-,-,-,tRNA,tRNA,-,-,-,-,20200910,-
1978922,55603123,HWB15_gp183,HWB15_gp183,phiA829_094,-,-,-,putative ribonucleotide-diphosphate reductase beta subunit,protein-coding,-,-,-,putative ribonucleotide-diphosphate reductase beta subunit,20210424,-
1978922,55603124,HWB15_gp182,HWB15_gp182,phiA829_095,-,-,-,putative ribonucleotide-diphosphate reductase alpha subunit,protein-coding,-,-,-,putative ribonucleotide-diphosphate reductase alpha subunit,20210424,-
1978922,55603125,HWB15_gp181,HWB15_gp181,phiA829_96,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1978922,55603126,HWB15_gp180,HWB15_gp180,phiA829_97,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1978922,55603127,HWB15_gp179,HWB15_gp179,phiA829_98,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1978922,55603128,HWB15_gp178,HWB15_gp178,phiA829_99,-,-,-,putative PhoH-like phosphate starvation-inducible protein,protein-coding,-,-,-,putative PhoH-like phosphate starvation-inducible protein,20210424,-
1978922,55603129,HWB15_gp177,HWB15_gp177,phiA829_100,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210424,-
1978922,55603130,HWB15_gp176,HWB15_gp176,phiA829_101,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210424,-
1978922,55603131,HWB15_gp175,HWB15_gp175,phiA829_102,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210424,-
1978922,55603132,HWB15_gp174,HWB15_gp174,phiA829_103,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1978922,55603133,HWB15_gp173,HWB15_gp173,phiA829_104,-,-,-,putative DexA exonuclease,protein-coding,-,-,-,putative DexA exonuclease,20210424,-
1978922,55603134,HWB15_gp172,HWB15_gp172,phiA829_105,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1978922,55603135,HWB15_gp171,HWB15_gp171,phiA829_106,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1978922,55603136,HWB15_gp170,HWB15_gp170,phiA829_107,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1978922,55603137,HWB15_gp169,HWB15_gp169,phiA829_108,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210424,-
1978922,55603138,HWB15_gp168,HWB15_gp168,phiA829_109,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1978922,55603139,HWB15_gp167,HWB15_gp167,phiA829_110,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1978922,55603140,HWB15_gp166,HWB15_gp166,phiA829_111,-,-,-,putative ssDNA binding protein,protein-coding,-,-,-,putative ssDNA binding protein,20210424,-
1978922,55603141,HWB15_gp165,HWB15_gp165,phiA829_112,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210424,-
1978922,55603142,HWB15_gp164,HWB15_gp164,phiA829_113,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1978922,55603143,HWB15_gp163,HWB15_gp163,phiA829_114,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1978922,55603144,HWB15_gp162,HWB15_gp162,phiA829_115,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1978922,55603145,HWB15_gp161,HWB15_gp161,phiA829_116,-,-,-,putative holliday junction resolvase,protein-coding,-,-,-,putative holliday junction resolvase,20210424,-
1978922,55603146,HWB15_gp160,HWB15_gp160,phiA829_117,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210424,-
1978922,55603147,HWB15_gp159,HWB15_gp159,phiA829_118,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1978922,55603148,HWB15_gp158,HWB15_gp158,phiA829_119,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1978922,55603149,HWB15_gp157,HWB15_gp157,phiA829_120,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1978922,55603150,HWB15_gp156,HWB15_gp156,phiA829_121,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1978922,55603151,HWB15_gp155,HWB15_gp155,phiA829_122,-,-,-,putative DNA helicase,protein-coding,-,-,-,putative DNA helicase,20210424,-
1978922,55603152,HWB15_gp154,HWB15_gp154,phiA829_123,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210424,-
1978922,55603153,HWB15_gp153,HWB15_gp153,phiA829_124,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210424,-
1978922,55603154,HWB15_gp152,HWB15_gp152,phiA829_125,-,-,-,putative tail completion and sheath stabilizer protein,protein-coding,-,-,-,putative tail completion and sheath stabilizer protein,20210424,-
1978922,55603155,HWB15_gp151,HWB15_gp151,phiA829_126,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1978922,55603156,HWB15_gp150,HWB15_gp150,phiA829_127,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1978922,55603157,HWB15_gp149,HWB15_gp149,phiA829_128,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1978922,55603158,HWB15_gp148,HWB15_gp148,phiA829_129,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210424,-
1978922,55603159,HWB15_gp147,HWB15_gp147,phiA829_130,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1978922,55603160,HWB15_gp146,HWB15_gp146,phiA829_131,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1978922,55603161,HWB15_gp145,HWB15_gp145,phiA829_132,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1978922,55603162,HWB15_gp144,HWB15_gp144,phiA829_133,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1978922,55603163,HWB15_gp143,HWB15_gp143,phiA829_134,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1978922,55603164,HWB15_gp142,HWB15_gp142,phiA829_135,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1978922,55603165,HWB15_gp141,HWB15_gp141,phiA829_136,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1978922,55603166,HWB15_gp140,HWB15_gp140,phiA829_137,-,-,-,putative pyrimidine dimer DNA glycosylase,protein-coding,-,-,-,putative pyrimidine dimer DNA glycosylase,20210424,-
1978922,55603167,HWB15_gp139,HWB15_gp139,phiA829_138,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1978922,55603168,HWB15_gp138,HWB15_gp138,phiA829_139,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1978922,55603169,HWB15_gp137,HWB15_gp137,phiA829_140,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1978922,55603170,HWB15_gp136,HWB15_gp136,phiA829_141,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210424,-
1978922,55603171,HWB15_gp135,HWB15_gp135,phiA829_142,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1978922,55603172,HWB15_gp134,HWB15_gp134,phiA829_143,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1978922,55603173,HWB15_gp133,HWB15_gp133,phiA829_144,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1978922,55603174,HWB15_gp132,HWB15_gp132,phiA829_145,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1978922,55603175,HWB15_gp131,HWB15_gp131,phiA829_146,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1978922,55603176,HWB15_gp130,HWB15_gp130,phiA829_147,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1978922,55603177,HWB15_gp129,HWB15_gp129,phiA829_148,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210424,-
1978922,55603178,HWB15_gp128,HWB15_gp128,phiA829_149,-,-,-,putative major capsid protein,protein-coding,-,-,-,putative major capsid protein,20210424,-
1978922,55603179,HWB15_gp127,HWB15_gp127,phiA829_150,-,-,-,putative prohead core protein,protein-coding,-,-,-,putative prohead core protein,20210424,-
1978922,55603180,HWB15_gp126,HWB15_gp126,phiA829_151,-,-,-,putative prohead core and protease,protein-coding,-,-,-,putative prohead core and protease,20210424,-
1978922,55603181,HWB15_gp125,HWB15_gp125,phiA829_152,-,-,-,putative prohead core protein,protein-coding,-,-,-,putative prohead core protein,20200620,-
1978922,55603182,HWB15_gp124,HWB15_gp124,phiA829_153,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1978922,55603183,HWB15_gp123,HWB15_gp123,phiA829_154,-,-,-,putative portal protein,protein-coding,-,-,-,putative portal protein,20210424,-
1978922,55603184,HWB15_gp122,HWB15_gp122,phiA829_155,-,-,-,putative tail tube protein,protein-coding,-,-,-,putative tail tube protein,20210424,-
1978922,55603185,HWB15_gp121,HWB15_gp121,phiA829_156,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210424,-
1978922,55603186,HWB15_gp120,HWB15_gp120,phiA829_157,-,-,-,putative tail sheath,protein-coding,-,-,-,putative tail sheath,20210424,-
1978922,55603187,HWB15_gp119,HWB15_gp119,phiA829_158,-,-,-,putative terminase large subunit,protein-coding,-,-,-,putative terminase large subunit,20210424,-
1978922,55603188,HWB15_gp118,HWB15_gp118,phiA829_159,-,-,-,putative terminase small subunit,protein-coding,-,-,-,putative terminase small subunit,20200620,-
1978922,55603189,HWB15_gp117,HWB15_gp117,phiA829_160,-,-,-,putative sheath stabilizing and tail completion protein,protein-coding,-,-,-,putative sheath stabilizing and tail completion protein,20210424,-
1978922,55603190,HWB15_gp116,HWB15_gp116,phiA829_161,-,-,-,putative neck protein,protein-coding,-,-,-,putative neck protein,20210424,-
1978922,55603191,HWB15_gp115,HWB15_gp115,phiA829_162,-,-,-,putative neck protein,protein-coding,-,-,-,putative neck protein,20210424,-
1978922,55603192,HWB15_gp114,HWB15_gp114,phiA829_163,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1978922,55603193,HWB15_gp113,HWB15_gp113,phiA829_164,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1978922,55603194,HWB15_gp112,HWB15_gp112,phiA829_165,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210424,-
1978922,55603195,HWB15_gp111,HWB15_gp111,phiA829_166,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210424,-
1978922,55603196,HWB15_gp110,HWB15_gp110,phiA829_167,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1978922,55603197,HWB15_gp109,HWB15_gp109,phiA829_168,-,-,-,putative baseplate wedge subunit,protein-coding,-,-,-,putative baseplate wedge subunit,20210424,-
1978922,55603198,HWB15_gp108,HWB15_gp108,phiA829_169,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1978922,55603199,HWB15_gp107,HWB15_gp107,phiA829_170,-,-,-,putative baseplate hub subunit,protein-coding,-,-,-,putative baseplate hub subunit,20200620,-
1978922,55603200,HWB15_gp106,HWB15_gp106,phiA829_171,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210424,-
1978922,55603201,HWB15_gp105,HWB15_gp105,phiA829_172,-,-,-,putative sliding clamp protein,protein-coding,-,-,-,putative sliding clamp protein,20210424,-
1978922,55603202,HWB15_gp104,HWB15_gp104,phiA829_173,-,-,-,putative clamp loader small subunit,protein-coding,-,-,-,putative clamp loader small subunit,20210424,-
1978922,55603203,HWB15_gp103,HWB15_gp103,phiA829_174,-,-,-,putative clamp loader small subunit,protein-coding,-,-,-,putative clamp loader small subunit,20210424,-
1978922,55603204,HWB15_gp102,HWB15_gp102,phiA829_175,-,-,-,putative nucleoside triphosphate pyrophosphohydrolase,protein-coding,-,-,-,putative nucleoside triphosphate pyrophosphohydrolase,20210424,-
1978922,55603205,HWB15_gp101,HWB15_gp101,phiA829_176,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1978922,55603206,HWB15_gp100,HWB15_gp100,phiA829_177,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1978922,55603207,HWB15_gp099,HWB15_gp099,phiA829_178,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1978922,55603208,HWB15_gp098,HWB15_gp098,phiA829_179,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1978922,55603209,HWB15_gp097,HWB15_gp097,phiA829_180,-,-,-,putative ATP-dependent helicase,protein-coding,-,-,-,putative ATP-dependent helicase,20210424,-
