#tax_id,GeneID,Symbol,LocusTag,Synonyms,dbXrefs,chromosome,map_location,description,type_of_gene,Symbol_from_nomenclature_authority,Full_name_from_nomenclature_authority,Nomenclature_status,Other_designations,Modification_date,Feature_type
179237,929304,PBC5_gp07,PBC5_gp07,PBC5_000007,-,-,-,N4-gp56 family major capsid protein,protein-coding,-,-,-,N4-gp56 family major capsid protein,20210603,-
179237,929379,PBC5_gp31,PBC5_gp31,PBC5_000031,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210603,-
179237,929381,PBC5_gp28,PBC5_gp28,PBC5_000028,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210603,-
179237,929382,PBC5_gp06,PBC5_gp06,PBC5_000006,-,-,-,N-acetylmuramoyl-L-alanine amidase,protein-coding,-,-,-,N-acetylmuramoyl-L-alanine amidase,20210603,-
179237,929383,PBC5_gp34,PBC5_gp34,PBC5_000034,-,-,-,DNA cytosine methyltransferase,protein-coding,-,-,-,DNA cytosine methyltransferase,20210603,-
179237,929384,PBC5_gp57,PBC5_gp57,PBC5_000057,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210603,-
179237,2830445,NEWENTRY,-,-,-,-,-,Record to support submission of GeneRIFs for a gene not in Gene (Bacteriophage PBC5 Sinorhizobium meliloti; Sinorhizobium meliloti phage PBC5).,other,-,-,-,-,20200513,-
179237,65133924,PBC5_gp02,PBC5_gp02,PBC5_000002,-,-,-,AlpA family phage regulatory protein,protein-coding,-,-,-,AlpA family phage regulatory protein,20210603,-
179237,65133925,PBC5_gp08,PBC5_gp08,PBC5_000008,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210603,-
179237,65133926,PBC5_gp09,PBC5_gp09,PBC5_000009,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210603,-
179237,65133927,PBC5_gp12,PBC5_gp12,PBC5_000012,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210603,-
179237,65133928,PBC5_gp13,PBC5_gp13,PBC5_000013,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210603,-
179237,65133929,PBC5_gp17,PBC5_gp17,PBC5_000017,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210603,-
179237,65133930,PBC5_gp18,PBC5_gp18,PBC5_000018,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210603,-
179237,65133931,PBC5_gp21,PBC5_gp21,PBC5_000021,-,-,-,putative DNA methylase,protein-coding,-,-,-,putative DNA methylase,20210603,-
179237,65133932,PBC5_gp23,PBC5_gp23,PBC5_000023,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210603,-
179237,65133933,PBC5_gp25,PBC5_gp25,PBC5_000025,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210603,-
179237,65133934,PBC5_gp26,PBC5_gp26,PBC5_000026,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210603,-
179237,65133935,PBC5_gp33,PBC5_gp33,PBC5_000033,-,-,-,holliday junction resolvase RusA-like protein,protein-coding,-,-,-,holliday junction resolvase RusA-like protein,20210603,-
179237,65133936,PBC5_gp37,PBC5_gp37,PBC5_000037,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210603,-
179237,65133937,PBC5_gp41,PBC5_gp41,PBC5_000041,-,-,-,helix-turn-helix domain-containing protein,protein-coding,-,-,-,helix-turn-helix domain-containing protein,20210603,-
179237,65133938,PBC5_gp46,PBC5_gp46,PBC5_000046,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210603,-
179237,65133939,PBC5_gp51,PBC5_gp51,PBC5_000051,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210603,-
179237,65133940,PBC5_gp54,PBC5_gp54,PBC5_000054,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210603,-
179237,65133941,PBC5_gp58,PBC5_gp58,PBC5_000058,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210603,-
179237,65133942,PBC5_gp60,PBC5_gp60,PBC5_000060,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210603,-
179237,65133943,PBC5_gp01,PBC5_gp01,PBC5_000001,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210603,-
