#tax_id,GeneID,Symbol,LocusTag,Synonyms,dbXrefs,chromosome,map_location,description,type_of_gene,Symbol_from_nomenclature_authority,Full_name_from_nomenclature_authority,Nomenclature_status,Other_designations,Modification_date,Feature_type
1965361,40075809,FDH35_gp02,FDH35_gp02,-,-,-,-,terminase large subunit,protein-coding,-,-,-,terminase large subunit,20201221,-
1965361,40075831,FDH35_gp24,FDH35_gp24,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1965361,40075832,FDH35_gp25,FDH35_gp25,-,-,-,-,distal tail protein,protein-coding,-,-,-,distal tail protein,20201221,-
1965361,40075833,FDH35_gp26,FDH35_gp26,-,-,-,-,glycosylase,protein-coding,-,-,-,glycosylase,20201221,-
1965361,40075834,FDH35_gp27,FDH35_gp27,-,-,-,-,holin,protein-coding,-,-,-,holin,20201221,-
1965361,40075835,FDH35_gp28,FDH35_gp28,-,-,-,-,endolysin,protein-coding,-,-,-,endolysin,20201221,-
1965361,40075836,FDH35_gp29,FDH35_gp29,-,-,-,-,membrane-associated protein,protein-coding,-,-,-,membrane-associated protein,20201221,-
1965361,40075837,FDH35_gp30,FDH35_gp30,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1965361,40075838,FDH35_gp31,FDH35_gp31,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1965361,40075839,FDH35_gp32,FDH35_gp32,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1965361,40075840,FDH35_gp33,FDH35_gp33,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1965361,40075841,FDH35_gp34,FDH35_gp34,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1965361,40075842,FDH35_gp35,FDH35_gp35,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1965361,40075843,FDH35_gp36,FDH35_gp36,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1965361,40075844,FDH35_gp37,FDH35_gp37,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1965361,40075845,FDH35_gp38,FDH35_gp38,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1965361,40075846,FDH35_gp39,FDH35_gp39,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1965361,40075847,FDH35_gp40,FDH35_gp40,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1965361,40075848,FDH35_gp41,FDH35_gp41,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1965361,40075849,FDH35_gp42,FDH35_gp42,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1965361,40075850,FDH35_gp43,FDH35_gp43,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1965361,40075851,FDH35_gp44,FDH35_gp44,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1965361,40075852,FDH35_gp45,FDH35_gp45,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1965361,40075853,FDH35_gp46,FDH35_gp46,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1965361,40075854,FDH35_gp47,FDH35_gp47,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1965361,40075855,FDH35_gp48,FDH35_gp48,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1965361,40075856,FDH35_gp49,FDH35_gp49,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1965361,40075857,FDH35_gp50,FDH35_gp50,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1965361,40075858,FDH35_gp51,FDH35_gp51,-,-,-,-,HTH_XRE family transcriptional regulator,protein-coding,-,-,-,HTH_XRE family transcriptional regulator,20201221,-
1965361,40075859,FDH35_gp52,FDH35_gp52,-,-,-,-,RecB-like protein,protein-coding,-,-,-,RecB-like protein,20201221,-
1965361,40075860,FDH35_gp53,FDH35_gp53,-,-,-,-,DNA single-strand annealing protein,protein-coding,-,-,-,DNA single-strand annealing protein,20201221,-
1965361,40075861,FDH35_gp54,FDH35_gp54,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1965361,40075862,FDH35_gp55,FDH35_gp55,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1965361,40075863,FDH35_gp56,FDH35_gp56,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1965361,40075864,FDH35_gp57,FDH35_gp57,-,-,-,-,replicative DNA helicase,protein-coding,-,-,-,replicative DNA helicase,20201221,-
1965361,40075865,FDH35_gp58,FDH35_gp58,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1965361,40075866,FDH35_gp59,FDH35_gp59,-,-,-,-,HNH homing endonuclease,protein-coding,-,-,-,HNH homing endonuclease,20201221,-
1965361,40075867,FDH35_gp60,FDH35_gp60,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1965361,40075868,FDH35_gp61,FDH35_gp61,-,-,-,-,single-stranded DNA-binding protein,protein-coding,-,-,-,single-stranded DNA-binding protein,20201221,-
1965361,40075869,FDH35_gp62,FDH35_gp62,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1965361,40075870,FDH35_gp63,FDH35_gp63,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1965361,40075871,FDH35_gp64,FDH35_gp64,-,-,-,-,single-stranded DNA protein,protein-coding,-,-,-,single-stranded DNA protein,20201221,-
1965361,40075872,FDH35_gp65,FDH35_gp65,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1965361,40075873,FDH35_gp66,FDH35_gp66,-,-,-,-,thymidylate synthase,protein-coding,-,-,-,thymidylate synthase,20201221,-
1965361,40075874,FDH35_gp67,FDH35_gp67,-,-,-,-,dUTP diphosphatase,protein-coding,-,-,-,dUTP diphosphatase,20201221,-
1965361,40075875,FDH35_gp68,FDH35_gp68,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1965361,40075876,FDH35_gp69,FDH35_gp69,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1965361,40075877,FDH35_gp70,FDH35_gp70,-,-,-,-,holliday junction-specific endonuclease,protein-coding,-,-,-,holliday junction-specific endonuclease,20201221,-
1965361,40075878,FDH35_gp71,FDH35_gp71,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1965361,40075879,FDH35_gp72,FDH35_gp72,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1965361,40075880,FDH35_gp73,FDH35_gp73,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1965361,40075881,FDH35_gp74,FDH35_gp74,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1965361,40075882,FDH35_gp75,FDH35_gp75,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1965361,40075883,FDH35_gp76,FDH35_gp76,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1965361,40075884,FDH35_gp77,FDH35_gp77,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1965361,40075885,FDH35_gp78,FDH35_gp78,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1965361,40075886,FDH35_gp79,FDH35_gp79,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1965361,40075887,FDH35_gp01,FDH35_gp01,-,-,-,-,terminase small subunit,protein-coding,-,-,-,terminase small subunit,20201221,-
1965361,40120382,NEWENTRY,-,-,-,-,-,Record to support submission of GeneRIFs for a gene not in Gene.,other,-,-,-,-,20200513,-
