#tax_id,GeneID,Symbol,LocusTag,Synonyms,dbXrefs,chromosome,map_location,description,type_of_gene,Symbol_from_nomenclature_authority,Full_name_from_nomenclature_authority,Nomenclature_status,Other_designations,Modification_date,Feature_type
1500807,24721908,ACQ78_gp02,ACQ78_gp02,PHL070N00_02,-,-,-,terminase,protein-coding,-,-,-,terminase,20201221,-
1500807,24721933,ACQ78_gp27,ACQ78_gp27,PHL070N00_27,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1500807,24721934,ACQ78_gp28,ACQ78_gp28,PHL070N00_28,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1500807,24721935,ACQ78_gp29,ACQ78_gp29,PHL070N00_29,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1500807,24721936,ACQ78_gp30,ACQ78_gp30,PHL070N00_30,-,-,-,putative DNA primase,protein-coding,-,-,-,putative DNA primase,20201221,-
1500807,24721937,ACQ78_gp31,ACQ78_gp31,PHL070N00_31,-,-,-,putative DNA primase,protein-coding,-,-,-,putative DNA primase,20201221,-
1500807,24721938,ACQ78_gp32,ACQ78_gp32,PHL070N00_32,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1500807,24721939,ACQ78_gp33,ACQ78_gp33,PHL070N00_33,-,-,-,putative DNA helicase,protein-coding,-,-,-,putative DNA helicase,20201221,-
1500807,24721940,ACQ78_gp34,ACQ78_gp34,PHL070N00_34,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1500807,24721941,ACQ78_gp35,ACQ78_gp35,PHL070N00_35,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1500807,24721942,ACQ78_gp36,ACQ78_gp36,PHL070N00_36,-,-,-,exonuclease,protein-coding,-,-,-,exonuclease,20201221,-
1500807,24721943,ACQ78_gp37,ACQ78_gp37,PHL070N00_37,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1500807,24721944,ACQ78_gp38,ACQ78_gp38,PHL070N00_38,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1500807,24721945,ACQ78_gp39,ACQ78_gp39,PHL070N00_39,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1500807,24721946,ACQ78_gp40,ACQ78_gp40,PHL070N00_40,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1500807,24721947,ACQ78_gp41,ACQ78_gp41,PHL070N00_41,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1500807,24721948,ACQ78_gp42,ACQ78_gp42,PHL070N00_42,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1500807,24721949,ACQ78_gp43,ACQ78_gp43,PHL070N00_43,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1500807,24721950,ACQ78_gp44,ACQ78_gp44,PHL070N00_44,-,-,-,putative endonuclease,protein-coding,-,-,-,putative endonuclease,20201221,-
1500807,24721951,ACQ78_gp01,ACQ78_gp01,PHL070N00_01,-,-,-,putative excinuclease,protein-coding,-,-,-,putative excinuclease,20201221,-
1500807,24936520,NEWENTRY,-,-,-,-,-,Record to support submission of GeneRIFs for a gene not in Gene.,other,-,-,-,-,20200513,-
