#tax_id,GeneID,Symbol,LocusTag,Synonyms,dbXrefs,chromosome,map_location,description,type_of_gene,Symbol_from_nomenclature_authority,Full_name_from_nomenclature_authority,Nomenclature_status,Other_designations,Modification_date,Feature_type
2591120,63026597,2,J1767_gp02,SEA_TANGERINE_2,-,-,-,terminase,protein-coding,-,-,-,terminase,20210309,-
2591120,63026656,61,J1767_gp61,SEA_TANGERINE_61,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210309,-
2591120,63026657,62,J1767_gp62,SEA_TANGERINE_62,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210309,-
2591120,63026658,63,J1767_gp63,SEA_TANGERINE_63,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210309,-
2591120,63026659,64,J1767_gp64,SEA_TANGERINE_64,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210309,-
2591120,63026660,65,J1767_gp65,SEA_TANGERINE_65,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210309,-
2591120,63026661,66,J1767_gp66,SEA_TANGERINE_66,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210309,-
2591120,63026662,67,J1767_gp67,SEA_TANGERINE_67,-,-,-,RuvC-like resolvase,protein-coding,-,-,-,RuvC-like resolvase,20210309,-
2591120,63026663,68,J1767_gp68,SEA_TANGERINE_68,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210309,-
2591120,63026664,69,J1767_gp69,SEA_TANGERINE_69,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210309,-
2591120,63026665,70,J1767_gp70,SEA_TANGERINE_70,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210309,-
2591120,63026666,71,J1767_gp71,SEA_TANGERINE_71,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210309,-
2591120,63026667,72,J1767_gp72,SEA_TANGERINE_72,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210309,-
2591120,63026668,73,J1767_gp73,SEA_TANGERINE_73,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210309,-
2591120,63026669,74,J1767_gp74,SEA_TANGERINE_74,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210309,-
2591120,63026670,75,J1767_gp75,SEA_TANGERINE_75,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210309,-
2591120,63026671,76,J1767_gp76,SEA_TANGERINE_76,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210309,-
2591120,63026672,77,J1767_gp77,SEA_TANGERINE_77,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210309,-
2591120,63026673,78,J1767_gp78,SEA_TANGERINE_78,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210309,-
2591120,63026674,79,J1767_gp79,SEA_TANGERINE_79,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210309,-
2591120,63026675,80,J1767_gp80,SEA_TANGERINE_80,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210309,-
2591120,63026676,81,J1767_gp81,SEA_TANGERINE_81,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210309,-
2591120,63026677,82,J1767_gp82,SEA_TANGERINE_82,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210309,-
2591120,63026678,83,J1767_gp83,SEA_TANGERINE_83,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210309,-
2591120,63026679,84,J1767_gp84,SEA_TANGERINE_84,-,-,-,DNA binding protein,protein-coding,-,-,-,DNA binding protein,20210309,-
2591120,63026680,85,J1767_gp85,SEA_TANGERINE_85,-,-,-,methyltransferase,protein-coding,-,-,-,methyltransferase,20210309,-
2591120,63026681,1,J1767_gp01,SEA_TANGERINE_1,-,-,-,helix-turn-helix DNA binding protein,protein-coding,-,-,-,helix-turn-helix DNA binding protein,20210309,-
2591120,63139671,NEWENTRY,-,-,-,-,-,Record to support submission of GeneRIFs for a gene not in Gene.,other,-,-,-,-,20210310,-
