#tax_id,GeneID,Symbol,LocusTag,Synonyms,dbXrefs,chromosome,map_location,description,type_of_gene,Symbol_from_nomenclature_authority,Full_name_from_nomenclature_authority,Nomenclature_status,Other_designations,Modification_date,Feature_type
70600,921795,lef-2,EpnVgp005,-,-,-,-,LEF-2,protein-coding,-,-,-,LEF-2,20200908,-
70600,921823,p39 capsid,EpnVgp078,-,-,-,-,P39 CAPSID,protein-coding,-,-,-,P39 CAPSID,20200908,-
70600,921824,lef-4,EpnVgp079,-,-,-,-,LEF-4,protein-coding,-,-,-,LEF-4,20200908,-
70600,921825,helicase,EpnVgp084,-,-,-,-,helicase,protein-coding,-,-,-,helicase,20200908,-
70600,921826,lef-5,EpnVgp087,-,-,-,-,LEF-5,protein-coding,-,-,-,LEF-5,20200908,-
70600,921827,p6.9,EpnVgp088,-,-,-,-,P6.9,protein-coding,-,-,-,P6.9,20200908,-
70600,921828,p87,EpnVgp092,-,-,-,-,P87,protein-coding,-,-,-,P87,20200908,-
70600,921829,iap-4,EpnVgp093,-,-,-,-,IAP-4,protein-coding,-,-,-,IAP-4,20200908,-
70600,921830,lef-7,EpnVgp110,-,-,-,-,LEF-7,protein-coding,-,-,-,LEF-7,20200908,-
70600,921831,chi,EpnVgp111,-,-,-,-,CHI,protein-coding,-,-,-,CHI,20200908,-
70600,921832,v-cath,EpnVgp112,-,-,-,-,V-CATH,protein-coding,-,-,-,V-CATH,20200908,-
70600,921833,gp64,EpnVgp113,-,-,-,-,GP64,protein-coding,-,-,-,GP64,20200908,-
70600,921834,p24,EpnVgp115,-,-,-,-,P24,protein-coding,-,-,-,P24,20200908,-
70600,921835,gp16,EpnVgp116,-,-,-,-,GP16,protein-coding,-,-,-,GP16,20200908,-
70600,921836,pep,EpnVgp117,-,-,-,-,PEP,protein-coding,-,-,-,PEP,20200908,-
70600,921837,alk exo,EpnVgp119,-,-,-,-,ALK EXO,protein-coding,-,-,-,ALK EXO,20200908,-
70600,921838,p26,EpnVgp120,-,-,-,-,P26,protein-coding,-,-,-,P26,20200908,-
70600,921839,p10,EpnVgp121,-,-,-,-,P10,protein-coding,-,-,-,P10,20200908,-
70600,921840,p74,EpnVgp122,-,-,-,-,P74,protein-coding,-,-,-,P74,20200908,-
70600,921841,me53,EpnVgp123,-,-,-,-,ME53,protein-coding,-,-,-,ME53,20200908,-
70600,921842,ie0,EpnVgp124,-,-,-,-,IE0,protein-coding,-,-,-,IE0,20200908,-
70600,921843,odv-e18,EpnVgp126,-,-,-,-,ODV-E18,protein-coding,-,-,-,ODV-E18,20200908,-
70600,921844,odv-e27,EpnVgp127,-,-,-,-,ODV-E27,protein-coding,-,-,-,ODV-E27,20200908,-
70600,921845,ie1,EpnVgp130,-,-,-,-,IE1,protein-coding,-,-,-,IE1,20200908,-
70600,921846,odv-e56,EpnVgp131,-,-,-,-,ODV-E56,protein-coding,-,-,-,ODV-E56,20200908,-
70600,921847,ie2,EpnVgp132,-,-,-,-,IE2,protein-coding,-,-,-,IE2,20200908,-
70600,921848,pe38,EpnVgp134,-,-,-,-,PE38,protein-coding,-,-,-,PE38,20200908,-
70600,921849,pk-1,EpnVgp136,-,-,-,-,PK-1,protein-coding,-,-,-,PK-1,20200908,-
70600,921850,orf1629,EpnVgp137,-,-,-,-,-,other,-,-,-,-,20200908,-
70600,1727379,EpnVgp032,EpnVgp032,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200908,-
70600,1727380,EpnVgp042,EpnVgp042,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200908,-
70600,1727381,EpnVgp017,EpnVgp017,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200908,-
70600,1727382,EpnVgp045,EpnVgp045,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200908,-
70600,1727383,EpnVgp104,EpnVgp104,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200908,-
70600,1727384,EpnVgp108,EpnVgp108,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200908,-
70600,1727385,EpnVgp037,EpnVgp037,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200908,-
70600,1727386,EpnVgp101,EpnVgp101,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200908,-
70600,1727387,EpnVgp076,EpnVgp076,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200908,-
70600,1727388,EpnVgp083,EpnVgp083,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200908,-
70600,1727389,EpnVgp102,EpnVgp102,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200908,-
70600,1727390,EpnVgp096,EpnVgp096,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200908,-
70600,1727391,EpnVgp082,EpnVgp082,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200908,-
70600,1727392,EpnVgp065,EpnVgp065,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200908,-
70600,1727393,EpnVgp085,EpnVgp085,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200908,-
70600,1727394,EpnVgp067,EpnVgp067,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200908,-
70600,1727395,EpnVgp025,EpnVgp025,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200908,-
70600,1727396,EpnVgp007,EpnVgp007,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200908,-
70600,1727397,EpnVgp021,EpnVgp021,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200908,-
70600,1727398,EpnVgp053,EpnVgp053,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200908,-
70600,1727399,EpnVgp090,EpnVgp090,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200908,-
70600,1727400,EpnVgp006,EpnVgp006,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200908,-
70600,1727401,EpnVgp095,EpnVgp095,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200908,-
70600,1727402,EpnVgp011,EpnVgp011,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200908,-
70600,1727403,EpnVgp105,EpnVgp105,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200908,-
70600,1727404,EpnVgp052,EpnVgp052,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200908,-
70600,1727405,EpnVgp050,EpnVgp050,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200908,-
70600,1727406,EpnVgp106,EpnVgp106,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200908,-
70600,1727407,EpnVgp003,EpnVgp003,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200908,-
70600,1727408,EpnVgp099,EpnVgp099,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200908,-
70600,1727409,EpnVgp035,EpnVgp035,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200908,-
70600,1727410,EpnVgp074,EpnVgp074,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200908,-
70600,1727411,EpnVgp028,EpnVgp028,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200908,-
70600,1727412,EpnVgp047,EpnVgp047,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200908,-
70600,1727413,EpnVgp060,EpnVgp060,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200908,-
70600,1727414,EpnVgp109,EpnVgp109,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200908,-
70600,1727415,EpnVgp086,EpnVgp086,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200908,-
70600,1727416,EpnVgp068,EpnVgp068,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200908,-
70600,1727417,EpnVgp062,EpnVgp062,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200908,-
70600,1727418,EpnVgp097,EpnVgp097,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200908,-
70600,1727419,EpnVgp071,EpnVgp071,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200908,-
70600,1727420,EpnVgp041,EpnVgp041,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200908,-
70600,1727421,EpnVgp080,EpnVgp080,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200908,-
70600,1727422,EpnVgp081,EpnVgp081,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200908,-
70600,1727423,EpnVgp020,EpnVgp020,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200908,-
70600,1727424,EpnVgp015,EpnVgp015,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200908,-
70600,1727425,EpnVgp114,EpnVgp114,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200908,-
70600,1727426,EpnVgp031,EpnVgp031,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200908,-
70600,1727427,EpnVgp054,EpnVgp054,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200908,-
70600,1727428,EpnVgp091,EpnVgp091,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200908,-
70600,1727429,EpnVgp098,EpnVgp098,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200908,-
70600,1727430,EpnVgp135,EpnVgp135,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200908,-
70600,1727431,EpnVgp001,EpnVgp001,-,-,-,-,ORF1629,protein-coding,-,-,-,ORF1629,20200908,-
70600,1727432,EpnVgp051,EpnVgp051,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200908,-
70600,1727433,EpnVgp063,EpnVgp063,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200908,-
70600,1727434,EpnVgp016,EpnVgp016,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200908,-
70600,1727435,EpnVgp075,EpnVgp075,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200908,-
70600,1727436,EpnVgp129,EpnVgp129,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200908,-
70600,1727437,EpnVgp044,EpnVgp044,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200908,-
70600,1727438,EpnVgp118,EpnVgp118,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200908,-
70600,1727439,EpnVgp107,EpnVgp107,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200908,-
70600,1727440,EpnVgp133,EpnVgp133,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200908,-
70600,1727441,EpnVgp100,EpnVgp100,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200908,-
70600,1727442,EpnVgp128,EpnVgp128,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200908,-
70600,1727443,EpnVgp125,EpnVgp125,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200908,-
70600,1727444,EpnVgp004,EpnVgp004,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200908,-
70600,1727445,EpnVgp048,EpnVgp048,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200908,-
70600,1727446,EpnVgp066,EpnVgp066,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200908,-
70600,1727447,EpnVgp103,EpnVgp103,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200908,-
70600,1727448,EpnVgp010,EpnVgp010,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200908,-
70600,1727449,EpnVgp094,EpnVgp094,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200908,-
70600,1727450,EpnVgp089,EpnVgp089,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200908,-
70600,1727451,EpnVgp014,EpnVgp014,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200908,-
70600,1727452,EpnVgp009,EpnVgp009,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200908,-
70600,1727453,EpnVgp072,EpnVgp072,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200908,-
70600,1727454,EpnVgp030,EpnVgp030,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200908,-
70600,1727455,EpnVgp019,EpnVgp019,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200908,-
70600,1727456,EpnVgp069,EpnVgp069,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200908,-
70600,1727457,EpnVgp039,EpnVgp039,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200908,-
70600,1727458,EpnVgp029,EpnVgp029,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200908,-
70600,1727459,EpnVgp055,EpnVgp055,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200908,-
70600,2829733,NEWENTRY,-,-,-,-,-,Record to support submission of GeneRIFs for a gene not in Gene (Epiphyas postvittana NPV; Epiphyas postvittana nuclear polyhedrovirus).,other,-,-,-,-,20210531,-
