#tax_id,GeneID,Symbol,LocusTag,Synonyms,dbXrefs,chromosome,map_location,description,type_of_gene,Symbol_from_nomenclature_authority,Full_name_from_nomenclature_authority,Nomenclature_status,Other_designations,Modification_date,Feature_type
2065203,65111136,KNT81_gp002,KNT81_gp002,phiP43_002,-,-,-,nucleoid disruption protein,protein-coding,-,-,-,nucleoid disruption protein,20210607,-
2065203,65111164,KNT81_gp030,KNT81_gp030,phiP43_030,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2065203,65111165,KNT81_gp031,KNT81_gp031,phiP43_031,-,-,-,thymidylate synthase,protein-coding,-,-,-,thymidylate synthase,20210607,-
2065203,65111166,KNT81_gp032,KNT81_gp032,phiP43_032,-,-,-,I-Tevl homing endonuclease,protein-coding,-,-,-,I-Tevl homing endonuclease,20210607,-
2065203,65111167,KNT81_gp033,KNT81_gp033,phiP43_033,-,-,-,thymidylate synthase,protein-coding,-,-,-,thymidylate synthase,20210607,-
2065203,65111168,KNT81_gp034,KNT81_gp034,phiP43_034,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2065203,65111169,KNT81_gp035,KNT81_gp035,phiP43_035,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2065203,65111170,KNT81_gp036,KNT81_gp036,phiP43_036,-,-,-,putative major virion structural protein,protein-coding,-,-,-,putative major virion structural protein,20210607,-
2065203,65111171,KNT81_gp037,KNT81_gp037,phiP43_037,-,-,-,aerobic NDP reductase large subunit,protein-coding,-,-,-,aerobic NDP reductase large subunit,20210607,-
2065203,65111172,KNT81_gp038,KNT81_gp038,phiP43_038,-,-,-,putative homing endonuclease,protein-coding,-,-,-,putative homing endonuclease,20210607,-
2065203,65111173,KNT81_gp039,KNT81_gp039,phiP43_039,-,-,-,aerobic NDP reductase small subunit,protein-coding,-,-,-,aerobic NDP reductase small subunit,20210607,-
2065203,65111174,KNT81_gp040,KNT81_gp040,phiP43_040,-,-,-,endonuclease II,protein-coding,-,-,-,endonuclease II,20210607,-
2065203,65111175,KNT81_gp041,KNT81_gp041,phiP43_041,-,-,-,RNA ligase 1 and tail fiber attachment catalyst,protein-coding,-,-,-,RNA ligase 1 and tail fiber attachment catalyst,20210607,-
2065203,65111176,KNT81_gp042,KNT81_gp042,phiP43_042,-,-,-,inhibitor of host transcription,protein-coding,-,-,-,inhibitor of host transcription,20210607,-
2065203,65111177,KNT81_gp043,KNT81_gp043,phiP43_043,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2065203,65111178,KNT81_gp044,KNT81_gp044,phiP43_044,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2065203,65111179,KNT81_gp045,KNT81_gp045,phiP43_045,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2065203,65111180,KNT81_gp046,KNT81_gp046,phiP43_046,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2065203,65111181,KNT81_gp047,KNT81_gp047,phiP43_047,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2065203,65111182,KNT81_gp048,KNT81_gp048,phiP43_048,-,-,-,"3'-phosphatase, 5'-polynucleotide kinase",protein-coding,-,-,-,"3'-phosphatase, 5'-polynucleotide kinase",20210607,-
2065203,65111183,KNT81_gp049,KNT81_gp049,phiP43_049,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2065203,65111184,KNT81_gp050,KNT81_gp050,phiP43_050,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2065203,65111185,KNT81_gp051,KNT81_gp051,phiP43_051,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2065203,65111186,KNT81_gp052,KNT81_gp052,phiP43_052,-,-,-,phospho-2-dehydro-3-deoxyheptonate aldolase,protein-coding,-,-,-,phospho-2-dehydro-3-deoxyheptonate aldolase,20210607,-
2065203,65111187,KNT81_gp053,KNT81_gp053,phiP43_053,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2065203,65111188,KNT81_gp054,KNT81_gp054,phiP43_054,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2065203,65111189,KNT81_gp055,KNT81_gp055,phiP43_055,-,-,-,dCMP deaminase,protein-coding,-,-,-,dCMP deaminase,20210607,-
2065203,65111190,KNT81_gp056,KNT81_gp056,phiP43_056,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2065203,65111191,KNT81_gp057,KNT81_gp057,phiP43_057,-,-,-,head assembly cochaperone with GroEL,protein-coding,-,-,-,head assembly cochaperone with GroEL,20210607,-
2065203,65111192,KNT81_gp058,KNT81_gp058,phiP43_058,-,-,-,rIII lysis inhibition accessory protein rapid lysis phenotype,protein-coding,-,-,-,rIII lysis inhibition accessory protein rapid lysis phenotype,20210607,-
2065203,65111193,KNT81_gp059,KNT81_gp059,phiP43_059,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2065203,65111194,KNT81_gp060,KNT81_gp060,phiP43_060,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2065203,65111195,KNT81_gp061,KNT81_gp061,phiP43_061,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2065203,65111196,KNT81_gp062,KNT81_gp062,phiP43_062,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2065203,65111197,KNT81_gp063,KNT81_gp063,phiP43_063,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2065203,65111198,KNT81_gp064,KNT81_gp064,phiP43_064,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2065203,65111199,KNT81_gp065,KNT81_gp065,phiP43_065,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2065203,65111200,KNT81_gp066,KNT81_gp066,phiP43_066,-,-,-,DNA ligase,protein-coding,-,-,-,DNA ligase,20210607,-
2065203,65111201,KNT81_gp067,KNT81_gp067,phiP43_067,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2065203,65111202,KNT81_gp068,KNT81_gp068,phiP43_068,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2065203,65111203,KNT81_gp069,KNT81_gp069,phiP43_069,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2065203,65111204,KNT81_gp070,KNT81_gp070,phiP43_070,-,-,-,RNA polymerase ADP-ribosylase,protein-coding,-,-,-,RNA polymerase ADP-ribosylase,20210607,-
2065203,65111205,KNT81_gp071,KNT81_gp071,phiP43_071,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2065203,65111206,KNT81_gp072,KNT81_gp072,phiP43_072,-,-,-,head outer capsid protein,protein-coding,-,-,-,head outer capsid protein,20210607,-
2065203,65111207,KNT81_gp073,KNT81_gp073,phiP43_073,-,-,-,inhibitor of prohead protease,protein-coding,-,-,-,inhibitor of prohead protease,20210607,-
2065203,65111208,KNT81_gp074,KNT81_gp074,phiP43_074,-,-,-,"RNA-DNA and DNA-DNA helicase, ATPase",protein-coding,-,-,-,"RNA-DNA and DNA-DNA helicase, ATPase",20210607,-
2065203,65111209,KNT81_gp075,KNT81_gp075,phiP43_075,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2065203,65111210,KNT81_gp076,KNT81_gp076,phiP43_076,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2065203,65111211,KNT81_gp077,KNT81_gp077,phiP43_077,-,-,-,"recombination, repair and ssDNA binding protein",protein-coding,-,-,-,"recombination, repair and ssDNA binding protein",20210607,-
2065203,65111212,KNT81_gp078,KNT81_gp078,phiP43_078,-,-,-,baseplate wedge subunit,protein-coding,-,-,-,baseplate wedge subunit,20210607,-
2065203,65111213,KNT81_gp079,KNT81_gp079,phiP43_079,-,-,-,baseplate hub subunit,protein-coding,-,-,-,baseplate hub subunit,20210607,-
2065203,65111214,KNT81_gp080,KNT81_gp080,phiP43_080,-,-,-,baseplate hub assembly protein,protein-coding,-,-,-,baseplate hub assembly protein,20210607,-
2065203,65111215,KNT81_gp081,KNT81_gp081,phiP43_081,-,-,-,baseplate hub subunit,protein-coding,-,-,-,baseplate hub subunit,20210607,-
2065203,65111216,KNT81_gp082,KNT81_gp082,phiP43_082,-,-,-,baseplate hub distal subunit,protein-coding,-,-,-,baseplate hub distal subunit,20210607,-
2065203,65111217,KNT81_gp083,KNT81_gp083,phiP43_083,-,-,-,baseplate hub subunit and tail length determinator,protein-coding,-,-,-,baseplate hub subunit and tail length determinator,20210607,-
2065203,65111218,KNT81_gp084,KNT81_gp084,phiP43_084,-,-,-,baseplate tail tube cap,protein-coding,-,-,-,baseplate tail tube cap,20210607,-
2065203,65111219,KNT81_gp085,KNT81_gp085,phiP43_085,-,-,-,baseplate tail tube initiator,protein-coding,-,-,-,baseplate tail tube initiator,20210607,-
2065203,65111220,KNT81_gp086,KNT81_gp086,phiP43_086,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2065203,65111221,KNT81_gp087,KNT81_gp087,phiP43_087,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2065203,65111222,KNT81_gp088,KNT81_gp088,phiP43_088,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2065203,65111223,KNT81_gp089,KNT81_gp089,phiP43_089,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2065203,65111224,KNT81_gp090,KNT81_gp090,phiP43_090,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2065203,65111225,KNT81_gp091,KNT81_gp091,phiP43_091,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2065203,65111226,KNT81_gp092,KNT81_gp092,phiP43_092,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2065203,65111227,KNT81_gp093,KNT81_gp093,phiP43_093,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2065203,65111228,KNT81_gp094,KNT81_gp094,phiP43_094,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2065203,65111229,KNT81_gp095,KNT81_gp095,phiP43_095,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2065203,65111230,KNT81_gp096,KNT81_gp096,phiP43_096,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2065203,65111231,KNT81_gp097,KNT81_gp097,phiP43_097,-,-,-,RNA ligase 2,protein-coding,-,-,-,RNA ligase 2,20210607,-
2065203,65111232,KNT81_gp098,KNT81_gp098,phiP43_098,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2065203,65111233,KNT81_gp099,KNT81_gp099,phiP43_099,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2065203,65111234,KNT81_gp100,KNT81_gp100,phiP43_100,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2065203,65111235,KNT81_gp101,KNT81_gp101,phiP43_101,-,-,-,head vertex protein,protein-coding,-,-,-,head vertex protein,20210607,-
2065203,65111236,KNT81_gp102,KNT81_gp102,phiP43_102,-,-,-,major capsid protein,protein-coding,-,-,-,major capsid protein,20210607,-
2065203,65111237,KNT81_gp103,KNT81_gp103,phiP43_103,-,-,-,prohead core scaffold protein,protein-coding,-,-,-,prohead core scaffold protein,20210607,-
2065203,65111238,KNT81_gp104,KNT81_gp104,phiP43_104,-,-,-,prohead core scaffold protein and protease,protein-coding,-,-,-,prohead core scaffold protein and protease,20210607,-
2065203,65111239,KNT81_gp105,KNT81_gp105,phiP43_105,-,-,-,prohead core protein,protein-coding,-,-,-,prohead core protein,20210607,-
2065203,65111240,KNT81_gp106,KNT81_gp106,phiP43_106,-,-,-,prohead core protein,protein-coding,-,-,-,prohead core protein,20210607,-
2065203,65111241,KNT81_gp107,KNT81_gp107,phiP43_107,-,-,-,portal vertex of head,protein-coding,-,-,-,portal vertex of head,20210607,-
2065203,65111242,KNT81_gp108,KNT81_gp108,phiP43_108,-,-,-,tail tube protein,protein-coding,-,-,-,tail tube protein,20210607,-
2065203,65111243,KNT81_gp109,KNT81_gp109,phiP43_109,-,-,-,tail sheath protein,protein-coding,-,-,-,tail sheath protein,20210607,-
2065203,65111244,KNT81_gp110,KNT81_gp110,phiP43_110,-,-,-,terminase large subunit,protein-coding,-,-,-,terminase large subunit,20210607,-
2065203,65111245,KNT81_gp111,KNT81_gp111,phiP43_111,-,-,-,terminase small subunit,protein-coding,-,-,-,terminase small subunit,20210607,-
2065203,65111246,KNT81_gp112,KNT81_gp112,phiP43_112,-,-,-,tail sheath stabilization protein,protein-coding,-,-,-,tail sheath stabilization protein,20210607,-
2065203,65111247,KNT81_gp113,KNT81_gp113,phiP43_113,-,-,-,neck protein,protein-coding,-,-,-,neck protein,20210607,-
2065203,65111248,KNT81_gp114,KNT81_gp114,phiP43_114,-,-,-,neck protein,protein-coding,-,-,-,neck protein,20210607,-
2065203,65111249,KNT81_gp115,KNT81_gp115,phiP43_115,-,-,-,fibritin neck whiskers protein,protein-coding,-,-,-,fibritin neck whiskers protein,20210607,-
2065203,65111250,KNT81_gp116,KNT81_gp116,phiP43_116,-,-,-,short tail fibers protein,protein-coding,-,-,-,short tail fibers protein,20210607,-
2065203,65111251,KNT81_gp117,KNT81_gp117,phiP43_117,-,-,-,baseplate wedge subunit and tail pin,protein-coding,-,-,-,baseplate wedge subunit and tail pin,20210607,-
2065203,65111252,KNT81_gp118,KNT81_gp118,phiP43_118,-,-,-,baseplate wedge subunit and tail pin,protein-coding,-,-,-,baseplate wedge subunit and tail pin,20210607,-
2065203,65111253,KNT81_gp119,KNT81_gp119,phiP43_119,-,-,-,baseplate wedge subunit and tail pin,protein-coding,-,-,-,baseplate wedge subunit and tail pin,20210607,-
2065203,65111254,KNT81_gp120,KNT81_gp120,phiP43_120,-,-,-,baseplate wedge tail fiber connector,protein-coding,-,-,-,baseplate wedge tail fiber connector,20210607,-
2065203,65111255,KNT81_gp121,KNT81_gp121,phiP43_121,-,-,-,baseplate wedge subunit,protein-coding,-,-,-,baseplate wedge subunit,20210607,-
2065203,65111256,KNT81_gp122,KNT81_gp122,phiP43_122,-,-,-,baseplate wedge subunit,protein-coding,-,-,-,baseplate wedge subunit,20210607,-
2065203,65111257,KNT81_gp123,KNT81_gp123,phiP43_123,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2065203,65111258,KNT81_gp124,KNT81_gp124,phiP43_124,-,-,-,baseplate hub subunit and tail lysozyme,protein-coding,-,-,-,baseplate hub subunit and tail lysozyme,20210607,-
2065203,65111259,KNT81_gp125,KNT81_gp125,phiP43_125,-,-,-,baseplate wedge subunit,protein-coding,-,-,-,baseplate wedge subunit,20210607,-
2065203,65111260,KNT81_gp126,KNT81_gp126,phiP43_126,-,-,-,head completion protein,protein-coding,-,-,-,head completion protein,20210607,-
2065203,65111261,KNT81_gp127,KNT81_gp127,phiP43_127,-,-,-,DNA end protector protein,protein-coding,-,-,-,DNA end protector protein,20210607,-
2065203,65111262,KNT81_gp128,KNT81_gp128,phiP43_128,-,-,-,tail completion and sheath stabilizer protein,protein-coding,-,-,-,tail completion and sheath stabilizer protein,20210607,-
2065203,65111263,KNT81_gp129,KNT81_gp129,phiP43_129,-,-,-,dNMP kinase,protein-coding,-,-,-,dNMP kinase,20210607,-
2065203,65111264,KNT81_gp130,KNT81_gp130,phiP43_130,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2065203,65111265,KNT81_gp131,KNT81_gp131,phiP43_131,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2065203,65111266,KNT81_gp132,KNT81_gp132,phiP43_132,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2065203,65111267,KNT81_gp133,KNT81_gp133,phiP43_133,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2065203,65111268,KNT81_gp134,KNT81_gp134,phiP43_134,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2065203,65111269,KNT81_gp135,KNT81_gp135,phiP43_135,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2065203,65111270,KNT81_gp136,KNT81_gp136,phiP43_136,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2065203,65111271,KNT81_gp137,KNT81_gp137,phiP43_137,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2065203,65111272,KNT81_gp138,KNT81_gp138,phiP43_138,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2065203,65111273,KNT81_gp139,KNT81_gp139,phiP43_139,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2065203,65111274,KNT81_gp140,KNT81_gp140,phiP43_140,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2065203,65111275,KNT81_gp141,KNT81_gp141,phiP43_141,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2065203,65111276,KNT81_gp142,KNT81_gp142,phiP43_142,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2065203,65111277,KNT81_gt001,KNT81_gt001,phiP43_tRNA01,-,-,-,tRNA,tRNA,-,-,-,-,20210607,-
2065203,65111278,KNT81_gt002,KNT81_gt002,phiP43_tRNA02,-,-,-,tRNA,tRNA,-,-,-,-,20210607,-
2065203,65111279,KNT81_gt003,KNT81_gt003,phiP43_tRNA03,-,-,-,tRNA,tRNA,-,-,-,-,20210607,-
2065203,65111280,KNT81_gp270,KNT81_gp270,phiP43_143,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2065203,65111281,KNT81_gt004,KNT81_gt004,phiP43_tRNA04,-,-,-,tRNA,tRNA,-,-,-,-,20210607,-
2065203,65111282,KNT81_gp269,KNT81_gp269,phiP43_144,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2065203,65111283,KNT81_gt005,KNT81_gt005,phiP43_tRNA05,-,-,-,tRNA,tRNA,-,-,-,-,20210607,-
2065203,65111284,KNT81_gt006,KNT81_gt006,phiP43_tRNA06,-,-,-,tRNA,tRNA,-,-,-,-,20210607,-
2065203,65111285,KNT81_gp268,KNT81_gp268,phiP43_145,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2065203,65111286,KNT81_gt007,KNT81_gt007,phiP43_tRNA07,-,-,-,tRNA,tRNA,-,-,-,-,20210607,-
2065203,65111287,KNT81_gt008,KNT81_gt008,phiP43_tRNA08,-,-,-,tRNA,tRNA,-,-,-,-,20210607,-
2065203,65111288,KNT81_gp267,KNT81_gp267,phiP43_146,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2065203,65111289,KNT81_gp266,KNT81_gp266,phiP43_147,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2065203,65111290,KNT81_gp265,KNT81_gp265,phiP43_148,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2065203,65111291,KNT81_gp264,KNT81_gp264,phiP43_149,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2065203,65111292,KNT81_gp263,KNT81_gp263,phiP43_150,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2065203,65111293,KNT81_gp262,KNT81_gp262,phiP43_151,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2065203,65111294,KNT81_gp261,KNT81_gp261,phiP43_152,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2065203,65111295,KNT81_gp260,KNT81_gp260,phiP43_153,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2065203,65111296,KNT81_gp259,KNT81_gp259,phiP43_154,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2065203,65111297,KNT81_gp258,KNT81_gp258,phiP43_155,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2065203,65111298,KNT81_gp257,KNT81_gp257,phiP43_156,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2065203,65111299,KNT81_gp256,KNT81_gp256,phiP43_157,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2065203,65111300,KNT81_gp255,KNT81_gp255,phiP43_158,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2065203,65111301,KNT81_gp254,KNT81_gp254,phiP43_159,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2065203,65111302,KNT81_gp253,KNT81_gp253,phiP43_160,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2065203,65111303,KNT81_gp252,KNT81_gp252,phiP43_161,-,-,-,nudix hydrolase,protein-coding,-,-,-,nudix hydrolase,20210607,-
2065203,65111304,KNT81_gp251,KNT81_gp251,phiP43_162,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2065203,65111305,KNT81_gp250,KNT81_gp250,phiP43_163,-,-,-,carbamoyltransferase,protein-coding,-,-,-,carbamoyltransferase,20210607,-
2065203,65111306,KNT81_gp249,KNT81_gp249,phiP43_164,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2065203,65111307,KNT81_gp248,KNT81_gp248,phiP43_165,-,-,-,endolysin,protein-coding,-,-,-,endolysin,20210607,-
2065203,65111308,KNT81_gp247,KNT81_gp247,phiP43_166,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2065203,65111309,KNT81_gp246,KNT81_gp246,phiP43_167,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2065203,65111310,KNT81_gp245,KNT81_gp245,phiP43_168,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2065203,65111311,KNT81_gp244,KNT81_gp244,phiP43_169,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2065203,65111312,KNT81_gp243,KNT81_gp243,phiP43_170,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2065203,65111313,KNT81_gp242,KNT81_gp242,phiP43_171,-,-,-,endonuclease V,protein-coding,-,-,-,endonuclease V,20210607,-
2065203,65111314,KNT81_gp241,KNT81_gp241,phiP43_172,-,-,-,site-specific RNA endonuclease,protein-coding,-,-,-,site-specific RNA endonuclease,20210607,-
2065203,65111315,KNT81_gp240,KNT81_gp240,phiP43_173,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
