#tax_id,GeneID,Symbol,LocusTag,Synonyms,dbXrefs,chromosome,map_location,description,type_of_gene,Symbol_from_nomenclature_authority,Full_name_from_nomenclature_authority,Nomenclature_status,Other_designations,Modification_date,Feature_type
1327976,16796704,Phi12:1_gp62,Phi12:1_gp62,-,-,-,-,putative holin,protein-coding,-,-,-,putative holin,20201221,-
1327976,16796738,Phi12:1_gp2,Phi12:1_gp2,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1327976,16796739,Phi12:1_gp11,Phi12:1_gp11,-,-,-,-,"exonuclease, DNA polymerase III subunit epsilon",protein-coding,-,-,-,"exonuclease, DNA polymerase III subunit epsilon",20201221,-
1327976,16796740,Phi12:1_gp35,Phi12:1_gp35,-,-,-,-,phage portal protein,protein-coding,-,-,-,phage portal protein,20201221,-
1327976,16796741,Phi12:1_gp34,Phi12:1_gp34,-,-,-,-,phage terminase large subunit,protein-coding,-,-,-,phage terminase large subunit,20201221,-
1327976,16796742,Phi12:1_gp33,Phi12:1_gp33,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1327976,16796743,Phi12:1_gp32,Phi12:1_gp32,-,-,-,-,phage terminase small subunit,protein-coding,-,-,-,phage terminase small subunit,20201221,-
1327976,16796744,Phi12:1_gp31,Phi12:1_gp31,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1327976,16796745,Phi12:1_gp10,Phi12:1_gp10,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1327976,16796746,Phi12:1_gp30,Phi12:1_gp30,-,-,-,-,VRR-NUC domain containing protein,protein-coding,-,-,-,VRR-NUC domain containing protein,20201221,-
1327976,16796747,Phi12:1_gp29,Phi12:1_gp29,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1327976,16796748,Phi12:1_gp28,Phi12:1_gp28,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1327976,16796749,Phi12:1_gp27,Phi12:1_gp27,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1327976,16796750,Phi12:1_gp26,Phi12:1_gp26,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1327976,16796751,Phi12:1_gp25,Phi12:1_gp25,-,-,-,-,DNA methylase,protein-coding,-,-,-,DNA methylase,20201221,-
1327976,16796752,Phi12:1_gp6,Phi12:1_gp6,-,-,-,-,DNA methylase,protein-coding,-,-,-,DNA methylase,20201221,-
1327976,16796753,Phi12:1_gp24,Phi12:1_gp24,-,-,-,-,"virulance associated protein E, VirE",protein-coding,-,-,-,"virulance associated protein E, VirE",20201221,-
1327976,16796754,Phi12:1_gp23,Phi12:1_gp23,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1327976,16796755,Phi12:1_gp22,Phi12:1_gp22,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1327976,16796756,Phi12:1_gp21,Phi12:1_gp21,-,-,-,-,VirE N-domain protein,protein-coding,-,-,-,VirE N-domain protein,20201221,-
1327976,16796757,Phi12:1_gp20,Phi12:1_gp20,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1327976,16796758,Phi12:1_gp19,Phi12:1_gp19,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1327976,16796759,Phi12:1_gp18,Phi12:1_gp18,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1327976,16796760,Phi12:1_gp17,Phi12:1_gp17,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1327976,16796761,Phi12:1_gp16,Phi12:1_gp16,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1327976,16796762,Phi12:1_gp64,Phi12:1_gp64,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1327976,16796763,Phi12:1_gp15,Phi12:1_gp15,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1327976,16796764,Phi12:1_gp14,Phi12:1_gp14,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1327976,16796765,Phi12:1_gp13,Phi12:1_gp13,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1327976,16796766,Phi12:1_gp12,Phi12:1_gp12,-,-,-,-,helicase,protein-coding,-,-,-,helicase,20201221,-
1327976,16796767,Phi12:1_gp7,Phi12:1_gp7,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1327976,16830600,NEWENTRY,-,-,-,-,-,Record to support submission of GeneRIFs for a gene not in Gene.,other,-,-,-,-,20200513,-
