#tax_id,GeneID,Symbol,LocusTag,Synonyms,dbXrefs,chromosome,map_location,description,type_of_gene,Symbol_from_nomenclature_authority,Full_name_from_nomenclature_authority,Nomenclature_status,Other_designations,Modification_date,Feature_type
2652404,60331930,2,I5H70_gp02,SEA_NITZEL_2,-,-,-,terminase small subunit,protein-coding,-,-,-,terminase small subunit,20201129,-
2652404,60331958,30,I5H70_gp30,SEA_NITZEL_30,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2652404,60331959,31,I5H70_gp31,SEA_NITZEL_31,-,-,-,lysin A,protein-coding,-,-,-,lysin A,20210424,-
2652404,60331960,32,I5H70_gp32,SEA_NITZEL_32,-,-,-,lysin B,protein-coding,-,-,-,lysin B,20201129,-
2652404,60331961,33,I5H70_gp33,SEA_NITZEL_33,-,-,-,holin,protein-coding,-,-,-,holin,20210424,-
2652404,60331962,34,I5H70_gp34,SEA_NITZEL_34,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210424,-
2652404,60331963,35,I5H70_gp35,SEA_NITZEL_35,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2652404,60331964,36,I5H70_gp36,SEA_NITZEL_36,-,-,-,DNA polymerase III subunit,protein-coding,-,-,-,DNA polymerase III subunit,20210406,-
2652404,60331965,37,I5H70_gp37,SEA_NITZEL_37,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2652404,60331966,38,I5H70_gp38,SEA_NITZEL_38,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2652404,60331967,39,I5H70_gp39,SEA_NITZEL_39,-,-,-,tyrosine integrase,protein-coding,-,-,-,tyrosine integrase,20210424,-
2652404,60331968,40,I5H70_gp40,SEA_NITZEL_40,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2652404,60331969,41,I5H70_gp41,SEA_NITZEL_41,-,-,-,immunity repressor,protein-coding,-,-,-,immunity repressor,20210424,-
2652404,60331970,43,I5H70_gp43,SEA_NITZEL_43,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2652404,60331971,42,I5H70_gp42,SEA_NITZEL_42,-,-,-,Cro protein,protein-coding,-,-,-,Cro protein,20210403,-
2652404,60331972,44,I5H70_gp44,SEA_NITZEL_44,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2652404,60331973,45,I5H70_gp45,SEA_NITZEL_45,-,-,-,excise,protein-coding,-,-,-,excise,20210212,-
2652404,60331974,46,I5H70_gp46,SEA_NITZEL_46,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2652404,60331975,47,I5H70_gp47,SEA_NITZEL_47,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2652404,60331976,48,I5H70_gp48,SEA_NITZEL_48,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2652404,60331977,49,I5H70_gp49,SEA_NITZEL_49,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210406,-
2652404,60331978,50,I5H70_gp50,SEA_NITZEL_50,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2652404,60331979,51,I5H70_gp51,SEA_NITZEL_51,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2652404,60331980,52,I5H70_gp52,SEA_NITZEL_52,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2652404,60331981,53,I5H70_gp53,SEA_NITZEL_53,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2652404,60331982,54,I5H70_gp54,SEA_NITZEL_54,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210424,-
2652404,60331983,55,I5H70_gp55,SEA_NITZEL_55,-,-,-,WhiB family transcription factor,protein-coding,-,-,-,WhiB family transcription factor,20210424,-
2652404,60331984,56,I5H70_gp56,SEA_NITZEL_56,-,-,-,helix-turn-helix DNA binding domain protein,protein-coding,-,-,-,helix-turn-helix DNA binding domain protein,20210424,-
2652404,60331985,57,I5H70_gp57,SEA_NITZEL_57,-,-,-,WhiB family transcription factor,protein-coding,-,-,-,WhiB family transcription factor,20210424,-
2652404,60331986,58,I5H70_gp58,SEA_NITZEL_58,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2652404,60331987,59,I5H70_gp59,SEA_NITZEL_59,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2652404,60331988,60,I5H70_gp60,SEA_NITZEL_60,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2652404,60331989,61,I5H70_gp61,SEA_NITZEL_61,-,-,-,RecA-like DNA recombinase,protein-coding,-,-,-,RecA-like DNA recombinase,20210424,-
2652404,60331990,62,I5H70_gp62,SEA_NITZEL_62,-,-,-,HNH endonuclease,protein-coding,-,-,-,HNH endonuclease,20210424,-
2652404,60331991,63,I5H70_gp63,SEA_NITZEL_63,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210424,-
2652404,60331992,64,I5H70_gp64,SEA_NITZEL_64,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2652404,60331993,65,I5H70_gp65,SEA_NITZEL_65,-,-,-,DNA methylase,protein-coding,-,-,-,DNA methylase,20210424,-
2652404,60331994,66,I5H70_gp66,SEA_NITZEL_66,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2652404,60331995,67,I5H70_gp67,SEA_NITZEL_67,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2652404,60331996,68,I5H70_gp68,SEA_NITZEL_68,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2652404,60331997,69,I5H70_gp69,SEA_NITZEL_69,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2652404,60331998,70,I5H70_gp70,SEA_NITZEL_70,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2652404,60331999,71,I5H70_gp71,SEA_NITZEL_71,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2652404,60332000,72,I5H70_gp72,SEA_NITZEL_72,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2652404,60332001,73,I5H70_gp73,SEA_NITZEL_73,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2652404,60332002,74,I5H70_gp74,SEA_NITZEL_74,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2652404,60332003,75,I5H70_gp75,SEA_NITZEL_75,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2652404,60332004,76,I5H70_gp76,SEA_NITZEL_76,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2652404,60332005,77,I5H70_gp77,SEA_NITZEL_77,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2652404,60332006,79,I5H70_gp79,SEA_NITZEL_79,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2652404,60332007,80,I5H70_gp80,SEA_NITZEL_80,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2652404,60332008,81,I5H70_gp81,SEA_NITZEL_81,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2652404,60332009,82,I5H70_gp82,SEA_NITZEL_82,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2652404,60332010,83,I5H70_gp83,SEA_NITZEL_83,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2652404,60332011,84,I5H70_gp84,SEA_NITZEL_84,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2652404,60332012,85,I5H70_gp85,SEA_NITZEL_85,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2652404,60332013,86,I5H70_gp86,SEA_NITZEL_86,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2652404,60332014,87,I5H70_gp87,SEA_NITZEL_87,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2652404,60332015,88,I5H70_gp88,SEA_NITZEL_88,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210424,-
2652404,60332016,89,I5H70_gp89,SEA_NITZEL_89,-,-,-,ribbon-helix-helix DNA binding domain protein,protein-coding,-,-,-,ribbon-helix-helix DNA binding domain protein,20201129,-
2652404,60332017,90,I5H70_gp90,SEA_NITZEL_90,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2652404,60332018,91,I5H70_gp91,SEA_NITZEL_91,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2652404,60332019,92,I5H70_gp92,SEA_NITZEL_92,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2652404,60332020,93,I5H70_gp93,SEA_NITZEL_93,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2652404,60332021,94,I5H70_gp94,SEA_NITZEL_94,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2652404,60332022,95,I5H70_gp95,SEA_NITZEL_95,-,-,-,glycosyltransferase,protein-coding,-,-,-,glycosyltransferase,20210424,-
2652404,60332023,96,I5H70_gp96,SEA_NITZEL_96,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2652404,60332024,97,I5H70_gp97,SEA_NITZEL_97,-,-,-,serine/threonine kinase,protein-coding,-,-,-,serine/threonine kinase,20210424,-
2652404,60332025,98,I5H70_gp98,SEA_NITZEL_98,-,-,-,glycosyltransferase,protein-coding,-,-,-,glycosyltransferase,20210424,-
2652404,60332026,78,I5H70_gp78,SEA_NITZEL_78,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2652404,60332027,1,I5H70_gp01,SEA_NITZEL_1,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210417,-
2652404,60338787,NEWENTRY,-,-,-,-,-,Record to support submission of GeneRIFs for a gene not in Gene.,other,-,-,-,-,20201130,-
