#tax_id,GeneID,Symbol,LocusTag,Synonyms,dbXrefs,chromosome,map_location,description,type_of_gene,Symbol_from_nomenclature_authority,Full_name_from_nomenclature_authority,Nomenclature_status,Other_designations,Modification_date,Feature_type
2483675,65117271,2,KNU23_gp02,SEA_TANGENT_2,-,-,-,terminase,protein-coding,-,-,-,terminase,20210607,-
2483675,65117293,24,KNU23_gp24,SEA_TANGENT_24,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2483675,65117294,25,KNU23_gp25,SEA_TANGENT_25,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2483675,65117295,26,KNU23_gp26,SEA_TANGENT_26,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2483675,65117296,27,KNU23_gp27,SEA_TANGENT_27,-,-,-,head-to-tail adaptor,protein-coding,-,-,-,head-to-tail adaptor,20210607,-
2483675,65117297,28,KNU23_gp28,SEA_TANGENT_28,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2483675,65117298,29,KNU23_gp29,SEA_TANGENT_29,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2483675,65117299,30,KNU23_gp30,SEA_TANGENT_30,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210609,-
2483675,65117300,31,KNU23_gp31,SEA_TANGENT_31,-,-,-,tail assembly chaperone,protein-coding,-,-,-,tail assembly chaperone,20210607,-
2483675,65117301,32,KNU23_gp32,SEA_TANGENT_32,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2483675,65117302,33,KNU23_gp33,SEA_TANGENT_33,-,-,-,tape measure protein,protein-coding,-,-,-,tape measure protein,20210607,-
2483675,65117303,34,KNU23_gp34,SEA_TANGENT_34,-,-,-,minor tail protein,protein-coding,-,-,-,minor tail protein,20210607,-
2483675,65117304,35,KNU23_gp35,SEA_TANGENT_35,-,-,-,minor tail protein,protein-coding,-,-,-,minor tail protein,20210607,-
2483675,65117305,36,KNU23_gp36,SEA_TANGENT_36,-,-,-,HNH endonuclease,protein-coding,-,-,-,HNH endonuclease,20210609,-
2483675,65117306,37,KNU23_gp37,SEA_TANGENT_37,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2483675,65117307,38,KNU23_gp38,SEA_TANGENT_38,-,-,-,minor tail protein,protein-coding,-,-,-,minor tail protein,20210607,-
2483675,65117308,39,KNU23_gp39,SEA_TANGENT_39,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2483675,65117309,40,KNU23_gp40,SEA_TANGENT_40,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2483675,65117310,41,KNU23_gp41,SEA_TANGENT_41,-,-,-,HNH endonuclease,protein-coding,-,-,-,HNH endonuclease,20210607,-
2483675,65117311,42,KNU23_gp42,SEA_TANGENT_42,-,-,-,lysin A,protein-coding,-,-,-,lysin A,20210607,-
2483675,65117312,43,KNU23_gp43,SEA_TANGENT_43,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2483675,65117313,44,KNU23_gp44,SEA_TANGENT_44,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2483675,65117314,45,KNU23_gp45,SEA_TANGENT_45,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2483675,65117315,46,KNU23_gp46,SEA_TANGENT_46,-,-,-,lysin B,protein-coding,-,-,-,lysin B,20210607,-
2483675,65117316,47,KNU23_gp47,SEA_TANGENT_47,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2483675,65117317,48,KNU23_gp48,SEA_TANGENT_48,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2483675,65117318,49,KNU23_gp49,SEA_TANGENT_49,-,-,-,exonuclease,protein-coding,-,-,-,exonuclease,20210607,-
2483675,65117319,50,KNU23_gp50,SEA_TANGENT_50,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2483675,65117320,51,KNU23_gp51,SEA_TANGENT_51,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2483675,65117321,52,KNU23_gp52,SEA_TANGENT_52,-,-,-,RecT-like ssDNA binding protein,protein-coding,-,-,-,RecT-like ssDNA binding protein,20210607,-
2483675,65117322,53,KNU23_gp53,SEA_TANGENT_53,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2483675,65117323,54,KNU23_gp54,SEA_TANGENT_54,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2483675,65117324,55,KNU23_gp55,SEA_TANGENT_55,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2483675,65117325,56,KNU23_gp56,SEA_TANGENT_56,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2483675,65117326,57,KNU23_gp57,SEA_TANGENT_57,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2483675,65117327,58,KNU23_gp58,SEA_TANGENT_58,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2483675,65117328,59,KNU23_gp59,SEA_TANGENT_59,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2483675,65117329,60,KNU23_gp60,SEA_TANGENT_60,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2483675,65117330,61,KNU23_gp61,SEA_TANGENT_61,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210609,-
2483675,65117331,62,KNU23_gp62,SEA_TANGENT_62,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2483675,65117332,63,KNU23_gp63,SEA_TANGENT_63,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2483675,65117333,64,KNU23_gp64,SEA_TANGENT_64,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2483675,65117334,65,KNU23_gp65,SEA_TANGENT_65,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2483675,65117335,66,KNU23_gp66,SEA_TANGENT_66,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2483675,65117336,67,KNU23_gp67,SEA_TANGENT_67,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2483675,65117337,68,KNU23_gp68,SEA_TANGENT_68,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2483675,65117338,69,KNU23_gp69,SEA_TANGENT_69,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2483675,65117339,71,KNU23_gp71,SEA_TANGENT_71,-,-,-,RuvC-like resolvase,protein-coding,-,-,-,RuvC-like resolvase,20210607,-
2483675,65117340,72,KNU23_gp72,SEA_TANGENT_72,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2483675,65117341,73,KNU23_gp73,SEA_TANGENT_73,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2483675,65117342,74,KNU23_gp74,SEA_TANGENT_74,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2483675,65117343,75,KNU23_gp75,SEA_TANGENT_75,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2483675,65117344,76,KNU23_gp76,SEA_TANGENT_76,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2483675,65117345,77,KNU23_gp77,SEA_TANGENT_77,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2483675,65117346,78,KNU23_gp78,SEA_TANGENT_78,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2483675,65117347,80,KNU23_gp80,SEA_TANGENT_80,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2483675,65117348,81,KNU23_gp81,SEA_TANGENT_81,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2483675,65117349,82,KNU23_gp82,SEA_TANGENT_82,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2483675,65117350,83,KNU23_gp83,SEA_TANGENT_83,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2483675,65117351,84,KNU23_gp84,SEA_TANGENT_84,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2483675,65117352,85,KNU23_gp85,SEA_TANGENT_85,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2483675,65117353,86,KNU23_gp86,SEA_TANGENT_86,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2483675,65117354,87,KNU23_gp87,SEA_TANGENT_87,-,-,-,helix-turn-helix DNA binding protein,protein-coding,-,-,-,helix-turn-helix DNA binding protein,20210607,-
2483675,65117355,88,KNU23_gp88,SEA_TANGENT_88,-,-,-,methyltransferase,protein-coding,-,-,-,methyltransferase,20210607,-
2483675,65117356,70,KNU23_gp70,SEA_TANGENT_70,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2483675,65117357,79,KNU23_gp79,SEA_TANGENT_79,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2483675,65117358,1,KNU23_gp01,SEA_TANGENT_1,-,-,-,helix-turn-helix DNA binding protein,protein-coding,-,-,-,helix-turn-helix DNA binding protein,20210607,-
2483675,65242960,NEWENTRY,-,-,-,-,-,Record to support submission of GeneRIFs for a gene not in Gene.,other,-,-,-,-,20210609,-
