#tax_id,GeneID,Symbol,LocusTag,Synonyms,dbXrefs,chromosome,map_location,description,type_of_gene,Symbol_from_nomenclature_authority,Full_name_from_nomenclature_authority,Nomenclature_status,Other_designations,Modification_date,Feature_type
938131,10100608,2,PBI_WEE_2,-,-,-,-,terminase large subunit,protein-coding,-,-,-,terminase large subunit,20201220,-
938131,10100629,23,PBI_WEE_23,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
938131,10100630,24,PBI_WEE_24,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
938131,10100631,25,PBI_WEE_25,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
938131,10100632,26,PBI_WEE_26,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
938131,10100633,27,PBI_WEE_27,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
938131,10100634,28,PBI_WEE_28,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
938131,10100635,30,PBI_WEE_30,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
938131,10100636,31,PBI_WEE_31,-,-,-,-,lysin A,protein-coding,-,-,-,lysin A,20201220,-
938131,10100637,32,PBI_WEE_32,-,-,-,-,lysin B,protein-coding,-,-,-,lysin B,20201220,-
938131,10100638,33,PBI_WEE_33,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210129,-
938131,10100639,34,PBI_WEE_34,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
938131,10100640,35,PBI_WEE_35,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
938131,10100641,36,PBI_WEE_36,-,-,-,-,DnaQ,protein-coding,-,-,-,DnaQ,20210129,-
938131,10100642,37,PBI_WEE_37,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
938131,10100643,38,PBI_WEE_38,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
938131,10100644,39,PBI_WEE_39,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
938131,10100645,40,PBI_WEE_40,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
938131,10100646,41,PBI_WEE_41,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
938131,10100647,42,PBI_WEE_42,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
938131,10100648,43,PBI_WEE_43,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
938131,10100649,44,PBI_WEE_44,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
938131,10100650,45,PBI_WEE_45,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
938131,10100651,47,PBI_WEE_47,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
938131,10100652,48,PBI_WEE_48,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
938131,10100653,49,PBI_WEE_49,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
938131,10100654,50,PBI_WEE_50,-,-,-,-,anti-repressor,protein-coding,-,-,-,anti-repressor,20210129,-
938131,10100655,51,PBI_WEE_51,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
938131,10100656,52,PBI_WEE_52,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
938131,10100657,53,PBI_WEE_53,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
938131,10100658,54,PBI_WEE_54,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
938131,10100659,55,PBI_WEE_55,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
938131,10100660,56,PBI_WEE_56,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
938131,10100661,57,PBI_WEE_57,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
938131,10100662,58,PBI_WEE_58,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
938131,10100663,59,PBI_WEE_59,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210424,-
938131,10100664,60,PBI_WEE_60,-,-,-,-,WhiB family transcription factor,protein-coding,-,-,-,WhiB family transcription factor,20201220,-
938131,10100665,61,PBI_WEE_61,-,-,-,-,WhiB family transcription factor,protein-coding,-,-,-,WhiB family transcription factor,20201220,-
938131,10100666,62,PBI_WEE_62,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
938131,10100667,63,PBI_WEE_63,-,-,-,-,WhiB family transcription factor,protein-coding,-,-,-,WhiB family transcription factor,20210123,-
938131,10100668,64,PBI_WEE_64,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210417,-
938131,10100669,65,PBI_WEE_65,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
938131,10100670,67,PBI_WEE_67,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
938131,10100671,68,PBI_WEE_68,-,-,-,-,AAA-ATPase,protein-coding,-,-,-,AAA-ATPase,20201220,-
938131,10100672,69,PBI_WEE_69,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
938131,10100673,70,PBI_WEE_70,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
938131,10100674,72,PBI_WEE_72,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
938131,10100675,73,PBI_WEE_73,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
938131,10100676,75,PBI_WEE_75,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
938131,10100677,76,PBI_WEE_76,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
938131,10100678,77,PBI_WEE_77,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
938131,10100679,78,PBI_WEE_78,-,-,-,-,DNA methylase,protein-coding,-,-,-,DNA methylase,20201220,-
938131,10100680,79,PBI_WEE_79,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
938131,10100681,81,PBI_WEE_81,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
938131,10100682,82,PBI_WEE_82,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
938131,10100683,83,PBI_WEE_83,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
938131,10100684,84,PBI_WEE_84,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
938131,10100685,85,PBI_WEE_85,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
938131,10100686,86,PBI_WEE_86,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
938131,10100687,87,PBI_WEE_87,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
938131,10100688,88,PBI_WEE_88,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
938131,10100689,89,PBI_WEE_89,-,-,-,-,MPME1 protein,protein-coding,-,-,-,MPME1 protein,20201220,-
938131,10100690,90,PBI_WEE_90,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
938131,10100691,91,PBI_WEE_91,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
938131,10100692,92,PBI_WEE_92,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
938131,10100693,93,PBI_WEE_93,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
938131,10100694,94,PBI_WEE_94,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
938131,10100695,95,PBI_WEE_95,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
938131,10100696,96,PBI_WEE_96,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
938131,10100697,97,PBI_WEE_97,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
938131,10100698,98,PBI_WEE_98,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210123,-
938131,10100699,99,PBI_WEE_99,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
938131,10100700,100,PBI_WEE_100,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
938131,10100701,101,PBI_WEE_101,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
938131,10100702,102,PBI_WEE_102,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
938131,10100703,103,PBI_WEE_103,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
938131,10100704,104,PBI_WEE_104,-,-,-,-,glycosyl transferase,protein-coding,-,-,-,glycosyl transferase,20201220,-
938131,10100705,105,PBI_WEE_105,-,-,-,-,serine/threonine kinase,protein-coding,-,-,-,serine/threonine kinase,20201220,-
938131,10100706,106,PBI_WEE_106,-,-,-,-,glycosyl transferase,protein-coding,-,-,-,glycosyl transferase,20201220,-
938131,10100707,107,PBI_WEE_107,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
938131,10100708,108,PBI_WEE_108,-,-,-,-,glycosyl transferase,protein-coding,-,-,-,glycosyl transferase,20201220,-
938131,10100709,29,PBI_WEE_29,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
938131,10100710,66,PBI_WEE_66,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
938131,10100711,80,PBI_WEE_80,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
938131,10100712,74,PBI_WEE_74,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
938131,10100713,71,PBI_WEE_71,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
938131,10100714,46,PBI_WEE_46,-,-,-,-,Y-integrase,protein-coding,-,-,-,Y-integrase,20210417,-
938131,10100715,1,PBI_WEE_1,-,-,-,-,terminase small subunit,protein-coding,-,-,-,terminase small subunit,20201220,-
938131,10101227,NEWENTRY,-,-,-,-,-,Record to support submission of GeneRIFs for a gene not in Gene (Mycobacteriophage Wee).,other,-,-,-,-,20200513,-
938131,35963425,109,PBI_WEE_109,-,-,-,-,HNH endonuclease,protein-coding,-,-,-,HNH endonuclease,20210424,-
