#tax_id,GeneID,Symbol,LocusTag,Synonyms,dbXrefs,chromosome,map_location,description,type_of_gene,Symbol_from_nomenclature_authority,Full_name_from_nomenclature_authority,Nomenclature_status,Other_designations,Modification_date,Feature_type
29518,4237680,NEWENTRY,-,-,-,-,-,"Record to support submission of GeneRIFs for a gene not in Gene (Borrelia afzelii; Borrellia group VS461.  Use when strain, subtype, isolate, etc. is unspecified, or when different from all specified ones in Gene.).",other,-,-,-,-,20210405,-
29518,39464438,BLA32_RS05565,BLA32_RS05565,BLA32_05560,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20190403,-
29518,39464439,BLA32_RS05560,BLA32_RS05560,BLA32_05555,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20190403,-
29518,39464440,BLA32_RS05555,BLA32_RS05555,BLA32_05550,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20190403,-
29518,39464444,BLA32_RS05535,BLA32_RS05535,BLA32_05530,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20190403,-
29518,39464446,BLA32_RS05525,BLA32_RS05525,BLA32_05520,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20190403,-
29518,39464451,BLA32_RS05500,BLA32_RS05500,BLA32_05495,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20190403,-
29518,39464452,BLA32_RS06410,BLA32_RS06410,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20190331,-
29518,39464453,BLA32_RS05490,BLA32_RS05490,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20190331,-
29518,39464455,BLA32_RS05480,BLA32_RS05480,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20190331,-
29518,39464462,BLA32_RS05445,BLA32_RS05445,BLA32_05445,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20190331,-
29518,39464463,BLA32_RS05440,BLA32_RS05440,BLA32_05440,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20190403,-
29518,39464464,BLA32_RS05435,BLA32_RS05435,BLA32_05435,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20190403,-
29518,39464465,BLA32_RS05380,BLA32_RS05380,BLA32_05380,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20190403,-
29518,39464470,BLA32_RS05375,BLA32_RS05375,BLA32_05375,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20190403,-
29518,39464472,BLA32_RS05415,BLA32_RS05415,BLA32_05415,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20190403,-
29518,39464474,BLA32_RS05340,BLA32_RS05340,BLA32_05335,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20190403,-
29518,39464476,BLA32_RS05345,BLA32_RS05345,BLA32_05345,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20190403,-
29518,39464479,BLA32_RS05355,BLA32_RS05355,BLA32_05355,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20190403,-
29518,39464481,BLA32_RS05390,BLA32_RS05390,BLA32_05390,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20190331,-
29518,39464484,BLA32_RS05335,BLA32_RS05335,BLA32_05330,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20190403,-
29518,39464486,BLA32_RS05205,BLA32_RS05205,BLA32_05200,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20190403,-
29518,39464488,BLA32_RS05230,BLA32_RS05230,BLA32_05225,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20190403,-
29518,39464494,BLA32_RS05225,BLA32_RS05225,BLA32_05220,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20190403,-
29518,39464495,BLA32_RS05245,BLA32_RS05245,BLA32_05240,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20190403,-
29518,39464496,BLA32_RS05220,BLA32_RS05220,BLA32_05215,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20190403,-
29518,39464497,BLA32_RS05325,BLA32_RS05325,BLA32_05320,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20190403,-
29518,39464498,BLA32_RS05250,BLA32_RS05250,BLA32_05245,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20190403,-
29518,39464499,BLA32_RS05330,BLA32_RS05330,BLA32_05325,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20190403,-
29518,39464500,BLA32_RS05295,BLA32_RS05295,BLA32_05290,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20190403,-
29518,39464502,BLA32_RS05235,BLA32_RS05235,BLA32_05230,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20190403,-
29518,39464503,BLA32_RS05240,BLA32_RS05240,BLA32_05235,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20190403,-
29518,39464504,BLA32_RS05290,BLA32_RS05290,BLA32_05285,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20190403,-
29518,39464505,BLA32_RS05315,BLA32_RS05315,BLA32_05310,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20190403,-
29518,39464508,BLA32_RS05270,BLA32_RS05270,BLA32_05265,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20190403,-
29518,39464512,BLA32_RS05215,BLA32_RS05215,BLA32_05210,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20190403,-
29518,39464513,BLA32_RS05305,BLA32_RS05305,BLA32_05300,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20190403,-
29518,39464514,BLA32_RS05310,BLA32_RS05310,BLA32_05305,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20190403,-
