#tax_id,GeneID,Symbol,LocusTag,Synonyms,dbXrefs,chromosome,map_location,description,type_of_gene,Symbol_from_nomenclature_authority,Full_name_from_nomenclature_authority,Nomenclature_status,Other_designations,Modification_date,Feature_type
2201436,54993229,2,HOT41_gp02,SEA_MEMENTOMORI_2,-,-,-,queuine tRNA-ribosyltransferase,protein-coding,-,-,-,queuine tRNA-ribosyltransferase,20200912,-
2201436,54993245,18,HOT41_gp91,SEA_MEMENTOMORI_18,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2201436,54993246,19,HOT41_gp90,SEA_MEMENTOMORI_19,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2201436,54993247,20,HOT41_gp89,SEA_MEMENTOMORI_20,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210129,-
2201436,54993248,21,HOT41_gp88,SEA_MEMENTOMORI_21,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2201436,54993249,22,HOT41_gp87,SEA_MEMENTOMORI_22,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2201436,54993250,23,HOT41_gp86,SEA_MEMENTOMORI_23,-,-,-,major capsid protein,protein-coding,-,-,-,major capsid protein,20210129,-
2201436,54993251,24,HOT41_gp85,SEA_MEMENTOMORI_24,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2201436,54993252,25,HOT41_gp84,SEA_MEMENTOMORI_25,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2201436,54993253,26,HOT41_gp83,SEA_MEMENTOMORI_26,-,-,-,major tail protein,protein-coding,-,-,-,major tail protein,20200910,-
2201436,54993254,27,HOT41_gp82,SEA_MEMENTOMORI_27,-,-,-,head-to-tail adaptor,protein-coding,-,-,-,head-to-tail adaptor,20200910,-
2201436,54993255,28,HOT41_gp81,SEA_MEMENTOMORI_28,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2201436,54993256,29,HOT41_gp80,SEA_MEMENTOMORI_29,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2201436,54993257,30,HOT41_gp79,SEA_MEMENTOMORI_30,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2201436,54993258,31,HOT41_gp78,SEA_MEMENTOMORI_31,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2201436,54993259,32,HOT41_gp77,SEA_MEMENTOMORI_32,-,-,-,tape measure protein,protein-coding,-,-,-,tape measure protein,20210129,-
2201436,54993260,33,HOT41_gp76,SEA_MEMENTOMORI_33,-,-,-,minor tail protein,protein-coding,-,-,-,minor tail protein,20200910,-
2201436,54993261,34,HOT41_gp75,SEA_MEMENTOMORI_34,-,-,-,minor tail protein,protein-coding,-,-,-,minor tail protein,20210129,-
2201436,54993262,35,HOT41_gp74,SEA_MEMENTOMORI_35,-,-,-,minor tail protein,protein-coding,-,-,-,minor tail protein,20200910,-
2201436,54993263,36,HOT41_gp73,SEA_MEMENTOMORI_36,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210129,-
2201436,54993264,37,HOT41_gp72,SEA_MEMENTOMORI_37,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2201436,54993265,38,HOT41_gp71,SEA_MEMENTOMORI_38,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2201436,54993266,39,HOT41_gp70,SEA_MEMENTOMORI_39,-,-,-,lysin A,protein-coding,-,-,-,lysin A,20210129,-
2201436,54993267,40,HOT41_gp69,SEA_MEMENTOMORI_40,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2201436,54993268,41,HOT41_gp68,SEA_MEMENTOMORI_41,-,-,-,membrane protein,protein-coding,-,-,-,membrane protein,20210129,-
2201436,54993269,42,HOT41_gp67,SEA_MEMENTOMORI_42,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2201436,54993270,43,HOT41_gp66,SEA_MEMENTOMORI_43,-,-,-,membrane protein,protein-coding,-,-,-,membrane protein,20200910,-
2201436,54993271,44,HOT41_gp65,SEA_MEMENTOMORI_44,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2201436,54993272,45,HOT41_gp64,SEA_MEMENTOMORI_45,-,-,-,exonuclease,protein-coding,-,-,-,exonuclease,20210129,-
2201436,54993273,46,HOT41_gp63,SEA_MEMENTOMORI_46,-,-,-,ERF family ssDNA binding protein,protein-coding,-,-,-,ERF family ssDNA binding protein,20210129,-
2201436,54993274,47,HOT41_gp62,SEA_MEMENTOMORI_47,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2201436,54993275,48,HOT41_gp61,SEA_MEMENTOMORI_48,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2201436,54993276,49,HOT41_gp60,SEA_MEMENTOMORI_49,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2201436,54993277,50,HOT41_gp59,SEA_MEMENTOMORI_50,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2201436,54993278,51,HOT41_gp58,SEA_MEMENTOMORI_51,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2201436,54993279,52,HOT41_gp57,SEA_MEMENTOMORI_52,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2201436,54993280,53,HOT41_gp56,SEA_MEMENTOMORI_53,-,-,-,HNH endonuclease,protein-coding,-,-,-,HNH endonuclease,20210129,-
2201436,54993281,54,HOT41_gp55,SEA_MEMENTOMORI_54,-,-,-,helix-turn-helix DNA binding domain protein,protein-coding,-,-,-,helix-turn-helix DNA binding domain protein,20210129,-
2201436,54993282,55,HOT41_gp54,SEA_MEMENTOMORI_55,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2201436,54993283,56,HOT41_gp53,SEA_MEMENTOMORI_56,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210129,-
2201436,54993284,57,HOT41_gp52,SEA_MEMENTOMORI_57,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2201436,54993285,58,HOT41_gp51,SEA_MEMENTOMORI_58,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2201436,54993286,59,HOT41_gp50,SEA_MEMENTOMORI_59,-,-,-,helix-turn-helix DNA binding domain protein,protein-coding,-,-,-,helix-turn-helix DNA binding domain protein,20200910,-
2201436,54993287,60,HOT41_gp49,SEA_MEMENTOMORI_60,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2201436,54993288,61,HOT41_gp48,SEA_MEMENTOMORI_61,-,-,-,ssDNA binding protein,protein-coding,-,-,-,ssDNA binding protein,20210129,-
2201436,54993289,62,HOT41_gp47,SEA_MEMENTOMORI_62,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2201436,54993290,63,HOT41_gp46,SEA_MEMENTOMORI_63,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2201436,54993291,64,HOT41_gp45,SEA_MEMENTOMORI_64,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2201436,54993292,65,HOT41_gp44,SEA_MEMENTOMORI_65,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2201436,54993293,66,HOT41_gp43,SEA_MEMENTOMORI_66,-,-,-,helix-turn-helix DNA binding domain protein,protein-coding,-,-,-,helix-turn-helix DNA binding domain protein,20200910,-
2201436,54993294,67,HOT41_gp42,SEA_MEMENTOMORI_67,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2201436,54993295,68,HOT41_gp41,SEA_MEMENTOMORI_68,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2201436,54993296,69,HOT41_gp40,SEA_MEMENTOMORI_69,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2201436,54993297,70,HOT41_gp39,SEA_MEMENTOMORI_70,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2201436,54993298,71,HOT41_gp38,SEA_MEMENTOMORI_71,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2201436,54993299,72,HOT41_gp37,SEA_MEMENTOMORI_72,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2201436,54993300,73,HOT41_gp36,SEA_MEMENTOMORI_73,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2201436,54993301,74,HOT41_gp35,SEA_MEMENTOMORI_74,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2201436,54993302,75,HOT41_gp34,SEA_MEMENTOMORI_75,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2201436,54993303,76,HOT41_gp33,SEA_MEMENTOMORI_76,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2201436,54993304,77,HOT41_gp32,SEA_MEMENTOMORI_77,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2201436,54993305,78,HOT41_gp31,SEA_MEMENTOMORI_78,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2201436,54993306,79,HOT41_gp30,SEA_MEMENTOMORI_79,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2201436,54993307,80,HOT41_gp29,SEA_MEMENTOMORI_80,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2201436,54993308,81,HOT41_gp28,SEA_MEMENTOMORI_81,-,-,-,RNA polymerase sigma factor,protein-coding,-,-,-,RNA polymerase sigma factor,20200910,-
2201436,54993309,82,HOT41_gp27,SEA_MEMENTOMORI_82,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2201436,54993310,83,HOT41_gp26,SEA_MEMENTOMORI_83,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2201436,54993311,84,HOT41_gp25,SEA_MEMENTOMORI_84,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2201436,54993312,85,HOT41_gp24,SEA_MEMENTOMORI_85,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2201436,54993313,86,HOT41_gp23,SEA_MEMENTOMORI_86,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2201436,54993314,87,HOT41_gp22,SEA_MEMENTOMORI_87,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2201436,54993315,88,HOT41_gp21,SEA_MEMENTOMORI_88,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2201436,54993316,89,HOT41_gp20,SEA_MEMENTOMORI_89,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2201436,54993317,90,HOT41_gp19,SEA_MEMENTOMORI_90,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2201436,54993318,91,HOT41_gp18,SEA_MEMENTOMORI_91,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2201436,54993319,92,HOT41_gp17,SEA_MEMENTOMORI_92,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2201436,54993320,93,HOT41_gp16,SEA_MEMENTOMORI_93,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2201436,54993321,94,HOT41_gp15,SEA_MEMENTOMORI_94,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2201436,54993322,95,HOT41_gp14,SEA_MEMENTOMORI_95,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2201436,54993323,96,HOT41_gp13,SEA_MEMENTOMORI_96,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2201436,54993324,97,HOT41_gp12,SEA_MEMENTOMORI_97,-,-,-,ParB-like nuclease domain protein,protein-coding,-,-,-,ParB-like nuclease domain protein,20210129,-
2201436,54993325,1,HOT41_gp01,SEA_MEMENTOMORI_1,-,-,-,ParB-like nuclease domain protein,protein-coding,-,-,-,ParB-like nuclease domain protein,20210129,-
2201436,55153989,NEWENTRY,-,-,-,-,-,Record to support submission of GeneRIFs for a gene not in Gene.,other,-,-,-,-,20200518,-
