#tax_id,GeneID,Symbol,LocusTag,Synonyms,dbXrefs,chromosome,map_location,description,type_of_gene,Symbol_from_nomenclature_authority,Full_name_from_nomenclature_authority,Nomenclature_status,Other_designations,Modification_date,Feature_type
1511,9867457,NEWENTRY,-,-,-,-,-,"Record to support submission of GeneRIFs for a gene not in Gene (Clostridium sticklandii.  Use when strain, subtype, isolate, etc. is unspecified, or when different from all specified ones in Gene.).",other,-,-,-,-,20210314,-
1511,35557229,CLOST_RS02255,CLOST_RS02255,CLOST_0424,-,-,-,hypothetical protein,protein-coding,-,-,-,-,20180202,-
1511,35557230,CLOST_RS13335,CLOST_RS13335,CLOST_0104,-,-,-,hypothetical protein,protein-coding,-,-,-,-,20180130,-
1511,35557231,CLOST_RS02555,CLOST_RS02555,CLOST_tRNA5,-,-,-,tRNA,tRNA,-,-,-,-,20180129,-
1511,35557233,CLOST_RS00955,CLOST_RS00955,CLOST_0158,-,-,-,hypothetical protein,protein-coding,-,-,-,-,20180202,-
1511,35557237,CLOST_RS02675,CLOST_RS02675,CLOST_tRNA27,-,-,-,tRNA,tRNA,-,-,-,-,20180129,-
1511,35557240,CLOST_RS03740,CLOST_RS03740,CLOST_0695,-,-,-,hypothetical protein,protein-coding,-,-,-,-,20180202,-
1511,35557244,CLOST_RS03960,CLOST_RS03960,CLOST_0739,-,-,-,hypothetical protein,protein-coding,-,-,-,-,20180202,-
1511,35557245,CLOST_RS09890,CLOST_RS09890,CLOST_1961,-,-,-,hypothetical protein,protein-coding,-,-,-,-,20180130,-
1511,35557249,CLOST_RS07835,CLOST_RS07835,CLOST_1539,-,-,-,hypothetical protein,protein-coding,-,-,-,-,20180202,-
1511,35557250,CLOST_RS05185,CLOST_RS05185,CLOST_0993,-,-,-,hypothetical protein,protein-coding,-,-,-,-,20200912,-
1511,35557260,CLOST_RS02050,CLOST_RS02050,CLOST_0383,-,-,-,hypothetical protein,protein-coding,-,-,-,-,20180202,-
1511,35557264,CLOST_RS10840,CLOST_RS10840,CLOST_2154,-,-,-,hypothetical protein,protein-coding,-,-,-,-,20180129,-
1511,35557265,CLOST_RS11830,CLOST_RS11830,CLOST_2357,-,-,-,hypothetical protein,protein-coding,-,-,-,-,20180202,-
1511,35557266,CLOST_RS08485,CLOST_RS08485,CLOST_1674,-,-,-,hypothetical protein,protein-coding,-,-,-,-,20180202,-
1511,35557270,CLOST_RS08445,CLOST_RS08445,CLOST_1666,-,-,-,hypothetical protein,protein-coding,-,-,-,-,20180130,-
1511,35557276,CLOST_RS00505,CLOST_RS00505,CLOST_tRNA1,-,-,-,tRNA,tRNA,-,-,-,-,20180129,-
1511,35557283,CLOST_RS06490,CLOST_RS06490,CLOST_1263,-,-,-,hypothetical protein,protein-coding,-,-,-,-,20180202,-
1511,35557286,CLOST_RS13585,CLOST_RS13585,CLOST_1530,-,-,-,hypothetical protein,protein-coding,-,-,-,-,20180202,-
1511,35557289,CLOST_RS01875,CLOST_RS01875,CLOST_0347,-,-,-,hypothetical protein,protein-coding,-,-,-,-,20180202,-
1511,35557298,CLOST_RS02460,CLOST_RS02460,CLOST_0466,-,-,-,hypothetical protein,protein-coding,-,-,-,-,20180202,-
1511,35557311,CLOST_RS12000,CLOST_RS12000,CLOST_tRNA46,-,-,-,tRNA,tRNA,-,-,-,-,20180129,-
1511,35557329,CLOST_RS03955,CLOST_RS03955,CLOST_0738,-,-,-,hypothetical protein,protein-coding,-,-,-,-,20180129,-
1511,35557333,CLOST_RS05055,CLOST_RS05055,CLOST_0966,-,-,-,hypothetical protein,protein-coding,-,-,-,-,20180202,-
1511,35557341,CLOST_RS02780,CLOST_RS02780,CLOST_0503,-,-,-,hypothetical protein,protein-coding,-,-,-,-,20180130,-
1511,35557342,CLOST_RS08210,CLOST_RS08210,CLOST_1617,-,-,-,hypothetical protein,protein-coding,-,-,-,-,20180202,-
1511,35557345,CLOST_RS03930,CLOST_RS03930,CLOST_0733,-,-,-,hypothetical protein,protein-coding,-,-,-,-,20180202,-
1511,35557348,CLOST_RS03795,CLOST_RS03795,CLOST_0706,-,-,-,hypothetical protein,protein-coding,-,-,-,-,20180129,-
1511,35557354,CLOST_RS02680,CLOST_RS02680,CLOST_tRNA28,-,-,-,tRNA,tRNA,-,-,-,-,20180129,-
1511,35557360,CLOST_RS08500,CLOST_RS08500,CLOST_1677,-,-,-,hypothetical protein,protein-coding,-,-,-,-,20200912,-
1511,35557381,CLOST_RS12005,CLOST_RS12005,CLOST_tRNA45,-,-,-,tRNA,tRNA,-,-,-,-,20180129,-
1511,35557387,CLOST_RS04325,CLOST_RS04325,CLOST_0819,-,-,-,hypothetical protein,protein-coding,-,-,-,-,20180202,-
1511,35557389,CLOST_RS01060,CLOST_RS01060,CLOST_0179,-,-,-,hypothetical protein,protein-coding,-,-,-,-,20180202,-
1511,35557401,CLOST_RS05655,CLOST_RS05655,CLOST_1091,-,-,-,hypothetical protein,protein-coding,-,-,-,-,20180202,-
1511,35557404,CLOST_RS02685,CLOST_RS02685,CLOST_tRNA29,-,-,-,tRNA,tRNA,-,-,-,-,20180129,-
1511,35557407,CLOST_RS00985,CLOST_RS00985,CLOST_0164,-,-,-,hypothetical protein,protein-coding,-,-,-,-,20180202,-
1511,35557408,CLOST_RS08200,CLOST_RS08200,CLOST_1615,-,-,-,hypothetical protein,protein-coding,-,-,-,-,20180202,-
1511,35557410,CLOST_RS06460,CLOST_RS06460,CLOST_1257,-,-,-,hypothetical protein,protein-coding,-,-,-,-,20180202,-
1511,35557412,CLOST_RS01345,CLOST_RS01345,CLOST_0236,-,-,-,hypothetical protein,protein-coding,-,-,-,-,20180202,-
1511,35557417,CLOST_RS01845,CLOST_RS01845,CLOST_0340,-,-,-,hypothetical protein,protein-coding,-,-,-,-,20180202,-
1511,35557421,CLOST_RS12770,CLOST_RS12770,CLOST_2524,-,-,-,hypothetical protein,protein-coding,-,-,-,-,20180202,-
1511,35557427,CLOST_RS07955,CLOST_RS07955,CLOST_1566,-,-,-,hypothetical protein,protein-coding,-,-,-,-,20180202,-
1511,35557428,CLOST_RS13635,CLOST_RS13635,CLOST_2155,-,-,-,hypothetical protein,protein-coding,-,-,-,-,20180202,-
1511,35557436,CLOST_RS07840,CLOST_RS07840,CLOST_1540,-,-,-,hypothetical protein,protein-coding,-,-,-,-,20180202,-
1511,35557440,CLOST_RS06895,CLOST_RS06895,CLOST_1348,-,-,-,hypothetical protein,protein-coding,-,-,-,-,20180130,-
1511,35557441,CLOST_RS05950,CLOST_RS05950,CLOST_1152,-,-,-,hypothetical protein,protein-coding,-,-,-,-,20180129,-
1511,35557442,CLOST_RS12745,CLOST_RS12745,CLOST_2519,-,-,-,hypothetical protein,protein-coding,-,-,-,-,20180202,-
1511,35557444,CLOST_RS03915,CLOST_RS03915,CLOST_0730,-,-,-,hypothetical protein,protein-coding,-,-,-,-,20180202,-
1511,35557466,CLOST_RS07735,CLOST_RS07735,CLOST_1517,-,-,-,hypothetical protein,protein-coding,-,-,-,-,20180202,-
1511,35557473,CLOST_RS02645,CLOST_RS02645,CLOST_tRNA22,-,-,-,tRNA,tRNA,-,-,-,-,20180129,-
1511,35557478,CLOST_RS00510,CLOST_RS00510,CLOST_0064,-,-,-,hypothetical protein,protein-coding,-,-,-,-,20180202,-
1511,35557480,CLOST_RS12680,CLOST_RS12680,-,-,-,-,hypothetical protein,protein-coding,-,-,-,-,20180129,-
1511,35557486,CLOST_RS01925,CLOST_RS01925,-,-,-,-,hypothetical protein,protein-coding,-,-,-,-,20180129,-
1511,35557491,CLOST_RS07220,CLOST_RS07220,-,-,-,-,hypothetical protein,protein-coding,-,-,-,-,20180129,-
1511,35557501,CLOST_RS12035,CLOST_RS12035,CLOST_tRNA39,-,-,-,tRNA,tRNA,-,-,-,-,20180129,-
1511,35557515,CLOST_RS00990,CLOST_RS00990,CLOST_0165,-,-,-,hypothetical protein,protein-coding,-,-,-,-,20180202,-
1511,35557523,CLOST_RS11945,CLOST_RS11945,CLOST_2380,-,-,-,hypothetical protein,protein-coding,-,-,-,-,20180202,-
1511,35557525,CLOST_RS02695,CLOST_RS02695,CLOST_0485,-,-,-,hypothetical protein,protein-coding,-,-,-,-,20180202,-
1511,35557534,CLOST_RS07605,CLOST_RS07605,CLOST_1489,-,-,-,hypothetical protein,protein-coding,-,-,-,-,20180202,-
1511,35557538,CLOST_RS09030,CLOST_RS09030,CLOST_1784,-,-,-,hypothetical protein,protein-coding,-,-,-,-,20180130,-
1511,35557539,CLOST_RS03365,CLOST_RS03365,CLOST_0620,-,-,-,hypothetical protein,protein-coding,-,-,-,-,20180202,-
1511,35557542,CLOST_RS11490,CLOST_RS11490,CLOST_2287,-,-,-,hypothetical protein,protein-coding,-,-,-,-,20180130,-
1511,35557545,CLOST_RS06445,CLOST_RS06445,CLOST_1254,-,-,-,hypothetical protein,protein-coding,-,-,-,-,20180202,-
1511,35557558,CLOST_RS02605,CLOST_RS02605,CLOST_tRNA15,-,-,-,tRNA,tRNA,-,-,-,-,20180129,-
1511,35557559,CLOST_RS03085,CLOST_RS03085,CLOST_0564,-,-,-,hypothetical protein,protein-coding,-,-,-,-,20180202,-
1511,35557560,CLOST_RS09645,CLOST_RS09645,CLOST_1909,-,-,-,hypothetical protein,protein-coding,-,-,-,-,20180202,-
1511,35557567,CLOST_RS06145,CLOST_RS06145,CLOST_1191,-,-,-,hypothetical protein,protein-coding,-,-,-,-,20180202,-
1511,35557585,CLOST_RS02395,CLOST_RS02395,CLOST_0453,-,-,-,hypothetical protein,protein-coding,-,-,-,-,20180130,-
1511,35557590,CLOST_RS07830,CLOST_RS07830,CLOST_1537,-,-,-,hypothetical protein,protein-coding,-,-,-,-,20180129,-
1511,35557597,CLOST_RS13320,CLOST_RS13320,CLOST_0009,-,-,-,hypothetical protein,protein-coding,-,-,-,-,20180202,-
1511,35557605,CLOST_RS01905,CLOST_RS01905,CLOST_0353,-,-,-,hypothetical protein,protein-coding,-,-,-,-,20180202,-
1511,35557622,CLOST_RS06835,CLOST_RS06835,CLOST_1336,-,-,-,hypothetical protein,protein-coding,-,-,-,-,20180130,-
1511,35557636,CLOST_RS00485,CLOST_RS00485,CLOST_0059,-,-,-,hypothetical protein,protein-coding,-,-,-,-,20180202,-
1511,35557638,CLOST_RS02085,CLOST_RS02085,CLOST_0390,-,-,-,hypothetical protein,protein-coding,-,-,-,-,20180202,-
1511,35557654,CLOST_RS02575,CLOST_RS02575,CLOST_tRNA9,-,-,-,tRNA,tRNA,-,-,-,-,20180129,-
1511,35557656,CLOST_RS13090,CLOST_RS13090,CLOST_2584,-,-,-,hypothetical protein,protein-coding,-,-,-,-,20180202,-
1511,35557659,CLOST_RS06185,CLOST_RS06185,CLOST_1199,-,-,-,hypothetical protein,protein-coding,-,-,-,-,20180202,-
1511,35557664,CLOST_RS01225,CLOST_RS01225,CLOST_0212,-,-,-,hypothetical protein,protein-coding,-,-,-,-,20180202,-
1511,35557692,CLOST_RS02590,CLOST_RS02590,CLOST_tRNA12,-,-,-,tRNA,tRNA,-,-,-,-,20180129,-
1511,35557695,CLOST_RS11870,CLOST_RS11870,CLOST_2365,-,-,-,hypothetical protein,protein-coding,-,-,-,-,20180202,-
1511,35557712,CLOST_RS10945,CLOST_RS10945,CLOST_2175,-,-,-,hypothetical protein,protein-coding,-,-,-,-,20180202,-
1511,35557728,CLOST_RS05125,CLOST_RS05125,CLOST_0980,-,-,-,hypothetical protein,protein-coding,-,-,-,-,20180202,-
1511,35557734,CLOST_RS12235,CLOST_RS12235,CLOST_2417,-,-,-,hypothetical protein,protein-coding,-,-,-,-,20180202,-
1511,35557738,CLOST_RS13365,CLOST_RS13365,CLOST_0182,-,-,-,hypothetical protein,protein-coding,-,-,-,-,20180202,-
1511,35557742,CLOST_RS02545,CLOST_RS02545,CLOST_tRNA4,-,-,-,tRNA,tRNA,-,-,-,-,20180129,-
1511,35557743,CLOST_RS06965,CLOST_RS06965,CLOST_1361,-,-,-,hypothetical protein,protein-coding,-,-,-,-,20180130,-
1511,35557750,CLOST_RS02600,CLOST_RS02600,CLOST_tRNA14,-,-,-,tRNA,tRNA,-,-,-,-,20180129,-
1511,35557753,CLOST_RS04795,CLOST_RS04795,CLOST_0914,-,-,-,hypothetical protein,protein-coding,-,-,-,-,20180202,-
1511,35557755,CLOST_RS00475,CLOST_RS00475,CLOST_0057,-,-,-,hypothetical protein,protein-coding,-,-,-,-,20180202,-
1511,35557776,CLOST_RS07365,CLOST_RS07365,CLOST_1440,-,-,-,hypothetical protein,protein-coding,-,-,-,-,20180202,-
1511,35557779,CLOST_RS07370,CLOST_RS07370,CLOST_1441,-,-,-,hypothetical protein,protein-coding,-,-,-,-,20180202,-
1511,35557780,CLOST_RS12975,CLOST_RS12975,CLOST_tRNA32,-,-,-,tRNA,tRNA,-,-,-,-,20180129,-
1511,35557818,CLOST_RS03360,CLOST_RS03360,-,-,-,-,hypothetical protein,protein-coding,-,-,-,-,20180129,-
1511,35557825,CLOST_RS00700,CLOST_RS00700,CLOST_tRNA2,-,-,-,tRNA,tRNA,-,-,-,-,20180129,-
1511,35557833,CLOST_RS04445,CLOST_RS04445,CLOST_0844,-,-,-,hypothetical protein,protein-coding,-,-,-,-,20180202,-
1511,35557867,CLOST_RS00280,CLOST_RS00280,CLOST_0017,-,-,-,hypothetical protein,protein-coding,-,-,-,-,20180202,-
1511,35557876,CLOST_RS06100,CLOST_RS06100,-,-,-,-,hypothetical protein,protein-coding,-,-,-,-,20180130,-
1511,35557879,CLOST_RS02580,CLOST_RS02580,CLOST_tRNA10,-,-,-,tRNA,tRNA,-,-,-,-,20180129,-
1511,35557890,CLOST_RS07040,CLOST_RS07040,CLOST_1376,-,-,-,hypothetical protein,protein-coding,-,-,-,-,20180130,-
1511,35557906,CLOST_RS05525,CLOST_RS05525,CLOST_1064,-,-,-,hypothetical protein,protein-coding,-,-,-,-,20180202,-
1511,35557908,CLOST_RS11875,CLOST_RS11875,CLOST_2366,-,-,-,hypothetical protein,protein-coding,-,-,-,-,20180202,-
1511,35557909,CLOST_RS10395,CLOST_RS10395,-,-,-,-,hypothetical protein,protein-coding,-,-,-,-,20180129,-
1511,35557911,CLOST_RS09205,CLOST_RS09205,CLOST_1820,-,-,-,hypothetical protein,protein-coding,-,-,-,-,20180202,-
1511,35557916,CLOST_RS04245,CLOST_RS04245,CLOST_0797,-,-,-,hypothetical protein,protein-coding,-,-,-,-,20180202,-
1511,35557951,CLOST_RS06505,CLOST_RS06505,CLOST_1267,-,-,-,hypothetical protein,protein-coding,-,-,-,-,20180202,-
1511,35557954,CLOST_RS12020,CLOST_RS12020,CLOST_tRNA42,-,-,-,tRNA,tRNA,-,-,-,-,20180129,-
1511,35557959,CLOST_RS07180,CLOST_RS07180,CLOST_tRNA58,-,-,-,tRNA,tRNA,-,-,-,-,20180129,-
1511,35557960,CLOST_RS00690,CLOST_RS00690,CLOST_0102,-,-,-,hypothetical protein,protein-coding,-,-,-,-,20180202,-
1511,35557961,CLOST_RS07765,CLOST_RS07765,CLOST_1523,-,-,-,hypothetical protein,protein-coding,-,-,-,-,20180202,-
1511,35557977,CLOST_RS07695,CLOST_RS07695,CLOST_1509,-,-,-,hypothetical protein,protein-coding,-,-,-,-,20180129,-
1511,35557978,CLOST_RS02320,CLOST_RS02320,CLOST_0438,-,-,-,hypothetical protein,protein-coding,-,-,-,-,20180202,-
1511,35557981,CLOST_RS03260,CLOST_RS03260,CLOST_0598,-,-,-,hypothetical protein,protein-coding,-,-,-,-,20180202,-
1511,35557982,CLOST_RS11695,CLOST_RS11695,CLOST_2329,-,-,-,hypothetical protein,protein-coding,-,-,-,-,20180202,-
1511,35557984,CLOST_RS06120,CLOST_RS06120,CLOST_1185,-,-,-,hypothetical protein,protein-coding,-,-,-,-,20180130,-
1511,35557994,CLOST_RS03370,CLOST_RS03370,CLOST_0621,-,-,-,hypothetical protein,protein-coding,-,-,-,-,20180129,-
1511,35557997,CLOST_RS11970,CLOST_RS11970,CLOST_tRNA52,-,-,-,tRNA,tRNA,-,-,-,-,20180129,-
1511,35558007,CLOST_RS06410,CLOST_RS06410,CLOST_1246,-,-,-,hypothetical protein,protein-coding,-,-,-,-,20180202,-
1511,35558016,CLOST_RS04200,CLOST_RS04200,-,-,-,-,hypothetical protein,protein-coding,-,-,-,-,20180130,-
1511,35558023,CLOST_RS02610,CLOST_RS02610,CLOST_tRNA16,-,-,-,tRNA,tRNA,-,-,-,-,20180129,-
1511,35558029,CLOST_RS00310,CLOST_RS00310,CLOST_0023,-,-,-,hypothetical protein,protein-coding,-,-,-,-,20180202,-
1511,35558030,CLOST_RS10300,CLOST_RS10300,CLOST_2042,-,-,-,hypothetical protein,protein-coding,-,-,-,-,20180202,-
1511,35558034,CLOST_RS05800,CLOST_RS05800,CLOST_1122,-,-,-,hypothetical protein,protein-coding,-,-,-,-,20180202,-
1511,35558036,CLOST_RS05100,CLOST_RS05100,CLOST_0975,-,-,-,hypothetical protein,protein-coding,-,-,-,-,20180202,-
1511,35558037,CLOST_RS06415,CLOST_RS06415,CLOST_1248,-,-,-,hypothetical protein,protein-coding,-,-,-,-,20180202,-
1511,35558038,CLOST_RS09895,CLOST_RS09895,CLOST_1962,-,-,-,hypothetical protein,protein-coding,-,-,-,-,20180202,-
1511,35558041,CLOST_RS07710,CLOST_RS07710,CLOST_1512,-,-,-,hypothetical protein,protein-coding,-,-,-,-,20180202,-
1511,35558050,CLOST_RS11165,CLOST_RS11165,CLOST_tRNA57,-,-,-,tRNA,tRNA,-,-,-,-,20180129,-
1511,35558056,CLOST_RS05670,CLOST_RS05670,CLOST_1094,-,-,-,hypothetical protein,protein-coding,-,-,-,-,20180130,-
1511,35558057,CLOST_RS12685,CLOST_RS12685,CLOST_2506,-,-,-,hypothetical protein,protein-coding,-,-,-,-,20180202,-
1511,35558066,CLOST_RS12965,CLOST_RS12965,CLOST_tRNA34,-,-,-,tRNA,tRNA,-,-,-,-,20180129,-
1511,35558070,CLOST_RS03965,CLOST_RS03965,CLOST_0740,-,-,-,hypothetical protein,protein-coding,-,-,-,-,20180202,-
1511,35558080,CLOST_RS02295,CLOST_RS02295,CLOST_0433,-,-,-,hypothetical protein,protein-coding,-,-,-,-,20180202,-
1511,35558086,CLOST_RS06420,CLOST_RS06420,CLOST_1249,-,-,-,hypothetical protein,protein-coding,-,-,-,-,20200912,-
1511,35558093,CLOST_RS01920,CLOST_RS01920,CLOST_0356,-,-,-,hypothetical protein,protein-coding,-,-,-,-,20180202,-
1511,35558102,CLOST_RS05405,CLOST_RS05405,CLOST_1039,-,-,-,hypothetical protein,protein-coding,-,-,-,-,20180202,-
1511,35558107,CLOST_RS06570,CLOST_RS06570,CLOST_1280,-,-,-,hypothetical protein,protein-coding,-,-,-,-,20180202,-
1511,35558114,CLOST_RS00650,CLOST_RS00650,CLOST_0093,-,-,-,hypothetical protein,protein-coding,-,-,-,-,20180202,-
1511,35558126,CLOST_RS11595,CLOST_RS11595,CLOST_2308,-,-,-,hypothetical protein,protein-coding,-,-,-,-,20180202,-
1511,35558131,CLOST_RS11950,CLOST_RS11950,CLOST_tRNA56,-,-,-,tRNA,tRNA,-,-,-,-,20180129,-
1511,35558135,CLOST_RS07915,CLOST_RS07915,CLOST_1558,-,-,-,hypothetical protein,protein-coding,-,-,-,-,20180202,-
1511,35558136,CLOST_RS12710,CLOST_RS12710,CLOST_2511,-,-,-,hypothetical protein,protein-coding,-,-,-,-,20180202,-
1511,35558142,CLOST_RS07065,CLOST_RS07065,CLOST_1381,-,-,-,hypothetical protein,protein-coding,-,-,-,-,20180202,-
1511,35558145,CLOST_RS08495,CLOST_RS08495,CLOST_1676,-,-,-,hypothetical protein,protein-coding,-,-,-,-,20180202,-
1511,35558153,CLOST_RS01360,CLOST_RS01360,CLOST_0239,-,-,-,hypothetical protein,protein-coding,-,-,-,-,20180202,-
1511,35558163,CLOST_RS11980,CLOST_RS11980,CLOST_tRNA50,-,-,-,tRNA,tRNA,-,-,-,-,20180129,-
1511,35558167,CLOST_RS03555,CLOST_RS03555,-,-,-,-,hypothetical protein,protein-coding,-,-,-,-,20180129,-
1511,35558170,CLOST_RS02745,CLOST_RS02745,CLOST_0496,-,-,-,hypothetical protein,protein-coding,-,-,-,-,20180202,-
1511,35558190,CLOST_RS10555,CLOST_RS10555,CLOST_2096,-,-,-,hypothetical protein,protein-coding,-,-,-,-,20180129,-
1511,35558191,CLOST_RS12875,CLOST_RS12875,CLOST_2546,-,-,-,hypothetical protein,protein-coding,-,-,-,-,20180130,-
1511,35558195,CLOST_RS12735,CLOST_RS12735,CLOST_2516,-,-,-,hypothetical protein,protein-coding,-,-,-,-,20180130,-
1511,35558207,CLOST_RS08790,CLOST_RS08790,CLOST_1736,-,-,-,hypothetical protein,protein-coding,-,-,-,-,20180202,-
1511,35558210,CLOST_RS06450,CLOST_RS06450,CLOST_1255,-,-,-,hypothetical protein,protein-coding,-,-,-,-,20180202,-
1511,35558212,CLOST_RS08650,CLOST_RS08650,CLOST_1707,-,-,-,hypothetical protein,protein-coding,-,-,-,-,20180202,-
1511,35558214,CLOST_RS07725,CLOST_RS07725,CLOST_1515,-,-,-,hypothetical protein,protein-coding,-,-,-,-,20180202,-
1511,35558233,CLOST_RS07665,CLOST_RS07665,CLOST_1502,-,-,-,hypothetical protein,protein-coding,-,-,-,-,20180202,-
1511,35558240,CLOST_RS04055,CLOST_RS04055,CLOST_0758,-,-,-,hypothetical protein,protein-coding,-,-,-,-,20180202,-
1511,35558241,CLOST_RS12800,CLOST_RS12800,CLOST_2531,-,-,-,hypothetical protein,protein-coding,-,-,-,-,20180202,-
1511,35558251,CLOST_RS07060,CLOST_RS07060,CLOST_1380,-,-,-,hypothetical protein,protein-coding,-,-,-,-,20180130,-
1511,35558252,CLOST_RS12295,CLOST_RS12295,CLOST_2430,-,-,-,hypothetical protein,protein-coding,-,-,-,-,20180202,-
1511,35558258,CLOST_RS12275,CLOST_RS12275,CLOST_2426,-,-,-,hypothetical protein,protein-coding,-,-,-,-,20180202,-
1511,35558268,CLOST_RS00625,CLOST_RS00625,CLOST_0088,-,-,-,hypothetical protein,protein-coding,-,-,-,-,20200912,-
1511,35558278,CLOST_RS01720,CLOST_RS01720,-,-,-,-,hypothetical protein,protein-coding,-,-,-,-,20180129,-
1511,35558284,CLOST_RS09195,CLOST_RS09195,CLOST_1818,-,-,-,hypothetical protein,protein-coding,-,-,-,-,20180202,-
1511,35558285,CLOST_RS04000,CLOST_RS04000,CLOST_0747,-,-,-,hypothetical protein,protein-coding,-,-,-,-,20180130,-
1511,35558286,CLOST_RS01885,CLOST_RS01885,CLOST_0349,-,-,-,hypothetical protein,protein-coding,-,-,-,-,20180202,-
1511,35558289,CLOST_RS02855,CLOST_RS02855,CLOST_0518,-,-,-,hypothetical protein,protein-coding,-,-,-,-,20180202,-
1511,35558294,CLOST_RS07740,CLOST_RS07740,CLOST_1518,-,-,-,hypothetical protein,protein-coding,-,-,-,-,20180202,-
1511,35558296,CLOST_RS12015,CLOST_RS12015,CLOST_tRNA43,-,-,-,tRNA,tRNA,-,-,-,-,20180129,-
1511,35558297,CLOST_RS13785,CLOST_RS13785,-,-,-,-,hypothetical protein,protein-coding,-,-,-,-,20180129,-
1511,35558304,CLOST_RS11665,CLOST_RS11665,CLOST_2322,-,-,-,hypothetical protein,protein-coding,-,-,-,-,20180202,-
1511,35558335,CLOST_RS12455,CLOST_RS12455,-,-,-,-,hypothetical protein,protein-coding,-,-,-,-,20180129,-
1511,35558336,CLOST_RS09795,CLOST_RS09795,CLOST_1941,-,-,-,hypothetical protein,protein-coding,-,-,-,-,20180202,-
1511,35558350,CLOST_RS12920,CLOST_RS12920,CLOST_2555,-,-,-,hypothetical protein,protein-coding,-,-,-,-,20180202,-
1511,35558351,CLOST_RS12305,CLOST_RS12305,CLOST_2432,-,-,-,hypothetical protein,protein-coding,-,-,-,-,20180202,-
1511,35558354,CLOST_RS04510,CLOST_RS04510,CLOST_0857,-,-,-,hypothetical protein,protein-coding,-,-,-,-,20180202,-
1511,35558362,CLOST_RS07700,CLOST_RS07700,CLOST_1510,-,-,-,hypothetical protein,protein-coding,-,-,-,-,20180202,-
1511,35558363,CLOST_RS10570,CLOST_RS10570,CLOST_2099,-,-,-,hypothetical protein,protein-coding,-,-,-,-,20180202,-
1511,35558380,CLOST_RS12805,CLOST_RS12805,CLOST_2532,-,-,-,hypothetical protein,protein-coding,-,-,-,-,20200912,-
1511,35558402,CLOST_RS12715,CLOST_RS12715,CLOST_2512,-,-,-,hypothetical protein,protein-coding,-,-,-,-,20180202,-
1511,35558405,CLOST_RS09270,CLOST_RS09270,CLOST_1833,-,-,-,hypothetical protein,protein-coding,-,-,-,-,20180202,-
