#tax_id,GeneID,Symbol,LocusTag,Synonyms,dbXrefs,chromosome,map_location,description,type_of_gene,Symbol_from_nomenclature_authority,Full_name_from_nomenclature_authority,Nomenclature_status,Other_designations,Modification_date,Feature_type
2072797,55607481,HWB53_gp02,HWB53_gp02,-,-,-,-,terminase small subunit,protein-coding,-,-,-,terminase small subunit,20210424,-
2072797,55607501,HWB53_gp22,HWB53_gp22,-,-,-,-,nucleotide pyrophosphohydralase,protein-coding,-,-,-,nucleotide pyrophosphohydralase,20210424,-
2072797,55607502,HWB53_gp23,HWB53_gp23,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2072797,55607503,HWB53_gp24,HWB53_gp24,-,-,-,-,thymidylate synthase,protein-coding,-,-,-,thymidylate synthase,20210424,-
2072797,55607504,HWB53_gp25,HWB53_gp25,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2072797,55607505,HWB53_gp26,HWB53_gp26,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210424,-
2072797,55607506,HWB53_gp27,HWB53_gp27,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2072797,55607507,HWB53_gp28,HWB53_gp28,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210424,-
2072797,55607508,HWB53_gp29,HWB53_gp29,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2072797,55607509,HWB53_gp30,HWB53_gp30,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210424,-
2072797,55607510,HWB53_gp31,HWB53_gp31,-,-,-,-,N-acetylmuramoyl-L-alanine amidase,protein-coding,-,-,-,N-acetylmuramoyl-L-alanine amidase,20210424,-
2072797,55607511,HWB53_gp32,HWB53_gp32,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2072797,55607512,HWB53_gp33,HWB53_gp33,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2072797,55607513,HWB53_gp34,HWB53_gp34,-,-,-,-,protein of unknown function DUF2479,protein-coding,-,-,-,protein of unknown function DUF2479,20210424,-
2072797,55607514,HWB53_gp35,HWB53_gp35,-,-,-,-,holin,protein-coding,-,-,-,holin,20210424,-
2072797,55607515,HWB53_gp36,HWB53_gp36,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2072797,55607516,HWB53_gp37,HWB53_gp37,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2072797,55607517,HWB53_gp38,HWB53_gp38,-,-,-,-,putative YD repeat protein,protein-coding,-,-,-,putative YD repeat protein,20210424,-
2072797,55607518,HWB53_gp39,HWB53_gp39,-,-,-,-,tail length tape measure protein,protein-coding,-,-,-,tail length tape measure protein,20210424,-
2072797,55607519,HWB53_gp40,HWB53_gp40,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210424,-
2072797,55607520,HWB53_gp41,HWB53_gp41,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2072797,55607521,HWB53_gp42,HWB53_gp42,-,-,-,-,major capsid protein,protein-coding,-,-,-,major capsid protein,20201221,-
2072797,55607522,HWB53_gp43,HWB53_gp43,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210424,-
2072797,55607523,HWB53_gp44,HWB53_gp44,-,-,-,-,minor capsid protein,protein-coding,-,-,-,minor capsid protein,20210424,-
2072797,55607524,HWB53_gp45,HWB53_gp45,-,-,-,-,minor capsid protein,protein-coding,-,-,-,minor capsid protein,20210424,-
2072797,55607525,HWB53_gp46,HWB53_gp46,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210424,-
2072797,55607526,HWB53_gp47,HWB53_gp47,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2072797,55607527,HWB53_gp48,HWB53_gp48,-,-,-,-,major capsid protein,protein-coding,-,-,-,major capsid protein,20201221,-
2072797,55607528,HWB53_gp49,HWB53_gp49,-,-,-,-,major capsid protein,protein-coding,-,-,-,major capsid protein,20210424,-
2072797,55607529,HWB53_gp50,HWB53_gp50,-,-,-,-,minor capsid protein,protein-coding,-,-,-,minor capsid protein,20210424,-
2072797,55607530,HWB53_gp51,HWB53_gp51,-,-,-,-,portal protein,protein-coding,-,-,-,portal protein,20210424,-
2072797,55607531,HWB53_gp01,HWB53_gp01,-,-,-,-,terminase large subunit,protein-coding,-,-,-,terminase large subunit,20210424,-
2072797,55635763,NEWENTRY,-,-,-,-,-,Record to support submission of GeneRIFs for a gene not in Gene.,other,-,-,-,-,20200622,-
