#tax_id,GeneID,Symbol,LocusTag,Synonyms,dbXrefs,chromosome,map_location,description,type_of_gene,Symbol_from_nomenclature_authority,Full_name_from_nomenclature_authority,Nomenclature_status,Other_designations,Modification_date,Feature_type
2420240,65055986,KMC00_gp241,KMC00_gp241,DalCa_241,-,-,-,hinge connector of long tail fiber proximal protein,protein-coding,-,-,-,hinge connector of long tail fiber proximal protein,20210609,-
2420240,65056120,KMC00_gp234,KMC00_gp234,DalCa_234,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210612,-
2420240,65056121,KMC00_gp122,KMC00_gp122,DalCa_122,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2420240,65056122,KMC00_gp129,KMC00_gp129,DalCa_129,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2420240,65056123,KMC00_gp036,KMC00_gp036,DalCa_036,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2420240,65056124,KMC00_gp222,KMC00_gp222,DalCa_222,-,-,-,inhibitor of host transcription,protein-coding,-,-,-,inhibitor of host transcription,20210607,-
2420240,65056125,KMC00_gp136,KMC00_gp136,DalCa_136,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2420240,65056126,KMC00_gp230,KMC00_gp230,DalCa_230,-,-,-,dihydrofolate reductase,protein-coding,-,-,-,dihydrofolate reductase,20210607,-
2420240,65056127,KMC00_gp041,KMC00_gp041,DalCa_041,-,-,-,RecA-like recombination protein,protein-coding,-,-,-,RecA-like recombination protein,20210607,-
2420240,65056128,KMC00_gp027,KMC00_gp027,DalCa_027,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2420240,65056129,KMC00_gp116,KMC00_gp116,DalCa_116,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2420240,65056130,KMC00_gp212,KMC00_gp212,DalCa_212,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2420240,65056131,KMC00_gp238,KMC00_gp238,DalCa_238,-,-,-,double-stranded DNA binding protein,protein-coding,-,-,-,double-stranded DNA binding protein,20210612,-
2420240,65056132,KMC00_gp208,KMC00_gp208,DalCa_208,-,-,-,tail fiber protein,protein-coding,-,-,-,tail fiber protein,20210609,-
2420240,65056133,KMC00_gp205,KMC00_gp205,DalCa_205,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2420240,65056134,KMC00_gp123,KMC00_gp123,DalCa_123,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2420240,65056135,KMC00_gp255,KMC00_gp255,DalCa_255,-,-,-,activator of middle period transcription,protein-coding,-,-,-,activator of middle period transcription,20210607,-
2420240,65056136,KMC00_gp069,KMC00_gp069,DalCa_069,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2420240,65056137,KMC00_gp074,KMC00_gp074,DalCa_074,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2420240,65056138,KMC00_gp083,KMC00_gp083,DalCa_083,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2420240,65056139,KMC00_gp064,KMC00_gp064,DalCa_064,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2420240,65056140,KMC00_gp093,KMC00_gp093,DalCa_093,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2420240,65056141,KMC00_gp018,KMC00_gp018,DalCa_018,-,-,-,anti-termination,protein-coding,-,-,-,anti-termination,20210607,-
2420240,65056142,KMC00_gp209,KMC00_gp209,DalCa_209,-,-,-,tail fiber protein,protein-coding,-,-,-,tail fiber protein,20210607,-
2420240,65056143,KMC00_gp095,KMC00_gp095,DalCa_095,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2420240,65056144,KMC00_gp219,KMC00_gp219,DalCa_219,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2420240,65056145,KMC00_gp221,KMC00_gp221,DalCa_221,-,-,-,i-spanin,protein-coding,-,-,-,i-spanin,20210607,-
2420240,65056146,KMC00_gp088,KMC00_gp088,DalCa_088,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2420240,65056147,KMC00_gp252,KMC00_gp252,DalCa_252,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2420240,65056148,KMC00_gp037,KMC00_gp037,DalCa_037,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2420240,65056149,KMC00_gp072,KMC00_gp072,DalCa_072,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2420240,65056150,KMC00_gp108,KMC00_gp108,DalCa_108,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2420240,65056151,KMC00_gp151,KMC00_gp151,DalCa_151,-,-,-,baseplate wedge subunit,protein-coding,-,-,-,baseplate wedge subunit,20210609,-
2420240,65056152,KMC00_gp193,KMC00_gp193,DalCa_193,-,-,-,ADP ribosyltransferase,protein-coding,-,-,-,ADP ribosyltransferase,20210607,-
2420240,65056153,KMC00_gp137,KMC00_gp137,DalCa_137,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2420240,65056154,KMC00_gp203,KMC00_gp203,DalCa_203,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210612,-
2420240,65056155,KMC00_gp119,KMC00_gp119,DalCa_119,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2420240,65056156,KMC00_gp176,KMC00_gp176,DalCa_176,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2420240,65056157,KMC00_gp249,KMC00_gp249,DalCa_249,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2420240,65056158,KMC00_gp215,KMC00_gp215,DalCa_215,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2420240,65056159,KMC00_gp247,KMC00_gp247,DalCa_247,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2420240,65056160,KMC00_gp067,KMC00_gp067,DalCa_067,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2420240,65056161,KMC00_gp198,KMC00_gp198,DalCa_198,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2420240,65056162,KMC00_gp239,KMC00_gp239,DalCa_239,-,-,-,RNaseH,protein-coding,-,-,-,RNaseH,20210607,-
2420240,65056163,KMC00_gp120,KMC00_gp120,DalCa_120,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
