#tax_id,GeneID,Symbol,LocusTag,Synonyms,dbXrefs,chromosome,map_location,description,type_of_gene,Symbol_from_nomenclature_authority,Full_name_from_nomenclature_authority,Nomenclature_status,Other_designations,Modification_date,Feature_type
5855,5471212,PVX_087090,PVX_087090,-,-,7,-,"aspartyl aminopeptidase, putative",protein-coding,-,-,-,"aspartyl aminopeptidase, putative",20200923,-
5855,5471264,PVX_087115,PVX_087115,-,-,7,-,"proteasome precursor, putative",protein-coding,-,-,-,"proteasome precursor, putative",20200926,-
5855,5471265,PVX_087160,PVX_087160,-,-,7,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200926,-
5855,5471266,PVX_005040,PVX_005040,-,-,7,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200918,-
5855,5471267,PVX_087020,PVX_087020,-,-,7,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200918,-
5855,5471268,PVX_087040,PVX_087040,-,-,7,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200918,-
5855,5471269,PVX_086890,PVX_086890,-,-,7,-,variable surface protein Vir8-like,protein-coding,-,-,-,variable surface protein Vir8-like,20200918,-
5855,5471270,PVX_086875,PVX_086875,-,-,7,-,variable surface protein Vir27-related,protein-coding,-,-,-,variable surface protein Vir27-related,20200918,-
5855,5471271,PVX_087140,PVX_087140,-,-,7,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200918,-
5855,5471272,PVX_086990,PVX_086990,-,-,7,-,"vacuolar ATP synthase subunit E, putative",protein-coding,-,-,-,"vacuolar ATP synthase subunit E, putative",20200926,-
5855,5471273,PVX_086915,PVX_086915,-,-,7,-,early transcribed membrane protein (ETRAMP),protein-coding,-,-,-,early transcribed membrane protein (ETRAMP),20200923,-
5855,5471274,PVX_087120,PVX_087120,-,-,7,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200926,-
5855,5471275,PVX_086925,PVX_086925,-,-,7,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200918,-
5855,5471276,PVX_087055,PVX_087055,-,-,7,-,"mRNA processing protein, putative",protein-coding,-,-,-,"mRNA processing protein, putative",20200918,-
5855,5471277,PVX_087130,PVX_087130,-,-,7,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200923,-
5855,5471278,PVX_087060,PVX_087060,-,-,7,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200918,-
5855,5471279,PVX_086885,PVX_086885,-,-,7,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200918,-
5855,5471280,PVX_086935,PVX_086935,-,-,7,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200918,-
5855,5471281,PVX_087135,PVX_087135,-,-,7,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200926,-
5855,5471282,PVX_111350,PVX_111350,-,-,6,-,"DNA-directed RNA polymerase II, putative",protein-coding,-,-,-,"DNA-directed RNA polymerase II, putative",20200926,-
5855,5471283,PVX_111340,PVX_111340,-,-,6,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200923,-
5855,5471284,PVX_110844,PVX_110844,-,-,6,-,small subunit 18S ribosomal RNA,rRNA,-,-,-,-,20200918,-
5855,5471285,PVX_111410,PVX_111410,-,-,6,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200918,-
5855,5471286,PVX_111415,PVX_111415,-,-,6,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200918,-
5855,5471287,PVX_110920,PVX_110920,-,-,6,-,"acetyl-CoA transporter, putative",protein-coding,-,-,-,"acetyl-CoA transporter, putative",20200918,-
5855,5471288,PVX_110843,PVX_110843,-,-,6,-,5.8S ribosomal RNA,rRNA,-,-,-,-,20200918,-
5855,5471289,PVX_110840,PVX_110840,-,-,6,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200918,-
5855,5471290,PVX_111065,PVX_111065,-,-,6,-,early transcribed membrane protein (ETRAMP),protein-coding,-,-,-,early transcribed membrane protein (ETRAMP),20200918,-
5855,5471291,PVX_110895,PVX_110895,-,-,6,-,"ADP/ATP transporter on adenylate translocase, putative",protein-coding,-,-,-,"ADP/ATP transporter on adenylate translocase, putative",20200923,-
5855,5471292,PVX_111315,PVX_111315,-,-,6,-,"protoporphyrinogen oxidase, putative",protein-coding,-,-,-,"protoporphyrinogen oxidase, putative",20200918,-
5855,5471293,PVX_111430,PVX_111430,-,-,6,-,"cytochrome c oxidase copper chaperone, putative",protein-coding,-,-,-,"cytochrome c oxidase copper chaperone, putative",20200926,-
5855,5471294,PVX_111435,PVX_111435,-,-,6,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200918,-
5855,5471295,PVX_111525,PVX_111525,-,-,6,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200923,-
5855,5471296,PVX_111530,PVX_111530,-,-,6,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200923,-
5855,5471297,PVX_111370,PVX_111370,-,-,6,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200918,-
5855,5471298,PVX_111390,PVX_111390,-,-,6,-,"cell division cycle protein 20 homolog, putative",protein-coding,-,-,-,"cell division cycle protein 20 homolog, putative",20200918,-
5855,5471299,PVX_111395,PVX_111395,-,-,6,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200923,-
5855,5471300,PVX_111360,PVX_111360,-,-,6,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200926,-
5855,5471301,PVX_111515,PVX_111515,-,-,6,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200918,-
5855,5471302,PVX_111190,PVX_111190,-,-,6,-,RNA methyltransferase domain containing protein,protein-coding,-,-,-,RNA methyltransferase domain containing protein,20200918,-
5855,5471303,PVX_111050,PVX_111050,-,-,6,-,"WD domain, G-beta repeat domain containing protein",protein-coding,-,-,-,"WD domain, G-beta repeat domain containing protein",20200918,-
5855,5471304,PVX_110850,PVX_110850,-,-,6,-,GDP dissociation inhibitor domain containing protein,protein-coding,-,-,-,GDP dissociation inhibitor domain containing protein,20200918,-
5855,5471305,PVX_004505,PVX_004505,-,-,6,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200918,-
5855,5471306,PVX_110880,PVX_110880,-,-,6,-,"DNA repair helicase, putative",protein-coding,-,-,-,"DNA repair helicase, putative",20200918,-
5855,5471307,PVX_111215,PVX_111215,-,-,6,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200918,-
5855,5471308,PVX_111205,PVX_111205,-,-,6,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200923,-
5855,5471309,PVX_110855,PVX_110855,-,-,6,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200923,-
5855,5471310,PVX_110860,PVX_110860,-,-,6,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200918,-
5855,5471311,PVX_110865,PVX_110865,-,-,6,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200918,-
5855,5471312,PVX_111295,PVX_111295,-,-,6,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200918,-
5855,5471313,PVX_111310,PVX_111310,-,-,6,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200926,-
5855,5471314,PVX_111365,PVX_111365,-,-,6,-,"U3 small nucleolar ribonucleoprotein protein MPP10, putative",protein-coding,-,-,-,"U3 small nucleolar ribonucleoprotein protein MPP10, putative",20200918,-
5855,5471315,PVX_111100,PVX_111100,-,-,6,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200926,-
5855,5471316,PVX_111290,PVX_111290,-,-,6,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200918,-
5855,5471317,PVX_110905,PVX_110905,-,-,6,-,"pyruvate kinase, putative",protein-coding,-,-,-,"pyruvate kinase, putative",20200918,-
5855,5471318,PVX_110910,PVX_110910,-,-,6,-,"DNA polymerase zeta catalytic subunit, putative",protein-coding,-,-,-,"DNA polymerase zeta catalytic subunit, putative",20200918,-
5855,5471319,PVX_110955,PVX_110955,-,-,6,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200918,-
5855,5471320,PVX_111155,PVX_111155,-,-,6,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200923,-
5855,5471321,PVX_111305,PVX_111305,-,-,6,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200926,-
5855,5471322,PVX_111385,PVX_111385,-,-,6,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200918,-
5855,5471323,PVX_110875,PVX_110875,-,-,6,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200918,-
5855,5471324,PVX_111080,PVX_111080,-,-,6,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200918,-
5855,5471325,PVX_111045,PVX_111045,-,-,6,-,"DNA binding protein Myb2, putative",protein-coding,-,-,-,"DNA binding protein Myb2, putative",20200926,-
5855,5471326,PVX_111035,PVX_111035,-,-,6,-,"aspartyl protease, putative",protein-coding,-,-,-,"aspartyl protease, putative",20200923,-
5855,5471327,PVX_111345,PVX_111345,-,-,6,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200923,-
5855,5471328,PVX_111520,PVX_111520,-,-,6,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200918,-
5855,5471329,PVX_111555,PVX_111555,-,-,6,-,"orotidine 5' monophosphate decarboxylase, putative",protein-coding,-,-,-,"orotidine 5' monophosphate decarboxylase, putative",20200923,-
5855,5471330,PVX_110900,PVX_110900,-,-,6,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200918,-
5855,5471331,PVX_110915,PVX_110915,-,-,6,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200918,-
5855,5471332,PVX_111545,PVX_111545,-,-,6,-,"mitotic spindle assembly checkpoint protein, putative",protein-coding,-,-,-,"mitotic spindle assembly checkpoint protein, putative",20200923,-
5855,5471333,PVX_111550,PVX_111550,-,-,6,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200923,-
5855,5471334,PVX_111355,PVX_111355,-,-,6,-,"merozoite capping protein 1, putative",protein-coding,-,-,-,"merozoite capping protein 1, putative",20200918,-
5855,5471335,PVX_110841,PVX_110841,-,-,6,-,miscRNA,miscRNA,-,-,-,-,20200918,-
5855,5471336,PVX_110842,PVX_110842,-,-,6,-,large subunit 28S ribosomal RNA,rRNA,-,-,-,-,20200918,-
5855,5471337,PVX_110925,PVX_110925,-,-,6,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200923,-
5855,5471338,PVX_110870,PVX_110870,-,-,6,-,enhancer of rudimentary domain containing protein,protein-coding,-,-,-,enhancer of rudimentary domain containing protein,20200926,-
5855,5471339,PVX_111300,PVX_111300,-,-,6,-,brix domain containing protein,protein-coding,-,-,-,brix domain containing protein,20200926,-
5855,5471340,PVX_111240,PVX_111240,-,-,6,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200918,-
5855,5471341,PVX_110960,PVX_110960,-,-,6,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200918,-
5855,5471342,PVX_110950,PVX_110950,-,-,6,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200923,-
5855,5471343,PVX_111405,PVX_111405,-,-,6,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200918,-
5855,5471344,PVX_004520,PVX_004520,-,-,6,-,"variable surface protein Vir4, putative",protein-coding,-,-,-,"variable surface protein Vir4, putative",20200918,-
5855,5471345,PVX_111245,PVX_111245,-,-,6,-,"adenosine deaminase, putative",protein-coding,-,-,-,"adenosine deaminase, putative",20200918,-
5855,5471346,PVX_110945,PVX_110945,-,-,6,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200918,-
5855,5471347,PVX_111180,PVX_111180,-,-,6,-,sexual stage surface protein Pvs28,protein-coding,-,-,-,sexual stage surface protein Pvs28,20200923,-
5855,5471348,PVX_111170,PVX_111170,-,-,6,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200923,-
5855,5471349,PVX_111210,PVX_111210,-,-,6,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200918,-
5855,5471350,PVX_111095,PVX_111095,-,-,6,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200923,-
5855,5471351,PVX_110935,PVX_110935,-,-,6,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200918,-
5855,5471352,PVX_111500,PVX_111500,-,-,6,-,"RNA binding protein, putative",protein-coding,-,-,-,"RNA binding protein, putative",20200926,-
5855,5471353,PVX_111505,PVX_111505,-,-,6,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200918,-
5855,5471354,PVX_111160,PVX_111160,-,-,6,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200918,-
5855,5471355,PVX_111275,PVX_111275,-,-,6,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200918,-
5855,5471356,PVX_111265,PVX_111265,-,-,6,-,"WD domain, G-beta repeat domain containing protein",protein-coding,-,-,-,"WD domain, G-beta repeat domain containing protein",20200918,-
5855,5471357,PVX_111325,PVX_111325,-,-,6,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200926,-
5855,5471358,PVX_111465,PVX_111465,-,-,6,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200918,-
5855,5471359,PVX_111470,PVX_111470,-,-,6,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200918,-
5855,5471360,PVX_111540,PVX_111540,-,-,6,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200923,-
5855,5471361,PVX_111060,PVX_111060,-,-,6,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200923,-
5855,5471362,PVX_004537,PVX_004537,-,-,6,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200918,-
5855,5471363,PVX_111335,PVX_111335,-,-,6,-,"centrin, putative",protein-coding,-,-,-,"centrin, putative",20200926,-
5855,5471364,PVX_111440,PVX_111440,-,-,6,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200918,-
5855,5471365,PVX_111475,PVX_111475,-,-,6,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200918,-
5855,5471366,PVX_111070,PVX_111070,-,-,6,-,"S-adenosylmethionine decarboxylase-ornithine decarboxylase, putative",protein-coding,-,-,-,"S-adenosylmethionine decarboxylase-ornithine decarboxylase, putative",20200918,-
5855,5471367,PVX_111055,PVX_111055,-,-,6,-,"haloacid dehalogenase, putative",protein-coding,-,-,-,"haloacid dehalogenase, putative",20200923,-
5855,5471368,PVX_111535,PVX_111535,-,-,6,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200918,-
5855,5471369,PVX_110805,PVX_110805,-,-,6,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200923,-
5855,5471370,PVX_111200,PVX_111200,-,-,6,-,"26S proteasome non-ATPase regulatory subunit 13, putative",protein-coding,-,-,-,"26S proteasome non-ATPase regulatory subunit 13, putative",20200918,-
5855,5471371,PVX_111375,PVX_111375,-,-,6,-,biotin--acetyl-CoA-carboxylase] synthetase,protein-coding,-,-,-,biotin--acetyl-CoA-carboxylase] synthetase,20200926,-
5855,5471372,PVX_111380,PVX_111380,-,-,6,-,"40S ribosomal protein, putative",protein-coding,-,-,-,"40S ribosomal protein, putative",20200926,-
5855,5471373,PVX_111590,PVX_111590,-,-,6,-,kelch domain-containing protein,protein-coding,-,-,-,kelch domain-containing protein,20200918,-
5855,5471374,PVX_111330,PVX_111330,-,-,6,-,"ribosomal protein L3, putative",protein-coding,-,-,-,"ribosomal protein L3, putative",20200926,-
5855,5471375,PVX_111320,PVX_111320,-,-,6,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200926,-
5855,5471376,PVX_111460,PVX_111460,-,-,6,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200918,-
5855,5471377,PVX_110825,PVX_110825,-,-,6,-,Pv-fam-d protein,protein-coding,-,-,-,Pv-fam-d protein,20200918,-
5855,5471378,PVX_111420,PVX_111420,-,-,6,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200923,-
5855,5471379,PVX_111090,PVX_111090,-,-,6,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200918,-
5855,5471380,PVX_111075,PVX_111075,-,-,6,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200918,-
5855,5471381,PVX_004535,PVX_004535,-,-,6,-,"variable surface protein Vir, putative",protein-coding,-,-,-,"variable surface protein Vir, putative",20200918,-
5855,5471382,PVX_111280,PVX_111280,-,-,6,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200918,-
5855,5471383,PVX_111510,PVX_111510,-,-,6,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200918,-
5855,5471384,PVX_110940,PVX_110940,-,-,6,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200918,-
5855,5471385,PVX_111175,PVX_111175,-,-,6,-,ookinete surface protein Pvs25,protein-coding,-,-,-,ookinete surface protein Pvs25,20200923,-
5855,5471386,PVX_111285,PVX_111285,-,-,6,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200923,-
5855,5471387,PVX_111570,PVX_111570,-,-,6,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200923,-
5855,5471388,PVX_111575,PVX_111575,-,-,6,-,"4-hydroxy-3-methylbut-2-en-1-yl diphosphate synthase (GcpE), putative",protein-coding,-,-,-,"4-hydroxy-3-methylbut-2-en-1-yl diphosphate synthase (GcpE), putative",20200923,-
5855,5471389,PVX_004525,PVX_004525,-,-,6,-,variable surface protein Vir16/32-related,protein-coding,-,-,-,variable surface protein Vir16/32-related,20200923,-
5855,5471390,PVX_111020,PVX_111020,-,-,6,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200923,-
5855,5471391,PVX_111450,PVX_111450,-,-,6,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200923,-
5855,5471392,PVX_111560,PVX_111560,-,-,6,-,"dynein heavy chain, putative",protein-coding,-,-,-,"dynein heavy chain, putative",20200918,-
5855,5471393,PVX_111400,PVX_111400,-,-,6,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200918,-
5855,5471394,PVX_111230,PVX_111230,-,-,6,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200918,-
5855,5471395,PVX_111220,PVX_111220,-,-,6,-,"RNA helicase, putative",protein-coding,-,-,-,"RNA helicase, putative",20200918,-
5855,5471396,PVX_110990,PVX_110990,-,-,6,-,"ADP-ribosylation factor-like protein, putative",protein-coding,-,-,-,"ADP-ribosylation factor-like protein, putative",20200926,-
5855,5471397,PVX_110890,PVX_110890,-,-,6,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200922,-
5855,5471398,PVX_111015,PVX_111015,-,-,6,-,"50S ribosomal protein L27, putative",protein-coding,-,-,-,"50S ribosomal protein L27, putative",20200918,-
5855,5471399,PVX_111000,PVX_111000,-,-,6,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200918,-
5855,5471400,PVX_111165,PVX_111165,-,-,6,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200926,-
5855,5471401,PVX_111270,PVX_111270,-,-,6,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200918,-
5855,5471402,PVX_111595,PVX_111595,-,-,6,-,"citrate synthase, mitochondrial precursor, putative",protein-coding,-,-,-,"citrate synthase, mitochondrial precursor, putative",20200918,-
5855,5471403,PVX_111600,PVX_111600,-,-,6,-,"pre-mRNA splicing factor, putative",protein-coding,-,-,-,"pre-mRNA splicing factor, putative",20200926,-
5855,5471404,PVX_110930,PVX_110930,-,-,6,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200923,-
5855,5471405,PVX_111255,PVX_111255,-,-,6,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200918,-
5855,5471406,PVX_111485,PVX_111485,-,-,6,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200922,-
5855,5471407,PVX_004510,PVX_004510,-,-,6,-,variable surface protein Vir4/14-related,protein-coding,-,-,-,variable surface protein Vir4/14-related,20200918,-
