#tax_id,GeneID,Symbol,LocusTag,Synonyms,dbXrefs,chromosome,map_location,description,type_of_gene,Symbol_from_nomenclature_authority,Full_name_from_nomenclature_authority,Nomenclature_status,Other_designations,Modification_date,Feature_type
2759389,63742930,2,KCH38_gp02,SEA_ARCHIMEDES_2,-,-,-,portal protein,protein-coding,-,-,-,portal protein,20210529,-
2759389,63742948,20,KCH38_gp20,SEA_ARCHIMEDES_20,-,-,-,holin,protein-coding,-,-,-,holin,20210529,-
2759389,63742949,21,KCH38_gp21,SEA_ARCHIMEDES_21,-,-,-,membrane protein,protein-coding,-,-,-,membrane protein,20210418,-
2759389,63742950,22,KCH38_gp22,SEA_ARCHIMEDES_22,-,-,-,membrane protein,protein-coding,-,-,-,membrane protein,20210418,-
2759389,63742951,23,KCH38_gp23,SEA_ARCHIMEDES_23,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210418,-
2759389,63742952,24,KCH38_gp24,SEA_ARCHIMEDES_24,-,-,-,minor tail protein,protein-coding,-,-,-,minor tail protein,20210418,-
2759389,63742953,25,KCH38_gp25,SEA_ARCHIMEDES_25,-,-,-,minor tail protein,protein-coding,-,-,-,minor tail protein,20210529,-
2759389,63742954,26,KCH38_gp26,SEA_ARCHIMEDES_26,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210418,-
2759389,63742955,27,KCH38_gp27,SEA_ARCHIMEDES_27,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210418,-
2759389,63742956,28,KCH38_gp28,SEA_ARCHIMEDES_28,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210418,-
2759389,63742957,29,KCH38_gp29,SEA_ARCHIMEDES_29,-,-,-,DNA primase/polymerase,protein-coding,-,-,-,DNA primase/polymerase,20210529,-
2759389,63742958,30,KCH38_gp30,SEA_ARCHIMEDES_30,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210418,-
2759389,63742959,31,KCH38_gp31,SEA_ARCHIMEDES_31,-,-,-,RecA-like DNA recombinase,protein-coding,-,-,-,RecA-like DNA recombinase,20210529,-
2759389,63742960,32,KCH38_gp32,SEA_ARCHIMEDES_32,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210418,-
2759389,63742961,33,KCH38_gp33,SEA_ARCHIMEDES_33,-,-,-,membrane protein,protein-coding,-,-,-,membrane protein,20210418,-
2759389,63742962,34,KCH38_gp34,SEA_ARCHIMEDES_34,-,-,-,Cas4 family exonuclease,protein-coding,-,-,-,Cas4 family exonuclease,20210529,-
2759389,63742963,35,KCH38_gp35,SEA_ARCHIMEDES_35,-,-,-,RuvC-like resolvase,protein-coding,-,-,-,RuvC-like resolvase,20210418,-
2759389,63742964,36,KCH38_gp36,SEA_ARCHIMEDES_36,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210418,-
2759389,63742965,37,KCH38_gp37,SEA_ARCHIMEDES_37,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210529,-
2759389,63742966,38,KCH38_gp38,SEA_ARCHIMEDES_38,-,-,-,PurB-like adenylosuccinate lyase,protein-coding,-,-,-,PurB-like adenylosuccinate lyase,20210529,-
2759389,63742967,39,KCH38_gp39,SEA_ARCHIMEDES_39,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210418,-
2759389,63742968,40,KCH38_gp40,SEA_ARCHIMEDES_40,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210418,-
2759389,63742969,41,KCH38_gp41,SEA_ARCHIMEDES_41,-,-,-,DNA polymerase I,protein-coding,-,-,-,DNA polymerase I,20210529,-
2759389,63742970,42,KCH38_gp42,SEA_ARCHIMEDES_42,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210418,-
2759389,63742971,43,KCH38_gp43,SEA_ARCHIMEDES_43,-,-,-,lysin B,protein-coding,-,-,-,lysin B,20210418,-
2759389,63742972,44,KCH38_gp44,SEA_ARCHIMEDES_44,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210418,-
2759389,63742973,45,KCH38_gp45,SEA_ARCHIMEDES_45,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210418,-
2759389,63742974,46,KCH38_gp46,SEA_ARCHIMEDES_46,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210418,-
2759389,63742975,47,KCH38_gp47,SEA_ARCHIMEDES_47,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210418,-
2759389,63742976,48,KCH38_gp48,SEA_ARCHIMEDES_48,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210418,-
2759389,63742977,49,KCH38_gp49,SEA_ARCHIMEDES_49,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210418,-
2759389,63742978,50,KCH38_gp50,SEA_ARCHIMEDES_50,-,-,-,PurA-like adenylosuccinate synthetase,protein-coding,-,-,-,PurA-like adenylosuccinate synthetase,20210529,-
2759389,63742979,51,KCH38_gp51,SEA_ARCHIMEDES_51,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210418,-
2759389,63742980,52,KCH38_gp52,SEA_ARCHIMEDES_52,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210418,-
2759389,63742981,53,KCH38_gp53,SEA_ARCHIMEDES_53,-,-,-,deoxyuridine triphosphatase,protein-coding,-,-,-,deoxyuridine triphosphatase,20210418,-
2759389,63742982,54,KCH38_gp54,SEA_ARCHIMEDES_54,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210418,-
2759389,63742983,55,KCH38_gp55,SEA_ARCHIMEDES_55,-,-,-,deoxyuridine triphosphatase,protein-coding,-,-,-,deoxyuridine triphosphatase,20210529,-
2759389,63742984,56,KCH38_gp56,SEA_ARCHIMEDES_56,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210418,-
2759389,63742985,57,KCH38_gp57,SEA_ARCHIMEDES_57,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210418,-
2759389,63742986,58,KCH38_gp58,SEA_ARCHIMEDES_58,-,-,-,membrane protein,protein-coding,-,-,-,membrane protein,20210418,-
2759389,63742987,59,KCH38_gp59,SEA_ARCHIMEDES_59,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210418,-
2759389,63742988,60,KCH38_gp60,SEA_ARCHIMEDES_60,-,-,-,HNH endonuclease,protein-coding,-,-,-,HNH endonuclease,20210529,-
2759389,63742989,1,KCH38_gp01,SEA_ARCHIMEDES_1,-,-,-,terminase,protein-coding,-,-,-,terminase,20210529,-
2759389,63925698,NEWENTRY,-,-,-,-,-,Record to support submission of GeneRIFs for a gene not in Gene.,other,-,-,-,-,20210421,-
