#tax_id,GeneID,Symbol,LocusTag,Synonyms,dbXrefs,chromosome,map_location,description,type_of_gene,Symbol_from_nomenclature_authority,Full_name_from_nomenclature_authority,Nomenclature_status,Other_designations,Modification_date,Feature_type
1391659,18503293,CH09_gp02,CH09_gp02,O197_02,-,-,-,minor tail protein M,protein-coding,-,-,-,minor tail protein M,20201221,-
1391659,18503311,CH09_gp20,CH09_gp20,O197_20,-,-,-,DNA repair ATPase,protein-coding,-,-,-,DNA repair ATPase,20201221,-
1391659,18503312,CH09_gp21,CH09_gp21,O197_21,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1391659,18503313,CH09_gp22,CH09_gp22,O197_22,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1391659,18503314,CH09_gp23,CH09_gp23,O197_23,-,-,-,DNA polymerase I,protein-coding,-,-,-,DNA polymerase I,20201221,-
1391659,18503315,CH09_gp24,CH09_gp24,O197_24,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1391659,18503316,CH09_gp25,CH09_gp25,O197_25,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1391659,18503317,CH09_gp26,CH09_gp26,O197_26,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1391659,18503318,CH09_gp27,CH09_gp27,O197_27,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1391659,18503319,CH09_gp28,CH09_gp28,O197_28,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1391659,18503320,CH09_gp29,CH09_gp29,O197_29,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1391659,18503321,CH09_gp30,CH09_gp30,O197_30,-,-,-,putative replicative helicase/primase,protein-coding,-,-,-,putative replicative helicase/primase,20201221,-
1391659,18503322,CH09_gp31,CH09_gp31,O197_31,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1391659,18503323,CH09_gp32,CH09_gp32,O197_32,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1391659,18503324,CH09_gp33,CH09_gp33,O197_33,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1391659,18503325,CH09_gp34,CH09_gp34,O197_34,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1391659,18503326,CH09_gp35,CH09_gp35,O197_35,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1391659,18503327,CH09_gp36,CH09_gp36,O197_36,-,-,-,putative holin,protein-coding,-,-,-,putative holin,20201221,-
1391659,18503328,CH09_gp37,CH09_gp37,O197_37,-,-,-,putative holin,protein-coding,-,-,-,putative holin,20201221,-
1391659,18503329,CH09_gp38,CH09_gp38,O197_38,-,-,-,putative lysis accessory protein,protein-coding,-,-,-,putative lysis accessory protein,20201221,-
1391659,18503330,CH09_gp39,CH09_gp39,O197_39,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1391659,18503331,CH09_gp40,CH09_gp40,O197_40,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1391659,18503332,CH09_gp41,CH09_gp41,P858_41,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1391659,18503333,CH09_gp42,CH09_gp42,O197_42,-,-,-,terminase large subunit,protein-coding,-,-,-,terminase large subunit,20201221,-
1391659,18503334,CH09_gp43,CH09_gp43,O197_43,-,-,-,structural protein,protein-coding,-,-,-,structural protein,20201221,-
1391659,18503335,CH09_gp44,CH09_gp44,O197_44,-,-,-,head morphogenesis protein,protein-coding,-,-,-,head morphogenesis protein,20201221,-
1391659,18503336,CH09_gp45,CH09_gp45,O197_45,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1391659,18503337,CH09_gp46,CH09_gp46,O197_46,-,-,-,structural protein,protein-coding,-,-,-,structural protein,20201221,-
1391659,18503338,CH09_gp47,CH09_gp47,O197_47,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1391659,18503339,CH09_gp48,CH09_gp48,O197_48,-,-,-,structural protein,protein-coding,-,-,-,structural protein,20201221,-
1391659,18503340,CH09_gp49,CH09_gp49,O197_49,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1391659,18503341,CH09_gp50,CH09_gp50,O197_50,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1391659,18503342,CH09_gp51,CH09_gp51,O197_51,-,-,-,putative major tail protein,protein-coding,-,-,-,putative major tail protein,20201221,-
1391659,18503343,CH09_gp52,CH09_gp52,O197_52,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1391659,18503344,CH09_gp53,CH09_gp53,O197_53,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1391659,18503345,CH09_gp54,CH09_gp54,O197_54,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1391659,18503346,CH09_gp01,CH09_gp01,O197_01,-,-,-,putative bacteriotail tape measure protein,protein-coding,-,-,-,putative bacteriotail tape measure protein,20201221,-
1391659,18558753,NEWENTRY,-,-,-,-,-,Record to support submission of GeneRIFs for a gene not in Gene (Edwardsiella ictaluri phage eiAU-183; Edwardsiella phage phieiAU-183).,other,-,-,-,-,20200513,-
