#tax_id,GeneID,Symbol,LocusTag,Synonyms,dbXrefs,chromosome,map_location,description,type_of_gene,Symbol_from_nomenclature_authority,Full_name_from_nomenclature_authority,Nomenclature_status,Other_designations,Modification_date,Feature_type
213774,55803377,HYO75_gp02,HYO75_gp02,P475_002,-,-,-,putative terminase large subunit,protein-coding,-,-,-,putative terminase large subunit,20210417,-
213774,55803390,HYO75_gp15,HYO75_gp15,P475_0015,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
213774,55803391,HYO75_gp16,HYO75_gp16,P475_0016,-,-,-,putative tail tape measure protein,protein-coding,-,-,-,putative tail tape measure protein,20210417,-
213774,55803392,HYO75_gp17,HYO75_gp17,P475_0017,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210417,-
213774,55803393,HYO75_gp18,HYO75_gp18,P475_0018,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210417,-
213774,55803394,HYO75_gp19,HYO75_gp19,P475_0019,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
213774,55803395,HYO75_gp20,HYO75_gp20,P475_0020,-,-,-,putative receptor binding protein,protein-coding,-,-,-,putative receptor binding protein,20210417,-
213774,55803396,HYO75_gp21,HYO75_gp21,P475_0021,-,-,-,putative holin,protein-coding,-,-,-,putative holin,20200704,-
213774,55803397,HYO75_gp22,HYO75_gp22,P475_0022,-,-,-,putative endolysin,protein-coding,-,-,-,putative endolysin,20210417,-
213774,55803398,HYO75_gp23,HYO75_gp23,P475_0023,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210417,-
213774,55803399,HYO75_gp24,HYO75_gp24,P475_0024,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
213774,55803400,HYO75_gp25,HYO75_gp25,P475_0025,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
213774,55803401,HYO75_gp26,HYO75_gp26,P475_0026,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
213774,55803402,HYO75_gp27,HYO75_gp27,P475_0027,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
213774,55803403,HYO75_gp28,HYO75_gp28,P475_0028,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
213774,55803404,HYO75_gp29,HYO75_gp29,P475_0029,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
213774,55803405,HYO75_gp30,HYO75_gp30,P475_0030,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
213774,55803406,HYO75_gp31,HYO75_gp31,P475_0031,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210417,-
213774,55803407,HYO75_gp32,HYO75_gp32,P475_0032,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
213774,55803408,HYO75_gp33,HYO75_gp33,P475_0033,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210417,-
213774,55803409,HYO75_gp34,HYO75_gp34,P475_0034,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
213774,55803410,HYO75_gp35,HYO75_gp35,P475_0035,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210417,-
213774,55803411,HYO75_gp36,HYO75_gp36,P475_0036,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
213774,55803412,HYO75_gp37,HYO75_gp37,P475_0037,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
213774,55803413,HYO75_gp38,HYO75_gp38,P475_0038,-,-,-,putative HNH endonuclease,protein-coding,-,-,-,putative HNH endonuclease,20200704,-
213774,55803414,HYO75_gp39,HYO75_gp39,P475_0039,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
213774,55803415,HYO75_gp40,HYO75_gp40,P475_0040,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
213774,55803416,HYO75_gp41,HYO75_gp41,P475_0041,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210417,-
213774,55803417,HYO75_gp42,HYO75_gp42,P475_0042,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210417,-
213774,55803418,HYO75_gp43,HYO75_gp43,P475_0043,-,-,-,putative HNH endonuclease,protein-coding,-,-,-,putative HNH endonuclease,20210417,-
213774,55803419,HYO75_gp44,HYO75_gp44,P475_0044,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
213774,55803420,HYO75_gp45,HYO75_gp45,P475_0045,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
213774,55803421,HYO75_gp46,HYO75_gp46,P475_0046,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
213774,55803422,HYO75_gp47,HYO75_gp47,P475_0047,-,-,-,putative DNA polymerase,protein-coding,-,-,-,putative DNA polymerase,20210417,-
213774,55803423,HYO75_gp48,HYO75_gp48,P475_0048,-,-,-,putative HNH endonuclease,protein-coding,-,-,-,putative HNH endonuclease,20210417,-
213774,55803424,HYO75_gp49,HYO75_gp49,P475_0049,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
213774,55803425,HYO75_gp50,HYO75_gp50,P475_0050,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
213774,55803426,HYO75_gp51,HYO75_gp51,P475_0051,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
213774,55803427,HYO75_gp52,HYO75_gp52,P475_0052,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
213774,55803428,HYO75_gp53,HYO75_gp53,P475_0053,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
213774,55803429,HYO75_gp54,HYO75_gp54,P475_0054,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
213774,55803430,HYO75_gp55,HYO75_gp55,P475_0055,-,-,-,putative holliday junction endonuclease,protein-coding,-,-,-,putative holliday junction endonuclease,20210417,-
213774,55803431,HYO75_gp56,HYO75_gp56,P475_0056,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
213774,55803432,HYO75_gp57,HYO75_gp57,P475_0057,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
213774,55803433,HYO75_gp01,HYO75_gp01,P475_001,-,-,-,putative terminase small subunit,protein-coding,-,-,-,putative terminase small subunit,20210417,-
213774,55863323,NEWENTRY,-,-,-,-,-,Record to support submission of GeneRIFs for a gene not in Gene (Lactococcus lactis bacteriophage P475).,other,-,-,-,-,20200706,-
