#tax_id,GeneID,Symbol,LocusTag,Synonyms,dbXrefs,chromosome,map_location,description,type_of_gene,Symbol_from_nomenclature_authority,Full_name_from_nomenclature_authority,Nomenclature_status,Other_designations,Modification_date,Feature_type
2053078,41900990,F8206_gp02,F8206_gp02,-,-,-,-,tail fiber protein,protein-coding,-,-,-,tail fiber protein,20201221,-
2053078,41901005,F8206_gp17,F8206_gp17,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2053078,41901006,F8206_gp18,F8206_gp18,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2053078,41901007,F8206_gp19,F8206_gp19,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2053078,41901008,F8206_gp20,F8206_gp20,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2053078,41901009,F8206_gp21,F8206_gp21,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2053078,41901010,F8206_gp22,F8206_gp22,-,-,-,-,transketolase protein,protein-coding,-,-,-,transketolase protein,20201221,-
2053078,41901011,F8206_gp23,F8206_gp23,-,-,-,-,calcineurin-like phosphoesterase,protein-coding,-,-,-,calcineurin-like phosphoesterase,20201221,-
2053078,41901012,F8206_gp24,F8206_gp24,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2053078,41901013,F8206_gp25,F8206_gp25,-,-,-,-,terminase small subunit,protein-coding,-,-,-,terminase small subunit,20201221,-
2053078,41901014,F8206_gp26,F8206_gp26,-,-,-,-,terminase large subunit,protein-coding,-,-,-,terminase large subunit,20201221,-
2053078,41901015,F8206_gp27,F8206_gp27,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2053078,41901016,F8206_gp28,F8206_gp28,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2053078,41901017,F8206_gp29,F8206_gp29,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2053078,41901018,F8206_gp30,F8206_gp30,-,-,-,-,head morphogenesis protein,protein-coding,-,-,-,head morphogenesis protein,20201221,-
2053078,41901019,F8206_gp31,F8206_gp31,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2053078,41901020,F8206_gp32,F8206_gp32,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2053078,41901021,F8206_gp33,F8206_gp33,-,-,-,-,major capsid protein,protein-coding,-,-,-,major capsid protein,20201221,-
2053078,41901022,F8206_gp34,F8206_gp34,-,-,-,-,CRISPR/Cas4 system-associated protein,protein-coding,-,-,-,CRISPR/Cas4 system-associated protein,20201221,-
2053078,41901023,F8206_gp35,F8206_gp35,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2053078,41901024,F8206_gp36,F8206_gp36,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2053078,41901025,F8206_gp37,F8206_gp37,-,-,-,-,DNA cytosine methyltransferase,protein-coding,-,-,-,DNA cytosine methyltransferase,20201221,-
2053078,41901026,F8206_gp38,F8206_gp38,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2053078,41901027,F8206_gp39,F8206_gp39,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2053078,41901028,F8206_gp40,F8206_gp40,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2053078,41901029,F8206_gp41,F8206_gp41,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2053078,41901030,F8206_gp42,F8206_gp42,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2053078,41901031,F8206_gp43,F8206_gp43,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2053078,41901032,F8206_gp44,F8206_gp44,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2053078,41901033,F8206_gp45,F8206_gp45,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2053078,41901034,F8206_gp46,F8206_gp46,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2053078,41901035,F8206_gp47,F8206_gp47,-,-,-,-,tape measure protein,protein-coding,-,-,-,tape measure protein,20201221,-
2053078,41901036,F8206_gp48,F8206_gp48,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2053078,41901037,F8206_gp49,F8206_gp49,-,-,-,-,lytic transglycosylase,protein-coding,-,-,-,lytic transglycosylase,20201221,-
2053078,41901038,F8206_gp50,F8206_gp50,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2053078,41901039,F8206_gp51,F8206_gp51,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2053078,41901040,F8206_gp52,F8206_gp52,-,-,-,-,phospholipase,protein-coding,-,-,-,phospholipase,20201221,-
2053078,41901041,F8206_gp53,F8206_gp53,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2053078,41901042,F8206_gp54,F8206_gp54,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2053078,41901043,F8206_gp55,F8206_gp55,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2053078,41901044,F8206_gp01,F8206_gp01,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2053078,41903925,NEWENTRY,-,-,-,-,-,Record to support submission of GeneRIFs for a gene not in Gene (Pectobacterium atrosepticum bacteriophage Peat2; Pectobacterium atrosepticum phage Peat2; Pectobacterium phage PEAT2).,other,-,-,-,-,20200513,-
