#tax_id,GeneID,Symbol,LocusTag,Synonyms,dbXrefs,chromosome,map_location,description,type_of_gene,Symbol_from_nomenclature_authority,Full_name_from_nomenclature_authority,Nomenclature_status,Other_designations,Modification_date,Feature_type
1109711,11536313,terL,NoPhNBR1_gp03,-,-,-,-,terminase large subunit,protein-coding,-,-,-,terminase large subunit,20201220,-
1109711,11537883,NoPhNBR1_gp25,NoPhNBR1_gp25,-,-,-,-,putative minor tail protein,protein-coding,-,-,-,putative minor tail protein,20201220,-
1109711,11537884,NoPhNBR1_gp26,NoPhNBR1_gp26,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1109711,11537885,NoPhNBR1_gp27,NoPhNBR1_gp27,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1109711,11537886,NoPhNBR1_gp28,NoPhNBR1_gp28,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1109711,11537887,NoPhNBR1_gp29,NoPhNBR1_gp29,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1109711,11537888,NoPhNBR1_gp30,NoPhNBR1_gp30,-,-,-,-,putative tail protein,protein-coding,-,-,-,putative tail protein,20201220,-
1109711,11537889,NoPhNBR1_gp31,NoPhNBR1_gp31,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1109711,11537890,NoPhNBR1_gp32,NoPhNBR1_gp32,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1109711,11537891,NoPhNBR1_gp33,NoPhNBR1_gp33,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1109711,11537892,NoPhNBR1_gp34,NoPhNBR1_gp34,-,-,-,-,putative lysin,protein-coding,-,-,-,putative lysin,20201220,-
1109711,11537893,NoPhNBR1_gp35,NoPhNBR1_gp35,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1109711,11537894,NoPhNBR1_gp36,NoPhNBR1_gp36,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1109711,11537895,NoPhNBR1_gp37,NoPhNBR1_gp37,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1109711,11537896,NoPhNBR1_gp38,NoPhNBR1_gp38,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1109711,11537897,NoPhNBR1_gp39,NoPhNBR1_gp39,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1109711,11537898,NoPhNBR1_gp40,NoPhNBR1_gp40,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1109711,11537899,NoPhNBR1_gp41,NoPhNBR1_gp41,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1109711,11537900,NoPhNBR1_gp42,NoPhNBR1_gp42,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1109711,11537901,NoPhNBR1_gp43,NoPhNBR1_gp43,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1109711,11537902,NoPhNBR1_gp44,NoPhNBR1_gp44,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1109711,11537903,NoPhNBR1_gp45,NoPhNBR1_gp45,-,-,-,-,helicase,protein-coding,-,-,-,helicase,20201220,-
1109711,11537904,NoPhNBR1_gp46,NoPhNBR1_gp46,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1109711,11537905,NoPhNBR1_gp47,NoPhNBR1_gp47,-,-,-,-,primase/polymerase,protein-coding,-,-,-,primase/polymerase,20201220,-
1109711,11537906,NoPhNBR1_gp48,NoPhNBR1_gp48,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1109711,11537907,NoPhNBR1_gp49,NoPhNBR1_gp49,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1109711,11537908,NoPhNBR1_gp50,NoPhNBR1_gp50,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1109711,11537909,NoPhNBR1_gp51,NoPhNBR1_gp51,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1109711,11537910,NoPhNBR1_gp52,NoPhNBR1_gp52,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1109711,11537911,NoPhNBR1_gp53,NoPhNBR1_gp53,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1109711,11537912,NoPhNBR1_gp54,NoPhNBR1_gp54,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1109711,11537913,NoPhNBR1_gp55,NoPhNBR1_gp55,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1109711,11537914,NoPhNBR1_gp56,NoPhNBR1_gp56,-,-,-,-,DNA polymerase I,protein-coding,-,-,-,DNA polymerase I,20201220,-
1109711,11537915,NoPhNBR1_gp57,NoPhNBR1_gp57,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1109711,11537916,NoPhNBR1_gp58,NoPhNBR1_gp58,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1109711,11537917,NoPhNBR1_gp59,NoPhNBR1_gp59,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1109711,11537918,NoPhNBR1_gp60,NoPhNBR1_gp60,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1109711,11537919,NoPhNBR1_gp61,NoPhNBR1_gp61,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1109711,11537920,NoPhNBR1_gp62,NoPhNBR1_gp62,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1109711,11537921,NoPhNBR1_gp63,NoPhNBR1_gp63,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1109711,11537922,NoPhNBR1_gp64,NoPhNBR1_gp64,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1109711,11537923,NoPhNBR1_gp65,NoPhNBR1_gp65,-,-,-,-,holliday junction resolvase,protein-coding,-,-,-,holliday junction resolvase,20201220,-
1109711,11537924,NoPhNBR1_gp66,NoPhNBR1_gp66,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1109711,11537925,NoPhNBR1_gp67,NoPhNBR1_gp67,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1109711,11537926,NoPhNBR1_gp68,NoPhNBR1_gp68,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1109711,11537927,NoPhNBR1_gp02,NoPhNBR1_gp02,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1109711,11537928,NoPhNBR1_gp04,NoPhNBR1_gp04,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1109711,11537929,NoPhNBR1_gp05,NoPhNBR1_gp05,-,-,-,-,portal protein,protein-coding,-,-,-,portal protein,20201220,-
1109711,11537930,NoPhNBR1_gp06,NoPhNBR1_gp06,-,-,-,-,prohead protease,protein-coding,-,-,-,prohead protease,20201220,-
1109711,11537931,NoPhNBR1_gp07,NoPhNBR1_gp07,-,-,-,-,GIY-YIG catalytic domain protein,protein-coding,-,-,-,GIY-YIG catalytic domain protein,20201220,-
1109711,11537932,NoPhNBR1_gp08,NoPhNBR1_gp08,-,-,-,-,major capsid protein,protein-coding,-,-,-,major capsid protein,20201220,-
1109711,11537933,NoPhNBR1_gp09,NoPhNBR1_gp09,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1109711,11537934,NoPhNBR1_gp10,NoPhNBR1_gp10,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1109711,11537935,NoPhNBR1_gp11,NoPhNBR1_gp11,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
