#tax_id,GeneID,Symbol,LocusTag,Synonyms,dbXrefs,chromosome,map_location,description,type_of_gene,Symbol_from_nomenclature_authority,Full_name_from_nomenclature_authority,Nomenclature_status,Other_designations,Modification_date,Feature_type
2696426,62613001,JR322_gp001,JR322_gp001,muut_1,-,-,-,putative head stabilization/decoration protein,protein-coding,-,-,-,putative head stabilization/decoration protein,20210208,-
2696426,62613059,JR322_gp189,JR322_gp189,muut_59,-,-,-,putative glutaredoxin 1,protein-coding,-,-,-,putative glutaredoxin 1,20210313,-
2696426,62613060,JR322_gp188,JR322_gp188,muut_60,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210208,-
2696426,62613061,JR322_gp187,JR322_gp187,muut_61,-,-,-,baseplate hub,protein-coding,-,-,-,baseplate hub,20210313,-
2696426,62613062,JR322_gp186,JR322_gp186,muut_62,-,-,-,putative PhoH family protein,protein-coding,-,-,-,putative PhoH family protein,20210313,-
2696426,62613063,JR322_gp185,JR322_gp185,muut_63,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210208,-
2696426,62613064,JR322_gp184,JR322_gp184,muut_64,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210313,-
2696426,62613065,JR322_gp183,JR322_gp183,muut_65,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210208,-
2696426,62613066,JR322_gp182,JR322_gp182,muut_66,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210208,-
2696426,62613067,JR322_gp181,JR322_gp181,muut_67,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210208,-
2696426,62613068,JR322_gp180,JR322_gp180,muut_68,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210208,-
2696426,62613069,JR322_gp179,JR322_gp179,muut_69,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210313,-
2696426,62613070,JR322_gp178,JR322_gp178,muut_70,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210208,-
2696426,62613071,JR322_gp177,JR322_gp177,muut_71,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210208,-
2696426,62613072,JR322_gp176,JR322_gp176,muut_72,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210208,-
2696426,62613073,JR322_gp175,JR322_gp175,muut_73,-,-,-,putative serine/threonine protein phosphatase,protein-coding,-,-,-,putative serine/threonine protein phosphatase,20210313,-
2696426,62613074,JR322_gp174,JR322_gp174,muut_74,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210313,-
2696426,62613075,JR322_gp173,JR322_gp173,muut_75,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210208,-
2696426,62613076,JR322_gp172,JR322_gp172,muut_76,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210208,-
2696426,62613077,JR322_gp171,JR322_gp171,muut_77,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210208,-
2696426,62613078,JR322_gp170,JR322_gp170,muut_78,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210208,-
2696426,62613079,JR322_gp169,JR322_gp169,muut_79,-,-,-,cytosine methyltransferase,protein-coding,-,-,-,cytosine methyltransferase,20210313,-
2696426,62613080,JR322_gp168,JR322_gp168,muut_80,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210208,-
2696426,62613081,JR322_gp167,JR322_gp167,muut_81,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210208,-
2696426,62613082,JR322_gp166,JR322_gp166,muut_82,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210313,-
2696426,62613083,JR322_gp165,JR322_gp165,muut_83,-,-,-,NAD-dependent protein SIR2 family deacetylase,protein-coding,-,-,-,NAD-dependent protein SIR2 family deacetylase,20210313,-
2696426,62613084,JR322_gp164,JR322_gp164,muut_84,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210208,-
2696426,62613085,JR322_gp163,JR322_gp163,muut_85,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210208,-
2696426,62613086,JR322_gp162,JR322_gp162,muut_86,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210208,-
2696426,62613087,JR322_gp161,JR322_gp161,muut_87,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210208,-
2696426,62613088,JR322_gp160,JR322_gp160,muut_88,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210208,-
2696426,62613089,JR322_gp159,JR322_gp159,muut_89,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210208,-
2696426,62613090,JR322_gp158,JR322_gp158,muut_90,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210208,-
2696426,62613091,JR322_gp157,JR322_gp157,muut_91,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210208,-
2696426,62613092,JR322_gp156,JR322_gp156,muut_92,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210208,-
2696426,62613093,JR322_gp155,JR322_gp155,muut_93,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210208,-
2696426,62613094,JR322_gp154,JR322_gp154,muut_94,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210208,-
2696426,62613095,JR322_gp153,JR322_gp153,muut_95,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210208,-
2696426,62613096,JR322_gp152,JR322_gp152,muut_96,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210208,-
2696426,62613097,JR322_gp151,JR322_gp151,muut_97,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210208,-
2696426,62613098,JR322_gp150,JR322_gp150,muut_98,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210208,-
2696426,62613099,JR322_gp149,JR322_gp149,muut_99,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210208,-
2696426,62613100,JR322_gp148,JR322_gp148,muut_100,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210208,-
2696426,62613101,JR322_gp147,JR322_gp147,muut_101,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210208,-
2696426,62613102,JR322_gp146,JR322_gp146,muut_102,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210208,-
2696426,62613103,JR322_gp145,JR322_gp145,muut_103,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210208,-
2696426,62613104,JR322_gp144,JR322_gp144,muut_104,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210208,-
2696426,62613105,JR322_gp143,JR322_gp143,muut_105,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210208,-
2696426,62613106,JR322_gp142,JR322_gp142,muut_106,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210208,-
2696426,62613107,JR322_gp141,JR322_gp141,muut_107,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210208,-
2696426,62613108,JR322_gp140,JR322_gp140,muut_108,-,-,-,putative ABC transporter ATP-binding protein,protein-coding,-,-,-,putative ABC transporter ATP-binding protein,20210208,-
2696426,62613109,JR322_gp139,JR322_gp139,muut_109,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210208,-
2696426,62613110,JR322_gp138,JR322_gp138,muut_110,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210208,-
2696426,62613111,JR322_gp137,JR322_gp137,muut_111,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210208,-
2696426,62613112,JR322_gp136,JR322_gp136,muut_112,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210208,-
2696426,62613113,JR322_gp135,JR322_gp135,muut_113,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210208,-
2696426,62613114,JR322_gp134,JR322_gp134,muut_114,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210208,-
2696426,62613115,JR322_gp133,JR322_gp133,muut_115,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210208,-
2696426,62613116,JR322_gp132,JR322_gp132,muut_116,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210208,-
2696426,62613117,JR322_gp131,JR322_gp131,muut_117,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210208,-
2696426,62613118,JR322_gp130,JR322_gp130,muut_118,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210313,-
2696426,62613119,JR322_gp129,JR322_gp129,muut_119,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210208,-
2696426,62613120,JR322_gp128,JR322_gp128,muut_120,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210208,-
2696426,62613121,JR322_gp127,JR322_gp127,muut_121,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210208,-
2696426,62613122,JR322_gp126,JR322_gp126,muut_122,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210313,-
2696426,62613123,JR322_gp125,JR322_gp125,muut_123,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210208,-
2696426,62613124,JR322_gp124,JR322_gp124,muut_124,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210208,-
2696426,62613125,JR322_gp123,JR322_gp123,muut_125,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210313,-
2696426,62613126,JR322_gp122,JR322_gp122,muut_126,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210208,-
2696426,62613127,JR322_gp121,JR322_gp121,muut_127,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210208,-
2696426,62613128,JR322_gp120,JR322_gp120,muut_128,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210208,-
2696426,62613129,JR322_gp119,JR322_gp119,muut_129,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210208,-
2696426,62613130,JR322_gp118,JR322_gp118,muut_130,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210208,-
2696426,62613131,JR322_gp117,JR322_gp117,muut_131,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210208,-
2696426,62613132,JR322_gp116,JR322_gp116,muut_132,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210208,-
2696426,62613133,JR322_gp115,JR322_gp115,muut_133,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210208,-
2696426,62613134,JR322_gp114,JR322_gp114,muut_134,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210208,-
2696426,62613135,JR322_gp113,JR322_gp113,muut_135,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210208,-
2696426,62613136,JR322_gp112,JR322_gp112,muut_136,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210208,-
2696426,62613137,JR322_gp111,JR322_gp111,muut_137,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210208,-
2696426,62613138,JR322_gp110,JR322_gp110,muut_138,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210208,-
2696426,62613139,JR322_gp109,JR322_gp109,muut_139,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210208,-
2696426,62613140,JR322_gp108,JR322_gp108,muut_140,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210208,-
2696426,62613141,JR322_gp107,JR322_gp107,muut_141,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210208,-
2696426,62613142,JR322_gp106,JR322_gp106,muut_142,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210208,-
2696426,62613143,JR322_gp105,JR322_gp105,muut_143,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210208,-
2696426,62613144,JR322_gp104,JR322_gp104,muut_144,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210313,-
2696426,62613145,JR322_gp103,JR322_gp103,muut_145,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210208,-
2696426,62613146,JR322_gp102,JR322_gp102,muut_146,-,-,-,putative ATPase,protein-coding,-,-,-,putative ATPase,20210313,-
2696426,62613147,JR322_gp101,JR322_gp101,muut_147,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210208,-
2696426,62613148,JR322_gp100,JR322_gp100,muut_148,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210208,-
2696426,62613149,JR322_gp099,JR322_gp099,muut_149,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210208,-
2696426,62613150,JR322_gp098,JR322_gp098,muut_150,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210208,-
2696426,62613151,JR322_gp097,JR322_gp097,muut_151,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210208,-
2696426,62613152,JR322_gp096,JR322_gp096,muut_152,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210208,-
2696426,62613153,JR322_gp095,JR322_gp095,muut_153,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210208,-
2696426,62613154,JR322_gp094,JR322_gp094,muut_154,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210313,-
2696426,62613155,JR322_gp093,JR322_gp093,muut_155,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210208,-
2696426,62613156,JR322_gp092,JR322_gp092,muut_156,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210208,-
2696426,62613157,JR322_gp091,JR322_gp091,muut_157,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210208,-
2696426,62613158,JR322_gp090,JR322_gp090,muut_158,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210208,-
2696426,62613159,JR322_gp089,JR322_gp089,muut_159,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210208,-
2696426,62613160,JR322_gp088,JR322_gp088,muut_160,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210208,-
2696426,62613161,JR322_gp087,JR322_gp087,muut_161,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210208,-
2696426,62613162,JR322_gp086,JR322_gp086,muut_162,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210208,-
2696426,62613163,JR322_gp085,JR322_gp085,muut_163,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210208,-
2696426,62613164,JR322_gp084,JR322_gp084,muut_164,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210208,-
2696426,62613165,JR322_gp083,JR322_gp083,muut_165,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210208,-
2696426,62613166,JR322_gp082,JR322_gp082,muut_166,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210208,-
2696426,62613167,JR322_gp081,JR322_gp081,muut_167,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210208,-
2696426,62613168,JR322_gp080,JR322_gp080,muut_168,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210208,-
2696426,62613169,JR322_gp079,JR322_gp079,muut_169,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210208,-
2696426,62613170,JR322_gp078,JR322_gp078,muut_170,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210313,-
2696426,62613171,JR322_gp077,JR322_gp077,muut_171,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210208,-
2696426,62613172,JR322_gp076,JR322_gp076,muut_172,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210208,-
2696426,62613173,JR322_gp075,JR322_gp075,muut_173,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210313,-
2696426,62613174,JR322_gp074,JR322_gp074,muut_174,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210208,-
2696426,62613175,JR322_gp073,JR322_gp073,muut_175,-,-,-,anaerobic ribonucleoside-triphosphate reductase,protein-coding,-,-,-,anaerobic ribonucleoside-triphosphate reductase,20210313,-
2696426,62613176,JR322_gp072,JR322_gp072,muut_176,-,-,-,anaerobic NTP reductase small subunit,protein-coding,-,-,-,anaerobic NTP reductase small subunit,20210313,-
2696426,62613177,JR322_gp071,JR322_gp071,muut_177,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210313,-
2696426,62613178,JR322_gp070,JR322_gp070,muut_178,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210208,-
2696426,62613179,JR322_gp069,JR322_gp069,muut_179,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210208,-
2696426,62613180,JR322_gp068,JR322_gp068,muut_180,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210313,-
2696426,62613181,JR322_gp067,JR322_gp067,muut_181,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210327,-
2696426,62613182,JR322_gp066,JR322_gp066,muut_182,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210313,-
2696426,62613183,JR322_gp065,JR322_gp065,muut_183,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210208,-
2696426,62613184,JR322_gp064,JR322_gp064,muut_184,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210208,-
2696426,62613185,JR322_gp063,JR322_gp063,muut_185,-,-,-,integral membrane protein,protein-coding,-,-,-,integral membrane protein,20210313,-
2696426,62613186,JR322_gp062,JR322_gp062,muut_186,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210208,-
2696426,62613187,JR322_gp061,JR322_gp061,muut_187,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210208,-
2696426,62613188,JR322_gp060,JR322_gp060,muut_188,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210208,-
2696426,62613189,JR322_gp059,JR322_gp059,muut_189,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210403,-
2696426,62613190,JR322_gp058,JR322_gp058,muut_190,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210208,-
2696426,62613191,JR322_gp057,JR322_gp057,muut_191,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210208,-
2696426,62613192,JR322_gp056,JR322_gp056,muut_192,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210208,-
2696426,62613193,JR322_gp055,JR322_gp055,muut_193,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210208,-
