#tax_id,GeneID,Symbol,LocusTag,Synonyms,dbXrefs,chromosome,map_location,description,type_of_gene,Symbol_from_nomenclature_authority,Full_name_from_nomenclature_authority,Nomenclature_status,Other_designations,Modification_date,Feature_type
36363,1497288,TK,LCDV1gp080,major capsid protein,-,-,-,major capsid protein,protein-coding,-,-,-,major capsid protein,20201220,-
36363,1497332,LCDV1gp044,LCDV1gp044,orf80,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
36363,1497333,LCDV1gp045,LCDV1gp045,orf59,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
36363,1497334,LCDV1gp046,LCDV1gp046,orf106,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
36363,1497335,LCDV1gp047,LCDV1gp047,orf15,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
36363,1497336,LCDV1gp048,LCDV1gp048,orf75,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
36363,1497337,LCDV1gp049,LCDV1gp049,orf83,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
36363,1497338,LCDV1gp050,LCDV1gp050,orf25,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
36363,1497339,LCDV1gp051,LCDV1gp051,orf7,-,-,-,Uncharacterized conserved domain linked to protein kinase domain,protein-coding,-,-,-,Uncharacterized conserved domain linked to protein kinase domain,20201220,-
36363,1497340,LCDV1gp052,LCDV1gp052,orf129,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
36363,1497341,LCDV1gp053,LCDV1gp053,orf109,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
36363,1497342,LCDV1gp054,LCDV1gp054,orf28,-,-,-,Tristetraprolin-like zinc finger protein C3H,protein-coding,-,-,-,Tristetraprolin-like zinc finger protein C3H,20201220,-
36363,1497343,LCDV1gp055,LCDV1gp055,orf79,-,-,-,Thiol oxidoreductase,protein-coding,-,-,-,Thiol oxidoreductase,20201220,-
36363,1497344,LCDV1gp056,LCDV1gp056,orf36,-,-,-,Ariadne-2 homolog,protein-coding,-,-,-,Ariadne-2 homolog,20201220,-
36363,1497345,LCDV1gp057,LCDV1gp057,orf39,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
36363,1497346,LCDV1gp058,LCDV1gp058,orf30,-,-,-,hypothetical LCDV1 paralog family 2,protein-coding,-,-,-,hypothetical LCDV1 paralog family 2,20201220,-
36363,1497347,LCDV1gp059,LCDV1gp059,orf58,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
36363,1497348,LCDV1gp060,LCDV1gp060,orf32,-,-,-,hypothetical LCDV1 paralog family 2,protein-coding,-,-,-,hypothetical LCDV1 paralog family 2,20201220,-
36363,1497349,LCDV1gp061,LCDV1gp061,orf95,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
36363,1497350,LCDV1gp062,LCDV1gp062,orf139,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
36363,1497351,LCDV1gp063,LCDV1gp063,orf86,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
36363,1497352,LCDV1gp064,LCDV1gp064,orf69,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
36363,1497353,LCDV1gp065,LCDV1gp065,orf130,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
36363,1497354,LCDV1gp066,LCDV1gp066,orf113,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
36363,1497355,LCDV1gp067,LCDV1gp067,orf49,-,-,-,early iridovirus protein,protein-coding,-,-,-,early iridovirus protein,20201220,-
36363,1497356,LCDV1gp068,LCDV1gp068,orf111,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
36363,1497357,LCDV1gp069,LCDV1gp069,orf6,-,-,-,D5 family NTPase involved in DNA replication,protein-coding,-,-,-,D5 family NTPase involved in DNA replication,20201220,-
36363,1497358,LCDV1gp070,LCDV1gp070,orf4,-,-,-,SWI/SNF2 family helicase,protein-coding,-,-,-,SWI/SNF2 family helicase,20201220,-
36363,1497359,LCDV1gp071,LCDV1gp071,orf90,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
36363,1497360,LCDV1gp072,LCDV1gp072,orf5,-,-,-,DNA polymerase family B,protein-coding,-,-,-,DNA polymerase family B,20201220,-
36363,1497361,LCDV1gp073,LCDV1gp073,orf60,-,-,-,Deoxynucleoside kinase,protein-coding,-,-,-,Deoxynucleoside kinase,20201220,-
36363,1497362,LCDV1gp074,LCDV1gp074,orf44,-,-,-,Ribonuclease III,protein-coding,-,-,-,Ribonuclease III,20201220,-
36363,1497363,LCDV1gp075,LCDV1gp075,orf52,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
36363,1497364,LCDV1gp076,LCDV1gp076,orf87,-,-,-,uncharacterized LCDV1 paralog family 1,protein-coding,-,-,-,uncharacterized LCDV1 paralog family 1,20201220,-
36363,1497365,LCDV1gp077,LCDV1gp077,orf17,-,-,-,Phosphotransferase,protein-coding,-,-,-,Phosphotransferase,20201220,-
36363,1497366,LCDV1gp078,LCDV1gp078,orf96,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
36363,1497367,LCDV1gp079,LCDV1gp079,orf63,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
36363,1497368,LCDV1gp081,LCDV1gp081,orf65,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
36363,1497369,LCDV1gp082,LCDV1gp082,orf66,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
36363,1497370,LCDV1gp083,LCDV1gp083,orf53,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
36363,1497371,LCDV1gp084,LCDV1gp084,orf72,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
36363,1497372,LCDV1gp085,LCDV1gp085,orf31,-,-,-,Hydroxysteroid dehydrogenase,protein-coding,-,-,-,Hydroxysteroid dehydrogenase|steroid D5-D4 isomerase,20201220,-
36363,1497373,LCDV1gp086,LCDV1gp086,orf38,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
36363,1497374,LCDV1gp087,LCDV1gp087,orf41,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
36363,1497375,LCDV1gp088,LCDV1gp088,orf16,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
36363,1497376,LCDV1gp089,LCDV1gp089,orf29,-,-,-,Membrane (myristylated) protein,protein-coding,-,-,-,Membrane (myristylated) protein,20201220,-
36363,1497377,LCDV1gp090,LCDV1gp090,orf22,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
36363,1497378,LCDV1gp091,LCDV1gp091,orf43,-,-,-,Putative replication factor and/or DNA binding/packing protein,protein-coding,-,-,-,Putative replication factor and/or DNA binding/packing protein,20201220,-
36363,1497379,LCDV1gp092,LCDV1gp092,orf2,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
36363,1497380,LCDV1gp093,LCDV1gp093,orf40,-,-,-,TNF/TNFR- and CUB-domains protein,protein-coding,-,-,-,TNF/TNFR- and CUB-domains protein,20201220,-
36363,1497381,LCDV1gp094,LCDV1gp094,orf94,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
36363,1497382,LCDV1gp095,LCDV1gp095,orf121,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
36363,1497383,LCDV1gp096,LCDV1gp096,orf21,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
36363,1497384,LCDV1gp097,LCDV1gp097,orf105,-,-,-,Transcription factor SII homolog,protein-coding,-,-,-,Transcription factor SII homolog,20201220,-
36363,1497385,LCDV1gp098,LCDV1gp098,orf124,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
36363,1497386,LCDV1gp099,LCDV1gp099,orf12,-,-,-,Ribonucleotide reductase large subunit,protein-coding,-,-,-,Ribonucleotide reductase large subunit,20201220,-
36363,1497387,LCDV1gp100,LCDV1gp100,orf50,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
36363,1497388,LCDV1gp101,LCDV1gp101,orf18,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
36363,1497389,LCDV1gp102,LCDV1gp102,orf93,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
36363,1497390,LCDV1gp103,LCDV1gp103,orf76,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
36363,1497391,LCDV1gp104,LCDV1gp104,orf62,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
36363,1497392,LCDV1gp105,LCDV1gp105,orf55,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
36363,1497393,LCDV1gp106,LCDV1gp106,orf10,-,-,-,Putative filamentous protein,protein-coding,-,-,-,Putative filamentous protein,20201220,-
36363,1497394,LCDV1gp107,LCDV1gp107,orf34,-,-,-,Putative XPG/RAD2-type nuclease,protein-coding,-,-,-,Putative XPG/RAD2-type nuclease,20201220,-
36363,1497395,LCDV1gp108,LCDV1gp108,orf48,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
36363,1497396,LCDV1gp109,LCDV1gp109,orf84,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
36363,1497397,LCDV1gp110,LCDV1gp110,orf8,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
36363,2829312,NEWENTRY,-,-,-,-,-,"Record to support submission of GeneRIFs for a gene not in Gene (Fish lymphocystis disease virus; Fish lymphocytic disease virus; Flounder lymphocystic disease virus; Flounder virus; Lymphocystis disease virus; Lymphocystis disease virus of fish; fish lymphocystis disease virus FLCDV; lymphocystis disease virus type 1; lymphocystis disease virus, LCDV).",other,-,-,-,-,20200513,-
