#tax_id,GeneID,Symbol,LocusTag,Synonyms,dbXrefs,chromosome,map_location,description,type_of_gene,Symbol_from_nomenclature_authority,Full_name_from_nomenclature_authority,Nomenclature_status,Other_designations,Modification_date,Feature_type
578459,28972427,RHOBADRAFT_10053,RHOBADRAFT_10053,-,-,Unknown,-,60S ribosomal protein L12,protein-coding,-,-,-,60S ribosomal protein L12,20200205,-
578459,28972444,RHOBADRAFT_10586,RHOBADRAFT_10586,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200205,-
578459,28972445,RHOBADRAFT_10590,RHOBADRAFT_10590,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200205,-
578459,28972446,RHOBADRAFT_10654,RHOBADRAFT_10654,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200205,-
578459,28972447,RHOBADRAFT_10657,RHOBADRAFT_10657,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200205,-
578459,28972448,RHOBADRAFT_10697,RHOBADRAFT_10697,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200205,-
578459,28972449,RHOBADRAFT_10706,RHOBADRAFT_10706,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200205,-
578459,28972450,RHOBADRAFT_10707,RHOBADRAFT_10707,-,-,Unknown,-,carbohydrate esterase family 4 protein,protein-coding,-,-,-,carbohydrate esterase family 4 protein,20200205,-
578459,28972451,RHOBADRAFT_10718,RHOBADRAFT_10718,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200205,-
578459,28972452,RHOBADRAFT_10719,RHOBADRAFT_10719,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200205,-
578459,28972453,RHOBADRAFT_10743,RHOBADRAFT_10743,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200205,-
578459,28972454,RHOBADRAFT_10762,RHOBADRAFT_10762,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200205,-
578459,28972455,RHOBADRAFT_10795,RHOBADRAFT_10795,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200205,-
578459,28972456,RHOBADRAFT_10799,RHOBADRAFT_10799,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200205,-
578459,28972457,RHOBADRAFT_10812,RHOBADRAFT_10812,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200205,-
578459,28972458,RHOBADRAFT_10824,RHOBADRAFT_10824,-,-,Unknown,-,glycosyltransferase family 32 protein,protein-coding,-,-,-,glycosyltransferase family 32 protein,20200205,-
578459,28972459,RHOBADRAFT_10829,RHOBADRAFT_10829,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200205,-
578459,28972460,RHOBADRAFT_10834,RHOBADRAFT_10834,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200205,-
578459,28972461,RHOBADRAFT_10877,RHOBADRAFT_10877,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200205,-
578459,28972462,RHOBADRAFT_10891,RHOBADRAFT_10891,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200205,-
578459,28972463,RHOBADRAFT_10892,RHOBADRAFT_10892,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200205,-
578459,28972464,RHOBADRAFT_10897,RHOBADRAFT_10897,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200205,-
578459,28972465,RHOBADRAFT_10903,RHOBADRAFT_10903,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200205,-
578459,28972466,RHOBADRAFT_10908,RHOBADRAFT_10908,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200205,-
578459,28972467,RHOBADRAFT_10924,RHOBADRAFT_10924,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200205,-
578459,28972468,RHOBADRAFT_10933,RHOBADRAFT_10933,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200205,-
578459,28972469,RHOBADRAFT_10950,RHOBADRAFT_10950,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200205,-
578459,28972470,RHOBADRAFT_10952,RHOBADRAFT_10952,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200205,-
578459,28972471,RHOBADRAFT_10965,RHOBADRAFT_10965,-,-,Unknown,-,glycosyltransferase family 2 protein,protein-coding,-,-,-,glycosyltransferase family 2 protein,20200205,-
578459,28972472,RHOBADRAFT_11010,RHOBADRAFT_11010,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200205,-
578459,28972473,RHOBADRAFT_11011,RHOBADRAFT_11011,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200205,-
578459,28972474,RHOBADRAFT_11059,RHOBADRAFT_11059,-,-,Unknown,-,glycoside hydrolase family 18 protein,protein-coding,-,-,-,glycoside hydrolase family 18 protein,20200205,-
578459,28972475,RHOBADRAFT_11107,RHOBADRAFT_11107,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200205,-
578459,28972476,RHOBADRAFT_1111,RHOBADRAFT_1111,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200919,-
578459,28972477,RHOBADRAFT_11116,RHOBADRAFT_11116,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200205,-
578459,28972478,RHOBADRAFT_11118,RHOBADRAFT_11118,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200205,-
578459,28972479,RHOBADRAFT_11156,RHOBADRAFT_11156,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200205,-
578459,28972480,RHOBADRAFT_11206,RHOBADRAFT_11206,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200205,-
578459,28972481,RHOBADRAFT_11210,RHOBADRAFT_11210,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200205,-
578459,28972482,RHOBADRAFT_11220,RHOBADRAFT_11220,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200205,-
578459,28972483,RHOBADRAFT_11228,RHOBADRAFT_11228,-,-,Unknown,-,ADP/ATP carrier,protein-coding,-,-,-,ADP/ATP carrier,20200205,-
578459,28972484,RHOBADRAFT_11235,RHOBADRAFT_11235,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200205,-
578459,28972485,RHOBADRAFT_11250,RHOBADRAFT_11250,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200205,-
578459,28972486,RHOBADRAFT_11258,RHOBADRAFT_11258,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200205,-
578459,28972487,RHOBADRAFT_11265,RHOBADRAFT_11265,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200205,-
578459,28972488,RHOBADRAFT_11269,RHOBADRAFT_11269,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200205,-
578459,28972489,RHOBADRAFT_11282,RHOBADRAFT_11282,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200205,-
578459,28972490,RHOBADRAFT_11284,RHOBADRAFT_11284,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200205,-
578459,28972491,RHOBADRAFT_11293,RHOBADRAFT_11293,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200205,-
578459,28972492,RHOBADRAFT_11317,RHOBADRAFT_11317,-,-,Unknown,-,glycoside hydrolase family 20 protein,protein-coding,-,-,-,glycoside hydrolase family 20 protein,20200205,-
578459,28972493,RHOBADRAFT_11340,RHOBADRAFT_11340,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200205,-
578459,28972494,RHOBADRAFT_11382,RHOBADRAFT_11382,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200205,-
578459,28972495,RHOBADRAFT_11395,RHOBADRAFT_11395,-,-,Unknown,-,glycoside hydrolase family 18 protein,protein-coding,-,-,-,glycoside hydrolase family 18 protein,20200205,-
578459,28972496,RHOBADRAFT_11408,RHOBADRAFT_11408,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200205,-
578459,28972497,RHOBADRAFT_11445,RHOBADRAFT_11445,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200205,-
578459,28972498,RHOBADRAFT_11494,RHOBADRAFT_11494,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200205,-
578459,28972499,RHOBADRAFT_11533,RHOBADRAFT_11533,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200205,-
578459,28972500,RHOBADRAFT_11568,RHOBADRAFT_11568,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200205,-
578459,28972501,RHOBADRAFT_116,RHOBADRAFT_116,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200205,-
578459,28972502,RHOBADRAFT_1161,RHOBADRAFT_1161,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200205,-
578459,28972503,RHOBADRAFT_11628,RHOBADRAFT_11628,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200205,-
578459,28972504,RHOBADRAFT_11654,RHOBADRAFT_11654,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200205,-
578459,28972505,RHOBADRAFT_11694,RHOBADRAFT_11694,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200205,-
578459,28972506,RHOBADRAFT_11717,RHOBADRAFT_11717,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200205,-
578459,28972507,RHOBADRAFT_11723,RHOBADRAFT_11723,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200205,-
578459,28972508,RHOBADRAFT_11746,RHOBADRAFT_11746,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200205,-
578459,28972509,RHOBADRAFT_11749,RHOBADRAFT_11749,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200205,-
578459,28972510,RHOBADRAFT_11754,RHOBADRAFT_11754,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200205,-
578459,28972511,RHOBADRAFT_11758,RHOBADRAFT_11758,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200205,-
578459,28972512,RHOBADRAFT_11779,RHOBADRAFT_11779,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200205,-
578459,28972513,RHOBADRAFT_11798,RHOBADRAFT_11798,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200205,-
578459,28972514,RHOBADRAFT_11811,RHOBADRAFT_11811,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200205,-
578459,28972515,RHOBADRAFT_11859,RHOBADRAFT_11859,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200205,-
578459,28972516,RHOBADRAFT_11861,RHOBADRAFT_11861,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200205,-
578459,28972517,RHOBADRAFT_11905,RHOBADRAFT_11905,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200205,-
578459,28972518,RHOBADRAFT_11922,RHOBADRAFT_11922,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200205,-
578459,28972519,RHOBADRAFT_11939,RHOBADRAFT_11939,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200205,-
578459,28972520,RHOBADRAFT_11940,RHOBADRAFT_11940,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200205,-
578459,28972521,RHOBADRAFT_11944,RHOBADRAFT_11944,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200205,-
578459,28972522,RHOBADRAFT_11949,RHOBADRAFT_11949,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200205,-
578459,28972523,RHOBADRAFT_1199,RHOBADRAFT_1199,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200919,-
578459,28972524,RHOBADRAFT_12042,RHOBADRAFT_12042,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200205,-
578459,28972525,RHOBADRAFT_12067,RHOBADRAFT_12067,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200205,-
578459,28972526,RHOBADRAFT_12084,RHOBADRAFT_12084,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200205,-
578459,28972527,RHOBADRAFT_12115,RHOBADRAFT_12115,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200205,-
578459,28972528,RHOBADRAFT_12116,RHOBADRAFT_12116,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200205,-
578459,28972529,RHOBADRAFT_12117,RHOBADRAFT_12117,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200205,-
578459,28972530,RHOBADRAFT_12153,RHOBADRAFT_12153,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200205,-
578459,28972531,RHOBADRAFT_12154,RHOBADRAFT_12154,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200205,-
578459,28972532,RHOBADRAFT_12157,RHOBADRAFT_12157,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200205,-
578459,28972533,RHOBADRAFT_12165,RHOBADRAFT_12165,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200205,-
578459,28972534,RHOBADRAFT_12226,RHOBADRAFT_12226,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200205,-
578459,28972535,RHOBADRAFT_12232,RHOBADRAFT_12232,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200205,-
578459,28972536,RHOBADRAFT_12290,RHOBADRAFT_12290,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200205,-
578459,28972537,RHOBADRAFT_12319,RHOBADRAFT_12319,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200205,-
578459,28972538,RHOBADRAFT_12321,RHOBADRAFT_12321,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200205,-
578459,28972539,RHOBADRAFT_12331,RHOBADRAFT_12331,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200205,-
578459,28972540,RHOBADRAFT_12386,RHOBADRAFT_12386,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200205,-
578459,28972541,RHOBADRAFT_12389,RHOBADRAFT_12389,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200205,-
578459,28972542,RHOBADRAFT_12394,RHOBADRAFT_12394,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200205,-
578459,28972543,RHOBADRAFT_12459,RHOBADRAFT_12459,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200205,-
578459,28972544,RHOBADRAFT_12489,RHOBADRAFT_12489,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200205,-
578459,28972545,RHOBADRAFT_12541,RHOBADRAFT_12541,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200205,-
578459,28972546,RHOBADRAFT_12594,RHOBADRAFT_12594,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200205,-
578459,28972547,RHOBADRAFT_12624,RHOBADRAFT_12624,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200205,-
578459,28972548,RHOBADRAFT_12647,RHOBADRAFT_12647,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200205,-
578459,28972549,RHOBADRAFT_12722,RHOBADRAFT_12722,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200205,-
578459,28972550,RHOBADRAFT_12732,RHOBADRAFT_12732,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200205,-
578459,28972551,RHOBADRAFT_12743,RHOBADRAFT_12743,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200205,-
578459,28972552,RHOBADRAFT_12746,RHOBADRAFT_12746,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200205,-
578459,28972553,RHOBADRAFT_12782,RHOBADRAFT_12782,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200205,-
578459,28972554,RHOBADRAFT_12789,RHOBADRAFT_12789,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200205,-
578459,28972555,RHOBADRAFT_12797,RHOBADRAFT_12797,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200205,-
578459,28972556,RHOBADRAFT_12822,RHOBADRAFT_12822,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200205,-
578459,28972557,RHOBADRAFT_12828,RHOBADRAFT_12828,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200205,-
578459,28972558,RHOBADRAFT_12842,RHOBADRAFT_12842,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200205,-
578459,28972559,RHOBADRAFT_12861,RHOBADRAFT_12861,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200205,-
578459,28972560,RHOBADRAFT_12865,RHOBADRAFT_12865,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200205,-
578459,28972561,RHOBADRAFT_12887,RHOBADRAFT_12887,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200205,-
578459,28972562,RHOBADRAFT_12893,RHOBADRAFT_12893,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200205,-
578459,28972563,RHOBADRAFT_12927,RHOBADRAFT_12927,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200205,-
578459,28972564,RHOBADRAFT_12942,RHOBADRAFT_12942,-,-,Unknown,-,L-mandelate dehydrogenase,protein-coding,-,-,-,L-mandelate dehydrogenase,20200205,-
578459,28972565,RHOBADRAFT_12976,RHOBADRAFT_12976,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200205,-
578459,28972566,RHOBADRAFT_13002,RHOBADRAFT_13002,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200205,-
578459,28972567,RHOBADRAFT_13003,RHOBADRAFT_13003,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200205,-
578459,28972568,RHOBADRAFT_13004,RHOBADRAFT_13004,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200205,-
578459,28972569,RHOBADRAFT_13015,RHOBADRAFT_13015,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200205,-
578459,28972570,RHOBADRAFT_13038,RHOBADRAFT_13038,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200205,-
578459,28972571,RHOBADRAFT_13079,RHOBADRAFT_13079,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200205,-
578459,28972572,RHOBADRAFT_13105,RHOBADRAFT_13105,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200205,-
578459,28972573,RHOBADRAFT_13114,RHOBADRAFT_13114,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200205,-
578459,28972574,RHOBADRAFT_13160,RHOBADRAFT_13160,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200205,-
578459,28972575,RHOBADRAFT_13171,RHOBADRAFT_13171,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200205,-
578459,28972576,RHOBADRAFT_13174,RHOBADRAFT_13174,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200205,-
578459,28972577,RHOBADRAFT_13190,RHOBADRAFT_13190,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200205,-
578459,28972578,RHOBADRAFT_13194,RHOBADRAFT_13194,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200205,-
578459,28972579,RHOBADRAFT_13202,RHOBADRAFT_13202,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200205,-
578459,28972580,RHOBADRAFT_13203,RHOBADRAFT_13203,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200205,-
578459,28972581,RHOBADRAFT_13231,RHOBADRAFT_13231,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200205,-
578459,28972582,RHOBADRAFT_13233,RHOBADRAFT_13233,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200205,-
578459,28972583,RHOBADRAFT_13269,RHOBADRAFT_13269,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200205,-
578459,28972584,RHOBADRAFT_13283,RHOBADRAFT_13283,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200205,-
578459,28972585,RHOBADRAFT_13284,RHOBADRAFT_13284,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200205,-
578459,28972586,RHOBADRAFT_13302,RHOBADRAFT_13302,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200205,-
578459,28972587,RHOBADRAFT_13310,RHOBADRAFT_13310,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200205,-
578459,28972588,RHOBADRAFT_13370,RHOBADRAFT_13370,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200205,-
578459,28972589,RHOBADRAFT_13398,RHOBADRAFT_13398,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200205,-
578459,28972590,RHOBADRAFT_13411,RHOBADRAFT_13411,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200205,-
578459,28972591,RHOBADRAFT_13440,RHOBADRAFT_13440,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200205,-
578459,28972592,RHOBADRAFT_13465,RHOBADRAFT_13465,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200205,-
578459,28972593,RHOBADRAFT_13508,RHOBADRAFT_13508,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200205,-
578459,28972594,RHOBADRAFT_13536,RHOBADRAFT_13536,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200205,-
578459,28972595,RHOBADRAFT_13548,RHOBADRAFT_13548,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200205,-
578459,28972596,RHOBADRAFT_13598,RHOBADRAFT_13598,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200205,-
578459,28972597,RHOBADRAFT_13625,RHOBADRAFT_13625,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200205,-
578459,28972598,RHOBADRAFT_13647,RHOBADRAFT_13647,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200205,-
578459,28972599,RHOBADRAFT_13659,RHOBADRAFT_13659,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200205,-
