#tax_id,GeneID,Symbol,LocusTag,Synonyms,dbXrefs,chromosome,map_location,description,type_of_gene,Symbol_from_nomenclature_authority,Full_name_from_nomenclature_authority,Nomenclature_status,Other_designations,Modification_date,Feature_type
2743996,60335404,2,I5I03_gp002,SEA_SOUL22_2,-,-,-,terminase small subunit,protein-coding,-,-,-,terminase small subunit,20201129,-
2743996,60335496,99,I5I03_gp099,SEA_SOUL22_99,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2743996,60335497,100,I5I03_gp100,SEA_SOUL22_100,-,-,-,glycosyltransferase,protein-coding,-,-,-,glycosyltransferase,20210522,-
2743996,60335498,101,I5I03_gp101,SEA_SOUL22_101,-,-,-,glycosyltransferase,protein-coding,-,-,-,glycosyltransferase,20201129,-
2743996,60335499,102,I5I03_gp102,SEA_SOUL22_102,-,-,-,glycosyltransferase,protein-coding,-,-,-,glycosyltransferase,20210522,-
2743996,60335500,36,I5I03_gp036,SEA_SOUL22_36,-,-,-,lysin B,protein-coding,-,-,-,lysin B,20201129,-
2743996,60335501,42,I5I03_gp042,SEA_SOUL22_42,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2743996,60335502,49,I5I03_gp049,SEA_SOUL22_49,-,-,-,immunity repressor,protein-coding,-,-,-,immunity repressor,20201129,-
2743996,60335503,74,I5I03_gp074,SEA_SOUL22_74,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2743996,60335504,76,I5I03_gp076,SEA_SOUL22_76,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2743996,60335505,1,I5I03_gp001,SEA_SOUL22_1,-,-,-,HNH endonuclease,protein-coding,-,-,-,HNH endonuclease,20210417,-
2743996,60338901,NEWENTRY,-,-,-,-,-,Record to support submission of GeneRIFs for a gene not in Gene.,other,-,-,-,-,20201130,-
