#tax_id,GeneID,Symbol,LocusTag,Synonyms,dbXrefs,chromosome,map_location,description,type_of_gene,Symbol_from_nomenclature_authority,Full_name_from_nomenclature_authority,Nomenclature_status,Other_designations,Modification_date,Feature_type
1481224,19684878,HF68_gp02,HF68_gp02,-,-,-,-,helix-turn-helix domain-containing protein,protein-coding,-,-,-,helix-turn-helix domain-containing protein,20210406,-
1481224,19684891,HF68_gp15,HF68_gp15,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1481224,19684892,HF68_gp16,HF68_gp16,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1481224,19684893,HF68_gp17,HF68_gp17,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1481224,19684894,HF68_gp18,HF68_gp18,-,-,-,-,regulatory protein GemA,protein-coding,-,-,-,regulatory protein GemA,20201221,-
1481224,19684895,HF68_gp19,HF68_gp19,-,-,-,-,membrane protein,protein-coding,-,-,-,membrane protein,20201221,-
1481224,19684896,HF68_gp20,HF68_gp20,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1481224,19684897,HF68_gp21,HF68_gp21,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1481224,19684898,HF68_gp22,HF68_gp22,-,-,-,-,structural protein,protein-coding,-,-,-,structural protein,20201221,-
1481224,19684899,HF68_gp23,HF68_gp23,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1481224,19684900,HF68_gp24,HF68_gp24,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1481224,19684901,HF68_gp25,HF68_gp25,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1481224,19684902,HF68_gp26,HF68_gp26,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1481224,19684903,HF68_gp27,HF68_gp27,-,-,-,-,DUF1804 family protein,protein-coding,-,-,-,DUF1804 family protein,20210424,-
1481224,19684904,HF68_gp28,HF68_gp28,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1481224,19684905,HF68_gp29,HF68_gp29,-,-,-,-,DUF935 domain-containing protein,protein-coding,-,-,-,DUF935 domain-containing protein,20201221,-
1481224,19684906,HF68_gp30,HF68_gp30,-,-,-,-,minor capsid protein,protein-coding,-,-,-,minor capsid protein,20201221,-
1481224,19684907,HF68_gp31,HF68_gp31,-,-,-,-,virion morphogenesis protein,protein-coding,-,-,-,virion morphogenesis protein,20201221,-
1481224,19684908,HF68_gp32,HF68_gp32,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1481224,19684909,HF68_gp33,HF68_gp33,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210123,-
1481224,19684910,HF68_gp34,HF68_gp34,-,-,-,-,winged helix-turn-helix domain-containing protein,protein-coding,-,-,-,winged helix-turn-helix domain-containing protein,20201221,-
1481224,19684911,HF68_gp35,HF68_gp35,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1481224,19684912,HF68_gp36,HF68_gp36,-,-,-,-,protease,protein-coding,-,-,-,protease,20201221,-
1481224,19684913,HF68_gp37,HF68_gp37,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1481224,19684914,HF68_gp38,HF68_gp38,-,-,-,-,Mu-like promajor head subunit gpT family protein,protein-coding,-,-,-,Mu-like promajor head subunit gpT family protein,20201221,-
1481224,19684915,HF68_gp39,HF68_gp39,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1481224,19684916,HF68_gp40,HF68_gp40,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1481224,19684917,HF68_gp41,HF68_gp41,-,-,-,-,DUF1320 domain-containing protein,protein-coding,-,-,-,DUF1320 domain-containing protein,20210417,-
1481224,19684918,HF68_gp42,HF68_gp42,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1481224,19684919,HF68_gp43,HF68_gp43,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1481224,19684920,HF68_gp44,HF68_gp44,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1481224,19684921,HF68_gp45,HF68_gp45,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1481224,19684922,HF68_gp46,HF68_gp46,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1481224,19684923,HF68_gp47,HF68_gp47,-,-,-,-,tail tape measure protein,protein-coding,-,-,-,tail tape measure protein,20201221,-
1481224,19684924,HF68_gp48,HF68_gp48,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1481224,19684925,HF68_gp49,HF68_gp49,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1481224,19684926,HF68_gp50,HF68_gp50,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1481224,19684927,HF68_gp51,HF68_gp51,-,-,-,-,BR0599 family protein,protein-coding,-,-,-,BR0599 family protein,20201221,-
1481224,19684928,HF68_gp52,HF68_gp52,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1481224,19684929,HF68_gp53,HF68_gp53,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1481224,19684930,HF68_gp54,HF68_gp54,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1481224,19684931,HF68_gp55,HF68_gp55,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1481224,19684932,HF68_gp56,HF68_gp56,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1481224,19684933,HF68_gp57,HF68_gp57,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1481224,19684934,HF68_gp58,HF68_gp58,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1481224,19684935,HF68_gp01,HF68_gp01,-,-,-,-,helix-turn-helix transcriptional regulator,protein-coding,-,-,-,helix-turn-helix transcriptional regulator,20201221,-
1481224,19791166,NEWENTRY,-,-,-,-,-,Record to support submission of GeneRIFs for a gene not in Gene (Pseudomonas aeruginosa phage JD024).,other,-,-,-,-,20200513,-
