#tax_id,GeneID,Symbol,LocusTag,Synonyms,dbXrefs,chromosome,map_location,description,type_of_gene,Symbol_from_nomenclature_authority,Full_name_from_nomenclature_authority,Nomenclature_status,Other_designations,Modification_date,Feature_type
2027899,64763415,KHO57_gp002,KHO57_gp002,SEA_PHABBA_2,-,-,-,RF-1 peptide chain release factor,protein-coding,-,-,-,RF-1 peptide chain release factor,20210508,-
2027899,64763457,KHO57_gp044,KHO57_gp044,SEA_PHABBA_44,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210508,-
2027899,64763458,KHO57_gp045,KHO57_gp045,SEA_PHABBA_45,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210508,-
2027899,64763459,KHO57_gp046,KHO57_gp046,SEA_PHABBA_46,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210508,-
2027899,64763460,KHO57_gp047,KHO57_gp047,SEA_PHABBA_47,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210508,-
2027899,64763461,KHO57_gp048,KHO57_gp048,SEA_PHABBA_48,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210508,-
2027899,64763462,KHO57_gp049,KHO57_gp049,SEA_PHABBA_49,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210508,-
2027899,64763463,KHO57_gp050,KHO57_gp050,SEA_PHABBA_50,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210508,-
2027899,64763464,KHO57_gp051,KHO57_gp051,SEA_PHABBA_51,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210508,-
2027899,64763465,KHO57_gp052,KHO57_gp052,SEA_PHABBA_52,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210508,-
2027899,64763466,KHO57_gp053,KHO57_gp053,SEA_PHABBA_53,-,-,-,HNH endonuclease,protein-coding,-,-,-,HNH endonuclease,20210508,-
2027899,64763467,KHO57_gp054,KHO57_gp054,SEA_PHABBA_54,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210508,-
2027899,64763468,KHO57_gp055,KHO57_gp055,SEA_PHABBA_55,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210508,-
2027899,64763469,KHO57_gp056,KHO57_gp056,SEA_PHABBA_56,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210508,-
2027899,64763470,KHO57_gp057,KHO57_gp057,SEA_PHABBA_57,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210508,-
2027899,64763471,KHO57_gp058,KHO57_gp058,SEA_PHABBA_58,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210508,-
2027899,64763472,KHO57_gp059,KHO57_gp059,SEA_PHABBA_59,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210508,-
2027899,64763473,KHO57_gp060,KHO57_gp060,SEA_PHABBA_60,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210508,-
2027899,64763474,KHO57_gp061,KHO57_gp061,SEA_PHABBA_61,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210508,-
2027899,64763475,KHO57_gp062,KHO57_gp062,SEA_PHABBA_62,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210508,-
2027899,64763476,KHO57_gp063,KHO57_gp063,SEA_PHABBA_63,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210508,-
2027899,64763477,KHO57_gp064,KHO57_gp064,SEA_PHABBA_64,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210508,-
2027899,64763478,KHO57_gp065,KHO57_gp065,SEA_PHABBA_65,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210508,-
2027899,64763479,KHO57_gp066,KHO57_gp066,SEA_PHABBA_66,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210508,-
2027899,64763480,KHO57_gp067,KHO57_gp067,SEA_PHABBA_67,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210508,-
2027899,64763481,KHO57_gp068,KHO57_gp068,SEA_PHABBA_68,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210508,-
2027899,64763482,KHO57_gp069,KHO57_gp069,SEA_PHABBA_69,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210508,-
2027899,64763483,KHO57_gp070,KHO57_gp070,SEA_PHABBA_70,-,-,-,helix-turn-helix DNA binding domain protein,protein-coding,-,-,-,helix-turn-helix DNA binding domain protein,20210508,-
2027899,64763484,KHO57_gp071,KHO57_gp071,SEA_PHABBA_71,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210508,-
2027899,64763485,KHO57_gp072,KHO57_gp072,SEA_PHABBA_72,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210508,-
2027899,64763486,KHO57_gp073,KHO57_gp073,SEA_PHABBA_73,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210508,-
2027899,64763487,KHO57_gp074,KHO57_gp074,SEA_PHABBA_74,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210508,-
2027899,64763488,KHO57_gp075,KHO57_gp075,SEA_PHABBA_75,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210508,-
2027899,64763489,KHO57_gp076,KHO57_gp076,SEA_PHABBA_76,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210508,-
2027899,64763490,KHO57_gp077,KHO57_gp077,SEA_PHABBA_77,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210508,-
2027899,64763491,KHO57_gp078,KHO57_gp078,SEA_PHABBA_78,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210508,-
2027899,64763492,KHO57_gp079,KHO57_gp079,SEA_PHABBA_79,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210508,-
2027899,64763493,KHO57_gp080,KHO57_gp080,SEA_PHABBA_80,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210508,-
2027899,64763494,KHO57_gp081,KHO57_gp081,SEA_PHABBA_81,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210508,-
2027899,64763495,KHO57_gp082,KHO57_gp082,SEA_PHABBA_82,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210508,-
2027899,64763496,KHO57_gp083,KHO57_gp083,SEA_PHABBA_83,-,-,-,glutaredoxin,protein-coding,-,-,-,glutaredoxin,20210508,-
2027899,64763497,KHO57_gp084,KHO57_gp084,SEA_PHABBA_84,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210508,-
2027899,64763498,KHO57_gt001,KHO57_gt001,SEA_PHABBA_85,-,-,-,tRNA,tRNA,-,-,-,-,20210508,-
2027899,64763499,KHO57_gt002,KHO57_gt002,SEA_PHABBA_86,-,-,-,tRNA,tRNA,-,-,-,-,20210508,-
2027899,64763500,KHO57_gt003,KHO57_gt003,SEA_PHABBA_87,-,-,-,tRNA,tRNA,-,-,-,-,20210508,-
2027899,64763501,KHO57_gt004,KHO57_gt004,SEA_PHABBA_88,-,-,-,tRNA,tRNA,-,-,-,-,20210508,-
2027899,64763502,KHO57_gp244,KHO57_gp244,SEA_PHABBA_89,-,-,-,peptidyl tRNA hydrolase,protein-coding,-,-,-,peptidyl tRNA hydrolase,20210508,-
2027899,64763503,KHO57_gt005,KHO57_gt005,SEA_PHABBA_90,-,-,-,tRNA,tRNA,-,-,-,-,20210508,-
2027899,64763504,KHO57_gt006,KHO57_gt006,SEA_PHABBA_91,-,-,-,tRNA,tRNA,-,-,-,-,20210508,-
2027899,64763505,KHO57_gp243,KHO57_gp243,SEA_PHABBA_92,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210508,-
2027899,64763506,KHO57_gp242,KHO57_gp242,SEA_PHABBA_93,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210508,-
2027899,64763507,KHO57_gp241,KHO57_gp241,SEA_PHABBA_94,-,-,-,portal protein,protein-coding,-,-,-,portal protein,20210508,-
2027899,64763508,KHO57_gp240,KHO57_gp240,SEA_PHABBA_95,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210508,-
2027899,64763509,KHO57_gp239,KHO57_gp239,SEA_PHABBA_96,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210508,-
2027899,64763510,KHO57_gp238,KHO57_gp238,SEA_PHABBA_97,-,-,-,thymidylate synthase,protein-coding,-,-,-,thymidylate synthase,20210508,-
2027899,64763511,KHO57_gp237,KHO57_gp237,SEA_PHABBA_98,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210508,-
2027899,64763512,KHO57_gp236,KHO57_gp236,SEA_PHABBA_99,-,-,-,RNA ligase,protein-coding,-,-,-,RNA ligase,20210508,-
2027899,64763513,KHO57_gp235,KHO57_gp235,SEA_PHABBA_100,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210508,-
2027899,64763514,KHO57_gp234,KHO57_gp234,SEA_PHABBA_101,-,-,-,LysM-like endolysin,protein-coding,-,-,-,LysM-like endolysin,20210508,-
2027899,64763515,KHO57_gp233,KHO57_gp233,SEA_PHABBA_102,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210508,-
2027899,64763516,KHO57_gp232,KHO57_gp232,SEA_PHABBA_103,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210508,-
2027899,64763517,KHO57_gp231,KHO57_gp231,SEA_PHABBA_104,-,-,-,major capsid protein,protein-coding,-,-,-,major capsid protein,20210508,-
2027899,64763518,KHO57_gp230,KHO57_gp230,SEA_PHABBA_105,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210508,-
2027899,64763519,KHO57_gp229,KHO57_gp229,SEA_PHABBA_106,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210508,-
2027899,64763520,KHO57_gp228,KHO57_gp228,SEA_PHABBA_107,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210508,-
2027899,64763521,KHO57_gp227,KHO57_gp227,SEA_PHABBA_108,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210508,-
2027899,64763522,KHO57_gp226,KHO57_gp226,SEA_PHABBA_109,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210508,-
2027899,64763523,KHO57_gp225,KHO57_gp225,SEA_PHABBA_110,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210508,-
2027899,64763524,KHO57_gp224,KHO57_gp224,SEA_PHABBA_111,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210508,-
2027899,64763525,KHO57_gp223,KHO57_gp223,SEA_PHABBA_112,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210508,-
2027899,64763526,KHO57_gp222,KHO57_gp222,SEA_PHABBA_113,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210508,-
2027899,64763527,KHO57_gp221,KHO57_gp221,SEA_PHABBA_114,-,-,-,capsid decoration protein,protein-coding,-,-,-,capsid decoration protein,20210508,-
2027899,64763528,KHO57_gp220,KHO57_gp220,SEA_PHABBA_115,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210508,-
2027899,64763529,KHO57_gp219,KHO57_gp219,SEA_PHABBA_116,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210508,-
2027899,64763530,KHO57_gp218,KHO57_gp218,SEA_PHABBA_117,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210508,-
2027899,64763531,KHO57_gp217,KHO57_gp217,SEA_PHABBA_118,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210508,-
2027899,64763532,KHO57_gp216,KHO57_gp216,SEA_PHABBA_119,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210508,-
2027899,64763533,KHO57_gp215,KHO57_gp215,SEA_PHABBA_120,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210508,-
2027899,64763534,KHO57_gp214,KHO57_gp214,SEA_PHABBA_121,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210508,-
2027899,64763535,KHO57_gp213,KHO57_gp213,SEA_PHABBA_122,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210508,-
2027899,64763536,KHO57_gp212,KHO57_gp212,SEA_PHABBA_123,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210508,-
2027899,64763537,KHO57_gp211,KHO57_gp211,SEA_PHABBA_124,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210508,-
2027899,64763538,KHO57_gp210,KHO57_gp210,SEA_PHABBA_125,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210508,-
2027899,64763539,KHO57_gp209,KHO57_gp209,SEA_PHABBA_126,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210508,-
2027899,64763540,KHO57_gp208,KHO57_gp208,SEA_PHABBA_127,-,-,-,tail sheath protein,protein-coding,-,-,-,tail sheath protein,20210508,-
2027899,64763541,KHO57_gp207,KHO57_gp207,SEA_PHABBA_128,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210508,-
2027899,64763542,KHO57_gp206,KHO57_gp206,SEA_PHABBA_129,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210508,-
2027899,64763543,KHO57_gp205,KHO57_gp205,SEA_PHABBA_130,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210508,-
2027899,64763544,KHO57_gp203,KHO57_gp203,SEA_PHABBA_132,-,-,-,tail assembly chaperone,protein-coding,-,-,-,tail assembly chaperone,20210508,-
2027899,64763545,KHO57_gp202,KHO57_gp202,SEA_PHABBA_133,-,-,-,tape measure protein,protein-coding,-,-,-,tape measure protein,20210508,-
2027899,64763546,KHO57_gp204,KHO57_gp204,SEA_PHABBA_131,-,-,-,tail assembly chaperone,protein-coding,-,-,-,tail assembly chaperone,20210508,-
2027899,64763547,KHO57_gp201,KHO57_gp201,SEA_PHABBA_134,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210508,-
2027899,64763548,KHO57_gp200,KHO57_gp200,SEA_PHABBA_135,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210508,-
2027899,64763549,KHO57_gp199,KHO57_gp199,SEA_PHABBA_136,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210508,-
2027899,64763550,KHO57_gp198,KHO57_gp198,SEA_PHABBA_137,-,-,-,minor tail protein,protein-coding,-,-,-,minor tail protein,20210508,-
2027899,64763551,KHO57_gp197,KHO57_gp197,SEA_PHABBA_138,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210508,-
2027899,64763552,KHO57_gp196,KHO57_gp196,SEA_PHABBA_139,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210508,-
2027899,64763553,KHO57_gp195,KHO57_gp195,SEA_PHABBA_140,-,-,-,baseplate wedge protein,protein-coding,-,-,-,baseplate wedge protein,20210508,-
2027899,64763554,KHO57_gp194,KHO57_gp194,SEA_PHABBA_141,-,-,-,baseplate J protein,protein-coding,-,-,-,baseplate J protein,20210508,-
2027899,64763555,KHO57_gp193,KHO57_gp193,SEA_PHABBA_142,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210508,-
2027899,64763556,KHO57_gp192,KHO57_gp192,SEA_PHABBA_143,-,-,-,minor tail protein,protein-coding,-,-,-,minor tail protein,20210508,-
2027899,64763557,KHO57_gp191,KHO57_gp191,SEA_PHABBA_144,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210508,-
2027899,64763558,KHO57_gp190,KHO57_gp190,SEA_PHABBA_145,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210508,-
2027899,64763559,KHO57_gp189,KHO57_gp189,SEA_PHABBA_146,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210508,-
2027899,64763560,KHO57_gp188,KHO57_gp188,SEA_PHABBA_147,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210508,-
2027899,64763561,KHO57_gp187,KHO57_gp187,SEA_PHABBA_148,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210508,-
2027899,64763562,KHO57_gp186,KHO57_gp186,SEA_PHABBA_149,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210508,-
2027899,64763563,KHO57_gp185,KHO57_gp185,SEA_PHABBA_150,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210508,-
2027899,64763564,KHO57_gt007,KHO57_gt007,SEA_PHABBA_151,-,-,-,tRNA,tRNA,-,-,-,-,20210508,-
2027899,64763565,KHO57_gt008,KHO57_gt008,SEA_PHABBA_152,-,-,-,tRNA,tRNA,-,-,-,-,20210508,-
2027899,64763566,KHO57_gt009,KHO57_gt009,SEA_PHABBA_153,-,-,-,tRNA,tRNA,-,-,-,-,20210508,-
2027899,64763567,KHO57_gt010,KHO57_gt010,SEA_PHABBA_154,-,-,-,tRNA,tRNA,-,-,-,-,20210508,-
2027899,64763568,KHO57_gt011,KHO57_gt011,SEA_PHABBA_155,-,-,-,tRNA,tRNA,-,-,-,-,20210508,-
2027899,64763569,KHO57_gt012,KHO57_gt012,SEA_PHABBA_156,-,-,-,tRNA,tRNA,-,-,-,-,20210508,-
2027899,64763570,KHO57_gt013,KHO57_gt013,SEA_PHABBA_157,-,-,-,tRNA,tRNA,-,-,-,-,20210508,-
2027899,64763571,KHO57_gt014,KHO57_gt014,SEA_PHABBA_158,-,-,-,tRNA,tRNA,-,-,-,-,20210508,-
2027899,64763572,KHO57_gt015,KHO57_gt015,SEA_PHABBA_159,-,-,-,tRNA,tRNA,-,-,-,-,20210508,-
2027899,64763573,KHO57_gt016,KHO57_gt016,SEA_PHABBA_160,-,-,-,tRNA,tRNA,-,-,-,-,20210508,-
2027899,64763574,KHO57_gt017,KHO57_gt017,SEA_PHABBA_161,-,-,-,tRNA,tRNA,-,-,-,-,20210508,-
2027899,64763575,KHO57_gt018,KHO57_gt018,SEA_PHABBA_162,-,-,-,tRNA,tRNA,-,-,-,-,20210508,-
2027899,64763576,KHO57_gt019,KHO57_gt019,SEA_PHABBA_163,-,-,-,tRNA,tRNA,-,-,-,-,20210508,-
2027899,64763577,KHO57_gt020,KHO57_gt020,SEA_PHABBA_164,-,-,-,tRNA,tRNA,-,-,-,-,20210508,-
2027899,64763578,KHO57_gt021,KHO57_gt021,SEA_PHABBA_165,-,-,-,tRNA,tRNA,-,-,-,-,20210508,-
2027899,64763579,KHO57_gp184,KHO57_gp184,SEA_PHABBA_166,-,-,-,HNH endonuclease,protein-coding,-,-,-,HNH endonuclease,20210508,-
2027899,64763580,KHO57_gt022,KHO57_gt022,SEA_PHABBA_167,-,-,-,tRNA,tRNA,-,-,-,-,20210508,-
2027899,64763581,KHO57_gt023,KHO57_gt023,SEA_PHABBA_168,-,-,-,tRNA,tRNA,-,-,-,-,20210508,-
2027899,64763582,KHO57_gt024,KHO57_gt024,SEA_PHABBA_169,-,-,-,tRNA,tRNA,-,-,-,-,20210508,-
2027899,64763583,KHO57_gt025,KHO57_gt025,SEA_PHABBA_170,-,-,-,tRNA,tRNA,-,-,-,-,20210508,-
2027899,64763584,KHO57_gt026,KHO57_gt026,SEA_PHABBA_171,-,-,-,tRNA,tRNA,-,-,-,-,20210508,-
2027899,64763585,KHO57_gt027,KHO57_gt027,SEA_PHABBA_172,-,-,-,tRNA,tRNA,-,-,-,-,20210508,-
2027899,64763586,KHO57_gt028,KHO57_gt028,SEA_PHABBA_173,-,-,-,tRNA,tRNA,-,-,-,-,20210508,-
2027899,64763587,KHO57_gt029,KHO57_gt029,SEA_PHABBA_174,-,-,-,tRNA,tRNA,-,-,-,-,20210508,-
2027899,64763588,KHO57_gt030,KHO57_gt030,SEA_PHABBA_175,-,-,-,tRNA,tRNA,-,-,-,-,20210508,-
2027899,64763589,KHO57_gt031,KHO57_gt031,SEA_PHABBA_176,-,-,-,tRNA,tRNA,-,-,-,-,20210508,-
2027899,64763590,KHO57_gt032,KHO57_gt032,SEA_PHABBA_177,-,-,-,tRNA,tRNA,-,-,-,-,20210508,-
2027899,64763591,KHO57_gt033,KHO57_gt033,SEA_PHABBA_178,-,-,-,tRNA,tRNA,-,-,-,-,20210508,-
2027899,64763592,KHO57_gt034,KHO57_gt034,SEA_PHABBA_179,-,-,-,tRNA,tRNA,-,-,-,-,20210508,-
