#tax_id,GeneID,Symbol,LocusTag,Synonyms,dbXrefs,chromosome,map_location,description,type_of_gene,Symbol_from_nomenclature_authority,Full_name_from_nomenclature_authority,Nomenclature_status,Other_designations,Modification_date,Feature_type
1392243,54414118,P152DRAFT_100491,P152DRAFT_100491,-,-,Unknown,-,eukaryotic translation initiation factor 4E,protein-coding,-,-,-,eukaryotic translation initiation factor 4E,20210313,-
1392243,54414132,P152DRAFT_102220,P152DRAFT_102220,-,-,Unknown,-,ubiquitin-conjugating enzyme,protein-coding,-,-,-,ubiquitin-conjugating enzyme,20210313,-
1392243,54414133,P152DRAFT_102337,P152DRAFT_102337,-,-,Unknown,-,Pex19 protein,protein-coding,-,-,-,Pex19 protein,20210313,-
1392243,54414134,P152DRAFT_102382,P152DRAFT_102382,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210313,-
1392243,54414135,P152DRAFT_102443,P152DRAFT_102443,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200919,-
1392243,54414136,P152DRAFT_102576,P152DRAFT_102576,-,-,Unknown,-,putative transporter protein,protein-coding,-,-,-,putative transporter protein,20210313,-
1392243,54414137,P152DRAFT_102873,P152DRAFT_102873,-,-,Unknown,-,DENN-domain-containing protein,protein-coding,-,-,-,DENN-domain-containing protein,20210313,-
1392243,54414138,P152DRAFT_10307,P152DRAFT_10307,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200919,-
1392243,54414139,P152DRAFT_103897,P152DRAFT_103897,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200919,-
1392243,54414140,P152DRAFT_103971,P152DRAFT_103971,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210313,-
1392243,54414141,P152DRAFT_104026,P152DRAFT_104026,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200919,-
1392243,54414142,P152DRAFT_104572,P152DRAFT_104572,-,-,Unknown,-,COX4-domain-containing protein,protein-coding,-,-,-,COX4-domain-containing protein,20210313,-
1392243,54414143,P152DRAFT_10460,P152DRAFT_10460,-,-,Unknown,-,glycoside hydrolase/deacetylase,protein-coding,-,-,-,glycoside hydrolase/deacetylase,20210313,-
1392243,54414144,P152DRAFT_104695,P152DRAFT_104695,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210313,-
1392243,54414145,P152DRAFT_105032,P152DRAFT_105032,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210313,-
1392243,54414146,P152DRAFT_10527,P152DRAFT_10527,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210313,-
1392243,54414147,P152DRAFT_105853,P152DRAFT_105853,-,-,Unknown,-,HAD-superfamily hydrolase,protein-coding,-,-,-,HAD-superfamily hydrolase,20210313,-
1392243,54414148,P152DRAFT_106018,P152DRAFT_106018,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200919,-
1392243,54414149,P152DRAFT_106037,P152DRAFT_106037,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210313,-
1392243,54414150,P152DRAFT_106047,P152DRAFT_106047,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200919,-
1392243,54414151,P152DRAFT_106079,P152DRAFT_106079,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210313,-
1392243,54414152,P152DRAFT_10615,P152DRAFT_10615,-,-,Unknown,-,transcription factor Tfb4,protein-coding,-,-,-,transcription factor Tfb4,20210313,-
1392243,54414153,P152DRAFT_106160,P152DRAFT_106160,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200919,-
1392243,54414154,P152DRAFT_106218,P152DRAFT_106218,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200919,-
1392243,54414155,P152DRAFT_106290,P152DRAFT_106290,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200919,-
1392243,54414156,P152DRAFT_106403,P152DRAFT_106403,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200919,-
1392243,54414157,P152DRAFT_106506,P152DRAFT_106506,-,-,Unknown,-,putative DNA 3'-phosphatase Tpp1,protein-coding,-,-,-,putative DNA 3'-phosphatase Tpp1,20210313,-
1392243,54414158,P152DRAFT_106515,P152DRAFT_106515,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200919,-
1392243,54414159,P152DRAFT_106597,P152DRAFT_106597,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210313,-
1392243,54414160,P152DRAFT_106746,P152DRAFT_106746,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200919,-
1392243,54414161,P152DRAFT_10682,P152DRAFT_10682,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200919,-
1392243,54414162,P152DRAFT_106932,P152DRAFT_106932,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200919,-
1392243,54414163,P152DRAFT_10705,P152DRAFT_10705,-,-,Unknown,-,Prefoldin alpha subunit,protein-coding,-,-,-,Prefoldin alpha subunit,20210313,-
1392243,54414164,P152DRAFT_107089,P152DRAFT_107089,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200919,-
1392243,54414165,P152DRAFT_107272,P152DRAFT_107272,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210313,-
1392243,54414166,P152DRAFT_107412,P152DRAFT_107412,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200919,-
1392243,54414167,P152DRAFT_107437,P152DRAFT_107437,-,-,Unknown,-,MFS general substrate transporter,protein-coding,-,-,-,MFS general substrate transporter,20210313,-
1392243,54414168,P152DRAFT_107539,P152DRAFT_107539,-,-,Unknown,-,alpha/beta-hydrolase,protein-coding,-,-,-,alpha/beta-hydrolase,20210313,-
1392243,54414169,P152DRAFT_107544,P152DRAFT_107544,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210313,-
1392243,54414170,P152DRAFT_10758,P152DRAFT_10758,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210313,-
1392243,54414171,P152DRAFT_107712,P152DRAFT_107712,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200919,-
1392243,54414172,P152DRAFT_107795,P152DRAFT_107795,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210313,-
1392243,54414173,P152DRAFT_107817,P152DRAFT_107817,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200919,-
1392243,54414174,P152DRAFT_107819,P152DRAFT_107819,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210313,-
1392243,54414175,P152DRAFT_107838,P152DRAFT_107838,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200919,-
1392243,54414176,P152DRAFT_108112,P152DRAFT_108112,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200919,-
1392243,54414177,P152DRAFT_108186,P152DRAFT_108186,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210313,-
1392243,54414178,P152DRAFT_108412,P152DRAFT_108412,-,-,Unknown,-,NAD(P)-binding protein,protein-coding,-,-,-,NAD(P)-binding protein,20210313,-
1392243,54414179,P152DRAFT_108596,P152DRAFT_108596,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210313,-
1392243,54414180,P152DRAFT_108633,P152DRAFT_108633,-,-,Unknown,-,mitochondrial carrier,protein-coding,-,-,-,mitochondrial carrier,20210313,-
1392243,54414181,P152DRAFT_108791,P152DRAFT_108791,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200919,-
1392243,54414182,P152DRAFT_108813,P152DRAFT_108813,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210313,-
1392243,54414183,P152DRAFT_108984,P152DRAFT_108984,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210313,-
1392243,54414184,P152DRAFT_109530,P152DRAFT_109530,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200919,-
1392243,54414185,P152DRAFT_109705,P152DRAFT_109705,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210313,-
1392243,54414186,P152DRAFT_109723,P152DRAFT_109723,-,-,Unknown,-,nucleotide-diphospho-sugar transferase,protein-coding,-,-,-,nucleotide-diphospho-sugar transferase,20210313,-
1392243,54414187,P152DRAFT_109810,P152DRAFT_109810,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200919,-
1392243,54414188,P152DRAFT_10982,P152DRAFT_10982,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210313,-
1392243,54414189,P152DRAFT_109894,P152DRAFT_109894,-,-,Unknown,-,putative alpha/beta hydrolase,protein-coding,-,-,-,putative alpha/beta hydrolase,20210313,-
1392243,54414190,P152DRAFT_109990,P152DRAFT_109990,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200919,-
1392243,54414191,P152DRAFT_110025,P152DRAFT_110025,-,-,Unknown,-,ras small monomeric GTPase,protein-coding,-,-,-,ras small monomeric GTPase,20210313,-
1392243,54414192,P152DRAFT_110132,P152DRAFT_110132,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200919,-
1392243,54414193,P152DRAFT_110612,P152DRAFT_110612,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200919,-
1392243,54414194,P152DRAFT_110733,P152DRAFT_110733,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200919,-
1392243,54414195,P152DRAFT_110769,P152DRAFT_110769,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210313,-
1392243,54414196,P152DRAFT_110777,P152DRAFT_110777,-,-,Unknown,-,high osmolarity signaling protein SHO1,protein-coding,-,-,-,high osmolarity signaling protein SHO1,20210313,-
1392243,54414197,P152DRAFT_110850,P152DRAFT_110850,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210313,-
1392243,54414198,P152DRAFT_111164,P152DRAFT_111164,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200919,-
1392243,54414199,P152DRAFT_111181,P152DRAFT_111181,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210313,-
1392243,54414200,P152DRAFT_111203,P152DRAFT_111203,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200919,-
1392243,54414201,P152DRAFT_111348,P152DRAFT_111348,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200919,-
1392243,54414202,P152DRAFT_111491,P152DRAFT_111491,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200919,-
1392243,54414203,P152DRAFT_111513,P152DRAFT_111513,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210313,-
1392243,54414204,P152DRAFT_111514,P152DRAFT_111514,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200919,-
1392243,54414205,P152DRAFT_111568,P152DRAFT_111568,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200919,-
1392243,54414206,P152DRAFT_111857,P152DRAFT_111857,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200919,-
1392243,54414207,P152DRAFT_111970,P152DRAFT_111970,-,-,Unknown,-,concanavalin A-like lectin/glucanase,protein-coding,-,-,-,concanavalin A-like lectin/glucanase,20210313,-
1392243,54414208,P152DRAFT_112,P152DRAFT_112,-,-,Unknown,-,alpha/beta-hydrolase,protein-coding,-,-,-,alpha/beta-hydrolase,20210313,-
1392243,54414209,P152DRAFT_112027,P152DRAFT_112027,-,-,Unknown,-,Rho GTPase activation protein,protein-coding,-,-,-,Rho GTPase activation protein,20210313,-
1392243,54414210,P152DRAFT_112460,P152DRAFT_112460,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210313,-
1392243,54414211,P152DRAFT_112553,P152DRAFT_112553,-,-,Unknown,-,cullin-3,protein-coding,-,-,-,cullin-3,20210313,-
1392243,54414212,P152DRAFT_112645,P152DRAFT_112645,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210313,-
1392243,54414213,P152DRAFT_112680,P152DRAFT_112680,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210313,-
1392243,54414214,P152DRAFT_113039,P152DRAFT_113039,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210313,-
1392243,54414215,P152DRAFT_113110,P152DRAFT_113110,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210313,-
1392243,54414216,P152DRAFT_113120,P152DRAFT_113120,-,-,Unknown,-,beta-lactamase/transpeptidase-like protein,protein-coding,-,-,-,beta-lactamase/transpeptidase-like protein,20210313,-
1392243,54414217,P152DRAFT_113165,P152DRAFT_113165,-,-,Unknown,-,FYVE-domain-containing protein,protein-coding,-,-,-,FYVE-domain-containing protein,20210313,-
1392243,54414218,P152DRAFT_113555,P152DRAFT_113555,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200919,-
1392243,54414219,P152DRAFT_11375,P152DRAFT_11375,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210313,-
1392243,54414220,P152DRAFT_114012,P152DRAFT_114012,-,-,Unknown,-,taurine catabolism dioxygenase,protein-coding,-,-,-,taurine catabolism dioxygenase,20210313,-
1392243,54414221,P152DRAFT_114126,P152DRAFT_114126,-,-,Unknown,-,S-adenosylmethionine synthetase,protein-coding,-,-,-,S-adenosylmethionine synthetase,20210313,-
1392243,54414222,P152DRAFT_11419,P152DRAFT_11419,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200919,-
1392243,54414223,P152DRAFT_114266,P152DRAFT_114266,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210313,-
1392243,54414224,P152DRAFT_114320,P152DRAFT_114320,-,-,Unknown,-,uroporphyrinogen-III synthase-like protein,protein-coding,-,-,-,uroporphyrinogen-III synthase-like protein,20210313,-
1392243,54414225,P152DRAFT_114434,P152DRAFT_114434,-,-,Unknown,-,DWNN-domain-containing protein,protein-coding,-,-,-,DWNN-domain-containing protein,20210313,-
1392243,54414226,P152DRAFT_114573,P152DRAFT_114573,-,-,Unknown,-,C6 transcription factor,protein-coding,-,-,-,C6 transcription factor,20210313,-
1392243,54414227,P152DRAFT_114800,P152DRAFT_114800,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200919,-
1392243,54414228,P152DRAFT_115500,P152DRAFT_115500,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200919,-
1392243,54414229,P152DRAFT_115506,P152DRAFT_115506,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210313,-
1392243,54414230,P152DRAFT_11552,P152DRAFT_11552,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210313,-
1392243,54414231,P152DRAFT_115747,P152DRAFT_115747,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200919,-
1392243,54414232,P152DRAFT_115823,P152DRAFT_115823,-,-,Unknown,-,histone-fold-containing protein,protein-coding,-,-,-,histone-fold-containing protein,20200926,-
1392243,54414233,P152DRAFT_115903,P152DRAFT_115903,-,-,Unknown,-,WD40 repeat-like protein,protein-coding,-,-,-,WD40 repeat-like protein,20210313,-
1392243,54414234,P152DRAFT_115922,P152DRAFT_115922,-,-,Unknown,-,integral membrane protein-like protein,protein-coding,-,-,-,integral membrane protein-like protein,20210313,-
1392243,54414235,P152DRAFT_115963,P152DRAFT_115963,-,-,Unknown,-,glycogen debranching enzyme,protein-coding,-,-,-,glycogen debranching enzyme,20200919,-
1392243,54414236,P152DRAFT_116014,P152DRAFT_116014,-,-,Unknown,-,GABA permease,protein-coding,-,-,-,GABA permease,20210313,-
1392243,54414237,P152DRAFT_116267,P152DRAFT_116267,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200919,-
1392243,54414238,P152DRAFT_116268,P152DRAFT_116268,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200919,-
1392243,54414239,P152DRAFT_116388,P152DRAFT_116388,-,-,Unknown,-,ammonium transporter,protein-coding,-,-,-,ammonium transporter,20210313,-
1392243,54414240,P152DRAFT_116503,P152DRAFT_116503,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200919,-
1392243,54414241,P152DRAFT_116520,P152DRAFT_116520,-,-,Unknown,-,HET-domain-containing protein,protein-coding,-,-,-,HET-domain-containing protein,20210313,-
1392243,54414242,P152DRAFT_116627,P152DRAFT_116627,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210313,-
1392243,54414243,P152DRAFT_116704,P152DRAFT_116704,-,-,Unknown,-,phosphoribosylformylglycinamidine cycl,protein-coding,-,-,-,phosphoribosylformylglycinamidine cycl,20210313,-
1392243,54414244,P152DRAFT_116722,P152DRAFT_116722,-,-,Unknown,-,U3 small nucleolar RNA associated protein,protein-coding,-,-,-,U3 small nucleolar RNA associated protein,20210313,-
1392243,54414245,P152DRAFT_116759,P152DRAFT_116759,-,-,Unknown,-,FabD/lysophospholipase-like protein,protein-coding,-,-,-,FabD/lysophospholipase-like protein,20210313,-
1392243,54414246,P152DRAFT_116851,P152DRAFT_116851,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210313,-
1392243,54414247,P152DRAFT_116912,P152DRAFT_116912,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200919,-
1392243,54414248,P152DRAFT_117005,P152DRAFT_117005,-,-,Unknown,-,beta and beta-prime subunits of DNA dependent RNA-polymerase,protein-coding,-,-,-,beta and beta-prime subunits of DNA dependent RNA-polymerase,20210313,-
1392243,54414249,P152DRAFT_11810,P152DRAFT_11810,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200919,-
1392243,54414250,P152DRAFT_11852,P152DRAFT_11852,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210313,-
1392243,54414251,P152DRAFT_11855,P152DRAFT_11855,-,-,Unknown,-,"transcription initiation factor IID, TAF10 subunit",protein-coding,-,-,-,"transcription initiation factor IID, TAF10 subunit",20210313,-
1392243,54414252,P152DRAFT_118672,P152DRAFT_118672,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210313,-
1392243,54414253,P152DRAFT_118991,P152DRAFT_118991,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210313,-
1392243,54414254,P152DRAFT_119051,P152DRAFT_119051,-,-,Unknown,-,DUF250 domain membrane protein,protein-coding,-,-,-,DUF250 domain membrane protein,20210313,-
1392243,54414255,P152DRAFT_119093,P152DRAFT_119093,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210313,-
1392243,54414256,P152DRAFT_119240,P152DRAFT_119240,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210313,-
1392243,54414257,P152DRAFT_119307,P152DRAFT_119307,-,-,Unknown,-,FAD/NAD(P)-binding domain-containing protein,protein-coding,-,-,-,FAD/NAD(P)-binding domain-containing protein,20210313,-
1392243,54414258,P152DRAFT_119390,P152DRAFT_119390,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200919,-
1392243,54414259,P152DRAFT_119412,P152DRAFT_119412,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200919,-
1392243,54414260,P152DRAFT_119432,P152DRAFT_119432,-,-,Unknown,-,DUF1793-domain-containing protein,protein-coding,-,-,-,DUF1793-domain-containing protein,20210313,-
1392243,54414261,P152DRAFT_119530,P152DRAFT_119530,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200919,-
1392243,54414262,P152DRAFT_119627,P152DRAFT_119627,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210313,-
1392243,54414263,P152DRAFT_119632,P152DRAFT_119632,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200919,-
1392243,54414264,P152DRAFT_119776,P152DRAFT_119776,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210313,-
1392243,54414265,P152DRAFT_119809,P152DRAFT_119809,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200919,-
1392243,54414266,P152DRAFT_119906,P152DRAFT_119906,-,-,Unknown,-,glutathione S-transferase,protein-coding,-,-,-,glutathione S-transferase,20210313,-
1392243,54414267,P152DRAFT_120181,P152DRAFT_120181,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210313,-
1392243,54414268,P152DRAFT_12028,P152DRAFT_12028,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200919,-
1392243,54414269,P152DRAFT_12034,P152DRAFT_12034,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200919,-
1392243,54414270,P152DRAFT_12046,P152DRAFT_12046,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210313,-
1392243,54414271,P152DRAFT_120517,P152DRAFT_120517,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200919,-
1392243,54414272,P152DRAFT_120686,P152DRAFT_120686,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210313,-
1392243,54414273,P152DRAFT_12088,P152DRAFT_12088,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200919,-
1392243,54414274,P152DRAFT_121138,P152DRAFT_121138,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200919,-
1392243,54414275,P152DRAFT_121147,P152DRAFT_121147,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210313,-
1392243,54414276,P152DRAFT_121197,P152DRAFT_121197,-,-,Unknown,-,NAD(P)-binding protein,protein-coding,-,-,-,NAD(P)-binding protein,20210313,-
1392243,54414277,P152DRAFT_121281,P152DRAFT_121281,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200919,-
1392243,54414278,P152DRAFT_121429,P152DRAFT_121429,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200919,-
1392243,54414279,P152DRAFT_121653,P152DRAFT_121653,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210313,-
1392243,54414280,P152DRAFT_121674,P152DRAFT_121674,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210313,-
1392243,54414281,P152DRAFT_121713,P152DRAFT_121713,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210313,-
1392243,54414282,P152DRAFT_121926,P152DRAFT_121926,-,-,Unknown,-,ATP binding protein,protein-coding,-,-,-,ATP binding protein,20210313,-
1392243,54414283,P152DRAFT_12213,P152DRAFT_12213,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200919,-
1392243,54414284,P152DRAFT_12224,P152DRAFT_12224,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210313,-
1392243,54414285,P152DRAFT_122356,P152DRAFT_122356,-,-,Unknown,-,fumarylacetoacetate hydrolase family protein,protein-coding,-,-,-,fumarylacetoacetate hydrolase family protein,20210313,-
1392243,54414286,P152DRAFT_122458,P152DRAFT_122458,-,-,Unknown,-,HET-domain-containing protein,protein-coding,-,-,-,HET-domain-containing protein,20210313,-
1392243,54414287,P152DRAFT_122698,P152DRAFT_122698,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200919,-
1392243,54414288,P152DRAFT_124047,P152DRAFT_124047,-,-,Unknown,-,HAD-superfamily hydrolase,protein-coding,-,-,-,HAD-superfamily hydrolase,20210313,-
1392243,54414289,P152DRAFT_124117,P152DRAFT_124117,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200919,-
1392243,54414290,P152DRAFT_124190,P152DRAFT_124190,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200919,-
1392243,54414291,P152DRAFT_124251,P152DRAFT_124251,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200919,-
