#tax_id,GeneID,Symbol,LocusTag,Synonyms,dbXrefs,chromosome,map_location,description,type_of_gene,Symbol_from_nomenclature_authority,Full_name_from_nomenclature_authority,Nomenclature_status,Other_designations,Modification_date,Feature_type
2301567,60331833,2,I5H69_gp02,SEA_NIMBO_2,-,-,-,terminase large subunit,protein-coding,-,-,-,terminase large subunit,20210403,-
2301567,60331900,70,I5H69_gp70,SEA_NIMBO_70,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2301567,60331901,71,I5H69_gp71,SEA_NIMBO_71,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2301567,60331902,72,I5H69_gp72,SEA_NIMBO_72,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2301567,60331903,73,I5H69_gp73,SEA_NIMBO_73,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2301567,60331904,74,I5H69_gp74,SEA_NIMBO_74,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2301567,60331905,75,I5H69_gp75,SEA_NIMBO_75,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2301567,60331906,76,I5H69_gp76,SEA_NIMBO_76,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2301567,60331907,77,I5H69_gp77,SEA_NIMBO_77,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2301567,60331908,78,I5H69_gp78,SEA_NIMBO_78,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2301567,60331909,79,I5H69_gp79,SEA_NIMBO_79,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2301567,60331910,80,I5H69_gp80,SEA_NIMBO_80,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2301567,60331911,81,I5H69_gp81,SEA_NIMBO_81,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2301567,60331912,82,I5H69_gp82,SEA_NIMBO_82,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2301567,60331913,83,I5H69_gp83,SEA_NIMBO_83,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2301567,60331914,84,I5H69_gp84,SEA_NIMBO_84,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2301567,60331915,85,I5H69_gp85,SEA_NIMBO_85,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2301567,60331916,86,I5H69_gp86,SEA_NIMBO_86,-,-,-,MerR-like HTH DNA binding protein,protein-coding,-,-,-,MerR-like HTH DNA binding protein,20210424,-
2301567,60331917,87,I5H69_gp87,SEA_NIMBO_87,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2301567,60331918,88,I5H69_gp88,SEA_NIMBO_88,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2301567,60331919,89,I5H69_gp89,SEA_NIMBO_89,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2301567,60331920,90,I5H69_gp90,SEA_NIMBO_90,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2301567,60331921,91,I5H69_gp91,SEA_NIMBO_91,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2301567,60331922,92,I5H69_gp92,SEA_NIMBO_92,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2301567,60331923,93,I5H69_gp93,SEA_NIMBO_93,-,-,-,glycosyltransferase,protein-coding,-,-,-,glycosyltransferase,20210417,-
2301567,60331924,94,I5H69_gp94,SEA_NIMBO_94,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2301567,60331925,95,I5H69_gp95,SEA_NIMBO_95,-,-,-,glycosyltransferase,protein-coding,-,-,-,glycosyltransferase,20210417,-
2301567,60331926,96,I5H69_gp96,SEA_NIMBO_96,-,-,-,HNH endonuclease,protein-coding,-,-,-,HNH endonuclease,20210212,-
2301567,60331927,60,I5H69_gp60,SEA_NIMBO_60,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2301567,60331928,1,I5H69_gp01,SEA_NIMBO_1,-,-,-,terminase small subunit,protein-coding,-,-,-,terminase small subunit,20201129,-
2301567,60338705,NEWENTRY,-,-,-,-,-,Record to support submission of GeneRIFs for a gene not in Gene.,other,-,-,-,-,20201130,-
