#tax_id,GeneID,Symbol,LocusTag,Synonyms,dbXrefs,chromosome,map_location,description,type_of_gene,Symbol_from_nomenclature_authority,Full_name_from_nomenclature_authority,Nomenclature_status,Other_designations,Modification_date,Feature_type
2575610,63926032,2,KDW74_gp02,PBI_ANTSIRABE_2,-,-,-,terminase,protein-coding,-,-,-,terminase,20210422,-
2575610,63926074,44,KDW74_gp44,PBI_ANTSIRABE_44,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210422,-
2575610,63926075,45,KDW74_gp45,PBI_ANTSIRABE_45,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210422,-
2575610,63926076,46,KDW74_gp46,PBI_ANTSIRABE_46,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210422,-
2575610,63926077,47,KDW74_gp47,PBI_ANTSIRABE_47,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210422,-
2575610,63926078,48,KDW74_gp48,PBI_ANTSIRABE_48,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210422,-
2575610,63926079,49,KDW74_gp49,PBI_ANTSIRABE_49,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210422,-
2575610,63926080,50,KDW74_gp50,PBI_ANTSIRABE_50,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210422,-
2575610,63926081,51,KDW74_gp51,PBI_ANTSIRABE_51,-,-,-,RuvC-like resolvase,protein-coding,-,-,-,RuvC-like resolvase,20210422,-
2575610,63926082,52,KDW74_gp52,PBI_ANTSIRABE_52,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210422,-
2575610,63926083,53,KDW74_gp53,PBI_ANTSIRABE_53,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210422,-
2575610,63926084,54,KDW74_gp54,PBI_ANTSIRABE_54,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210422,-
2575610,63926085,55,KDW74_gp55,PBI_ANTSIRABE_55,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210422,-
2575610,63926086,56,KDW74_gp56,PBI_ANTSIRABE_56,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210422,-
2575610,63926087,57,KDW74_gp57,PBI_ANTSIRABE_57,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210422,-
2575610,63926088,58,KDW74_gp58,PBI_ANTSIRABE_58,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210422,-
2575610,63926089,59,KDW74_gp59,PBI_ANTSIRABE_59,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210422,-
2575610,63926090,60,KDW74_gp60,PBI_ANTSIRABE_60,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210422,-
2575610,63926091,61,KDW74_gp61,PBI_ANTSIRABE_61,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210422,-
2575610,63926092,62,KDW74_gp62,PBI_ANTSIRABE_62,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210422,-
2575610,63926093,63,KDW74_gp63,PBI_ANTSIRABE_63,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210422,-
2575610,63926094,65,KDW74_gp65,PBI_ANTSIRABE_65,-,-,-,HNH endonuclease,protein-coding,-,-,-,HNH endonuclease,20210422,-
2575610,63926095,66,KDW74_gp66,PBI_ANTSIRABE_66,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210422,-
2575610,63926096,64,KDW74_gp64,PBI_ANTSIRABE_64,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210422,-
2575610,63926097,1,KDW74_gp01,PBI_ANTSIRABE_1,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210422,-
2575610,64409753,NEWENTRY,-,-,-,-,-,Record to support submission of GeneRIFs for a gene not in Gene.,other,-,-,-,-,20210426,-
