#tax_id,GeneID,Symbol,LocusTag,Synonyms,dbXrefs,chromosome,map_location,description,type_of_gene,Symbol_from_nomenclature_authority,Full_name_from_nomenclature_authority,Nomenclature_status,Other_designations,Modification_date,Feature_type
1873990,29066698,BIZ90_gp002,BIZ90_gp002,Alf5_002,-,-,-,putative rIIB,protein-coding,-,-,-,putative rIIB,20200629,-
1873990,29066732,BIZ90_gp036,BIZ90_gp036,Alf5_036,-,-,-,putative lysin,protein-coding,-,-,-,putative lysin,20200629,-
1873990,29066733,BIZ90_gp037,BIZ90_gp037,Alf5_037,-,-,-,putative tail protein,protein-coding,-,-,-,putative tail protein,20200629,-
1873990,29066734,BIZ90_gp038,BIZ90_gp038,Alf5_038,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1873990,29066735,BIZ90_gp039,BIZ90_gp039,Alf5_039,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1873990,29066736,BIZ90_gp040,BIZ90_gp040,Alf5_040,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1873990,29066737,BIZ90_gp041,BIZ90_gp041,Alf5_041,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1873990,29066738,BIZ90_gp042,BIZ90_gp042,Alf5_042,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210327,-
1873990,29066739,BIZ90_gp043,BIZ90_gp043,Alf5_043,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210327,-
1873990,29066740,BIZ90_gt001,BIZ90_gt001,Alf5_gt001,-,-,-,tRNA,tRNA,-,-,-,-,20200910,-
1873990,29066741,BIZ90_gt002,BIZ90_gt002,Alf5_gt002,-,-,-,tRNA,tRNA,-,-,-,-,20200910,-
1873990,29066742,BIZ90_gt003,BIZ90_gt003,Alf5_gt003,-,-,-,tRNA,tRNA,-,-,-,-,20200910,-
1873990,29066743,BIZ90_gt004,BIZ90_gt004,Alf5_gt004,-,-,-,tRNA,tRNA,-,-,-,-,20200910,-
1873990,29066744,BIZ90_gp133,BIZ90_gp133,Alf5_044,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1873990,29066745,BIZ90_gt006,BIZ90_gt006,Alf5_gt006,-,-,-,tRNA,tRNA,-,-,-,-,20200910,-
1873990,29066746,BIZ90_gp132,BIZ90_gp132,Alf5_045,-,-,-,putative HNH homing endonuclease,protein-coding,-,-,-,putative HNH homing endonuclease,20210327,-
1873990,29066747,BIZ90_gt005,BIZ90_gt005,Alf5_gt005,-,-,-,tRNA,tRNA,-,-,-,-,20200910,-
1873990,29066748,BIZ90_gt007,BIZ90_gt007,Alf5_gt007,-,-,-,tRNA,tRNA,-,-,-,-,20200910,-
1873990,29066749,BIZ90_gt008,BIZ90_gt008,Alf5_gt008,-,-,-,tRNA,tRNA,-,-,-,-,20200910,-
1873990,29066750,BIZ90_gt009,BIZ90_gt009,Alf5_gt009,-,-,-,tRNA,tRNA,-,-,-,-,20200910,-
1873990,29066751,BIZ90_gt010,BIZ90_gt010,Alf5_gt010,-,-,-,tRNA,tRNA,-,-,-,-,20200910,-
1873990,29066752,BIZ90_gt011,BIZ90_gt011,Alf5_gt011,-,-,-,tRNA,tRNA,-,-,-,-,20200910,-
1873990,29066753,BIZ90_gt012,BIZ90_gt012,Alf5_gt012,-,-,-,tRNA,tRNA,-,-,-,-,20200910,-
1873990,29066754,BIZ90_gt013,BIZ90_gt013,Alf5_gt013,-,-,-,tRNA,tRNA,-,-,-,-,20200910,-
1873990,29066755,BIZ90_gp131,BIZ90_gp131,Alf5_046,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1873990,29066756,BIZ90_gt014,BIZ90_gt014,Alf5_gt014,-,-,-,tRNA,tRNA,-,-,-,-,20200910,-
1873990,29066757,BIZ90_gt015,BIZ90_gt015,Alf5_gt015,-,-,-,tRNA,tRNA,-,-,-,-,20200910,-
1873990,29066758,BIZ90_gt016,BIZ90_gt016,Alf5_gt016,-,-,-,tRNA,tRNA,-,-,-,-,20200910,-
1873990,29066759,BIZ90_gt017,BIZ90_gt017,Alf5_gt017,-,-,-,tRNA,tRNA,-,-,-,-,20200910,-
1873990,29066760,BIZ90_gt018,BIZ90_gt018,Alf5_gt018,-,-,-,tRNA,tRNA,-,-,-,-,20200910,-
1873990,29066761,BIZ90_gp130,BIZ90_gp130,Alf5_047,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1873990,29066762,BIZ90_gt019,BIZ90_gt019,Alf5_gt019,-,-,-,tRNA,tRNA,-,-,-,-,20200910,-
1873990,29066763,BIZ90_gp129,BIZ90_gp129,Alf5_048,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1873990,29066764,BIZ90_gp128,BIZ90_gp128,Alf5_049,-,-,-,putative terminase large subunit,protein-coding,-,-,-,putative terminase large subunit,20210123,-
1873990,29066765,BIZ90_gp127,BIZ90_gp127,Alf5_050,-,-,-,putative structural protein,protein-coding,-,-,-,putative structural protein,20200629,-
1873990,29066766,BIZ90_gp126,BIZ90_gp126,Alf5_051,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1873990,29066767,BIZ90_gp125,BIZ90_gp125,Alf5_052,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1873990,29066768,BIZ90_gp124,BIZ90_gp124,Alf5_053,-,-,-,signal peptide peptidase SppA,protein-coding,-,-,-,signal peptide peptidase SppA,20201221,-
1873990,29066769,BIZ90_gp123,BIZ90_gp123,Alf5_054,-,-,-,putative structural protein,protein-coding,-,-,-,putative structural protein,20200629,-
1873990,29066770,BIZ90_gp122,BIZ90_gp122,Alf5_055,-,-,-,putative major capsid protein,protein-coding,-,-,-,putative major capsid protein,20200629,-
1873990,29066771,BIZ90_gp121,BIZ90_gp121,Alf5_056,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1873990,29066772,BIZ90_gp120,BIZ90_gp120,Alf5_057,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1873990,29066773,BIZ90_gp119,BIZ90_gp119,Alf5_058,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1873990,29066774,BIZ90_gp118,BIZ90_gp118,Alf5_059,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1873990,29066775,BIZ90_gp117,BIZ90_gp117,Alf5_060,-,-,-,putative structural protein,protein-coding,-,-,-,putative structural protein,20210327,-
1873990,29066776,BIZ90_gp116,BIZ90_gp116,Alf5_061,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210403,-
1873990,29066777,BIZ90_gp115,BIZ90_gp115,Alf5_062,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1873990,29066778,BIZ90_gp114,BIZ90_gp114,Alf5_063,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1873990,29066779,BIZ90_gp113,BIZ90_gp113,Alf5_064,-,-,-,putative tail length tape-measure protein,protein-coding,-,-,-,putative tail length tape-measure protein,20200629,-
1873990,29066780,BIZ90_gp112,BIZ90_gp112,Alf5_065,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1873990,29066781,BIZ90_gp111,BIZ90_gp111,Alf5_066,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1873990,29066782,BIZ90_gp110,BIZ90_gp110,Alf5_067,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1873990,29066783,BIZ90_gp109,BIZ90_gp109,Alf5_068,-,-,-,putative baseplate assembly protein,protein-coding,-,-,-,putative baseplate assembly protein,20210212,-
1873990,29066784,BIZ90_gp108,BIZ90_gp108,Alf5_069,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1873990,29066785,BIZ90_gp107,BIZ90_gp107,Alf5_070,-,-,-,putative baseplate component,protein-coding,-,-,-,putative baseplate component,20210327,-
1873990,29066786,BIZ90_gp106,BIZ90_gp106,Alf5_071,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1873990,29066787,BIZ90_gp105,BIZ90_gp105,Alf5_072,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1873990,29066788,BIZ90_gp104,BIZ90_gp104,Alf5_073,-,-,-,putative tail fiber protein,protein-coding,-,-,-,putative tail fiber protein,20200926,-
1873990,29066789,BIZ90_gp103,BIZ90_gp103,Alf5_074,-,-,-,putative tail fiber protein,protein-coding,-,-,-,putative tail fiber protein,20200629,-
1873990,29066790,BIZ90_gp102,BIZ90_gp102,Alf5_075,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1873990,29066791,BIZ90_gp101,BIZ90_gp101,Alf5_076,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1873990,29066792,BIZ90_gp100,BIZ90_gp100,Alf5_077,-,-,-,putative thymidylate synthase,protein-coding,-,-,-,putative thymidylate synthase,20200629,-
1873990,29066793,BIZ90_gp099,BIZ90_gp099,Alf5_078,-,-,-,putative dihydrofolate reductase,protein-coding,-,-,-,putative dihydrofolate reductase,20200629,-
1873990,29066794,BIZ90_gp098,BIZ90_gp098,Alf5_079,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1873990,29066795,BIZ90_gp097,BIZ90_gp097,Alf5_080,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1873990,29066796,BIZ90_gp096,BIZ90_gp096,Alf5_081,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1873990,29066797,BIZ90_gp095,BIZ90_gp095,Alf5_082,-,-,-,putative transcriptional regulatory protein,protein-coding,-,-,-,putative transcriptional regulatory protein,20200629,-
1873990,29066798,BIZ90_gp094,BIZ90_gp094,Alf5_083,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1873990,29066799,BIZ90_gp093,BIZ90_gp093,Alf5_084,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210212,-
1873990,29066800,BIZ90_gp092,BIZ90_gp092,Alf5_085,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1873990,29066801,BIZ90_gp091,BIZ90_gp091,Alf5_086,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1873990,29066802,BIZ90_gp090,BIZ90_gp090,Alf5_087,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1873990,29066803,BIZ90_gp089,BIZ90_gp089,Alf5_088,-,-,-,putative DNA ligase,protein-coding,-,-,-,putative DNA ligase,20200629,-
1873990,29066804,BIZ90_gp088,BIZ90_gp088,Alf5_089,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1873990,29066805,BIZ90_gp087,BIZ90_gp087,Alf5_090,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1873990,29066806,BIZ90_gp086,BIZ90_gp086,Alf5_091,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1873990,29066807,BIZ90_gp085,BIZ90_gp085,Alf5_092,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1873990,29066808,BIZ90_gp084,BIZ90_gp084,Alf5_093,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1873990,29066809,BIZ90_gp083,BIZ90_gp083,Alf5_094,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1873990,29066810,BIZ90_gp082,BIZ90_gp082,Alf5_095,-,-,-,putative HNH homing endonuclease,protein-coding,-,-,-,putative HNH homing endonuclease,20200629,-
1873990,29066811,BIZ90_gp081,BIZ90_gp081,Alf5_096,-,-,-,putative DNA polymerase,protein-coding,-,-,-,putative DNA polymerase,20200629,-
1873990,29066812,BIZ90_gp080,BIZ90_gp080,Alf5_097,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1873990,29066813,BIZ90_gp079,BIZ90_gp079,Alf5_098,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1873990,29066814,BIZ90_gp078,BIZ90_gp078,Alf5_099,-,-,-,putative deoxynucleotide monophosphate kinase,protein-coding,-,-,-,putative deoxynucleotide monophosphate kinase,20210327,-
1873990,29066815,BIZ90_gp077,BIZ90_gp077,Alf5_100,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1873990,29066816,BIZ90_gp076,BIZ90_gp076,Alf5_101,-,-,-,putative DNA primase/helicase,protein-coding,-,-,-,putative DNA primase/helicase,20200629,-
1873990,29066817,BIZ90_gp075,BIZ90_gp075,Alf5_102,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1873990,29066818,BIZ90_gp074,BIZ90_gp074,Alf5_103,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1873990,29066819,BIZ90_gp073,BIZ90_gp073,Alf5_104,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1873990,29066820,BIZ90_gp072,BIZ90_gp072,Alf5_105,-,-,-,putative exodeoxyribonuclease,protein-coding,-,-,-,putative exodeoxyribonuclease,20200629,-
1873990,29066821,BIZ90_gp071,BIZ90_gp071,Alf5_106,-,-,-,putative NAD synthetase,protein-coding,-,-,-,putative NAD synthetase,20210313,-
1873990,29066822,BIZ90_gp070,BIZ90_gp070,Alf5_107,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1873990,29066823,BIZ90_gp069,BIZ90_gp069,Alf5_108,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210327,-
1873990,29066824,BIZ90_gp068,BIZ90_gp068,Alf5_109,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1873990,29066825,BIZ90_gp067,BIZ90_gp067,Alf5_110,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1873990,29066826,BIZ90_gp066,BIZ90_gp066,Alf5_111,-,-,-,putative ribonucleoside triphosphate reductase alpha subunit,protein-coding,-,-,-,putative ribonucleoside triphosphate reductase alpha subunit,20210212,-
1873990,29066827,BIZ90_gp065,BIZ90_gp065,Alf5_112,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1873990,29066828,BIZ90_gp064,BIZ90_gp064,Alf5_113,-,-,-,putative ribonucleoside triphosphate reductase beta subunit,protein-coding,-,-,-,putative ribonucleoside triphosphate reductase beta subunit,20200629,-
1873990,29066829,BIZ90_gp063,BIZ90_gp063,Alf5_114,-,-,-,putative glutaredoxin,protein-coding,-,-,-,putative glutaredoxin,20200629,-
1873990,29066830,BIZ90_gp062,BIZ90_gp062,Alf5_115,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1873990,29066831,BIZ90_gp061,BIZ90_gp061,Alf5_116,-,-,-,putative anaerobic ribonucleoside-triphosphate reductase,protein-coding,-,-,-,putative anaerobic ribonucleoside-triphosphate reductase,20200629,-
1873990,29066832,BIZ90_gp060,BIZ90_gp060,Alf5_117,-,-,-,putative HNH homing endonuclease,protein-coding,-,-,-,putative HNH homing endonuclease,20200629,-
1873990,29066833,BIZ90_gp059,BIZ90_gp059,Alf5_118,-,-,-,putative anaerobic ribonucleoside-triphosphate reductase,protein-coding,-,-,-,putative anaerobic ribonucleoside-triphosphate reductase,20200629,-
1873990,29066834,BIZ90_gp058,BIZ90_gp058,Alf5_119,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1873990,29066835,BIZ90_gp057,BIZ90_gp057,Alf5_120,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1873990,29066836,BIZ90_gp056,BIZ90_gp056,Alf5_121,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1873990,29066837,BIZ90_gp055,BIZ90_gp055,Alf5_122,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1873990,29066838,BIZ90_gp054,BIZ90_gp054,Alf5_123,-,-,-,putative anaerobic nucleoside-triphosphate reductase small subunit,protein-coding,-,-,-,putative anaerobic nucleoside-triphosphate reductase small subunit,20200629,-
1873990,29066839,BIZ90_gp053,BIZ90_gp053,Alf5_124,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1873990,29066840,BIZ90_gp052,BIZ90_gp052,Alf5_125,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1873990,29066841,BIZ90_gp051,BIZ90_gp051,Alf5_126,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1873990,29066842,BIZ90_gp050,BIZ90_gp050,Alf5_127,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1873990,29066843,BIZ90_gp049,BIZ90_gp049,Alf5_128,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1873990,29066844,BIZ90_gp048,BIZ90_gp048,Alf5_129,-,-,-,putative ribose-phosphate pyrophosphokinase,protein-coding,-,-,-,putative ribose-phosphate pyrophosphokinase,20210327,-
1873990,29066845,BIZ90_gp047,BIZ90_gp047,Alf5_130,-,-,-,putative nicotinamide phosphoribosyltransferase,protein-coding,-,-,-,putative nicotinamide phosphoribosyltransferase,20200629,-
1873990,29066846,BIZ90_gp046,BIZ90_gp046,Alf5_131,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1873990,29066847,BIZ90_gp045,BIZ90_gp045,Alf5_132,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1873990,29066848,BIZ90_gp044,BIZ90_gp044,Alf5_133,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1873990,29066849,BIZ90_gp001,BIZ90_gp001,Alf5_001,-,-,-,putative rIIA,protein-coding,-,-,-,putative rIIA,20200629,-
1873990,29140016,NEWENTRY,-,-,-,-,-,Record to support submission of GeneRIFs for a gene not in Gene.,other,-,-,-,-,20200513,-
