#tax_id,GeneID,Symbol,LocusTag,Synonyms,dbXrefs,chromosome,map_location,description,type_of_gene,Symbol_from_nomenclature_authority,Full_name_from_nomenclature_authority,Nomenclature_status,Other_designations,Modification_date,Feature_type
1225791,26042186,HMPREFV_HMPID9843gp0002,HMPREFV_HMPID9843gp0002,-,-,-,-,regulatory protein GemA,protein-coding,-,-,-,regulatory protein GemA,20210417,-
1225791,26042216,HMPREFV_HMPID9843gp0032,HMPREFV_HMPID9843gp0032,-,-,-,-,virion morphogenesis protein,protein-coding,-,-,-,virion morphogenesis protein,20201221,-
1225791,26042217,HMPREFV_HMPID9843gp0033,HMPREFV_HMPID9843gp0033,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1225791,26042218,HMPREFV_HMPID9843gp0034,HMPREFV_HMPID9843gp0034,-,-,-,-,DUF2190 family protein,protein-coding,-,-,-,DUF2190 family protein,20201221,-
1225791,26042219,HMPREFV_HMPID9843gp0035,HMPREFV_HMPID9843gp0035,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1225791,26042220,HMPREFV_HMPID9843gp0036,HMPREFV_HMPID9843gp0036,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1225791,26042221,HMPREFV_HMPID9843gp0037,HMPREFV_HMPID9843gp0037,-,-,-,-,PF07030 family protein,protein-coding,-,-,-,PF07030 family protein,20201221,-
1225791,26042222,HMPREFV_HMPID9843gp0038,HMPREFV_HMPID9843gp0038,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1225791,26042223,HMPREFV_HMPID9843gp0039,HMPREFV_HMPID9843gp0039,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1225791,26042224,HMPREFV_HMPID9843gp0040,HMPREFV_HMPID9843gp0040,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1225791,26042225,HMPREFV_HMPID9843gp0041,HMPREFV_HMPID9843gp0041,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1225791,26042226,HMPREFV_HMPID9843gp0042,HMPREFV_HMPID9843gp0042,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1225791,26042227,HMPREFV_HMPID9843gp0043,HMPREFV_HMPID9843gp0043,-,-,-,-,tail length tape measure family protein,protein-coding,-,-,-,tail length tape measure family protein,20210417,-
1225791,26042228,HMPREFV_HMPID9843gp0044,HMPREFV_HMPID9843gp0044,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1225791,26042229,HMPREFV_HMPID9843gp0045,HMPREFV_HMPID9843gp0045,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1225791,26042230,HMPREFV_HMPID9843gp0046,HMPREFV_HMPID9843gp0046,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1225791,26042231,HMPREFV_HMPID9843gp0047,HMPREFV_HMPID9843gp0047,-,-,-,-,BR0599 family protein,protein-coding,-,-,-,BR0599 family protein,20201221,-
1225791,26042232,HMPREFV_HMPID9843gp0048,HMPREFV_HMPID9843gp0048,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1225791,26042233,HMPREFV_HMPID9843gp0049,HMPREFV_HMPID9843gp0049,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1225791,26042234,HMPREFV_HMPID9843gp0050,HMPREFV_HMPID9843gp0050,-,-,-,-,DUF2793 domain-containing protein,protein-coding,-,-,-,DUF2793 domain-containing protein,20201221,-
1225791,26042235,HMPREFV_HMPID9843gp0051,HMPREFV_HMPID9843gp0051,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1225791,26042236,HMPREFV_HMPID9843gp0052,HMPREFV_HMPID9843gp0052,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1225791,26042237,HMPREFV_HMPID9843gp0001,HMPREFV_HMPID9843gp0001,-,-,-,-,mor transcription activator family protein,protein-coding,-,-,-,mor transcription activator family protein,20210129,-
1225791,26045519,NEWENTRY,-,-,-,-,-,Record to support submission of GeneRIFs for a gene not in Gene (Pseudomonas phage JBD18).,other,-,-,-,-,20200513,-
