#tax_id,GeneID,Symbol,LocusTag,Synonyms,dbXrefs,chromosome,map_location,description,type_of_gene,Symbol_from_nomenclature_authority,Full_name_from_nomenclature_authority,Nomenclature_status,Other_designations,Modification_date,Feature_type
2099444,40101100,2,FDJ44_gp02,PBI_PIKMIN_2,-,-,-,terminase,protein-coding,-,-,-,terminase,20201221,-
2099444,40101120,22,FDJ44_gp22,PBI_PIKMIN_22,-,-,-,minor tail protein,protein-coding,-,-,-,minor tail protein,20201221,-
2099444,40101121,23,FDJ44_gp23,PBI_PIKMIN_23,-,-,-,lysin A,protein-coding,-,-,-,lysin A,20201221,-
2099444,40101122,24,FDJ44_gp24,PBI_PIKMIN_24,-,-,-,membrane protein,protein-coding,-,-,-,membrane protein,20201221,-
2099444,40101123,25,FDJ44_gp25,PBI_PIKMIN_25,-,-,-,holin,protein-coding,-,-,-,holin,20201221,-
2099444,40101124,26,FDJ44_gp26,PBI_PIKMIN_26,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2099444,40101125,27,FDJ44_gp27,PBI_PIKMIN_27,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2099444,40101126,28,FDJ44_gp28,PBI_PIKMIN_28,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2099444,40101127,29,FDJ44_gp29,PBI_PIKMIN_29,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2099444,40101128,30,FDJ44_gp30,PBI_PIKMIN_30,-,-,-,DNA recombinase,protein-coding,-,-,-,DNA recombinase,20201221,-
2099444,40101129,31,FDJ44_gp31,PBI_PIKMIN_31,-,-,-,nuclease,protein-coding,-,-,-,nuclease,20201221,-
2099444,40101130,32,FDJ44_gp32,PBI_PIKMIN_32,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2099444,40101131,33,FDJ44_gp33,PBI_PIKMIN_33,-,-,-,AAA-ATPase,protein-coding,-,-,-,AAA-ATPase,20201221,-
2099444,40101132,34,FDJ44_gp34,PBI_PIKMIN_34,-,-,-,exonuclease,protein-coding,-,-,-,exonuclease,20201221,-
2099444,40101133,35,FDJ44_gp35,PBI_PIKMIN_35,-,-,-,DNA polymerase I,protein-coding,-,-,-,DNA polymerase I,20201221,-
2099444,40101134,36,FDJ44_gp36,PBI_PIKMIN_36,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2099444,40101135,37,FDJ44_gp37,PBI_PIKMIN_37,-,-,-,DNA helicase,protein-coding,-,-,-,DNA helicase,20201221,-
2099444,40101136,38,FDJ44_gp38,PBI_PIKMIN_38,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2099444,40101137,39,FDJ44_gp39,PBI_PIKMIN_39,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2099444,40101138,40,FDJ44_gp40,PBI_PIKMIN_40,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2099444,40101139,41,FDJ44_gp41,PBI_PIKMIN_41,-,-,-,nucleotide pyrophosphohydrolase,protein-coding,-,-,-,nucleotide pyrophosphohydrolase,20201221,-
2099444,40101140,42,FDJ44_gp42,PBI_PIKMIN_42,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2099444,40101141,43,FDJ44_gp43,PBI_PIKMIN_43,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2099444,40101142,44,FDJ44_gp44,PBI_PIKMIN_44,-,-,-,thymidylate kinase,protein-coding,-,-,-,thymidylate kinase,20201221,-
2099444,40101143,45,FDJ44_gp45,PBI_PIKMIN_45,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2099444,40101144,46,FDJ44_gp46,PBI_PIKMIN_46,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2099444,40101145,47,FDJ44_gp47,PBI_PIKMIN_47,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2099444,40101146,48,FDJ44_gp48,PBI_PIKMIN_48,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2099444,40101147,49,FDJ44_gp49,PBI_PIKMIN_49,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2099444,40101148,50,FDJ44_gp50,PBI_PIKMIN_50,-,-,-,thymidylate synthase,protein-coding,-,-,-,thymidylate synthase,20201221,-
2099444,40101149,51,FDJ44_gp51,PBI_PIKMIN_51,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2099444,40101150,52,FDJ44_gp52,PBI_PIKMIN_52,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2099444,40101151,53,FDJ44_gp53,PBI_PIKMIN_53,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2099444,40101152,54,FDJ44_gp54,PBI_PIKMIN_54,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2099444,40101153,55,FDJ44_gp55,PBI_PIKMIN_55,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2099444,40101154,56,FDJ44_gp56,PBI_PIKMIN_56,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2099444,40101155,57,FDJ44_gp57,PBI_PIKMIN_57,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2099444,40101156,58,FDJ44_gp58,PBI_PIKMIN_58,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2099444,40101157,59,FDJ44_gp59,PBI_PIKMIN_59,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2099444,40101158,1,FDJ44_gp01,PBI_PIKMIN_1,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2099444,40120562,NEWENTRY,-,-,-,-,-,Record to support submission of GeneRIFs for a gene not in Gene.,other,-,-,-,-,20200513,-
