#tax_id,GeneID,Symbol,LocusTag,Synonyms,dbXrefs,chromosome,map_location,description,type_of_gene,Symbol_from_nomenclature_authority,Full_name_from_nomenclature_authority,Nomenclature_status,Other_designations,Modification_date,Feature_type
2126812,60326079,2,I5H14_gp002,SEA_BATIATUS_2,-,-,-,terminase,protein-coding,-,-,-,terminase,20210424,-
2126812,60326113,36,I5H14_gp036,SEA_BATIATUS_36,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2126812,60326114,37,I5H14_gp037,SEA_BATIATUS_37,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2126812,60326115,38,I5H14_gp038,SEA_BATIATUS_38,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2126812,60326116,39,I5H14_gp039,SEA_BATIATUS_39,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2126812,60326117,40,I5H14_gp040,SEA_BATIATUS_40,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2126812,60326118,41,I5H14_gp041,SEA_BATIATUS_41,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2126812,60326119,42,I5H14_gp042,SEA_BATIATUS_42,-,-,-,HNH endonuclease,protein-coding,-,-,-,HNH endonuclease,20210529,-
2126812,60326120,43,I5H14_gp043,SEA_BATIATUS_43,-,-,-,integrase,protein-coding,-,-,-,integrase,20210424,-
2126812,60326121,44,I5H14_gp044,SEA_BATIATUS_44,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2126812,60326122,45,I5H14_gp045,SEA_BATIATUS_45,-,-,-,immunity repressor,protein-coding,-,-,-,immunity repressor,20210424,-
2126812,60326123,46,I5H14_gp046,SEA_BATIATUS_46,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201203,-
2126812,60326124,47,I5H14_gp047,SEA_BATIATUS_47,-,-,-,HTH binding domain protein,protein-coding,-,-,-,HTH binding domain protein,20210424,-
2126812,60326125,48,I5H14_gp048,SEA_BATIATUS_48,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2126812,60326126,49,I5H14_gp049,SEA_BATIATUS_49,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2126812,60326127,50,I5H14_gp050,SEA_BATIATUS_50,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2126812,60326128,51,I5H14_gp051,SEA_BATIATUS_51,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2126812,60326129,52,I5H14_gp052,SEA_BATIATUS_52,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2126812,60326130,53,I5H14_gp053,SEA_BATIATUS_53,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2126812,60326131,54,I5H14_gp054,SEA_BATIATUS_54,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2126812,60326132,55,I5H14_gp055,SEA_BATIATUS_55,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210417,-
2126812,60326133,56,I5H14_gp056,SEA_BATIATUS_56,-,-,-,WhiB family transcription factor,protein-coding,-,-,-,WhiB family transcription factor,20210424,-
2126812,60326134,57,I5H14_gp057,SEA_BATIATUS_57,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210417,-
2126812,60326135,58,I5H14_gp058,SEA_BATIATUS_58,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210417,-
2126812,60326136,59,I5H14_gp059,SEA_BATIATUS_59,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2126812,60326137,60,I5H14_gp060,SEA_BATIATUS_60,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2126812,60326138,61,I5H14_gp061,SEA_BATIATUS_61,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210424,-
2126812,60326139,62,I5H14_gp062,SEA_BATIATUS_62,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210529,-
2126812,60326140,63,I5H14_gp063,SEA_BATIATUS_63,-,-,-,HNH endonuclease,protein-coding,-,-,-,HNH endonuclease,20210529,-
2126812,60326141,64,I5H14_gp064,SEA_BATIATUS_64,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2126812,60326142,65,I5H14_gp065,SEA_BATIATUS_65,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2126812,60326143,66,I5H14_gp066,SEA_BATIATUS_66,-,-,-,DNA methylase,protein-coding,-,-,-,DNA methylase,20210424,-
2126812,60326144,67,I5H14_gp067,SEA_BATIATUS_67,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2126812,60326145,68,I5H14_gp068,SEA_BATIATUS_68,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2126812,60326146,69,I5H14_gp069,SEA_BATIATUS_69,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2126812,60326147,70,I5H14_gp070,SEA_BATIATUS_70,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2126812,60326148,71,I5H14_gp071,SEA_BATIATUS_71,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2126812,60326149,72,I5H14_gp072,SEA_BATIATUS_72,-,-,-,DNA methylase,protein-coding,-,-,-,DNA methylase,20210424,-
2126812,60326150,73,I5H14_gp073,SEA_BATIATUS_73,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2126812,60326151,74,I5H14_gp074,SEA_BATIATUS_74,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2126812,60326152,75,I5H14_gp075,SEA_BATIATUS_75,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2126812,60326153,77,I5H14_gp077,SEA_BATIATUS_77,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2126812,60326154,78,I5H14_gp078,SEA_BATIATUS_78,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2126812,60326155,79,I5H14_gp079,SEA_BATIATUS_79,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2126812,60326156,80,I5H14_gp080,SEA_BATIATUS_80,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2126812,60326157,81,I5H14_gp081,SEA_BATIATUS_81,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2126812,60326158,82,I5H14_gp082,SEA_BATIATUS_82,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2126812,60326159,83,I5H14_gp083,SEA_BATIATUS_83,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2126812,60326160,84,I5H14_gp084,SEA_BATIATUS_84,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2126812,60326161,85,I5H14_gp085,SEA_BATIATUS_85,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2126812,60326162,86,I5H14_gp086,SEA_BATIATUS_86,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2126812,60326163,87,I5H14_gp087,SEA_BATIATUS_87,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2126812,60326164,88,I5H14_gp088,SEA_BATIATUS_88,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210116,-
2126812,60326165,89,I5H14_gp089,SEA_BATIATUS_89,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2126812,60326166,90,I5H14_gp090,SEA_BATIATUS_90,-,-,-,GIY-YIG endonuclease,protein-coding,-,-,-,GIY-YIG endonuclease,20201129,-
2126812,60326167,91,I5H14_gp091,SEA_BATIATUS_91,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210406,-
2126812,60326168,92,I5H14_gp092,SEA_BATIATUS_92,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2126812,60326169,93,I5H14_gp093,SEA_BATIATUS_93,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2126812,60326170,94,I5H14_gp094,SEA_BATIATUS_94,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2126812,60326171,95,I5H14_gp095,SEA_BATIATUS_95,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2126812,60326172,96,I5H14_gp096,SEA_BATIATUS_96,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2126812,60326173,97,I5H14_gp097,SEA_BATIATUS_97,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2126812,60326174,99,I5H14_gp099,SEA_BATIATUS_99,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2126812,60326175,100,I5H14_gp100,SEA_BATIATUS_100,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2126812,60326176,101,I5H14_gp101,SEA_BATIATUS_101,-,-,-,glycosyltransferase,protein-coding,-,-,-,glycosyltransferase,20210424,-
2126812,60326177,102,I5H14_gp102,SEA_BATIATUS_102,-,-,-,galactosyltransferase,protein-coding,-,-,-,galactosyltransferase,20210424,-
2126812,60326178,103,I5H14_gp103,SEA_BATIATUS_103,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2126812,60326179,104,I5H14_gp104,SEA_BATIATUS_104,-,-,-,glycosyltransferase,protein-coding,-,-,-,glycosyltransferase,20210424,-
2126812,60326180,105,I5H14_gp105,SEA_BATIATUS_105,-,-,-,HNH endonuclease,protein-coding,-,-,-,HNH endonuclease,20210424,-
2126812,60326181,76,I5H14_gp076,SEA_BATIATUS_76,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2126812,60326182,98,I5H14_gp098,SEA_BATIATUS_98,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2126812,60326183,1,I5H14_gp001,SEA_BATIATUS_1,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2126812,60338653,NEWENTRY,-,-,-,-,-,Record to support submission of GeneRIFs for a gene not in Gene.,other,-,-,-,-,20201130,-
