#tax_id,GeneID,Symbol,LocusTag,Synonyms,dbXrefs,chromosome,map_location,description,type_of_gene,Symbol_from_nomenclature_authority,Full_name_from_nomenclature_authority,Nomenclature_status,Other_designations,Modification_date,Feature_type
146777,58116778,orf927,H4Q15_mgp03,-,-,MT,-,reverse transcriptase,protein-coding,-,-,-,reverse transcriptase,20210522,-
146777,58116831,orf105,H4Q15_mgp31,-,-,MT,-,GIY-YIG homing endonuclease,protein-coding,-,-,-,GIY-YIG homing endonuclease,20210522,-
146777,58116832,orf121,H4Q15_mgp30,-,-,MT,-,GIY-YIG homing endonuclease,protein-coding,-,-,-,GIY-YIG homing endonuclease,20210522,-
146777,58116833,nad6,H4Q15_mgp29,-,-,MT,-,NADH dehydrogenase subunit 6,protein-coding,-,-,-,NADH dehydrogenase subunit 6,20210522,-
146777,58116834,orf551,H4Q15_mgp32,-,-,MT,-,GIY-YIG homing endonuclease,protein-coding,-,-,-,GIY-YIG homing endonuclease,20210522,-
146777,58116835,cob,H4Q15_mgp28,-,-,MT,-,apocytochrome b,protein-coding,-,-,-,apocytochrome b,20210522,-
146777,58116836,orf274,H4Q15_mgp26,-,-,MT,-,LAGLIDADG homing endonuclease,protein-coding,-,-,-,LAGLIDADG homing endonuclease,20210522,-
146777,58116837,orf235,H4Q15_mgp25,-,-,MT,-,LAGLIDADG homing endonuclease,protein-coding,-,-,-,LAGLIDADG homing endonuclease,20200804,-
146777,58116838,orf128,H4Q15_mgp24,-,-,MT,-,LAGLIDADG homing endonuclease,protein-coding,-,-,-,LAGLIDADG homing endonuclease,20200804,-
146777,58116839,orf162,H4Q15_mgp23,-,-,MT,-,LAGLIDADG homing endonuclease,protein-coding,-,-,-,LAGLIDADG homing endonuclease,20200804,-
146777,58116840,orf187,H4Q15_mgp22,-,-,MT,-,LAGLIDADG homing endonuclease,protein-coding,-,-,-,LAGLIDADG homing endonuclease,20200804,-
146777,58116841,orf445,H4Q15_mgp27,-,-,MT,-,LAGLIDADG homing endonuclease,protein-coding,-,-,-,LAGLIDADG homing endonuclease,20210522,-
146777,58116842,rns,H4Q15_mgr01,-,-,MT,-,small subunit ribosomal RNA,rRNA,-,-,-,-,20200909,-
146777,58116843,trnV(tac),H4Q15_mgt20,-,-,MT,-,tRNA,tRNA,-,-,-,-,20200909,-
146777,58116844,orf209,H4Q15_mgp21,-,-,MT,-,LAGLIDADG homing endonuclease,protein-coding,-,-,-,LAGLIDADG homing endonuclease,20210522,-
146777,58116845,trnL(tag),H4Q15_mgt21,-,-,MT,-,tRNA,tRNA,-,-,-,-,20200909,-
146777,58116846,trnR(tcg),H4Q15_mgt22,-,-,MT,-,tRNA,tRNA,-,-,-,-,20200909,-
146777,58116847,atp6,H4Q15_mgp20,-,-,MT,-,ATP synthase F0 subunit a,protein-coding,-,-,-,ATP synthase F0 subunit a,20210522,-
146777,58116848,orf129,H4Q15_mgp19,-,-,MT,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200804,-
146777,58116849,orf152,H4Q15_mgp18,-,-,MT,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200804,-
146777,58116850,trnS(tga),H4Q15_mgt23,-,-,MT,-,tRNA,tRNA,-,-,-,-,20200909,-
146777,58116851,trnP(tgg),H4Q15_mgt24,-,-,MT,-,tRNA,tRNA,-,-,-,-,20200909,-
146777,58116852,rps3,H4Q15_mgp17,-,-,MT,-,ribosomal protein S3,protein-coding,-,-,-,ribosomal protein S3,20200804,-
146777,58116853,atp9,H4Q15_mgp16,-,-,MT,-,ATP synthase F0 subunit c,protein-coding,-,-,-,ATP synthase F0 subunit c,20210522,-
146777,58116854,cox1,H4Q15_mgp01,-,-,MT,-,cytochrome c oxidase subunit 1,protein-coding,-,-,-,cytochrome c oxidase subunit 1,20210522,-
