#tax_id,GeneID,Symbol,LocusTag,Synonyms,dbXrefs,chromosome,map_location,description,type_of_gene,Symbol_from_nomenclature_authority,Full_name_from_nomenclature_authority,Nomenclature_status,Other_designations,Modification_date,Feature_type
444876,11537944,CYLG_00012,CYLG_00012,-,-,-,-,transaldolase family protein,protein-coding,-,-,-,transaldolase family protein,20201220,-
444876,11537968,CYLG_00036,CYLG_00036,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
444876,11537969,CYLG_00037,CYLG_00037,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
444876,11537970,CYLG_00038,CYLG_00038,-,-,-,-,ribonucleotide reductase domain-containing protein,protein-coding,-,-,-,ribonucleotide reductase domain-containing protein,20201220,-
444876,11537971,CYLG_00039,CYLG_00039,-,-,-,-,gp34,protein-coding,-,-,-,gp34,20201220,-
444876,11537972,CYLG_00040,CYLG_00040,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
444876,11537973,CYLG_00041,CYLG_00041,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
444876,11537974,CYLG_00042,CYLG_00042,-,-,-,-,head-tail connector protein,protein-coding,-,-,-,head-tail connector protein,20201220,-
444876,11537975,CYLG_00043,CYLG_00043,-,-,-,-,capsid assembly protein,protein-coding,-,-,-,capsid assembly protein,20201220,-
444876,11537976,CYLG_00044,CYLG_00044,-,-,-,-,hgh-light inducible protein,protein-coding,-,-,-,hgh-light inducible protein,20201220,-
444876,11537977,CYLG_00045,CYLG_00045,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
444876,11537978,CYLG_00046,CYLG_00046,-,-,-,-,core photosystem II reaction center protein,protein-coding,-,-,-,core photosystem II reaction center protein,20201220,-
444876,11537979,CYLG_00047,CYLG_00047,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
444876,11537980,CYLG_00048,CYLG_00048,-,-,-,-,major capsid protein,protein-coding,-,-,-,major capsid protein,20201220,-
444876,11537981,CYLG_00049,CYLG_00049,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
444876,11537982,CYLG_00050,CYLG_00050,-,-,-,-,tail tube protein A,protein-coding,-,-,-,tail tube protein A,20201220,-
444876,11537983,CYLG_00051,CYLG_00051,-,-,-,-,tail tube protein B,protein-coding,-,-,-,tail tube protein B,20201220,-
444876,11537984,CYLG_00052,CYLG_00052,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
444876,11537985,CYLG_00053,CYLG_00053,-,-,-,-,gp42,protein-coding,-,-,-,gp42,20201220,-
444876,11537986,CYLG_00054,CYLG_00054,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
444876,11537987,CYLG_00055,CYLG_00055,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
444876,11537988,CYLG_00056,CYLG_00056,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
444876,11537989,CYLG_00057,CYLG_00057,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
444876,11537990,CYLG_00058,CYLG_00058,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
444876,11537991,CYLG_00059,CYLG_00059,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
444876,11537992,CYLG_00001,CYLG_00001,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
444876,11537993,CYLG_00002,CYLG_00002,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
444876,11537994,CYLG_00003,CYLG_00003,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
444876,11537995,CYLG_00004,CYLG_00004,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
444876,11537996,CYLG_00005,CYLG_00005,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
444876,11537997,CYLG_00006,CYLG_00006,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
444876,11537998,CYLG_00007,CYLG_00007,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
444876,11537999,CYLG_00008,CYLG_00008,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
444876,11538000,CYLG_00009,CYLG_00009,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
444876,11538001,CYLG_00010,CYLG_00010,-,-,-,-,DNA maturase beta subunit,protein-coding,-,-,-,DNA maturase beta subunit,20201220,-
444876,11538002,CYLG_00011,CYLG_00011,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
444876,11542894,NEWENTRY,-,-,-,-,-,Record to support submission of GeneRIFs for a gene not in Gene (Cyanophage Syn26).,other,-,-,-,-,20200622,-
