#tax_id,GeneID,Symbol,LocusTag,Synonyms,dbXrefs,chromosome,map_location,description,type_of_gene,Symbol_from_nomenclature_authority,Full_name_from_nomenclature_authority,Nomenclature_status,Other_designations,Modification_date,Feature_type
439809,5758629,1,PBI_TWEETY_1,-,-,-,-,terminase small subunit,protein-coding,-,-,-,terminase small subunit,20201220,-
439809,5758660,100,PBI_TWEETY_100,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
439809,5758661,33,PBI_TWEETY_33,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
439809,5758662,52,PBI_TWEETY_52,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
439809,5758663,56,PBI_TWEETY_56,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210424,-
439809,5758664,35,PBI_TWEETY_35,-,-,-,-,DnaQ-like protein,protein-coding,-,-,-,DnaQ-like protein,20210129,-
439809,5758665,18,PBI_TWEETY_18,-,-,-,-,minor tail protein,protein-coding,-,-,-,minor tail protein,20201220,-
439809,5758666,92,PBI_TWEETY_92,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
439809,5758667,16,PBI_TWEETY_16,-,-,-,-,minor tail protein,protein-coding,-,-,-,minor tail protein,20201220,-
439809,5758668,51,PBI_TWEETY_51,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
439809,5758669,58,PBI_TWEETY_58,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
439809,5758670,34,PBI_TWEETY_34,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
439809,5758671,32,PBI_TWEETY_32,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210129,-
439809,5758672,39,PBI_TWEETY_39,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
439809,5758673,30,PBI_TWEETY_30,-,-,-,-,lysin A,protein-coding,-,-,-,lysin A,20201220,-
439809,5758674,12,PBI_TWEETY_12,-,-,-,-,tail assembly chaperone,protein-coding,-,-,-,tail assembly chaperone,20201220,-
439809,5758675,102,PBI_TWEETY_102,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
439809,5758676,36,PBI_TWEETY_36,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
439809,5758677,37,PBI_TWEETY_37,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
439809,5758678,15,PBI_TWEETY_15,-,-,-,-,minor tail protein,protein-coding,-,-,-,minor tail protein,20201220,-
439809,5758679,101,PBI_TWEETY_101,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
439809,5758680,44,PBI_TWEETY_44,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
439809,5758681,61,PBI_TWEETY_61,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
439809,5758682,38,PBI_TWEETY_38,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
439809,5758683,103,PBI_TWEETY_103,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
439809,5758684,60,PBI_TWEETY_60,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
439809,5758685,105,PBI_TWEETY_105,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
439809,5758686,106,PBI_TWEETY_106,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
439809,5758687,50,PBI_TWEETY_50,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
439809,5758688,64,PBI_TWEETY_64,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
439809,5758689,14,PBI_TWEETY_14,-,-,-,-,tape measure protein,protein-coding,-,-,-,tape measure protein,20201220,-
439809,5758690,62,PBI_TWEETY_62,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
439809,5758691,55,PBI_TWEETY_55,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
439809,5758692,29,PBI_TWEETY_29,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
439809,5758693,54,PBI_TWEETY_54,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
439809,5758694,42,PBI_TWEETY_42,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
439809,5758695,47,PBI_TWEETY_47,-,-,-,-,antirepressor,protein-coding,-,-,-,antirepressor,20210129,-
439809,5758696,57,PBI_TWEETY_57,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
439809,5758697,11,PBI_TWEETY_11,-,-,-,-,major tail subunit,protein-coding,-,-,-,major tail subunit,20201220,-
439809,5758698,45,PBI_TWEETY_45,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
439809,5758699,46,PBI_TWEETY_46,-,-,-,-,HTH DNA binding domain protein,protein-coding,-,-,-,HTH DNA binding domain protein,20201220,-
439809,5758700,93,PBI_TWEETY_93,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
439809,5758701,27,PBI_TWEETY_27,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
439809,5758702,31,PBI_TWEETY_31,-,-,-,-,lysin B,protein-coding,-,-,-,lysin B,20201220,-
439809,5758703,28,PBI_TWEETY_28,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
439809,5758704,59,PBI_TWEETY_59,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
439809,5758705,91,PBI_TWEETY_91,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
439809,5758706,88,PBI_TWEETY_88,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
439809,5758707,3,PBI_TWEETY_3,-,-,-,-,portal protein,protein-coding,-,-,-,portal protein,20210424,-
439809,5758708,41,PBI_TWEETY_41,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
439809,5758709,67,PBI_TWEETY_67,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
439809,5758710,95,PBI_TWEETY_95,-,-,-,-,HTH DNA binding domain protein,protein-coding,-,-,-,HTH DNA binding domain protein,20210424,-
439809,5758711,68,PBI_TWEETY_68,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
439809,5758712,79,PBI_TWEETY_79,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
439809,5758713,71,PBI_TWEETY_71,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
439809,5758714,5,PBI_TWEETY_5,-,-,-,-,scaffolding protein,protein-coding,-,-,-,scaffolding protein,20201220,-
439809,5758715,108,PBI_TWEETY_108,-,-,-,-,glycoasyl transferase,protein-coding,-,-,-,glycoasyl transferase,20201220,-
439809,5758716,69,PBI_TWEETY_69,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
439809,5758717,13,PBI_TWEETY_13,-,-,-,-,tail assembly chaperone,protein-coding,-,-,-,tail assembly chaperone,20201220,-
439809,5758718,8,PBI_TWEETY_8,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
439809,5758719,104,PBI_TWEETY_104,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
439809,5758720,90,PBI_TWEETY_90,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
439809,5758721,107,PBI_TWEETY_107,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
439809,5758722,49,PBI_TWEETY_49,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
439809,5758723,74,PBI_TWEETY_74,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
439809,5758724,73,PBI_TWEETY_73,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
439809,5758725,7,PBI_TWEETY_7,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
439809,5758726,72,PBI_TWEETY_72,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
439809,5758727,22,PBI_TWEETY_22,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
439809,5758728,23,PBI_TWEETY_23,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
439809,5758729,77,PBI_TWEETY_77,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
439809,5758730,6,PBI_TWEETY_6,-,-,-,-,major capsid subunit,protein-coding,-,-,-,major capsid subunit,20201220,-
439809,5758731,78,PBI_TWEETY_78,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
439809,5758732,26,PBI_TWEETY_26,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210129,-
439809,5758733,76,PBI_TWEETY_76,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
439809,5758734,99,PBI_TWEETY_99,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
439809,5758735,89,PBI_TWEETY_89,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
439809,5758736,109,PBI_TWEETY_109,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210424,-
439809,5758737,75,PBI_TWEETY_75,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
439809,5787355,NEWENTRY,-,-,-,-,-,Record to support submission of GeneRIFs for a gene not in Gene (Mycobacteriophage Tweety).,other,-,-,-,-,20200513,-
