#tax_id,GeneID,Symbol,LocusTag,Synonyms,dbXrefs,chromosome,map_location,description,type_of_gene,Symbol_from_nomenclature_authority,Full_name_from_nomenclature_authority,Nomenclature_status,Other_designations,Modification_date,Feature_type
2047867,63911207,KDJ07_gp02,KDJ07_gp02,PHIRE_URLA_2,-,-,-,terminase,protein-coding,-,-,-,terminase,20210420,-
2047867,63911222,KDJ07_gp19,KDJ07_gp19,PHIRE_URLA_19,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210420,-
2047867,63911223,KDJ07_gp20,KDJ07_gp20,PHIRE_URLA_20,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210420,-
2047867,63911224,KDJ07_gp21,KDJ07_gp21,PHIRE_URLA_21,-,-,-,endolysin,protein-coding,-,-,-,endolysin,20210420,-
2047867,63911225,KDJ07_gp22,KDJ07_gp22,PHIRE_URLA_22,-,-,-,holin,protein-coding,-,-,-,holin,20210420,-
2047867,63911226,KDJ07_gp23,KDJ07_gp23,PHIRE_URLA_23,-,-,-,minor tail protein,protein-coding,-,-,-,minor tail protein,20210420,-
2047867,63911227,KDJ07_gp24,KDJ07_gp24,PHIRE_URLA_24,-,-,-,helix-turn-helix DNA-binding domain protein,protein-coding,-,-,-,helix-turn-helix DNA-binding domain protein,20210420,-
2047867,63911228,KDJ07_gp25,KDJ07_gp25,PHIRE_URLA_25,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210420,-
2047867,63911229,KDJ07_gp29,KDJ07_gp29,PHIRE_URLA_29,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210420,-
2047867,63911230,KDJ07_gp30,KDJ07_gp30,PHIRE_URLA_30,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210420,-
2047867,63911231,KDJ07_gp32,KDJ07_gp32,PHIRE_URLA_32,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210420,-
2047867,63911232,KDJ07_gp33,KDJ07_gp33,PHIRE_URLA_33,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210420,-
2047867,63911233,KDJ07_gp34,KDJ07_gp34,PHIRE_URLA_34,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210420,-
2047867,63911234,KDJ07_gp35,KDJ07_gp35,PHIRE_URLA_35,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210420,-
2047867,63911235,KDJ07_gp36,KDJ07_gp36,PHIRE_URLA_36,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210420,-
2047867,63911236,KDJ07_gp37,KDJ07_gp37,PHIRE_URLA_37,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210420,-
2047867,63911237,KDJ07_gp38,KDJ07_gp38,PHIRE_URLA_38,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210420,-
2047867,63911238,KDJ07_gp39,KDJ07_gp39,PHIRE_URLA_39,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210420,-
2047867,63911239,KDJ07_gp40,KDJ07_gp40,PHIRE_URLA_40,-,-,-,Cas4 family exonuclease,protein-coding,-,-,-,Cas4 family exonuclease,20210420,-
2047867,63911240,KDJ07_gp41,KDJ07_gp41,PHIRE_URLA_41,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210420,-
2047867,63911241,KDJ07_gp42,KDJ07_gp42,PHIRE_URLA_42,-,-,-,RecA-like DNA recombinase,protein-coding,-,-,-,RecA-like DNA recombinase,20210420,-
2047867,63911242,KDJ07_gp43,KDJ07_gp43,PHIRE_URLA_43,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210420,-
2047867,63911243,KDJ07_gp44,KDJ07_gp44,PHIRE_URLA_44,-,-,-,DNA primase/polymerase/helicase,protein-coding,-,-,-,DNA primase/polymerase/helicase,20210420,-
2047867,63911244,KDJ07_gp45,KDJ07_gp45,PHIRE_URLA_45,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210420,-
2047867,63911245,KDJ07_gp46,KDJ07_gp46,PHIRE_URLA_46,-,-,-,DNA polymerase I,protein-coding,-,-,-,DNA polymerase I,20210420,-
2047867,63911246,KDJ07_gp47,KDJ07_gp47,PHIRE_URLA_47,-,-,-,PurA-like adenylosuccinate synthetase,protein-coding,-,-,-,PurA-like adenylosuccinate synthetase,20210420,-
2047867,63911247,KDJ07_gp48,KDJ07_gp48,PHIRE_URLA_48,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210420,-
2047867,63911248,KDJ07_gp49,KDJ07_gp49,PHIRE_URLA_49,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210420,-
2047867,63911249,KDJ07_gp50,KDJ07_gp50,PHIRE_URLA_50,-,-,-,deoxyuridine triphosphatase,protein-coding,-,-,-,deoxyuridine triphosphatase,20210420,-
2047867,63911250,KDJ07_gp51,KDJ07_gp51,PHIRE_URLA_51,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210420,-
2047867,63911251,KDJ07_gp52,KDJ07_gp52,PHIRE_URLA_52,-,-,-,helix-turn-helix DNA-binding domain protein,protein-coding,-,-,-,helix-turn-helix DNA-binding domain protein,20210420,-
2047867,63911252,KDJ07_gp53,KDJ07_gp53,PHIRE_URLA_53,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210420,-
2047867,63911253,KDJ07_gp54,KDJ07_gp54,PHIRE_URLA_54,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210420,-
2047867,63911254,KDJ07_gp55,KDJ07_gp55,PHIRE_URLA_55,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210420,-
2047867,63911255,KDJ07_gp56,KDJ07_gp56,PHIRE_URLA_56,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210420,-
2047867,63911256,KDJ07_gp57,KDJ07_gp57,PHIRE_URLA_57,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210420,-
2047867,63911257,KDJ07_gp58,KDJ07_gp58,PHIRE_URLA_58,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210420,-
2047867,63911258,KDJ07_gp59,KDJ07_gp59,PHIRE_URLA_59,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210420,-
2047867,63911259,KDJ07_gp60,KDJ07_gp60,PHIRE_URLA_60,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210420,-
2047867,63911260,KDJ07_gp61,KDJ07_gp61,PHIRE_URLA_61,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210420,-
2047867,63911261,KDJ07_gp62,KDJ07_gp62,PHIRE_URLA_62,-,-,-,HNH endonuclease,protein-coding,-,-,-,HNH endonuclease,20210420,-
2047867,63911262,KDJ07_gp26,KDJ07_gp26,PHIRE_URLA_26,-,-,-,DNA helicase,protein-coding,-,-,-,DNA helicase,20210420,-
2047867,63911263,KDJ07_gp27,KDJ07_gp27,PHIRE_URLA_27,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210420,-
2047867,63911264,KDJ07_gp28,KDJ07_gp28,PHIRE_URLA_28,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210420,-
2047867,63911265,KDJ07_gp31,KDJ07_gp31,PHIRE_URLA_31,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210420,-
2047867,63911266,KDJ07_gp13,KDJ07_gp13,PHIRE_URLA_13,-,-,-,tail assembly chaperone,protein-coding,-,-,-,tail assembly chaperone,20210420,-
2047867,63911267,KDJ07_gp14,KDJ07_gp14,PHIRE_URLA_14,-,-,-,tape measure protein,protein-coding,-,-,-,tape measure protein,20210420,-
2047867,63911268,KDJ07_gp01,KDJ07_gp01,PHIRE_URLA_1,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210420,-
2047867,64409716,NEWENTRY,-,-,-,-,-,Record to support submission of GeneRIFs for a gene not in Gene.,other,-,-,-,-,20210426,-
