#tax_id,GeneID,Symbol,LocusTag,Synonyms,dbXrefs,chromosome,map_location,description,type_of_gene,Symbol_from_nomenclature_authority,Full_name_from_nomenclature_authority,Nomenclature_status,Other_designations,Modification_date,Feature_type
1597967,54975085,HOR02_gp02,HOR02_gp02,-,-,-,-,putative internal virion protein B,protein-coding,-,-,-,putative internal virion protein B,20210327,-
1597967,54975101,HOR02_gp18,HOR02_gp18,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1597967,54975102,HOR02_gp19,HOR02_gp19,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1597967,54975103,HOR02_gp20,HOR02_gp20,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1597967,54975104,HOR02_gp21,HOR02_gp21,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1597967,54975105,HOR02_gp22,HOR02_gp22,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1597967,54975106,HOR02_gp23,HOR02_gp23,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1597967,54975107,HOR02_gp24,HOR02_gp24,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1597967,54975108,HOR02_gp25,HOR02_gp25,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1597967,54975109,HOR02_gp26,HOR02_gp26,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1597967,54975110,HOR02_gp27,HOR02_gp27,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1597967,54975111,HOR02_gp28,HOR02_gp28,-,-,-,-,DNA ligase-like protein,protein-coding,-,-,-,DNA ligase-like protein,20210327,-
1597967,54975112,HOR02_gp29,HOR02_gp29,-,-,-,-,RNA polymerase-like protein,protein-coding,-,-,-,RNA polymerase-like protein,20210327,-
1597967,54975113,HOR02_gp30,HOR02_gp30,-,-,-,-,RNA polymerase-like protein,protein-coding,-,-,-,RNA polymerase-like protein,20210327,-
1597967,54975114,HOR02_gp31,HOR02_gp31,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1597967,54975115,HOR02_gp32,HOR02_gp32,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1597967,54975116,HOR02_gp33,HOR02_gp33,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1597967,54975117,HOR02_gp34,HOR02_gp34,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1597967,54975118,HOR02_gp35,HOR02_gp35,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1597967,54975119,HOR02_gp36,HOR02_gp36,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1597967,54975120,HOR02_gp37,HOR02_gp37,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1597967,54975121,HOR02_gp38,HOR02_gp38,-,-,-,-,putative ssDNA binding protein,protein-coding,-,-,-,putative ssDNA binding protein,20210327,-
1597967,54975122,HOR02_gp39,HOR02_gp39,-,-,-,-,endonuclease-like protein,protein-coding,-,-,-,endonuclease-like protein,20210327,-
1597967,54975123,HOR02_gp40,HOR02_gp40,-,-,-,-,lysozyme-like protein,protein-coding,-,-,-,lysozyme-like protein,20210327,-
1597967,54975124,HOR02_gp41,HOR02_gp41,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1597967,54975125,HOR02_gp42,HOR02_gp42,-,-,-,-,DNA primase/helicase-like protein,protein-coding,-,-,-,DNA primase/helicase-like protein,20210327,-
1597967,54975126,HOR02_gp43,HOR02_gp43,-,-,-,-,DNA polymerase-like protein,protein-coding,-,-,-,DNA polymerase-like protein,20210327,-
1597967,54975127,HOR02_gp44,HOR02_gp44,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1597967,54975128,HOR02_gp45,HOR02_gp45,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210327,-
1597967,54975129,HOR02_gp46,HOR02_gp46,-,-,-,-,exonuclease-like protein,protein-coding,-,-,-,exonuclease-like protein,20210327,-
1597967,54975130,HOR02_gp47,HOR02_gp47,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210327,-
1597967,54975131,HOR02_gp48,HOR02_gp48,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210327,-
1597967,54975132,HOR02_gp49,HOR02_gp49,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1597967,54975133,HOR02_gp50,HOR02_gp50,-,-,-,-,putative head to tail joining protein,protein-coding,-,-,-,putative head to tail joining protein,20210327,-
1597967,54975134,HOR02_gp51,HOR02_gp51,-,-,-,-,putative capsid assembly protein,protein-coding,-,-,-,putative capsid assembly protein,20210327,-
1597967,54975135,HOR02_gp52,HOR02_gp52,-,-,-,-,putative major capsid protein,protein-coding,-,-,-,putative major capsid protein,20210327,-
1597967,54975136,HOR02_gp53,HOR02_gp53,-,-,-,-,putative tail tubular protein A,protein-coding,-,-,-,putative tail tubular protein A,20210327,-
1597967,54975137,HOR02_gp54,HOR02_gp54,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1597967,54975138,HOR02_gp01,HOR02_gp01,-,-,-,-,putative internal virion protein A,protein-coding,-,-,-,putative internal virion protein A,20210327,-
1597967,55147342,NEWENTRY,-,-,-,-,-,Record to support submission of GeneRIFs for a gene not in Gene.,other,-,-,-,-,20200624,-
