#tax_id,GeneID,Symbol,LocusTag,Synonyms,dbXrefs,chromosome,map_location,description,type_of_gene,Symbol_from_nomenclature_authority,Full_name_from_nomenclature_authority,Nomenclature_status,Other_designations,Modification_date,Feature_type
1821557,29123268,2,BJD62_gp02,SEA_LUCKY10_2,-,-,-,terminase large subunit,protein-coding,-,-,-,terminase large subunit,20200927,-
1821557,29123320,54,BJD62_gp54,SEA_LUCKY10_54,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1821557,29123321,55,BJD62_gp55,SEA_LUCKY10_55,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1821557,29123322,56,BJD62_gp56,SEA_LUCKY10_56,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1821557,29123323,57,BJD62_gp57,SEA_LUCKY10_57,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1821557,29123324,58,BJD62_gp58,SEA_LUCKY10_58,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1821557,29123325,59,BJD62_gp59,SEA_LUCKY10_59,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1821557,29123326,60,BJD62_gp60,SEA_LUCKY10_60,-,-,-,DNA methyltransferase,protein-coding,-,-,-,DNA methyltransferase,20200927,-
1821557,29123327,61,BJD62_gp61,SEA_LUCKY10_61,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1821557,29123328,62,BJD62_gp62,SEA_LUCKY10_62,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1821557,29123329,63,BJD62_gp63,SEA_LUCKY10_63,-,-,-,HTH DNA-binding protein,protein-coding,-,-,-,HTH DNA-binding protein,20200927,-
1821557,29123330,64,BJD62_gp64,SEA_LUCKY10_64,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1821557,29123331,65,BJD62_gp65,SEA_LUCKY10_65,-,-,-,resolvase,protein-coding,-,-,-,resolvase,20200927,-
1821557,29123332,66,BJD62_gp66,SEA_LUCKY10_66,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1821557,29123333,67,BJD62_gp67,SEA_LUCKY10_67,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1821557,29123334,68,BJD62_gp68,SEA_LUCKY10_68,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1821557,29123335,69,BJD62_gp69,SEA_LUCKY10_69,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1821557,29123336,70,BJD62_gp70,SEA_LUCKY10_70,-,-,-,HNH endonuclease,protein-coding,-,-,-,HNH endonuclease,20200927,-
1821557,29123337,1,BJD62_gp01,SEA_LUCKY10_1,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1821557,29140843,NEWENTRY,-,-,-,-,-,Record to support submission of GeneRIFs for a gene not in Gene.,other,-,-,-,-,20200516,-
